Map,Query Number,Time,Distance,Path Length
CatwalkAlley,0,1.65620000,7.07106781,0
CatwalkAlley,1,1.14480000,7.21110255,0
CatwalkAlley,2,5.82760000,6.00000000,0
CatwalkAlley,3,1.88460000,5.00000000,0
CatwalkAlley,4,0.87060000,4.00000000,0
CatwalkAlley,5,0.72840000,5.83095189,0
CatwalkAlley,6,4.68380000,5.65685425,0
CatwalkAlley,7,1.24420000,7.07106781,0
CatwalkAlley,8,0.86300000,7.28010989,0
CatwalkAlley,9,0.96140000,5.00000000,0
CatwalkAlley,10,2.06580000,10.77032961,0
CatwalkAlley,11,0.93880000,9.21954446,0
CatwalkAlley,12,4.97740000,7.61577311,0
CatwalkAlley,13,2.23560000,8.06225775,0
CatwalkAlley,14,0.97980000,8.94427191,0
CatwalkAlley,15,0.81480000,9.05538514,0
CatwalkAlley,16,3.90920000,9.48683298,0
CatwalkAlley,17,1.10340000,8.06225775,0
CatwalkAlley,18,0.85200000,11.18033989,0
CatwalkAlley,19,6.14460000,11.18033989,0
CatwalkAlley,20,0.97840000,14.14213562,0
CatwalkAlley,21,0.61380000,11.18033989,0
CatwalkAlley,22,0.84140000,14.42220510,0
CatwalkAlley,23,0.66580000,13.89244399,0
CatwalkAlley,24,1.72180000,14.14213562,0
CatwalkAlley,25,6.39700000,11.66190379,0
CatwalkAlley,26,1.58100000,12.52996409,0
CatwalkAlley,27,0.60760000,12.80624847,0
CatwalkAlley,28,3.36320000,14.03566885,0
CatwalkAlley,29,0.80980000,14.14213562,0
CatwalkAlley,30,0.74580000,18.60107524,0
CatwalkAlley,31,0.88160000,15.52417470,0
CatwalkAlley,32,2.45480000,18.60107524,0
CatwalkAlley,33,3.33980000,15.52417470,0
CatwalkAlley,34,0.90880000,17.72004515,0
CatwalkAlley,35,0.59040000,18.43908891,0
CatwalkAlley,36,9.19300000,16.55294536,0
CatwalkAlley,37,3.99240000,16.03121954,0
CatwalkAlley,38,0.69920000,17.46424920,0
CatwalkAlley,39,5.30800000,16.76305461,0
CatwalkAlley,40,1.00320000,22.13594362,0
CatwalkAlley,41,4.72860000,21.95449840,0
CatwalkAlley,42,4.72880000,21.58703314,0
CatwalkAlley,43,0.80880000,21.09502311,0
CatwalkAlley,44,6.13160000,19.23538406,0
CatwalkAlley,45,13.10340000,21.63330765,0
CatwalkAlley,46,14.56420000,19.70031717,4
CatwalkAlley,47,11.69780000,18.78829423,0
CatwalkAlley,48,8.41240000,19.41648784,0
CatwalkAlley,49,3.35220000,18.68154169,0
CatwalkAlley,50,3.47000000,22.80350850,0
CatwalkAlley,51,8.14840000,24.08318916,0
CatwalkAlley,52,0.65620000,23.34523506,0
CatwalkAlley,53,3.29860000,23.32380758,0
CatwalkAlley,54,9.49620000,23.02172887,0
CatwalkAlley,55,5.03180000,23.19482701,0
CatwalkAlley,56,6.01060000,25.31797780,0
CatwalkAlley,57,0.69140000,24.16609195,0
CatwalkAlley,58,1.64520000,25.17935662,0
CatwalkAlley,59,0.77040000,27.00000000,0
CatwalkAlley,60,4.64880000,28.46049894,0
CatwalkAlley,61,9.46560000,28.20836430,4
CatwalkAlley,62,0.69300000,27.01851217,0
CatwalkAlley,63,4.74020000,28.28427125,0
CatwalkAlley,64,5.15060000,26.92582404,0
CatwalkAlley,65,3.14300000,28.23118843,0
CatwalkAlley,66,7.15140000,28.01785145,0
CatwalkAlley,67,3.17800000,28.16025568,0
CatwalkAlley,68,0.76720000,31.06444913,0
CatwalkAlley,69,2.90880000,30.41381265,0
CatwalkAlley,70,4.95120000,32.20248438,0
CatwalkAlley,71,0.89020000,33.10589071,0
CatwalkAlley,72,0.71360000,34.05877273,0
CatwalkAlley,73,9.28920000,32.46422106,5
CatwalkAlley,74,17.92200000,31.89043744,0
CatwalkAlley,75,0.96080000,30.88689042,0
CatwalkAlley,76,0.79060000,30.23243292,0
CatwalkAlley,77,7.81440000,31.10436419,5
CatwalkAlley,78,0.83620000,32.14031736,0
CatwalkAlley,79,7.25280000,32.57299495,0
CatwalkAlley,80,0.82060000,34.48187930,0
CatwalkAlley,81,0.99720000,36.12478374,0
CatwalkAlley,82,22.15220000,39.00000000,0
