Map,Query Number,Time,Distance,Path Length
CrescentMoon,0,1.39340000,7.21110255,0
CrescentMoon,1,3.74280000,6.40312424,0
CrescentMoon,2,2.10120000,7.00000000,0
CrescentMoon,3,1.68900000,6.70820393,0
CrescentMoon,4,0.59420000,6.32455532,0
CrescentMoon,5,0.67080000,6.40312424,0
CrescentMoon,6,0.79860000,6.32455532,0
CrescentMoon,7,0.69120000,4.24264069,0
CrescentMoon,8,0.82940000,6.08276253,0
CrescentMoon,9,0.71820000,5.09901951,0
CrescentMoon,10,0.65040000,10.77032961,0
CrescentMoon,11,3.70880000,10.44030651,0
CrescentMoon,12,3.85640000,9.21954446,0
CrescentMoon,13,0.47620000,10.44030651,0
CrescentMoon,14,0.57580000,8.94427191,0
CrescentMoon,15,0.45180000,10.81665383,0
CrescentMoon,16,1.89400000,8.24621125,0
CrescentMoon,17,2.28320000,8.60232527,0
CrescentMoon,18,0.81420000,8.24621125,0
CrescentMoon,19,0.57840000,9.84885780,0
CrescentMoon,20,0.56480000,14.14213562,0
CrescentMoon,21,0.73560000,13.03840481,0
CrescentMoon,22,0.41880000,14.31782106,0
CrescentMoon,23,0.46660000,14.14213562,0
CrescentMoon,24,0.51320000,13.60147051,0
CrescentMoon,25,0.50720000,11.70469991,0
CrescentMoon,26,0.73080000,13.89244399,0
CrescentMoon,27,0.83840000,13.00000000,0
CrescentMoon,28,0.47580000,14.00000000,0
CrescentMoon,29,0.47720000,11.70469991,0
CrescentMoon,30,2.85280000,17.72004515,0
CrescentMoon,31,0.65040000,19.02629759,0
CrescentMoon,32,2.24880000,16.15549442,0
CrescentMoon,33,0.43280000,18.02775638,0
CrescentMoon,34,0.60920000,17.46424920,0
CrescentMoon,35,3.54800000,17.11724277,0
CrescentMoon,36,3.46820000,16.40121947,0
CrescentMoon,37,1.81020000,15.65247584,0
CrescentMoon,38,0.52540000,18.60107524,0
CrescentMoon,39,0.42620000,18.60107524,0
CrescentMoon,40,1.79080000,22.20360331,0
CrescentMoon,41,2.14160000,23.34523506,0
CrescentMoon,42,0.58700000,19.69771560,0
CrescentMoon,43,0.40860000,21.02379604,0
CrescentMoon,44,0.56060000,20.80865205,0
CrescentMoon,45,6.00060000,19.84943324,0
CrescentMoon,46,0.42380000,21.02379604,0
CrescentMoon,47,0.33020000,22.02271555,0
CrescentMoon,48,3.92080000,21.47091055,0
CrescentMoon,49,0.65660000,21.02379604,0
CrescentMoon,50,2.04760000,23.85372088,0
CrescentMoon,51,0.53100000,22.80350850,0
CrescentMoon,52,2.71880000,25.67156810,5
CrescentMoon,53,2.23680000,25.70992026,0
CrescentMoon,54,0.57820000,26.17250466,0
CrescentMoon,55,1.69840000,24.69817807,0
CrescentMoon,56,3.66600000,26.17250466,0
CrescentMoon,57,2.34320000,23.40939982,0
CrescentMoon,58,0.47840000,23.60084744,0
CrescentMoon,59,0.58100000,24.73863375,0
CrescentMoon,60,2.69120000,31.14482300,0
CrescentMoon,61,0.64880000,27.29468813,0
CrescentMoon,62,0.41580000,28.63564213,0
CrescentMoon,63,6.03380000,26.93717100,4
CrescentMoon,64,2.51060000,29.06888371,0
CrescentMoon,65,4.05940000,30.41381265,0
CrescentMoon,66,3.09480000,27.65863337,0
CrescentMoon,67,0.59420000,26.68332813,0
CrescentMoon,68,4.30540000,26.00000000,0
CrescentMoon,69,3.74040000,27.78488798,0
CrescentMoon,70,0.54640000,32.80243893,0
CrescentMoon,71,3.01840000,30.01666204,0
CrescentMoon,72,4.36200000,31.01612484,0
CrescentMoon,73,0.66580000,33.54101966,0
CrescentMoon,74,0.65940000,29.73213749,0
CrescentMoon,75,5.91720000,32.62894428,4
CrescentMoon,76,4.66020000,33.60059523,0
CrescentMoon,77,2.66580000,33.06055051,0
CrescentMoon,78,3.27140000,33.10589071,0
CrescentMoon,79,0.57540000,34.20526275,0
CrescentMoon,80,2.37600000,37.05401463,0
CrescentMoon,81,3.47080000,36.87817783,0
CrescentMoon,82,2.95460000,36.34556369,0
CrescentMoon,83,2.60020000,35.11409973,0
CrescentMoon,84,2.67500000,34.20526275,0
CrescentMoon,85,1.96700000,34.01470270,0
CrescentMoon,86,2.01520000,37.05401463,0
CrescentMoon,87,1.92100000,38.05259518,0
CrescentMoon,88,3.66580000,38.05259518,0
CrescentMoon,89,0.59660000,34.17601498,0
CrescentMoon,90,0.51980000,39.56008089,0
CrescentMoon,91,3.11160000,41.19465985,0
CrescentMoon,92,5.46340000,42.85401443,5
CrescentMoon,93,2.10340000,40.04996879,0
CrescentMoon,94,1.55240000,40.36087214,0
CrescentMoon,95,0.56100000,39.05124838,0
CrescentMoon,96,0.48080000,37.12142239,0
CrescentMoon,97,3.57960000,39.69886648,0
CrescentMoon,98,4.19660000,37.36308338,0
CrescentMoon,99,0.55900000,39.62322551,0
CrescentMoon,100,2.77440000,42.20189569,0
CrescentMoon,101,4.13140000,43.86342440,0
CrescentMoon,102,0.58960000,43.82921400,0
CrescentMoon,103,2.78580000,43.86342440,0
CrescentMoon,104,3.73340000,43.93176527,0
CrescentMoon,105,6.43300000,44.91009728,4
CrescentMoon,106,1.46900000,44.40720662,0
CrescentMoon,107,1.90000000,43.65775991,0
CrescentMoon,108,3.18640000,42.57933771,0
CrescentMoon,109,6.45700000,45.19339920,4
CrescentMoon,110,0.55480000,48.08326112,0
CrescentMoon,111,2.45000000,46.23851209,0
CrescentMoon,112,2.88780000,49.20365840,0
CrescentMoon,113,3.93700000,46.61544808,0
CrescentMoon,114,0.52200000,45.61797891,0
CrescentMoon,115,0.61720000,47.50789408,0
CrescentMoon,116,2.47540000,48.10405388,0
CrescentMoon,117,3.03660000,50.03998401,0
CrescentMoon,118,6.48240000,47.38143096,0
CrescentMoon,119,6.81140000,47.62039375,4
CrescentMoon,120,4.38660000,49.64876635,0
CrescentMoon,121,3.46680000,50.24937811,0
CrescentMoon,122,2.64360000,48.87739764,0
CrescentMoon,123,3.44500000,49.47726751,0
CrescentMoon,124,2.70160000,49.64876635,0
CrescentMoon,125,2.80640000,51.62363800,0
CrescentMoon,126,1.64380000,52.03844733,0
CrescentMoon,127,1.67640000,49.33558553,0
CrescentMoon,128,4.79960000,55.17245690,0
CrescentMoon,129,2.34400000,50.44799302,0
CrescentMoon,130,4.48560000,53.60037313,0
CrescentMoon,131,5.05660000,55.97320788,0
CrescentMoon,132,2.62520000,55.47071299,0
CrescentMoon,133,2.14860000,58.00000000,0
CrescentMoon,134,6.83320000,54.62600113,0
CrescentMoon,135,2.47840000,56.85068161,0
CrescentMoon,136,3.80680000,54.03702434,0
CrescentMoon,137,2.62280000,55.57877293,0
CrescentMoon,138,7.20660000,57.31491952,0
CrescentMoon,139,2.53980000,57.42821606,0
CrescentMoon,140,6.19040000,56.61271942,0
CrescentMoon,141,4.11420000,56.04462508,0
CrescentMoon,142,2.70400000,61.13100686,0
CrescentMoon,143,8.06540000,57.00877125,0
CrescentMoon,144,5.94920000,59.07622195,0
CrescentMoon,145,2.43220000,59.20304046,0
CrescentMoon,146,5.63100000,59.38505500,5
CrescentMoon,147,10.77760000,56.17229211,6
CrescentMoon,148,1.68640000,58.30951895,0
CrescentMoon,149,2.48200000,59.40538696,0
CrescentMoon,150,2.67460000,66.00757532,0
CrescentMoon,151,3.70720000,61.98386887,0
CrescentMoon,152,3.98100000,67.00746227,0
CrescentMoon,153,9.66660000,62.87429352,5
CrescentMoon,154,1.49840000,62.64982043,0
CrescentMoon,155,2.30440000,63.78087488,0
CrescentMoon,156,2.55900000,67.00746227,0
CrescentMoon,157,2.40720000,63.03173804,0
CrescentMoon,158,8.48840000,64.62971453,0
CrescentMoon,159,1.79060000,66.03029608,0
CrescentMoon,160,2.61140000,65.36818798,0
CrescentMoon,161,5.67860000,67.89698079,0
CrescentMoon,162,0.52620000,65.00000000,0
CrescentMoon,163,10.70780000,63.48484815,5
CrescentMoon,164,6.09680000,67.20863040,0
CrescentMoon,165,3.94840000,64.84597135,0
CrescentMoon,166,5.09720000,66.60330322,0
CrescentMoon,167,3.14500000,65.19202405,0
CrescentMoon,168,5.82440000,63.32456080,0
CrescentMoon,169,8.28980000,66.28725368,0
CrescentMoon,170,7.13780000,70.35144660,4
CrescentMoon,171,1.64900000,68.88396040,0
CrescentMoon,172,3.78800000,67.18630813,0
CrescentMoon,173,6.23000000,68.24954212,0
CrescentMoon,174,7.35440000,69.01913210,4
CrescentMoon,175,2.65200000,69.64194139,0
CrescentMoon,176,2.73780000,68.15423685,0
CrescentMoon,177,5.10020000,71.28113355,0
CrescentMoon,178,5.89880000,70.45565982,0
CrescentMoon,179,4.02940000,72.91776190,0
CrescentMoon,180,3.89340000,70.57619995,0
CrescentMoon,181,4.00180000,71.06335202,0
CrescentMoon,182,12.31500000,73.99947142,4
CrescentMoon,183,2.91740000,75.60423269,0
CrescentMoon,184,2.13020000,71.16881339,0
CrescentMoon,185,0.59440000,71.30918594,0
CrescentMoon,186,12.05660000,73.24154028,4
CrescentMoon,187,3.37020000,71.51223672,0
CrescentMoon,188,17.34860000,73.78565924,7
CrescentMoon,189,6.49040000,74.69112738,5
CrescentMoon,190,4.91680000,76.29547824,0
CrescentMoon,191,4.36480000,76.66159404,0
CrescentMoon,192,6.01920000,79.46424920,4
CrescentMoon,193,8.81400000,79.90619500,0
CrescentMoon,194,5.63520000,75.76938696,0
CrescentMoon,195,2.61500000,81.30190650,0
CrescentMoon,196,3.98720000,74.94664769,0
CrescentMoon,197,3.33300000,78.16009212,0
CrescentMoon,198,2.48560000,76.96752562,0
CrescentMoon,199,4.83100000,81.00617260,0
CrescentMoon,200,2.79000000,79.42921377,0
CrescentMoon,201,8.92180000,81.30630973,6
CrescentMoon,202,8.34860000,77.83048631,6
CrescentMoon,203,5.93740000,82.73451517,0
CrescentMoon,204,6.12580000,80.62257748,0
CrescentMoon,205,2.98620000,80.65358021,0
CrescentMoon,206,3.84680000,80.04998438,0
CrescentMoon,207,6.32940000,83.45058418,0
CrescentMoon,208,4.45140000,84.38009244,0
CrescentMoon,209,5.42280000,83.18830508,4
CrescentMoon,210,7.65060000,85.96689716,4
CrescentMoon,211,3.49060000,86.12200648,0
CrescentMoon,212,4.55300000,89.10667764,0
CrescentMoon,213,3.24080000,82.21921916,0
CrescentMoon,214,2.60680000,88.09086218,0
CrescentMoon,215,6.12720000,82.68010643,0
CrescentMoon,216,6.86440000,89.93886813,0
CrescentMoon,217,9.85980000,87.42893750,7
CrescentMoon,218,5.14400000,82.68010643,0
CrescentMoon,219,8.09720000,83.25863319,0
CrescentMoon,220,3.34840000,89.45389874,0
CrescentMoon,221,10.97900000,88.84136749,8
CrescentMoon,222,2.39720000,93.04837452,0
CrescentMoon,223,6.12520000,86.53900855,0
CrescentMoon,224,7.90880000,92.58801756,5
CrescentMoon,225,25.39700000,88.50349416,4
CrescentMoon,226,5.39640000,88.11923740,0
CrescentMoon,227,4.71100000,88.56635930,0
CrescentMoon,228,6.89080000,90.68627239,0
CrescentMoon,229,10.63120000,89.62700486,0
CrescentMoon,230,5.91920000,91.40520049,4
CrescentMoon,231,7.38320000,95.75489544,0
CrescentMoon,232,9.62920000,96.79470422,4
CrescentMoon,233,15.39460000,93.09022770,7
CrescentMoon,234,3.58780000,96.17692031,0
CrescentMoon,235,20.59360000,94.14556702,8
CrescentMoon,236,4.19640000,92.57429449,0
CrescentMoon,237,5.55000000,91.09335870,0
CrescentMoon,238,6.53900000,93.74433316,0
CrescentMoon,239,6.72000000,96.18731725,0
CrescentMoon,240,8.52060000,95.96272794,9
CrescentMoon,241,8.45320000,94.09207306,4
CrescentMoon,242,4.41580000,96.04165763,0
CrescentMoon,243,3.68460000,96.54014709,0
CrescentMoon,244,12.97480000,97.07130697,7
CrescentMoon,245,7.40320000,96.77293010,0
CrescentMoon,246,6.26660000,97.17636362,9
CrescentMoon,247,4.41700000,96.54014709,0
CrescentMoon,248,6.48680000,95.25754563,0
CrescentMoon,249,4.87000000,97.30878686,0
CrescentMoon,250,4.54360000,106.77546535,0
CrescentMoon,251,7.31580000,103.73165589,5
CrescentMoon,252,7.98400000,98.59638751,5
CrescentMoon,253,1.97360000,98.88377015,0
CrescentMoon,254,10.84820000,99.85068637,10
CrescentMoon,255,12.81140000,104.52401188,6
CrescentMoon,256,13.75160000,96.66586625,9
CrescentMoon,257,7.53740000,103.39245620,0
CrescentMoon,258,2.54220000,97.80081799,0
CrescentMoon,259,6.00960000,97.14422268,0
CrescentMoon,260,9.22560000,103.81233067,0
CrescentMoon,261,1.94700000,102.52804494,0
CrescentMoon,262,6.21700000,101.01392357,4
CrescentMoon,263,8.02500000,107.15509929,4
CrescentMoon,264,19.37680000,107.35776255,18
CrescentMoon,265,5.91780000,107.18885136,4
CrescentMoon,266,10.39220000,102.78646040,4
CrescentMoon,267,6.22900000,108.24509227,0
CrescentMoon,268,5.63580000,106.21205205,0
CrescentMoon,269,11.41360000,101.26847703,8
CrescentMoon,270,6.58760000,108.90362712,0
CrescentMoon,271,20.02840000,107.97056455,13
CrescentMoon,272,23.76980000,104.20356506,5
CrescentMoon,273,6.76640000,109.89540482,0
CrescentMoon,274,6.62700000,111.28791489,0
CrescentMoon,275,12.44120000,105.36254908,5
CrescentMoon,276,4.60260000,105.34229920,0
CrescentMoon,277,6.50360000,106.63418529,11
CrescentMoon,278,6.43640000,109.28860874,0
CrescentMoon,279,5.65080000,105.68822072,0
CrescentMoon,280,9.37840000,116.44240141,10
CrescentMoon,281,22.62480000,107.37604927,13
CrescentMoon,282,8.91480000,109.38634168,4
CrescentMoon,283,19.94800000,111.50956184,10
CrescentMoon,284,7.46480000,109.18675867,4
CrescentMoon,285,8.98020000,111.00450441,0
CrescentMoon,286,26.00200000,111.49071776,15
CrescentMoon,287,18.58140000,113.49373019,8
CrescentMoon,288,3.80240000,109.38464243,0
