Map,Query Number,Time,Distance,Path Length
Elderlands,0,4.29880000,7.21110255,0
Elderlands,1,1.08520000,6.00000000,0
Elderlands,2,0.88080000,5.00000000,0
Elderlands,3,1.07500000,5.38516481,0
Elderlands,4,1.08320000,4.00000000,0
Elderlands,5,4.81660000,3.82842712,5
Elderlands,6,4.05120000,7.28010989,0
Elderlands,7,0.90360000,6.08276253,0
Elderlands,8,0.69440000,5.38516481,0
Elderlands,9,1.02920000,6.32455532,0
Elderlands,10,0.96500000,9.21954446,0
Elderlands,11,3.44620000,8.60232527,0
Elderlands,12,0.64000000,9.21954446,0
Elderlands,13,0.78660000,10.44030651,0
Elderlands,14,0.93380000,10.81665383,0
Elderlands,15,1.98020000,8.06225775,0
Elderlands,16,0.82380000,9.43398113,0
Elderlands,17,0.58000000,10.77032961,0
Elderlands,18,0.71920000,9.48683298,0
Elderlands,19,0.83560000,8.94427191,0
Elderlands,20,0.93260000,14.56021978,0
Elderlands,21,4.94060000,14.03566885,0
Elderlands,22,0.83060000,12.52996409,0
Elderlands,23,0.65480000,13.00000000,0
Elderlands,24,1.05840000,12.72792206,0
Elderlands,25,0.73180000,12.36931688,0
Elderlands,26,0.69660000,14.31782106,0
Elderlands,27,0.75540000,12.08304597,0
Elderlands,28,4.02660000,14.21267040,0
Elderlands,29,3.09400000,13.92838828,0
Elderlands,30,3.15480000,16.55294536,0
Elderlands,31,4.85640000,17.80449381,0
Elderlands,32,0.96560000,16.64331698,0
Elderlands,33,5.70700000,17.03121954,4
Elderlands,34,3.18180000,16.76305461,0
Elderlands,35,0.84520000,15.52417470,0
Elderlands,36,3.19440000,18.02775638,0
Elderlands,37,0.80700000,19.00000000,0
Elderlands,38,0.63720000,17.49285568,0
Elderlands,39,0.58280000,15.26433752,0
Elderlands,40,7.58660000,21.91552279,4
Elderlands,41,0.66960000,19.92485885,0
Elderlands,42,0.79460000,21.54065923,0
Elderlands,43,0.73340000,20.51828453,0
Elderlands,44,0.78120000,21.09502311,0
Elderlands,45,5.08420000,21.09502311,0
Elderlands,46,4.78300000,20.61552813,0
Elderlands,47,0.85200000,21.02379604,0
Elderlands,48,0.67280000,21.95449840,0
Elderlands,49,2.49820000,20.51828453,0
Elderlands,50,0.51780000,27.58622845,0
Elderlands,51,3.14980000,25.23885893,0
Elderlands,52,0.66200000,25.07987241,0
Elderlands,53,6.96760000,22.41758348,5
Elderlands,54,0.76600000,23.25940670,0
Elderlands,55,4.01120000,24.04163056,0
Elderlands,56,2.03200000,24.73863375,0
Elderlands,57,0.64240000,25.07987241,0
Elderlands,58,5.59760000,25.72221372,4
Elderlands,59,0.82520000,25.49509757,0
Elderlands,60,0.88000000,29.06888371,0
Elderlands,61,4.72180000,28.31960452,0
Elderlands,62,2.75240000,26.68332813,0
Elderlands,63,0.98460000,26.92582404,0
Elderlands,64,5.67140000,27.45997080,4
Elderlands,65,7.84720000,29.68164416,0
Elderlands,66,3.27780000,27.20294102,0
Elderlands,67,4.23420000,28.31960452,0
Elderlands,68,0.76840000,30.26549190,0
Elderlands,69,3.38740000,26.41968963,0
Elderlands,70,2.45640000,33.42154993,0
Elderlands,71,2.75180000,32.00000000,0
Elderlands,72,3.20000000,32.64965543,0
Elderlands,73,3.81660000,35.38361203,0
Elderlands,74,3.68940000,30.08321791,0
Elderlands,75,3.92080000,32.20248438,0
Elderlands,76,0.73320000,31.04834939,0
Elderlands,77,0.79220000,34.01470270,0
Elderlands,78,0.63100000,33.10589071,0
Elderlands,79,3.66060000,33.60059523,0
Elderlands,80,2.69800000,35.46829570,0
Elderlands,81,0.94980000,39.59797975,0
Elderlands,82,1.74620000,34.92849839,0
Elderlands,83,6.66880000,33.57704813,4
Elderlands,84,2.66460000,34.48187930,0
Elderlands,85,2.24780000,34.00000000,0
Elderlands,86,2.09560000,33.61547263,0
Elderlands,87,2.93860000,38.41874542,0
Elderlands,88,2.82420000,33.61547263,0
Elderlands,89,3.27320000,36.23534186,0
Elderlands,90,2.93940000,37.57658846,0
Elderlands,91,4.10180000,42.44997055,0
Elderlands,92,4.35120000,39.82461550,0
Elderlands,93,5.74600000,40.45985665,0
Elderlands,94,0.74740000,41.01219331,0
Elderlands,95,4.51520000,40.44749683,0
Elderlands,96,3.64920000,38.62641583,0
Elderlands,97,2.02980000,37.85498646,0
Elderlands,98,4.15100000,42.19004622,0
Elderlands,99,5.48680000,43.01162634,0
Elderlands,100,4.23320000,44.38468204,0
Elderlands,101,0.85160000,42.72001873,0
Elderlands,102,7.82480000,45.58228979,4
Elderlands,103,0.59480000,45.09988914,0
Elderlands,104,1.09220000,43.18564576,0
Elderlands,105,4.24560000,44.59820624,0
Elderlands,106,3.96380000,46.09772229,0
Elderlands,107,5.02120000,43.28972164,0
Elderlands,108,3.25800000,47.01063709,0
Elderlands,109,0.76580000,43.93176527,0
Elderlands,110,6.10020000,45.99304582,4
Elderlands,111,5.02760000,44.38468204,0
Elderlands,112,5.50380000,48.83646179,0
Elderlands,113,3.40160000,46.75467891,0
Elderlands,114,6.54600000,47.78234035,4
Elderlands,115,6.51780000,46.17358552,0
Elderlands,116,4.96340000,46.87216658,0
Elderlands,117,3.20080000,46.17358552,0
Elderlands,118,3.45060000,48.60041152,0
Elderlands,119,6.15700000,46.38965402,0
Elderlands,120,2.31520000,53.08483776,0
Elderlands,121,9.82020000,51.63917920,4
Elderlands,122,3.05980000,50.00000000,0
Elderlands,123,0.61680000,50.00000000,0
Elderlands,124,1.97760000,50.47771786,0
Elderlands,125,4.74600000,50.96076922,0
Elderlands,126,5.06460000,50.99019514,0
Elderlands,127,5.76040000,53.81449619,0
Elderlands,128,2.99180000,51.97114584,0
Elderlands,129,7.21100000,52.17314742,5
Elderlands,130,7.61600000,54.09518425,4
Elderlands,131,7.38520000,55.76225832,4
Elderlands,132,5.23280000,55.57877293,0
Elderlands,133,5.85060000,53.79226692,4
Elderlands,134,9.75320000,54.59219657,7
Elderlands,135,6.21320000,53.75872022,0
Elderlands,136,3.93980000,55.32630477,0
Elderlands,137,9.92940000,56.06659276,4
Elderlands,138,8.95220000,55.47071299,0
Elderlands,139,2.71940000,54.91812087,0
Elderlands,140,5.96780000,61.07889277,4
Elderlands,141,3.21180000,58.13776741,0
Elderlands,142,0.60980000,59.64059020,0
Elderlands,143,4.53700000,58.87274412,0
Elderlands,144,3.04220000,61.22091146,0
Elderlands,145,8.19700000,60.90274447,4
Elderlands,146,8.05660000,58.61652269,4
Elderlands,147,4.27360000,62.00806399,0
Elderlands,148,4.41560000,57.58472020,0
Elderlands,149,5.22900000,59.82095111,4
Elderlands,150,3.98060000,62.00806399,0
Elderlands,151,5.89980000,62.16912417,0
Elderlands,152,5.98300000,64.53681120,0
Elderlands,153,2.37280000,62.12889827,0
Elderlands,154,2.90140000,60.40695324,0
Elderlands,155,4.01820000,60.16643583,0
Elderlands,156,4.47000000,62.20128616,0
Elderlands,157,5.06440000,65.06919394,0
Elderlands,158,6.61080000,62.76941931,0
Elderlands,159,2.41200000,61.77378085,0
Elderlands,160,7.45720000,68.14645869,4
Elderlands,161,2.62340000,66.75327707,0
Elderlands,162,4.68220000,67.26812024,0
Elderlands,163,3.30500000,67.26812024,0
Elderlands,164,11.00400000,64.99281124,6
Elderlands,165,2.54840000,64.00781202,0
Elderlands,166,11.04200000,64.80892071,5
Elderlands,167,11.34720000,70.76722405,0
Elderlands,168,5.04340000,64.49806199,0
Elderlands,169,2.07040000,65.30696747,0
Elderlands,170,5.45080000,70.83078427,0
Elderlands,171,2.42860000,70.00000000,0
Elderlands,172,8.67660000,69.77893689,7
Elderlands,173,7.31820000,69.76491521,4
Elderlands,174,9.23320000,70.54999092,6
Elderlands,175,3.51800000,68.24954212,0
Elderlands,176,5.91500000,71.58910532,0
Elderlands,177,4.72780000,73.10950691,0
Elderlands,178,3.32780000,69.46221995,0
Elderlands,179,8.68500000,67.77747390,15
Elderlands,180,3.83420000,73.49829930,0
Elderlands,181,9.11100000,75.45104839,4
Elderlands,182,5.14780000,72.06941099,0
Elderlands,183,7.92040000,72.14589682,4
Elderlands,184,6.17960000,78.56844150,0
Elderlands,185,17.03720000,72.41236481,7
Elderlands,186,6.30740000,74.62573283,0
Elderlands,187,5.93700000,76.69419796,0
Elderlands,188,5.10120000,71.51223672,0
Elderlands,189,3.19940000,72.78049189,0
Elderlands,190,8.81880000,75.89466384,0
Elderlands,191,7.28180000,80.16537962,4
Elderlands,192,2.91320000,77.79460136,0
Elderlands,193,8.73860000,77.37252936,4
Elderlands,194,14.25520000,79.53597747,6
Elderlands,195,13.94380000,77.35698586,7
Elderlands,196,6.60740000,81.05553652,0
Elderlands,197,11.56160000,82.24247797,4
Elderlands,198,5.55500000,76.29547824,0
Elderlands,199,13.92960000,75.39702408,6
Elderlands,200,6.21480000,83.09632964,0
Elderlands,201,5.42800000,80.60397013,0
Elderlands,202,5.24060000,84.00595217,0
Elderlands,203,4.48400000,84.00595217,0
Elderlands,204,14.82040000,81.92541208,5
Elderlands,205,8.75200000,79.59641135,4
Elderlands,206,3.96400000,85.14693183,0
Elderlands,207,6.73180000,82.56802774,4
Elderlands,208,6.70120000,84.71183777,4
Elderlands,209,4.81580000,78.48153000,4
Elderlands,210,10.20420000,86.04914153,4
Elderlands,211,9.69820000,89.23134594,4
Elderlands,212,6.44800000,88.09086218,0
Elderlands,213,6.43100000,86.82613572,7
Elderlands,214,9.06740000,82.59386406,4
Elderlands,215,9.74980000,83.12560977,5
Elderlands,216,7.59540000,85.63095712,4
Elderlands,217,3.70960000,81.54140053,0
Elderlands,218,4.54360000,86.40023148,0
Elderlands,219,13.10780000,85.94746729,5
Elderlands,220,6.67420000,88.50988645,0
Elderlands,221,2.89240000,89.00561780,0
Elderlands,222,5.45760000,89.10594788,4
Elderlands,223,15.17000000,88.54707195,5
Elderlands,224,7.09820000,88.19297024,0
Elderlands,225,10.02960000,87.10657229,5
Elderlands,226,3.60800000,86.35392290,0
Elderlands,227,5.26380000,88.68483523,0
Elderlands,228,8.15220000,92.08691547,0
Elderlands,229,5.83540000,87.98295289,0
Elderlands,230,2.85560000,92.91393867,0
Elderlands,231,13.12000000,94.07768944,6
Elderlands,232,10.21620000,91.54780172,0
Elderlands,233,5.59480000,89.55445271,0
Elderlands,234,7.34360000,94.36940686,4
Elderlands,235,7.20900000,98.35141077,0
Elderlands,236,4.19060000,93.49331527,0
Elderlands,237,10.90180000,96.93812460,0
Elderlands,238,14.43800000,91.56616521,4
Elderlands,239,6.97940000,97.67292358,0
Elderlands,240,3.62140000,94.66784037,0
Elderlands,241,10.07620000,96.74709298,0
Elderlands,242,6.33760000,94.64142856,0
Elderlands,243,5.95780000,97.63708312,0
Elderlands,244,6.96360000,93.62157871,0
Elderlands,245,10.13180000,95.83380331,5
Elderlands,246,9.84160000,97.88281525,5
Elderlands,247,5.48220000,92.49659385,5
Elderlands,248,13.22740000,93.67642462,4
Elderlands,249,5.73900000,97.29337079,0
Elderlands,250,12.39780000,100.40418318,0
Elderlands,251,11.62740000,101.21264743,0
Elderlands,252,3.14560000,100.84145973,0
Elderlands,253,6.43200000,98.08159868,0
Elderlands,254,9.50440000,97.69339793,0
Elderlands,255,6.70080000,99.62429423,0
Elderlands,256,5.58180000,100.22474744,0
Elderlands,257,9.24580000,96.74845657,4
Elderlands,258,8.30340000,97.75479528,0
Elderlands,259,6.34200000,98.71676656,0
Elderlands,260,3.17680000,103.58571330,0
Elderlands,261,10.10920000,99.95999200,0
Elderlands,262,4.63980000,103.24727599,0
Elderlands,263,24.21560000,105.56778003,7
Elderlands,264,39.91680000,104.70539465,7
Elderlands,265,9.43800000,103.46980236,0
Elderlands,266,6.46140000,104.08650249,0
Elderlands,267,13.87040000,101.80295293,10
Elderlands,268,7.97660000,104.77626577,4
Elderlands,269,7.08920000,105.31324450,4
Elderlands,270,5.84880000,106.00471688,0
Elderlands,271,7.14700000,110.00000000,0
Elderlands,272,6.90880000,106.92988357,0
Elderlands,273,8.12660000,111.47379309,4
Elderlands,274,5.06780000,106.10372284,0
Elderlands,275,7.31520000,105.34537391,4
Elderlands,276,5.83920000,108.71034263,4
Elderlands,277,26.90920000,103.70915230,15
Elderlands,278,4.77120000,105.34229920,0
Elderlands,279,6.15780000,110.75053562,7
Elderlands,280,12.31740000,114.67597434,4
Elderlands,281,24.58260000,115.21158029,5
Elderlands,282,17.33080000,114.46250800,8
Elderlands,283,10.85560000,116.93160394,0
Elderlands,284,13.92380000,108.75489294,18
Elderlands,285,17.15620000,111.66509001,14
Elderlands,286,12.35200000,110.10925182,4
Elderlands,287,8.74280000,108.26255804,5
Elderlands,288,7.13540000,111.46299834,0
Elderlands,289,5.08140000,117.03845522,0
Elderlands,290,32.93080000,115.78810853,6
Elderlands,291,12.94520000,116.13995612,16
Elderlands,292,15.91500000,113.55925198,4
Elderlands,293,5.69180000,117.09824935,0
Elderlands,294,6.90180000,114.19891799,4
Elderlands,295,6.57420000,113.15917992,0
Elderlands,296,14.03920000,114.67418199,5
Elderlands,297,10.62580000,116.49892703,0
Elderlands,298,17.52220000,114.60657777,6
Elderlands,299,10.37980000,117.88838159,4
Elderlands,300,32.19840000,114.64374979,12
Elderlands,301,10.22920000,118.60249782,4
Elderlands,302,6.39120000,123.10158407,0
Elderlands,303,7.27240000,118.12705025,0
Elderlands,304,9.15240000,119.43034350,6
Elderlands,305,8.19920000,123.17951289,4
Elderlands,306,9.89860000,116.54429084,4
Elderlands,307,11.14380000,124.45922135,4
Elderlands,308,5.00120000,119.94165248,0
Elderlands,309,19.07400000,117.49411154,8
Elderlands,310,8.79680000,121.83629398,4
Elderlands,311,12.61760000,122.67708218,5
Elderlands,312,9.89760000,125.33390809,7
Elderlands,313,10.45980000,121.40255600,5
Elderlands,314,9.57800000,124.40257232,0
Elderlands,315,33.15020000,121.96588398,5
Elderlands,316,9.22220000,124.63306055,4
Elderlands,317,15.31380000,121.39684816,6
Elderlands,318,12.47300000,125.42888972,15
Elderlands,319,17.01020000,128.45848513,4
Elderlands,320,18.36660000,128.47286741,14
Elderlands,321,32.38860000,126.29068857,6
Elderlands,322,14.75600000,125.00714249,4
Elderlands,323,12.72540000,128.53450310,5
Elderlands,324,15.20180000,123.33919797,8
Elderlands,325,18.71560000,126.38898150,4
Elderlands,326,7.51920000,132.09686286,5
Elderlands,327,3.31680000,125.13193038,0
Elderlands,328,4.95960000,132.03408651,0
Elderlands,329,31.11840000,126.85445103,16
Elderlands,330,5.37400000,132.90974381,0
Elderlands,331,20.80640000,132.63558496,5
Elderlands,332,12.34700000,133.86933928,0
Elderlands,333,7.37940000,130.00000000,0
Elderlands,334,9.28720000,130.00333489,6
Elderlands,335,7.13300000,133.36041392,0
Elderlands,336,9.89480000,129.90525904,4
Elderlands,337,5.54800000,136.69308688,0
Elderlands,338,4.52140000,129.55307793,0
Elderlands,339,10.72540000,128.12776956,4
Elderlands,340,25.55740000,141.14478174,5
Elderlands,341,14.86800000,138.95673818,7
Elderlands,342,5.89040000,132.00378782,0
Elderlands,343,11.84240000,137.58889162,4
Elderlands,344,15.55620000,135.16377631,4
Elderlands,345,11.45760000,135.01636262,4
Elderlands,346,8.24320000,130.76855992,4
Elderlands,347,17.72720000,134.37338779,7
Elderlands,348,7.22680000,135.07405376,0
Elderlands,349,26.36780000,132.27236978,16
Elderlands,350,12.97800000,140.01194685,6
Elderlands,351,7.97980000,134.85177047,0
Elderlands,352,15.62700000,139.14305511,7
Elderlands,353,19.19420000,140.37912855,6
Elderlands,354,10.97280000,137.16724408,4
Elderlands,355,10.29820000,134.71822445,0
Elderlands,356,8.63580000,134.40610105,0
Elderlands,357,9.34120000,134.23600119,5
Elderlands,358,27.24920000,135.72335279,6
Elderlands,359,9.30800000,136.31214179,0
Elderlands,360,11.86000000,143.73645994,4
Elderlands,361,8.31840000,149.00335567,0
Elderlands,362,39.86860000,137.32723068,10
Elderlands,363,6.90280000,140.29932344,4
Elderlands,364,8.65460000,148.27608122,4
Elderlands,365,11.60580000,148.20951886,4
Elderlands,366,11.40160000,138.19189557,0
Elderlands,367,8.77540000,141.66156854,0
Elderlands,368,7.11300000,145.22052197,0
Elderlands,369,7.35580000,141.01418368,0
Elderlands,370,7.89900000,152.74161188,0
Elderlands,371,8.75240000,147.59802259,4
Elderlands,372,8.37260000,142.70599146,0
Elderlands,373,13.39540000,141.51621891,6
Elderlands,374,14.75440000,145.14598915,6
Elderlands,375,6.65740000,142.12670404,0
Elderlands,376,10.20900000,145.89823236,4
Elderlands,377,7.52740000,145.91093174,0
Elderlands,378,6.81520000,153.08967046,4
Elderlands,379,8.62700000,147.75655654,0
Elderlands,380,23.51540000,146.88825047,4
Elderlands,381,12.26940000,156.28499608,0
Elderlands,382,11.31180000,145.79483392,6
Elderlands,383,12.38760000,156.57663879,4
Elderlands,384,8.72500000,151.20846537,0
Elderlands,385,29.41800000,150.11321547,5
Elderlands,386,11.72640000,146.23088063,4
Elderlands,387,18.82840000,148.61612359,9
Elderlands,388,9.50240000,146.89111614,0
Elderlands,389,15.26560000,147.95472642,5
Elderlands,390,28.92540000,151.57590479,7
Elderlands,391,11.85660000,150.44268011,0
Elderlands,392,21.63580000,155.05881281,15
Elderlands,393,14.10460000,158.61904047,0
