Map,Query Number,Time,Distance,Path Length
Expedition,0,1.63080000,5.38516481,0
Expedition,1,1.53260000,7.28010989,0
Expedition,2,1.04080000,5.00000000,0
Expedition,3,5.23460000,5.38516481,0
Expedition,4,3.03980000,5.38516481,0
Expedition,5,4.20020000,6.00000000,0
Expedition,6,1.38060000,5.83095189,0
Expedition,7,0.80400000,6.40312424,0
Expedition,8,1.51540000,7.07106781,0
Expedition,9,1.31460000,6.08276253,0
Expedition,10,1.75960000,8.48528137,0
Expedition,11,3.85400000,11.00000000,0
Expedition,12,1.33180000,8.06225775,0
Expedition,13,6.82660000,10.92997141,4
Expedition,14,4.56520000,9.89949494,0
Expedition,15,0.98940000,11.40175425,0
Expedition,16,0.85580000,9.00000000,0
Expedition,17,1.38960000,9.84885780,0
Expedition,18,0.97580000,10.44030651,0
Expedition,19,5.02520000,10.04987562,0
Expedition,20,1.56280000,11.66190379,0
Expedition,21,3.17100000,13.03840481,0
Expedition,22,2.64500000,12.16552506,0
Expedition,23,4.94100000,11.66190379,0
Expedition,24,0.78720000,13.60147051,0
Expedition,25,2.41920000,13.89244399,0
Expedition,26,1.30140000,13.89244399,0
Expedition,27,6.25780000,12.04159458,0
Expedition,28,1.08000000,13.45362405,0
Expedition,29,0.71340000,12.08304597,0
Expedition,30,5.09760000,16.64331698,0
Expedition,31,1.36180000,17.46424920,0
Expedition,32,0.73080000,17.20465053,0
Expedition,33,0.94040000,16.64331698,0
Expedition,34,1.15260000,17.46424920,0
Expedition,35,15.94860000,15.81138830,0
Expedition,36,4.24440000,18.24828759,0
Expedition,37,1.08840000,17.02938637,0
Expedition,38,3.15780000,16.55294536,0
Expedition,39,6.84720000,16.79021500,4
Expedition,40,1.14780000,22.62741700,0
Expedition,41,1.28480000,19.23538406,0
Expedition,42,0.83860000,20.39607805,0
Expedition,43,1.20600000,19.92485885,0
Expedition,44,3.09940000,19.41648784,0
Expedition,45,1.51940000,20.24845673,0
Expedition,46,1.58640000,20.59126028,0
Expedition,47,5.37960000,19.69771560,0
Expedition,48,2.03540000,20.51828453,0
Expedition,49,0.79620000,20.80865205,0
Expedition,50,9.17820000,23.95449840,4
Expedition,51,12.03540000,25.56392350,4
Expedition,52,4.86300000,24.35229041,4
Expedition,53,0.94880000,24.18677324,0
Expedition,54,5.30860000,26.40075756,0
Expedition,55,3.34020000,23.32380758,0
Expedition,56,1.24440000,24.51530134,0
Expedition,57,0.54260000,24.02082430,0
Expedition,58,6.04120000,24.04163056,0
Expedition,59,6.01180000,25.01999201,0
Expedition,60,3.31100000,29.83286778,0
Expedition,61,4.78620000,28.44292531,0
Expedition,62,1.11780000,26.41968963,0
Expedition,63,4.33760000,26.57066051,0
Expedition,64,5.24860000,29.06888371,0
Expedition,65,0.84260000,30.06659276,0
Expedition,66,4.85200000,30.61045573,0
Expedition,67,7.38360000,26.92582404,0
Expedition,68,10.39220000,26.83281573,0
Expedition,69,3.95540000,27.85677655,0
Expedition,70,2.80720000,32.31098884,0
Expedition,71,0.92900000,35.05709629,0
Expedition,72,4.71660000,30.23243292,0
Expedition,73,3.84740000,30.41381265,0
Expedition,74,4.02660000,30.53137531,4
Expedition,75,5.00740000,34.71310992,0
Expedition,76,1.27180000,33.30165161,0
Expedition,77,0.78780000,29.73213749,0
Expedition,78,5.44920000,31.01612484,0
Expedition,79,4.80460000,32.52691193,0
Expedition,80,1.03240000,38.11823711,0
Expedition,81,2.63280000,34.92849839,0
Expedition,82,3.99880000,38.11823711,0
Expedition,83,0.78800000,37.21558813,0
Expedition,84,7.95700000,34.54703587,4
Expedition,85,0.97780000,36.00000000,0
Expedition,86,4.99640000,33.95585369,0
Expedition,87,2.46800000,37.21558813,0
Expedition,88,5.56820000,35.22782991,0
Expedition,89,4.43300000,36.12478374,0
Expedition,90,5.89300000,38.07886553,0
Expedition,91,4.42280000,41.00000000,0
Expedition,92,0.99780000,39.20459157,0
Expedition,93,6.38180000,39.35733731,0
Expedition,94,8.24200000,40.60788101,0
Expedition,95,4.68420000,40.49691346,0
Expedition,96,2.60260000,39.69886648,0
Expedition,97,7.99380000,40.46013539,4
Expedition,98,8.97460000,37.60002951,4
Expedition,99,1.02960000,38.47076812,0
Expedition,100,10.29900000,42.45206004,4
Expedition,101,6.04380000,40.71854614,0
Expedition,102,3.41100000,45.27692569,0
Expedition,103,3.00440000,46.17358552,0
Expedition,104,8.83220000,46.70519712,6
Expedition,105,1.31000000,45.27692569,0
Expedition,106,4.93660000,41.48493703,0
Expedition,107,8.09660000,43.86342440,0
Expedition,108,0.82120000,43.93176527,0
Expedition,109,3.38740000,45.22167622,0
Expedition,110,4.36000000,50.03998401,0
Expedition,111,7.88740000,44.92215489,0
Expedition,112,5.78760000,49.67896939,0
Expedition,113,5.19200000,48.83646179,0
Expedition,114,21.51480000,47.26858857,6
Expedition,115,3.76680000,44.72135955,0
Expedition,116,9.14140000,46.32493929,0
Expedition,117,11.50140000,48.79858896,4
Expedition,118,5.22440000,46.81879964,0
Expedition,119,3.34320000,47.80167361,0
Expedition,120,7.62660000,51.50883576,4
Expedition,121,4.05380000,53.23532662,0
Expedition,122,0.75040000,50.28916384,0
Expedition,123,3.79340000,52.40229003,0
Expedition,124,15.76100000,49.50565816,4
Expedition,125,0.91540000,51.41984053,0
Expedition,126,3.59280000,50.24937811,0
Expedition,127,0.61280000,52.00000000,0
Expedition,128,2.93540000,51.62363800,0
Expedition,129,7.65180000,50.60632372,0
