Map,Query Number,Time,Distance,Path Length
FireWalker,0,1.16140000,7.28010989,0
FireWalker,1,1.04460000,5.09901951,0
FireWalker,2,0.69220000,4.00000000,0
FireWalker,3,3.78040000,6.08276253,0
FireWalker,4,3.85340000,5.00000000,0
FireWalker,5,0.68620000,4.00000000,0
FireWalker,6,0.70060000,5.09901951,0
FireWalker,7,0.58520000,4.12310563,0
FireWalker,8,0.71540000,5.83095189,0
FireWalker,9,0.86080000,5.38516481,0
FireWalker,10,4.03460000,10.00000000,0
FireWalker,11,0.95100000,10.81665383,0
FireWalker,12,2.63040000,8.06225775,0
FireWalker,13,0.87020000,8.06225775,0
FireWalker,14,0.60980000,11.18033989,0
FireWalker,15,3.38660000,9.84885780,0
FireWalker,16,0.69140000,11.04536102,0
FireWalker,17,0.68940000,8.06225775,0
FireWalker,18,2.49160000,11.31370850,0
FireWalker,19,4.17400000,11.04536102,0
FireWalker,20,1.73540000,12.80624847,0
FireWalker,21,0.78200000,14.14213562,0
FireWalker,22,0.85920000,14.31782106,0
FireWalker,23,3.44880000,12.04159458,0
FireWalker,24,0.68800000,12.80624847,0
FireWalker,25,0.63340000,13.60147051,0
FireWalker,26,2.90720000,11.66190379,0
FireWalker,27,5.15660000,12.00000000,0
FireWalker,28,2.90900000,14.31782106,0
FireWalker,29,4.47180000,12.80624847,0
FireWalker,30,0.85980000,17.02938637,0
FireWalker,31,2.67400000,17.08800749,0
FireWalker,32,1.04760000,18.24828759,0
FireWalker,33,0.71020000,17.72004515,0
FireWalker,34,0.49140000,19.00000000,0
FireWalker,35,0.96340000,18.11077028,0
FireWalker,36,0.75880000,14.86606875,0
FireWalker,37,0.70760000,18.02775638,0
FireWalker,38,0.70900000,17.69180601,0
FireWalker,39,0.94940000,17.11724277,0
FireWalker,40,0.60320000,22.02271555,0
FireWalker,41,0.65360000,20.12461180,0
FireWalker,42,2.26880000,21.02379604,0
FireWalker,43,3.37760000,19.41648784,0
FireWalker,44,2.91380000,20.61552813,0
FireWalker,45,3.43580000,21.47091055,0
FireWalker,46,2.79080000,21.84032967,0
FireWalker,47,3.12880000,20.12461180,0
FireWalker,48,2.85800000,18.97366596,0
FireWalker,49,3.65600000,21.93171220,0
FireWalker,50,5.20980000,25.70992026,0
FireWalker,51,2.35280000,24.08318916,0
FireWalker,52,2.69080000,23.34523506,0
FireWalker,53,0.72620000,27.01851217,0
FireWalker,54,7.08060000,26.52763973,4
FireWalker,55,0.69920000,24.18677324,0
FireWalker,56,3.64060000,25.49509757,0
FireWalker,57,2.46860000,22.80350850,0
FireWalker,58,2.99960000,22.47220505,0
FireWalker,59,3.08160000,24.35159132,0
FireWalker,60,0.80020000,29.00000000,0
FireWalker,61,0.49300000,28.30194340,0
FireWalker,62,5.93900000,27.41853856,7
FireWalker,63,7.06180000,29.54657341,0
FireWalker,64,0.83400000,27.85677655,0
FireWalker,65,0.60080000,26.00000000,0
FireWalker,66,4.47560000,29.00000000,0
FireWalker,67,4.32560000,27.01851217,0
FireWalker,68,2.67520000,26.83281573,0
FireWalker,69,0.89080000,30.06659276,0
FireWalker,70,2.50860000,30.67572330,0
FireWalker,71,3.01780000,32.44996148,0
FireWalker,72,0.78540000,31.40063694,0
FireWalker,73,7.65140000,31.07545642,4
FireWalker,74,0.65600000,31.25699922,0
FireWalker,75,0.78100000,34.05877273,0
FireWalker,76,4.29480000,32.55764119,0
FireWalker,77,3.67740000,32.20248438,0
FireWalker,78,3.97580000,32.64965543,0
FireWalker,79,0.59320000,30.46309242,0
FireWalker,80,0.54820000,36.67424164,0
FireWalker,81,3.03640000,36.68787266,0
FireWalker,82,4.15960000,38.00000000,0
FireWalker,83,2.42400000,34.48187930,0
FireWalker,84,3.94000000,36.05551275,0
FireWalker,85,2.89580000,36.68787266,0
FireWalker,86,2.45760000,34.88552709,0
FireWalker,87,0.64580000,35.46829570,0
FireWalker,88,2.58060000,36.49657518,0
FireWalker,89,0.70860000,36.40054945,0
FireWalker,90,3.15560000,40.31128874,0
FireWalker,91,3.54040000,41.10960958,0
FireWalker,92,4.63300000,39.45883931,0
FireWalker,93,7.71880000,38.95153073,8
FireWalker,94,4.77440000,38.83338118,4
FireWalker,95,3.13100000,41.72529209,0
FireWalker,96,0.54820000,38.47076812,0
FireWalker,97,0.47480000,40.16217126,0
FireWalker,98,2.89500000,38.83297568,0
FireWalker,99,0.55620000,40.11234224,0
FireWalker,100,7.12040000,42.91257619,6
FireWalker,101,5.56140000,41.23105626,0
FireWalker,102,9.86180000,42.51026196,12
FireWalker,103,3.94140000,42.95346319,0
FireWalker,104,0.62640000,43.56604182,0
FireWalker,105,3.05540000,43.41658669,0
FireWalker,106,0.72660000,44.10215414,0
FireWalker,107,0.55220000,45.00000000,0
FireWalker,108,7.02620000,40.41421356,4
FireWalker,109,4.37440000,42.15447782,0
FireWalker,110,0.60680000,50.00999900,0
FireWalker,111,6.12920000,46.61544808,0
FireWalker,112,3.89320000,46.22769733,0
FireWalker,113,4.12740000,48.82622246,0
FireWalker,114,4.79860000,48.16637832,0
FireWalker,115,5.53460000,49.51767361,0
FireWalker,116,4.52380000,50.24937811,0
FireWalker,117,3.07440000,48.83646179,0
FireWalker,118,1.94060000,48.79549160,0
FireWalker,119,2.80300000,47.53945730,0
FireWalker,120,3.16380000,51.07837116,0
FireWalker,121,6.38520000,50.77400910,0
FireWalker,122,2.58060000,51.73973328,0
FireWalker,123,8.52420000,48.53902213,5
FireWalker,124,0.64160000,50.99019514,0
FireWalker,125,2.89640000,48.33218389,0
FireWalker,126,2.41500000,48.84669897,0
FireWalker,127,0.65560000,52.46903849,0
FireWalker,128,0.72020000,48.33218389,0
FireWalker,129,0.52420000,51.03920062,0
FireWalker,130,0.55660000,56.22277119,0
FireWalker,131,4.90440000,55.86591089,0
FireWalker,132,0.63820000,58.03447251,0
FireWalker,133,0.51900000,52.39274759,0
FireWalker,134,4.12500000,54.40588203,0
FireWalker,135,5.21940000,55.44366510,0
FireWalker,136,2.77160000,53.36665626,0
FireWalker,137,2.95520000,54.45181356,0
FireWalker,138,5.60320000,53.00190742,4
FireWalker,139,2.74880000,53.93514624,0
FireWalker,140,3.98280000,59.68249325,0
FireWalker,141,3.08420000,61.20457499,0
FireWalker,142,7.74560000,61.62116377,4
FireWalker,143,4.62560000,59.68249325,0
FireWalker,144,3.70780000,60.67124525,0
FireWalker,145,0.66780000,58.05170109,0
FireWalker,146,10.66560000,58.86876064,5
FireWalker,147,9.35620000,57.20997505,5
FireWalker,148,8.65640000,61.55485359,0
FireWalker,149,5.92200000,58.00862005,0
FireWalker,150,7.15620000,61.05735009,0
FireWalker,151,10.76680000,61.90254334,6
FireWalker,152,6.11700000,63.06346010,0
FireWalker,153,4.15660000,61.00000000,0
FireWalker,154,21.15040000,61.57244118,5
FireWalker,155,6.31220000,60.71355200,5
FireWalker,156,0.71620000,63.65532185,0
FireWalker,157,2.86060000,61.39218191,0
FireWalker,158,7.23800000,65.11528238,0
FireWalker,159,5.44780000,65.19202405,0
FireWalker,160,16.74440000,63.07893056,16
FireWalker,161,0.78660000,67.74215822,0
FireWalker,162,3.95260000,69.31089380,0
FireWalker,163,3.14140000,64.28841264,0
FireWalker,164,4.15940000,63.24555320,0
FireWalker,165,3.98380000,65.00000000,0
FireWalker,166,4.18120000,67.60177512,0
FireWalker,167,3.04560000,64.35060217,0
FireWalker,168,6.60720000,63.24555320,0
FireWalker,169,10.52140000,67.63573136,10
FireWalker,170,5.61620000,71.70076708,0
FireWalker,171,6.35240000,71.61005516,0
FireWalker,172,3.24160000,69.35416354,0
FireWalker,173,3.35260000,70.32780389,0
FireWalker,174,9.28180000,68.14611017,4
FireWalker,175,19.57140000,68.57274842,16
FireWalker,176,9.96020000,69.65527620,8
FireWalker,177,15.93320000,66.55776268,11
FireWalker,178,3.79480000,71.70076708,0
FireWalker,179,0.61800000,70.80254233,0
FireWalker,180,4.23920000,76.10519036,0
FireWalker,181,6.41540000,73.06161783,0
FireWalker,182,5.75580000,77.78174593,0
FireWalker,183,14.66000000,70.64092542,5
FireWalker,184,3.14600000,76.38062582,0
FireWalker,185,18.72580000,72.10194450,11
FireWalker,186,2.84520000,72.01388755,0
FireWalker,187,3.02300000,75.92759709,0
FireWalker,188,2.90520000,77.00649323,0
FireWalker,189,6.96680000,75.60514101,4
FireWalker,190,2.75320000,80.61017306,0
FireWalker,191,1.17420000,80.22468448,0
FireWalker,192,2.83560000,75.96051606,0
FireWalker,193,12.56740000,74.68676018,6
FireWalker,194,15.88180000,79.44491979,5
FireWalker,195,9.10540000,79.46463346,4
FireWalker,196,8.71700000,78.47479381,4
FireWalker,197,8.39000000,77.50931758,4
FireWalker,198,7.77220000,77.52418977,0
FireWalker,199,2.97480000,77.41446893,0
FireWalker,200,4.88660000,84.14867795,0
FireWalker,201,3.60600000,81.60882305,0
FireWalker,202,3.56500000,78.85429601,0
FireWalker,203,14.87640000,80.43310228,9
FireWalker,204,7.38540000,79.20227269,0
FireWalker,205,6.14980000,80.26207074,0
FireWalker,206,0.72300000,81.49846624,0
FireWalker,207,3.48820000,86.00581376,0
FireWalker,208,4.24680000,81.39410298,0
