Map,Query Number,Time,Distance,Path Length
GhostTown,0,1.64980000,5.38516481,0
GhostTown,1,1.28320000,6.32455532,0
GhostTown,2,0.87900000,5.00000000,0
GhostTown,3,1.17120000,4.12310563,0
GhostTown,4,7.85520000,5.38516481,0
GhostTown,5,1.32380000,6.70820393,0
GhostTown,6,1.45300000,7.21110255,0
GhostTown,7,1.03160000,5.38516481,0
GhostTown,8,1.30380000,5.00000000,0
GhostTown,9,1.23300000,6.32455532,0
GhostTown,10,1.44220000,8.24621125,0
GhostTown,11,1.03860000,11.04536102,0
GhostTown,12,1.04120000,8.48528137,0
GhostTown,13,0.91800000,10.04987562,0
GhostTown,14,4.53160000,8.00000000,0
GhostTown,15,0.85520000,8.06225775,0
GhostTown,16,3.59900000,11.04536102,0
GhostTown,17,2.54980000,9.89949494,0
GhostTown,18,1.16980000,8.54400375,0
GhostTown,19,1.10160000,8.54400375,0
GhostTown,20,0.96980000,14.31782106,0
GhostTown,21,0.75620000,12.52996409,0
GhostTown,22,0.77080000,14.00000000,0
GhostTown,23,0.91640000,11.40175425,0
GhostTown,24,0.61320000,12.16552506,0
GhostTown,25,0.77620000,12.80624847,0
GhostTown,26,1.12040000,14.03566885,0
GhostTown,27,4.29580000,14.86606875,0
GhostTown,28,2.20580000,12.04159458,0
GhostTown,29,7.19780000,11.66190379,0
GhostTown,30,5.12060000,18.02775638,0
GhostTown,31,1.72780000,16.49242250,0
GhostTown,32,5.88100000,16.12451550,0
GhostTown,33,3.89680000,16.27882060,0
GhostTown,34,2.92520000,18.24828759,0
GhostTown,35,1.23280000,15.62049935,0
GhostTown,36,4.72300000,17.20465053,0
GhostTown,37,1.30900000,16.40121947,0
GhostTown,38,1.04780000,15.26433752,0
GhostTown,39,12.96960000,15.84819469,4
GhostTown,40,2.08380000,20.00000000,0
GhostTown,41,4.85340000,21.93378358,4
GhostTown,42,4.88020000,20.00000000,0
GhostTown,43,6.36980000,21.02629759,4
GhostTown,44,4.31900000,18.86796226,0
GhostTown,45,0.90760000,18.78829423,0
GhostTown,46,4.05160000,19.23538406,0
GhostTown,47,3.78600000,21.63128759,4
GhostTown,48,6.68640000,22.67156810,0
GhostTown,49,0.86420000,21.26029163,0
GhostTown,50,3.22600000,27.58622845,0
GhostTown,51,0.74940000,25.17935662,0
GhostTown,52,3.27760000,26.00000000,0
GhostTown,53,3.30380000,23.60084744,0
GhostTown,54,5.28880000,25.55386468,0
GhostTown,55,0.68780000,26.07680962,0
GhostTown,56,3.10280000,24.69817807,0
GhostTown,57,1.04400000,24.18677324,0
GhostTown,58,6.57560000,23.76972865,0
GhostTown,59,0.76560000,25.00000000,0
GhostTown,60,1.04180000,28.46049894,0
GhostTown,61,3.12400000,29.83286778,0
GhostTown,62,7.40260000,29.26475785,5
GhostTown,63,0.78280000,30.00000000,0
GhostTown,64,3.04440000,29.00000000,0
GhostTown,65,10.02880000,25.48766641,8
GhostTown,66,4.35920000,27.20294102,0
GhostTown,67,0.75960000,27.45906044,0
GhostTown,68,0.76600000,26.92582404,0
GhostTown,69,7.98020000,29.30589288,4
GhostTown,70,4.43900000,31.40063694,0
GhostTown,71,11.82160000,30.46438593,4
GhostTown,72,9.10320000,32.55764119,0
GhostTown,73,3.45920000,30.67572330,0
GhostTown,74,0.74940000,34.65544690,0
GhostTown,75,5.72440000,33.54101966,0
GhostTown,76,6.25220000,31.30495168,0
GhostTown,77,2.65100000,32.75667871,0
GhostTown,78,5.39480000,33.51756607,4
GhostTown,79,5.29320000,30.87069808,0
GhostTown,80,12.61040000,35.62083744,4
GhostTown,81,0.93820000,35.22782991,0
GhostTown,82,4.86900000,36.40054945,0
GhostTown,83,3.43280000,38.20994635,0
GhostTown,84,1.00220000,37.53664876,0
GhostTown,85,2.71140000,37.48332963,0
GhostTown,86,0.71020000,36.05551275,0
GhostTown,87,8.00280000,37.20432732,8
GhostTown,88,4.62920000,37.05401463,0
GhostTown,89,1.57040000,37.33630941,0
GhostTown,90,9.32100000,39.29389604,4
GhostTown,91,3.71040000,40.26164428,0
GhostTown,92,4.88840000,39.07988883,4
GhostTown,93,9.49680000,40.27994316,6
GhostTown,94,5.46120000,40.80441153,0
GhostTown,95,0.75200000,41.10960958,0
GhostTown,96,6.54440000,40.49691346,0
GhostTown,97,1.87480000,38.89730068,0
GhostTown,98,0.56460000,38.63935817,0
GhostTown,99,1.06840000,38.89730068,0
GhostTown,100,0.84160000,41.62931659,0
GhostTown,101,8.29260000,41.76122604,0
GhostTown,102,3.57520000,44.68780594,0
GhostTown,103,4.84300000,43.32435804,0
GhostTown,104,3.53220000,41.23105626,0
GhostTown,105,0.88980000,41.97618372,0
GhostTown,106,9.31760000,43.33264676,4
GhostTown,107,4.16860000,44.20407221,0
GhostTown,108,2.98920000,41.34005322,0
GhostTown,109,1.97880000,41.14608122,0
GhostTown,110,6.42520000,48.16637832,0
GhostTown,111,3.94940000,46.38965402,0
GhostTown,112,6.26600000,46.95742753,0
GhostTown,113,15.40000000,46.69228820,4
GhostTown,114,5.82120000,47.50789408,0
GhostTown,115,6.47260000,48.23171561,4
GhostTown,116,16.12200000,48.02792960,6
GhostTown,117,5.45680000,48.83646179,0
GhostTown,118,13.89200000,48.38533261,5
GhostTown,119,7.35340000,44.77722635,0
GhostTown,120,13.27040000,50.31273672,4
GhostTown,121,3.33420000,49.64876635,0
GhostTown,122,7.71360000,51.10772936,0
GhostTown,123,6.58600000,49.97999600,0
GhostTown,124,0.71580000,50.60632372,0
GhostTown,125,2.74680000,51.97114584,0
GhostTown,126,12.62020000,50.19803903,5
GhostTown,127,0.87840000,54.03702434,0
GhostTown,128,4.30280000,50.60632372,0
GhostTown,129,13.90160000,50.14011687,5
GhostTown,130,4.84820000,55.36244214,0
GhostTown,131,5.24500000,56.03570290,0
GhostTown,132,3.91660000,55.90169944,0
GhostTown,133,11.06980000,53.63034840,4
GhostTown,134,7.51440000,54.86165933,4
GhostTown,135,7.05680000,56.71860365,0
GhostTown,136,4.63760000,54.20332093,0
GhostTown,137,15.56500000,53.23532662,0
GhostTown,138,16.93240000,56.51070398,4
GhostTown,139,4.33320000,55.46169850,0
GhostTown,140,14.58980000,61.66430880,4
GhostTown,141,4.27800000,57.87054518,0
GhostTown,142,9.42000000,58.92595857,4
GhostTown,143,8.43060000,60.81118318,0
GhostTown,144,5.25340000,61.22091146,0
GhostTown,145,12.85780000,55.34882023,5
GhostTown,146,13.18420000,58.31098884,4
GhostTown,147,5.16900000,62.96824597,0
GhostTown,148,5.06720000,58.38368673,4
GhostTown,149,10.15840000,58.59602164,4
GhostTown,150,13.76820000,64.65834113,12
GhostTown,151,6.32120000,63.19810124,0
GhostTown,152,11.91160000,63.18247090,4
GhostTown,153,7.17800000,60.71834581,6
GhostTown,154,4.05680000,62.03224968,0
GhostTown,155,8.47100000,64.35251266,4
GhostTown,156,14.95300000,63.48082842,5
GhostTown,157,13.48520000,64.41459064,5
GhostTown,158,13.61020000,59.23681288,0
GhostTown,159,10.27980000,60.50252963,5
GhostTown,160,12.87520000,66.37017402,0
GhostTown,161,5.23840000,63.32456080,0
GhostTown,162,8.64520000,63.89053138,0
GhostTown,163,2.43220000,66.48308055,0
GhostTown,164,3.67500000,69.02897942,0
GhostTown,165,4.13060000,68.35934464,0
GhostTown,166,20.78420000,66.61080993,0
GhostTown,167,5.64060000,70.03570518,0
GhostTown,168,3.04240000,67.36467917,0
GhostTown,169,5.65880000,65.29931087,0
GhostTown,170,20.89900000,68.44743473,7
GhostTown,171,5.43160000,69.97142274,0
GhostTown,172,13.78640000,74.06078585,0
GhostTown,173,3.07540000,67.35725648,0
GhostTown,174,30.06680000,69.35416354,0
GhostTown,175,3.79360000,71.25307011,0
GhostTown,176,5.05560000,69.40461080,0
GhostTown,177,3.76520000,68.73136111,0
GhostTown,178,8.73000000,70.29224708,0
GhostTown,179,11.51820000,69.65629907,0
GhostTown,180,7.86560000,72.56721023,0
GhostTown,181,21.13260000,72.35085500,7
GhostTown,182,15.23840000,73.92563831,0
