Map,Query Number,Time,Distance,Path Length
Hellfire,0,1.24780000,5.09901951,0
Hellfire,1,3.02040000,6.00000000,0
Hellfire,2,0.99180000,6.40312424,0
Hellfire,3,1.48580000,5.09901951,0
Hellfire,4,1.33140000,5.00000000,0
Hellfire,5,1.80140000,5.83095189,0
Hellfire,6,0.73040000,6.40312424,0
Hellfire,7,1.39100000,5.09901951,0
Hellfire,8,0.88440000,5.38516481,0
Hellfire,9,6.09120000,6.47213595,6
Hellfire,10,4.65700000,11.04536102,0
Hellfire,11,1.01120000,11.31370850,0
Hellfire,12,1.06460000,9.05538514,0
Hellfire,13,3.99020000,8.06225775,0
Hellfire,14,2.53860000,10.77032961,0
Hellfire,15,0.97160000,9.05538514,0
Hellfire,16,1.30620000,8.48528137,0
Hellfire,17,0.83300000,10.44030651,0
Hellfire,18,1.34000000,11.00000000,0
Hellfire,19,1.38360000,8.60232527,0
Hellfire,20,0.88120000,14.42220510,0
Hellfire,21,0.83040000,15.13274595,0
Hellfire,22,0.52220000,13.03840481,0
Hellfire,23,4.28560000,14.86606875,0
Hellfire,24,3.13360000,12.36931688,0
Hellfire,25,6.54140000,11.78828904,4
Hellfire,26,2.92080000,13.03840481,0
Hellfire,27,0.89060000,13.92838828,0
Hellfire,28,1.00160000,12.72792206,0
Hellfire,29,4.31740000,12.08304597,0
Hellfire,30,5.50640000,15.65247584,0
Hellfire,31,2.29160000,16.40121947,0
Hellfire,32,5.71440000,17.11724277,0
Hellfire,33,0.85120000,16.76305461,0
Hellfire,34,7.82400000,15.14368723,4
Hellfire,35,0.59900000,15.62049935,0
Hellfire,36,1.54920000,18.43908891,0
Hellfire,37,5.48080000,17.53951349,5
Hellfire,38,3.73340000,17.20465053,0
Hellfire,39,5.01300000,17.20465053,0
Hellfire,40,3.92740000,22.02271555,0
Hellfire,41,0.66320000,21.84032967,0
Hellfire,42,1.07940000,21.09502311,0
Hellfire,43,5.19600000,20.12461180,0
Hellfire,44,4.11840000,21.09502311,0
Hellfire,45,3.10200000,21.37755833,0
Hellfire,46,1.09200000,19.64688270,0
Hellfire,47,1.01900000,22.09072203,0
Hellfire,48,0.86500000,18.86796226,0
Hellfire,49,2.45120000,19.64688270,0
Hellfire,50,4.02540000,25.49509757,0
Hellfire,51,2.33160000,23.53720459,0
Hellfire,52,2.68620000,24.59674775,0
Hellfire,53,0.81420000,23.02172887,0
Hellfire,54,3.84860000,24.75883681,0
Hellfire,55,4.52520000,24.02082430,0
Hellfire,56,9.79940000,25.63308819,4
Hellfire,57,2.07120000,23.19482701,0
Hellfire,58,2.82800000,22.36067977,0
Hellfire,59,3.28860000,25.07987241,0
Hellfire,60,3.74040000,29.61418579,0
Hellfire,61,2.48720000,27.78488798,0
Hellfire,62,6.95560000,26.92582404,0
Hellfire,63,0.80980000,28.86173938,0
Hellfire,64,3.99780000,29.54657341,0
Hellfire,65,0.98180000,30.14962686,0
Hellfire,66,0.97560000,28.84441020,0
Hellfire,67,4.35100000,29.15475947,0
Hellfire,68,2.68100000,29.06888371,0
Hellfire,69,3.11300000,28.86173938,0
Hellfire,70,3.81560000,31.40063694,0
Hellfire,71,0.98060000,31.62277660,0
Hellfire,72,4.27060000,31.62277660,0
Hellfire,73,3.13760000,31.40063694,0
Hellfire,74,1.27360000,31.32091953,0
Hellfire,75,3.07340000,35.01428280,0
Hellfire,76,0.80340000,31.01612484,0
Hellfire,77,12.64860000,32.61249695,5
Hellfire,78,0.93280000,32.28002478,0
Hellfire,79,0.71080000,32.14031736,0
Hellfire,80,2.82060000,38.11823711,0
Hellfire,81,3.59360000,37.33630941,0
Hellfire,82,0.56600000,38.28837944,0
Hellfire,83,1.00800000,34.01470270,0
Hellfire,84,4.17640000,34.92849839,0
Hellfire,85,7.76500000,35.11409973,0
Hellfire,86,2.22820000,35.51056181,0
Hellfire,87,5.74080000,34.78505426,0
Hellfire,88,3.11640000,35.00000000,0
Hellfire,89,0.61960000,35.46829570,0
