Map,Query Number,Time,Distance,Path Length
HotZone,0,3.46620000,6.00000000,0
HotZone,1,0.89100000,5.38516481,0
HotZone,2,0.65280000,7.07106781,0
HotZone,3,3.60100000,7.28010989,0
HotZone,4,0.78880000,6.00000000,0
HotZone,5,0.80280000,5.83095189,0
HotZone,6,1.69680000,4.47213595,0
HotZone,7,0.68180000,4.47213595,0
HotZone,8,0.62820000,6.32455532,0
HotZone,9,0.45220000,5.09901951,0
HotZone,10,2.61360000,11.04536102,0
HotZone,11,0.64320000,10.81665383,0
HotZone,12,2.57340000,11.31370850,0
HotZone,13,0.97760000,11.04536102,0
HotZone,14,0.59480000,8.24621125,0
HotZone,15,0.52080000,9.84885780,0
HotZone,16,0.65080000,9.00000000,0
HotZone,17,4.81540000,10.29563014,0
HotZone,18,0.76200000,8.24621125,0
HotZone,19,1.95720000,11.18033989,0
HotZone,20,0.62100000,14.03566885,0
HotZone,21,0.56260000,11.18033989,0
HotZone,22,1.69780000,12.00000000,0
HotZone,23,3.66980000,14.42220510,0
HotZone,24,2.02500000,13.00000000,0
HotZone,25,1.83060000,15.00000000,0
HotZone,26,0.68340000,15.00000000,0
HotZone,27,3.16240000,14.03566885,0
HotZone,28,0.85760000,12.04159458,0
HotZone,29,0.65900000,12.04159458,0
HotZone,30,0.79480000,17.02938637,0
HotZone,31,0.71580000,15.62049935,0
HotZone,32,3.28520000,15.81138830,0
HotZone,33,0.61820000,15.29705854,0
HotZone,34,2.76580000,18.38477631,0
HotZone,35,2.72760000,16.27882060,0
HotZone,36,3.21720000,16.49242250,0
HotZone,37,0.66960000,16.27882060,0
HotZone,38,0.53360000,17.02938637,0
HotZone,39,0.62340000,19.02629759,0
HotZone,40,0.52020000,22.47220505,0
HotZone,41,2.14180000,20.22374842,0
HotZone,42,1.58120000,19.23538406,0
HotZone,43,3.12960000,21.02379604,0
HotZone,44,2.91260000,21.18962010,0
HotZone,45,4.63540000,22.80350850,0
HotZone,46,2.21200000,22.20360331,0
HotZone,47,0.57120000,22.67156810,0
HotZone,48,2.31720000,21.54065923,0
HotZone,49,2.27640000,20.09975124,0
HotZone,50,2.42520000,23.19482701,0
HotZone,51,3.63520000,27.01851217,0
HotZone,52,2.94160000,27.07397274,0
HotZone,53,3.32100000,24.02082430,0
HotZone,54,2.14080000,25.80697580,0
HotZone,55,0.75980000,22.56102835,0
HotZone,56,2.24820000,24.16609195,0
HotZone,57,1.71280000,25.23885893,0
HotZone,58,5.83660000,24.75883681,0
HotZone,59,2.87380000,25.49509757,0
HotZone,60,0.68200000,28.46049894,0
HotZone,61,2.94640000,29.06888371,0
HotZone,62,0.53840000,26.92582404,0
HotZone,63,3.08080000,26.68332813,0
HotZone,64,0.51380000,28.01785145,0
HotZone,65,5.59760000,30.41381265,0
HotZone,66,0.52720000,27.16615541,0
HotZone,67,0.60580000,27.01851217,0
HotZone,68,2.78580000,29.73213749,0
HotZone,69,1.60460000,28.16025568,0
HotZone,70,0.59140000,31.57530681,0
HotZone,71,0.47920000,35.01428280,0
HotZone,72,0.53460000,34.71310992,0
HotZone,73,0.49020000,30.08321791,0
HotZone,74,3.08900000,30.36445290,0
HotZone,75,4.13860000,31.76476035,0
HotZone,76,7.11320000,29.99589213,8
HotZone,77,4.84160000,31.30495168,0
HotZone,78,3.06980000,32.69556545,0
HotZone,79,3.75720000,31.38470965,0
HotZone,80,4.89960000,37.10795063,0
HotZone,81,0.58940000,36.12478374,0
HotZone,82,8.25420000,36.56066236,4
HotZone,83,4.47720000,35.90264614,0
HotZone,84,0.60300000,37.12142239,0
HotZone,85,3.76340000,35.22782991,0
HotZone,86,8.52580000,38.41874542,0
HotZone,87,0.69260000,34.43835072,0
HotZone,88,3.94240000,34.40930107,0
HotZone,89,1.92140000,36.12478374,0
HotZone,90,2.26680000,40.52159918,0
HotZone,91,2.87400000,39.81205847,0
HotZone,92,5.25200000,40.00664331,4
HotZone,93,0.56800000,38.07886553,0
HotZone,94,3.58580000,40.19950248,0
HotZone,95,3.29340000,39.05124838,0
HotZone,96,2.09340000,40.04996879,0
HotZone,97,2.35940000,40.02499219,0
HotZone,98,0.60560000,40.04996879,0
HotZone,99,0.52720000,37.57658846,0
HotZone,100,4.09200000,43.54409477,4
HotZone,101,0.51560000,41.97618372,0
HotZone,102,4.11800000,46.00000000,0
HotZone,103,4.98120000,45.45327271,0
HotZone,104,5.01980000,42.54409477,0
HotZone,105,4.65240000,45.09988914,0
HotZone,106,2.48560000,45.27692569,0
HotZone,107,1.76000000,45.22167622,0
HotZone,108,3.53400000,44.14748011,0
HotZone,109,1.98740000,46.01086828,0
HotZone,110,6.46320000,45.70557953,0
HotZone,111,10.03340000,47.41071300,5
HotZone,112,2.71420000,48.91829923,0
