Map,Query Number,Time,Distance,Path Length
IceFloes,0,1.92500000,6.70820393,0
IceFloes,1,0.83880000,5.09901951,0
IceFloes,2,0.91260000,5.83095189,0
IceFloes,3,3.28040000,5.83095189,0
IceFloes,4,0.75840000,4.24264069,0
IceFloes,5,0.96280000,7.28010989,0
IceFloes,6,2.15300000,7.21110255,0
IceFloes,7,3.66320000,5.65685425,0
IceFloes,8,2.49080000,5.00000000,0
IceFloes,9,0.65580000,4.12310563,0
IceFloes,10,0.69740000,8.54400375,0
IceFloes,11,3.98360000,9.89949494,0
IceFloes,12,0.63760000,10.19803903,0
IceFloes,13,3.50100000,8.61577311,4
IceFloes,14,0.59380000,9.84885780,0
IceFloes,15,0.74980000,9.43398113,0
IceFloes,16,0.77640000,9.05538514,0
IceFloes,17,2.19080000,10.29563014,0
IceFloes,18,0.81520000,8.24621125,0
IceFloes,19,0.53440000,10.19803903,0
IceFloes,20,0.78100000,11.40175425,0
IceFloes,21,0.52300000,13.34166406,0
IceFloes,22,2.84940000,14.03566885,0
IceFloes,23,0.78620000,14.31782106,0
IceFloes,24,0.75800000,12.36931688,0
IceFloes,25,2.95520000,11.70469991,0
IceFloes,26,0.53100000,14.42220510,0
IceFloes,27,4.17920000,13.15294644,0
IceFloes,28,0.70340000,14.56021978,0
IceFloes,29,2.29660000,13.03840481,0
IceFloes,30,0.61740000,17.88854382,0
IceFloes,31,2.35000000,17.49285568,0
IceFloes,32,0.49000000,17.00000000,0
IceFloes,33,0.67080000,17.00000000,0
IceFloes,34,3.14740000,15.65247584,0
IceFloes,35,2.88600000,17.20465053,0
IceFloes,36,3.47080000,17.11724277,0
IceFloes,37,2.26720000,15.23154621,0
IceFloes,38,6.89800000,17.88854382,0
IceFloes,39,2.86080000,18.02775638,0
IceFloes,40,2.95980000,19.41648784,0
IceFloes,41,0.64600000,21.93171220,0
IceFloes,42,3.53780000,19.92485885,0
IceFloes,43,2.86940000,20.80865205,0
IceFloes,44,3.89040000,18.60107524,0
IceFloes,45,0.61060000,20.24845673,0
IceFloes,46,2.85600000,20.02498439,0
IceFloes,47,2.37480000,22.02271555,0
IceFloes,48,0.57620000,21.54065923,0
IceFloes,49,3.37600000,19.41648784,0
IceFloes,50,0.51660000,25.94224354,0
IceFloes,51,3.20160000,25.29822128,0
IceFloes,52,4.20580000,24.70827303,4
IceFloes,53,2.67200000,25.23885893,0
IceFloes,54,4.77460000,23.34586495,4
IceFloes,55,0.55740000,25.45584412,0
IceFloes,56,7.76820000,24.60956888,6
IceFloes,57,0.67500000,25.80697580,0
IceFloes,58,4.39960000,23.19482701,0
IceFloes,59,0.62720000,22.80350850,0
IceFloes,60,6.82520000,29.39870324,4
IceFloes,61,4.27160000,30.15294644,7
IceFloes,62,0.60580000,28.86173938,0
