Map,Query Number,Time,Distance,Path Length
LakeShore,0,4.73820000,6.32455532,0
LakeShore,1,2.69560000,6.08276253,0
LakeShore,2,1.30320000,5.65685425,0
LakeShore,3,1.46600000,6.00000000,0
LakeShore,4,1.68800000,6.32455532,0
LakeShore,5,1.06680000,6.40312424,0
LakeShore,6,3.80500000,6.32455532,0
LakeShore,7,3.11980000,7.07106781,0
LakeShore,8,1.20160000,6.08276253,0
LakeShore,9,1.14180000,6.40312424,0
LakeShore,10,5.98580000,9.21954446,0
LakeShore,11,1.67740000,10.81665383,0
LakeShore,12,5.11000000,9.00000000,0
LakeShore,13,0.77680000,9.05538514,0
LakeShore,14,4.87140000,10.00000000,0
LakeShore,15,4.20240000,10.00000000,0
LakeShore,16,1.52300000,7.61577311,0
LakeShore,17,0.83420000,9.48683298,0
LakeShore,18,0.71700000,9.21954446,0
LakeShore,19,2.88400000,8.24621125,0
LakeShore,20,2.60640000,14.76482306,0
LakeShore,21,5.54360000,12.20655562,0
LakeShore,22,5.08100000,15.03329638,0
LakeShore,23,2.30360000,12.52996409,0
LakeShore,24,1.05040000,15.00000000,0
LakeShore,25,1.33860000,14.56021978,0
LakeShore,26,3.90480000,12.08304597,0
LakeShore,27,3.41140000,11.66190379,0
LakeShore,28,3.32580000,15.13274595,0
LakeShore,29,2.62880000,11.40175425,0
LakeShore,30,3.46980000,18.38477631,0
LakeShore,31,8.68780000,16.31370850,5
LakeShore,32,3.41800000,18.24828759,0
LakeShore,33,6.67480000,15.81138830,0
LakeShore,34,2.71360000,16.00000000,0
LakeShore,35,0.89400000,15.81138830,0
LakeShore,36,4.37000000,15.65247584,0
LakeShore,37,0.78860000,17.11724277,0
LakeShore,38,0.66180000,17.72004515,0
LakeShore,39,3.60860000,15.62049935,0
LakeShore,40,3.12860000,21.95449840,0
LakeShore,41,3.42040000,20.61552813,0
LakeShore,42,3.54700000,21.40093456,0
LakeShore,43,2.90820000,22.80350850,0
LakeShore,44,4.65500000,22.80350850,0
LakeShore,45,5.98700000,19.23538406,0
LakeShore,46,4.21840000,21.40093456,0
LakeShore,47,4.19200000,23.00000000,0
LakeShore,48,3.27140000,21.09502311,0
LakeShore,49,3.40760000,20.61552813,0
LakeShore,50,1.88180000,25.00000000,0
LakeShore,51,0.74240000,25.49509757,0
LakeShore,52,2.58960000,23.85372088,0
LakeShore,53,4.66900000,25.94224354,0
LakeShore,54,0.82860000,26.90724809,0
LakeShore,55,0.72480000,25.07987241,0
LakeShore,56,4.08760000,24.18677324,0
LakeShore,57,0.68760000,24.41311123,0
LakeShore,58,4.19780000,25.80697580,0
LakeShore,59,1.95340000,22.84731932,0
LakeShore,60,4.77640000,26.41968963,0
LakeShore,61,3.68140000,31.01612484,0
LakeShore,62,5.24600000,30.14962686,0
LakeShore,63,0.81320000,26.24880950,0
LakeShore,64,8.78520000,29.10064884,4
LakeShore,65,1.15240000,30.47950131,0
LakeShore,66,0.62540000,27.20294102,0
LakeShore,67,3.52040000,28.63564213,0
LakeShore,68,6.83280000,26.28028231,5
LakeShore,69,4.13240000,29.20616373,0
LakeShore,70,3.93340000,33.13608305,0
LakeShore,71,0.71780000,29.73213749,0
LakeShore,72,9.66240000,31.89043744,0
LakeShore,73,4.37140000,30.23243292,0
LakeShore,74,3.32020000,33.10589071,0
LakeShore,75,2.88720000,33.73425559,0
LakeShore,76,2.35320000,31.62277660,0
LakeShore,77,17.82100000,32.32455532,4
LakeShore,78,6.88220000,32.99514544,4
LakeShore,79,0.74540000,31.62277660,0
LakeShore,80,5.65340000,34.00000000,0
LakeShore,81,4.52720000,34.13209633,0
LakeShore,82,4.90720000,37.00000000,0
LakeShore,83,5.88720000,37.80211634,0
LakeShore,84,7.81900000,37.01351105,0
LakeShore,85,5.49740000,33.54101966,0
LakeShore,86,3.60060000,35.11409973,0
LakeShore,87,3.61260000,37.21558813,0
LakeShore,88,0.82460000,35.35533906,0
LakeShore,89,6.48300000,37.12142239,0
LakeShore,90,0.66180000,37.94733192,0
LakeShore,91,3.51700000,39.82461550,0
LakeShore,92,2.73000000,40.60788101,0
LakeShore,93,4.06120000,38.83297568,0
LakeShore,94,3.92980000,42.01190308,0
LakeShore,95,1.01260000,40.70626487,0
LakeShore,96,3.33780000,38.58756276,0
LakeShore,97,3.99720000,38.60051813,0
LakeShore,98,4.15100000,40.36087214,0
LakeShore,99,0.95520000,41.04875150,0
LakeShore,100,2.84760000,41.77319715,0
LakeShore,101,9.30600000,43.19901239,4
LakeShore,102,2.42120000,43.68065934,0
LakeShore,103,2.62480000,47.04253395,0
LakeShore,104,8.95700000,44.80230137,4
LakeShore,105,0.89920000,43.41658669,0
LakeShore,106,6.15000000,41.88176438,4
LakeShore,107,0.74740000,43.41658669,0
LakeShore,108,3.23520000,41.34005322,0
LakeShore,109,3.10680000,46.04345773,0
LakeShore,110,9.14400000,46.14108798,0
LakeShore,111,3.13680000,45.54119015,0
LakeShore,112,7.49920000,46.17358552,0
LakeShore,113,6.75360000,48.31128874,5
LakeShore,114,4.91240000,48.25971405,0
LakeShore,115,13.42300000,45.67644354,5
LakeShore,116,8.62520000,49.57822102,0
LakeShore,117,4.72100000,45.65084884,0
LakeShore,118,6.99200000,50.32891813,0
LakeShore,119,5.59920000,46.52956050,0
LakeShore,120,3.55460000,50.56678752,0
LakeShore,121,3.20220000,50.59644256,0
LakeShore,122,3.35120000,50.60632372,0
LakeShore,123,8.76560000,53.75872022,0
LakeShore,124,3.00580000,49.64876635,0
LakeShore,125,4.62780000,51.66236541,0
LakeShore,126,12.00340000,49.68740387,4
LakeShore,127,0.90940000,53.75872022,0
LakeShore,128,5.06500000,52.20153254,0
LakeShore,129,14.77080000,50.46546194,5
LakeShore,130,0.85380000,53.75872022,0
LakeShore,131,5.79500000,58.13776741,0
LakeShore,132,4.07600000,56.08029957,0
LakeShore,133,12.62820000,54.66778639,12
LakeShore,134,2.02260000,57.42821606,0
LakeShore,135,4.55120000,56.56854249,0
LakeShore,136,9.04880000,55.49616370,4
LakeShore,137,2.60940000,52.00000000,0
LakeShore,138,2.84880000,56.03570290,0
LakeShore,139,2.67460000,53.48831648,0
LakeShore,140,3.08920000,58.87274412,0
LakeShore,141,4.42440000,58.69412236,0
LakeShore,142,0.82520000,61.55485359,0
LakeShore,143,10.31420000,60.48282055,4
LakeShore,144,0.79420000,57.97413216,0
LakeShore,145,9.38120000,59.86984925,4
LakeShore,146,2.93600000,63.03173804,0
LakeShore,147,14.81660000,56.43413714,13
LakeShore,148,3.17140000,59.36328832,0
LakeShore,149,8.13980000,59.39644397,7
LakeShore,150,6.64440000,64.07027392,0
LakeShore,151,6.64380000,61.40032573,0
LakeShore,152,8.21060000,62.51399843,0
LakeShore,153,4.85580000,63.00793601,0
LakeShore,154,5.28820000,65.12296062,0
LakeShore,155,3.44280000,61.18823416,0
LakeShore,156,5.92460000,59.61543424,0
LakeShore,157,4.00320000,62.20128616,0
LakeShore,158,3.63960000,62.96824597,0
LakeShore,159,9.59080000,63.00793601,0
LakeShore,160,2.88100000,67.46851117,0
LakeShore,161,3.21320000,63.97655821,0
LakeShore,162,9.04380000,70.71067812,0
LakeShore,163,5.01380000,68.46897107,0
LakeShore,164,4.13440000,65.51335742,0
LakeShore,165,4.10800000,68.68041933,0
LakeShore,166,9.73860000,64.41273166,0
LakeShore,167,8.72800000,68.88396040,0
LakeShore,168,7.47760000,69.52697318,0
