Map,Query Number,Time,Distance,Path Length
Medusa,0,1.77520000,6.08276253,0
Medusa,1,0.90600000,5.09901951,0
Medusa,2,1.28360000,7.07106781,0
Medusa,3,0.77240000,7.07106781,0
Medusa,4,4.85420000,5.83095189,0
Medusa,5,5.96240000,4.24264069,0
Medusa,6,0.91720000,7.07106781,0
Medusa,7,0.93680000,7.21110255,0
Medusa,8,0.88720000,5.83095189,0
Medusa,9,1.18680000,4.12310563,0
Medusa,10,0.75500000,10.81665383,0
Medusa,11,3.60960000,8.48528137,0
Medusa,12,0.60320000,10.44030651,0
Medusa,13,2.78320000,8.00000000,0
Medusa,14,1.25520000,10.04987562,0
Medusa,15,9.61820000,10.44030651,0
Medusa,16,1.02900000,11.04536102,0
Medusa,17,7.27500000,9.23606798,4
Medusa,18,0.75480000,7.81024968,0
Medusa,19,1.31800000,10.29563014,0
Medusa,20,0.73780000,15.03329638,0
Medusa,21,3.17200000,13.45362405,0
Medusa,22,3.41380000,14.03566885,0
Medusa,23,0.80920000,14.56021978,0
Medusa,24,3.82940000,13.15294644,0
Medusa,25,0.76980000,11.40175425,0
Medusa,26,3.58620000,12.16552506,0
Medusa,27,3.70740000,13.00000000,0
Medusa,28,0.74660000,14.31782106,0
Medusa,29,0.63900000,15.55634919,0
Medusa,30,3.21440000,17.49285568,0
Medusa,31,6.80900000,18.43908891,0
Medusa,32,0.94720000,14.86606875,0
Medusa,33,4.57080000,15.23154621,0
Medusa,34,0.95000000,16.27882060,0
Medusa,35,0.84880000,15.81138830,0
Medusa,36,2.45640000,16.03121954,0
Medusa,37,5.42380000,18.38477631,0
Medusa,38,1.31000000,16.12451550,0
Medusa,39,0.62940000,17.46424920,0
Medusa,40,0.84420000,19.92485885,0
Medusa,41,0.79060000,22.20360331,0
Medusa,42,2.84720000,20.24845673,0
Medusa,43,2.86520000,21.21320344,0
Medusa,44,7.98280000,21.42950236,5
Medusa,45,1.57800000,21.37755833,0
Medusa,46,3.85800000,23.02172887,0
Medusa,47,3.98420000,21.93171220,0
Medusa,48,0.78880000,20.02498439,0
Medusa,49,3.58300000,22.02271555,0
Medusa,50,0.59080000,24.83948470,0
Medusa,51,3.50800000,25.31797780,0
Medusa,52,1.18380000,25.29822128,0
Medusa,53,5.97620000,23.84744926,4
Medusa,54,3.09000000,24.33105012,0
Medusa,55,10.76580000,24.54098945,4
Medusa,56,0.78300000,25.00000000,0
Medusa,57,5.98860000,26.09975124,4
Medusa,58,4.28580000,26.00000000,0
Medusa,59,7.45180000,23.25940670,0
Medusa,60,5.24820000,28.79236010,0
Medusa,61,3.15140000,29.06888371,0
Medusa,62,6.06520000,29.54657341,0
