Map,Query Number,Time,Distance,Path Length
Nightshade,0,1.88660000,5.00000000,0
Nightshade,1,5.87380000,7.82842712,4
Nightshade,2,1.09460000,4.12310563,0
Nightshade,3,1.50160000,5.38516481,0
Nightshade,4,1.04800000,4.12310563,0
Nightshade,5,1.27640000,7.21110255,0
Nightshade,6,0.96660000,7.07106781,0
Nightshade,7,1.06260000,4.47213595,0
Nightshade,8,0.98220000,6.70820393,0
Nightshade,9,3.72840000,7.21110255,0
Nightshade,10,3.38700000,7.61577311,0
Nightshade,11,1.62120000,11.31370850,0
Nightshade,12,0.80920000,10.29563014,0
Nightshade,13,4.93020000,10.23334547,4
Nightshade,14,1.12900000,8.54400375,0
Nightshade,15,3.94220000,10.29563014,0
Nightshade,16,0.76340000,10.00000000,0
Nightshade,17,2.88560000,8.94427191,0
Nightshade,18,0.89040000,8.06225775,0
Nightshade,19,0.81540000,10.00000000,0
Nightshade,20,2.49620000,11.70469991,0
Nightshade,21,0.98540000,14.31782106,0
Nightshade,22,0.73060000,12.80624847,0
Nightshade,23,1.10260000,14.14213562,0
Nightshade,24,0.84020000,14.14213562,0
Nightshade,25,2.08760000,14.76482306,0
Nightshade,26,1.30240000,12.04159458,0
Nightshade,27,0.88260000,11.40175425,0
Nightshade,28,3.54600000,14.86606875,0
Nightshade,29,2.34860000,13.60147051,0
Nightshade,30,1.06560000,14.86606875,0
Nightshade,31,4.10120000,19.10497317,0
Nightshade,32,0.95120000,18.60107524,0
Nightshade,33,1.17020000,18.38477631,0
Nightshade,34,4.36620000,19.20937271,0
Nightshade,35,0.98180000,16.12451550,0
Nightshade,36,7.30400000,19.20937271,0
Nightshade,37,1.37920000,16.76305461,0
Nightshade,38,6.20700000,16.27808703,7
Nightshade,39,0.99180000,17.46424920,0
Nightshade,40,4.50680000,19.23538406,0
Nightshade,41,4.12680000,22.62741700,0
Nightshade,42,4.70780000,22.02271555,0
Nightshade,43,3.14860000,20.59126028,0
Nightshade,44,12.43620000,21.50361885,6
Nightshade,45,1.06840000,21.26029163,0
Nightshade,46,3.29060000,21.63330765,0
Nightshade,47,1.18500000,19.72308292,0
Nightshade,48,3.59080000,18.68154169,0
Nightshade,49,1.11080000,20.24845673,0
Nightshade,50,6.84880000,24.59674775,0
Nightshade,51,2.92840000,23.34523506,0
Nightshade,52,4.36420000,26.50751272,4
Nightshade,53,4.30660000,25.55386468,0
Nightshade,54,3.74300000,25.29822128,0
Nightshade,55,5.14000000,26.07680962,0
