Map,Query Number,Time,Distance,Path Length
Octopus,0,2.59260000,5.65685425,0
Octopus,1,1.06480000,5.00000000,0
Octopus,2,1.04340000,5.38516481,0
Octopus,3,1.21300000,6.40312424,0
Octopus,4,0.89080000,4.24264069,0
Octopus,5,4.88180000,7.07106781,0
Octopus,6,3.09520000,6.40312424,0
Octopus,7,1.19220000,5.38516481,0
Octopus,8,1.61260000,7.28010989,0
Octopus,9,3.44880000,6.40312424,0
Octopus,10,3.90060000,10.04987562,0
Octopus,11,3.57440000,10.29563014,0
Octopus,12,1.15280000,11.18033989,0
Octopus,13,1.69200000,9.84885780,0
Octopus,14,0.83020000,9.48683298,0
Octopus,15,4.04880000,11.18033989,0
Octopus,16,1.05780000,8.00000000,0
Octopus,17,3.10960000,8.60232527,0
Octopus,18,1.34900000,9.05538514,0
Octopus,19,1.18540000,7.81024968,0
Octopus,20,1.08200000,13.92838828,0
Octopus,21,3.89980000,12.04159458,0
Octopus,22,0.91280000,14.42220510,0
Octopus,23,5.00420000,13.00000000,0
Octopus,24,2.24120000,14.14213562,0
Octopus,25,0.88740000,14.31782106,0
Octopus,26,1.36240000,12.52996409,0
Octopus,27,5.05880000,12.80624847,0
Octopus,28,6.17160000,13.92916855,4
Octopus,29,2.49880000,13.34166406,0
Octopus,30,8.66260000,15.23154621,0
Octopus,31,7.73480000,17.10213672,4
Octopus,32,0.92020000,15.65247584,0
Octopus,33,3.53820000,18.60107524,0
Octopus,34,5.94480000,15.67017498,5
Octopus,35,2.44460000,18.43908891,0
Octopus,36,3.96540000,17.20465053,0
Octopus,37,1.64560000,18.43908891,0
Octopus,38,3.11560000,16.27882060,0
Octopus,39,2.89260000,15.23154621,0
Octopus,40,4.05580000,22.09072203,0
Octopus,41,5.97640000,20.62763038,4
Octopus,42,3.11120000,19.84943324,0
Octopus,43,5.00440000,20.51828453,0
Octopus,44,5.82940000,19.37825304,4
Octopus,45,5.07280000,20.61552813,0
Octopus,46,4.47540000,19.72308292,0
Octopus,47,3.41480000,22.13594362,0
Octopus,48,7.94320000,20.12461180,0
