Map,Query Number,Time,Distance,Path Length
OrbitalGully,0,4.66100000,6.08276253,0
OrbitalGully,1,0.88680000,7.07106781,0
OrbitalGully,2,1.03320000,7.07106781,0
OrbitalGully,3,5.84080000,6.70820393,0
OrbitalGully,4,1.00460000,5.00000000,0
OrbitalGully,5,0.95360000,7.00000000,0
OrbitalGully,6,0.97580000,4.47213595,0
OrbitalGully,7,1.02040000,5.09901951,0
OrbitalGully,8,3.47060000,6.70820393,0
OrbitalGully,9,0.69260000,7.21110255,0
OrbitalGully,10,1.10340000,8.94427191,0
OrbitalGully,11,0.85000000,9.48683298,0
OrbitalGully,12,0.71260000,10.63014581,0
OrbitalGully,13,2.80520000,10.04987562,0
OrbitalGully,14,4.04660000,9.89949494,0
OrbitalGully,15,0.78400000,9.43398113,0
OrbitalGully,16,0.98180000,10.63014581,0
OrbitalGully,17,1.06220000,11.18033989,0
OrbitalGully,18,3.99360000,11.40175425,0
OrbitalGully,19,1.03400000,7.61577311,0
OrbitalGully,20,0.65720000,11.40175425,0
OrbitalGully,21,0.82240000,12.08304597,0
OrbitalGully,22,0.69500000,13.60147051,0
OrbitalGully,23,0.72640000,12.16552506,0
OrbitalGully,24,2.36940000,13.34166406,0
OrbitalGully,25,0.95380000,13.15294644,0
OrbitalGully,26,1.33120000,11.66190379,0
OrbitalGully,27,0.82800000,12.52996409,0
OrbitalGully,28,13.33580000,13.41640786,0
OrbitalGully,29,5.05400000,10.62123278,5
OrbitalGully,30,3.09200000,16.27882060,0
OrbitalGully,31,0.96940000,19.20937271,0
OrbitalGully,32,0.93880000,17.20465053,0
OrbitalGully,33,2.31860000,15.65247584,0
OrbitalGully,34,0.74100000,19.20937271,0
OrbitalGully,35,0.69960000,17.72004515,0
OrbitalGully,36,0.59520000,16.15549442,0
OrbitalGully,37,0.60860000,18.35755975,0
OrbitalGully,38,3.07600000,19.20937271,0
OrbitalGully,39,3.32880000,17.00000000,0
OrbitalGully,40,0.66660000,21.40093456,0
OrbitalGully,41,4.44080000,19.41648784,0
OrbitalGully,42,0.66880000,23.02172887,0
OrbitalGully,43,0.59180000,20.02498439,0
OrbitalGully,44,0.89460000,20.24845673,0
OrbitalGully,45,3.96760000,21.21320344,0
OrbitalGully,46,0.67300000,18.68154169,0
OrbitalGully,47,0.64760000,19.64688270,0
OrbitalGully,48,0.65080000,21.26029163,0
OrbitalGully,49,0.60320000,18.86796226,0
OrbitalGully,50,5.13660000,23.41073439,4
OrbitalGully,51,0.65340000,22.82542442,0
OrbitalGully,52,0.80920000,26.07680962,0
OrbitalGully,53,0.43980000,24.18677324,0
OrbitalGully,54,0.67480000,24.83948470,0
OrbitalGully,55,5.85500000,25.55386468,0
OrbitalGully,56,1.96620000,24.16609195,0
OrbitalGully,57,3.38660000,23.25940670,0
OrbitalGully,58,0.89220000,24.69817807,0
OrbitalGully,59,0.63300000,26.87005769,0
OrbitalGully,60,2.02280000,27.01851217,0
OrbitalGully,61,6.82640000,27.29468813,0
OrbitalGully,62,2.74580000,27.45906044,0
OrbitalGully,63,0.65400000,31.14482300,0
OrbitalGully,64,1.04580000,26.92582404,0
OrbitalGully,65,6.44020000,26.83281573,0
OrbitalGully,66,2.83080000,28.79236010,0
OrbitalGully,67,8.23020000,28.07133770,0
OrbitalGully,68,3.24000000,30.61045573,0
OrbitalGully,69,8.44320000,29.83286778,0
OrbitalGully,70,3.75500000,34.01470270,0
OrbitalGully,71,0.78900000,33.28663395,0
OrbitalGully,72,0.60100000,32.24903099,0
OrbitalGully,73,12.84640000,34.01470270,0
OrbitalGully,74,0.79840000,30.01666204,0
OrbitalGully,75,2.87300000,34.23448554,0
OrbitalGully,76,7.56920000,33.05930509,4
OrbitalGully,77,4.62860000,35.05709629,0
OrbitalGully,78,7.68300000,31.92003878,4
OrbitalGully,79,2.19300000,33.01514804,0
OrbitalGully,80,2.94880000,33.83784863,0
OrbitalGully,81,3.91480000,36.71511950,0
OrbitalGully,82,13.42360000,37.43933937,5
OrbitalGully,83,7.42080000,37.33105012,4
OrbitalGully,84,9.53760000,35.29337855,4
OrbitalGully,85,3.16080000,36.49657518,0
OrbitalGully,86,5.78920000,36.05551275,0
OrbitalGully,87,2.59600000,39.05124838,0
OrbitalGully,88,7.02420000,34.00000000,0
OrbitalGully,89,0.75880000,37.00000000,0
OrbitalGully,90,17.19240000,40.53718149,5
OrbitalGully,91,6.29740000,39.12604883,4
OrbitalGully,92,4.18080000,39.96248241,0
OrbitalGully,93,0.78280000,41.23105626,0
OrbitalGully,94,3.69480000,39.44616585,0
OrbitalGully,95,4.79360000,41.10960958,0
OrbitalGully,96,17.43680000,39.78335203,7
OrbitalGully,97,2.94460000,40.11234224,0
OrbitalGully,98,6.33560000,42.19004622,0
OrbitalGully,99,6.01880000,43.13930922,0
OrbitalGully,100,3.11380000,43.56604182,0
OrbitalGully,101,4.42740000,43.18564576,0
OrbitalGully,102,3.24020000,42.95346319,0
OrbitalGully,103,11.12440000,41.82390581,4
OrbitalGully,104,5.09920000,44.40720662,0
OrbitalGully,105,3.55940000,41.23105626,0
OrbitalGully,106,6.63720000,43.82921400,0
OrbitalGully,107,4.66940000,41.78516483,0
OrbitalGully,108,2.90940000,42.95346319,0
OrbitalGully,109,1.96380000,44.65422712,0
OrbitalGully,110,2.27260000,47.85394446,0
OrbitalGully,111,5.01840000,47.92702787,0
OrbitalGully,112,0.53520000,46.04345773,0
OrbitalGully,113,2.78380000,46.87216658,0
OrbitalGully,114,5.70880000,48.27007354,0
OrbitalGully,115,4.54500000,47.85394446,0
OrbitalGully,116,5.33620000,50.26009746,4
OrbitalGully,117,3.93320000,46.84015371,0
OrbitalGully,118,2.52720000,49.36598019,0
OrbitalGully,119,8.58960000,48.01666204,4
OrbitalGully,120,2.82460000,51.08815910,0
OrbitalGully,121,0.89360000,50.99019514,0
OrbitalGully,122,2.97680000,49.39635614,0
OrbitalGully,123,4.38280000,50.21951812,0
OrbitalGully,124,4.88060000,51.47815070,0
