Map,Query Number,Time,Distance,Path Length
Predators,0,1.05760000,6.40312424,0
Predators,1,0.86960000,5.65685425,0
Predators,2,2.86580000,5.38516481,0
Predators,3,1.08060000,4.00000000,0
Predators,4,5.21620000,6.40312424,0
Predators,5,3.40260000,7.07106781,0
Predators,6,0.94960000,7.07106781,0
Predators,7,0.84900000,4.12310563,0
Predators,8,0.73580000,5.65685425,0
Predators,9,4.81720000,7.07106781,0
Predators,10,0.79900000,10.81665383,0
Predators,11,0.80920000,10.29563014,0
Predators,12,0.58880000,8.54400375,0
Predators,13,3.13660000,9.00000000,0
Predators,14,0.76920000,8.06225775,0
Predators,15,0.91980000,10.77032961,0
Predators,16,2.20180000,10.81665383,0
Predators,17,0.87140000,8.94427191,0
Predators,18,0.39780000,10.19803903,0
Predators,19,0.69980000,10.77032961,0
Predators,20,3.64900000,11.70469991,0
Predators,21,0.64640000,13.41640786,0
Predators,22,1.90020000,12.80624847,0
Predators,23,1.82720000,13.89244399,0
Predators,24,3.25940000,14.86606875,0
Predators,25,0.84280000,14.42220510,0
Predators,26,1.59980000,13.60147051,0
Predators,27,0.57580000,14.42220510,0
Predators,28,2.71960000,12.64911064,0
Predators,29,1.99560000,15.03329638,0
Predators,30,3.19960000,17.46424920,0
Predators,31,0.56760000,18.00000000,0
Predators,32,0.81300000,15.29705854,0
Predators,33,2.90320000,16.40121947,0
Predators,34,0.52840000,18.02775638,0
Predators,35,0.58860000,16.12451550,0
Predators,36,3.15580000,16.12451550,0
Predators,37,0.79160000,16.03121954,0
Predators,38,0.73820000,15.26433752,0
Predators,39,0.70400000,17.72004515,0
Predators,40,0.54160000,21.47091055,0
Predators,41,3.45400000,20.80865205,0
Predators,42,0.79340000,21.21320344,0
Predators,43,0.93160000,21.95449840,0
Predators,44,0.65700000,22.02271555,0
Predators,45,5.09900000,20.00000000,0
Predators,46,2.60940000,19.92485885,0
Predators,47,2.78720000,19.72308292,0
Predators,48,0.64500000,20.22374842,0
Predators,49,4.92180000,20.12461180,0
Predators,50,3.49520000,25.07987241,0
Predators,51,1.48540000,25.07987241,0
Predators,52,4.33840000,26.17250466,0
Predators,53,0.67100000,26.40075756,0
Predators,54,4.88020000,27.01851217,0
Predators,55,3.39360000,23.19482701,0
Predators,56,0.70080000,22.47220505,0
Predators,57,2.98600000,23.76972865,0
Predators,58,5.71040000,24.00000000,0
Predators,59,0.81500000,23.34523506,0
Predators,60,2.87500000,27.89265136,0
Predators,61,0.60260000,30.61045573,0
Predators,62,2.78980000,29.12043956,0
Predators,63,2.34920000,28.63564213,0
Predators,64,4.38060000,28.17800561,0
Predators,65,4.20560000,28.42534081,0
Predators,66,1.66940000,28.63564213,0
Predators,67,0.56040000,28.63564213,0
Predators,68,3.00580000,29.52964612,0
Predators,69,4.71160000,30.47950131,0
Predators,70,3.03420000,30.88689042,0
Predators,71,2.99840000,30.80584360,0
Predators,72,2.51880000,32.14031736,0
Predators,73,3.30640000,33.10589071,0
Predators,74,2.94120000,33.83784863,0
Predators,75,2.67520000,33.06055051,0
Predators,76,0.59780000,30.08321791,0
Predators,77,7.66780000,32.87259840,7
Predators,78,5.79060000,31.68164416,4
Predators,79,0.47620000,31.62277660,0
Predators,80,3.56500000,37.10795063,0
Predators,81,0.79520000,34.98571137,0
Predators,82,2.85100000,35.73513677,0
Predators,83,3.93420000,36.35931793,0
Predators,84,4.11520000,35.73513677,0
Predators,85,5.85640000,37.48332963,0
Predators,86,3.12900000,36.76955262,0
Predators,87,2.93600000,34.13209633,0
Predators,88,0.66380000,35.69313660,0
Predators,89,0.65020000,35.22782991,0
Predators,90,2.87540000,40.24922359,0
Predators,91,0.70980000,40.80441153,0
Predators,92,4.51500000,39.11521443,0
Predators,93,0.85040000,39.82461550,0
Predators,94,8.34980000,39.74777237,4
Predators,95,3.16380000,40.80441153,0
Predators,96,0.62860000,38.60051813,0
Predators,97,3.09700000,41.19465985,0
Predators,98,2.73580000,41.23105626,0
Predators,99,3.60120000,38.48376281,0
Predators,100,6.40840000,44.69428364,4
Predators,101,1.92360000,44.28317965,0
Predators,102,3.30240000,42.54409477,0
Predators,103,2.71720000,43.41658669,0
Predators,104,0.56760000,41.34005322,0
Predators,105,0.66520000,44.82186966,0
Predators,106,0.53080000,42.95346319,0
Predators,107,1.85820000,46.09772229,0
Predators,108,5.24800000,42.42640687,0
Predators,109,4.59440000,44.38468204,0
Predators,110,14.09460000,47.00320606,4
Predators,111,14.68460000,47.65218784,6
Predators,112,7.07820000,48.02082881,0
Predators,113,2.52480000,46.87216658,0
Predators,114,3.33680000,45.35416188,0
Predators,115,4.17740000,46.52956050,0
Predators,116,2.52340000,45.88027899,0
Predators,117,2.99620000,47.16990566,0
Predators,118,4.27720000,47.16990566,0
Predators,119,5.51100000,47.01063709,0
Predators,120,5.93340000,51.40038910,0
Predators,121,3.94080000,53.15072906,0
Predators,122,4.59020000,50.59644256,0
Predators,123,3.47160000,54.14794548,0
Predators,124,6.61860000,54.00925847,0
Predators,125,5.77060000,53.08483776,0
Predators,126,4.80080000,50.21951812,0
Predators,127,3.58060000,53.00943312,0
Predators,128,9.06940000,50.27145401,8
Predators,129,5.06100000,52.39274759,0
Predators,130,4.76360000,58.07753438,0
Predators,131,5.57520000,58.05170109,0
Predators,132,11.77420000,54.90857060,5
Predators,133,3.69780000,53.85164807,0
Predators,134,0.79220000,54.33231083,0
Predators,135,2.93460000,55.44366510,0
Predators,136,4.46540000,54.08326913,0
Predators,137,3.24680000,56.08921465,0
Predators,138,7.79380000,57.45584412,6
Predators,139,2.84520000,56.14267539,0
Predators,140,2.97940000,57.72347876,0
Predators,141,3.53320000,59.81638571,0
Predators,142,5.12420000,59.41380311,0
Predators,143,5.14320000,56.30275304,0
Predators,144,0.63360000,60.29925373,0
Predators,145,1.66640000,57.98275606,0
Predators,146,5.50340000,55.90169944,0
Predators,147,4.35900000,57.48912941,0
Predators,148,2.95740000,60.21627687,0
Predators,149,3.26060000,60.20797289,0
Predators,150,1.88280000,65.00769185,0
Predators,151,0.62400000,62.20128616,0
Predators,152,7.59020000,61.42670806,5
Predators,153,13.12300000,62.58466729,4
Predators,154,5.08900000,61.77378085,0
Predators,155,3.76180000,59.23681288,0
Predators,156,7.18920000,61.18026504,4
Predators,157,13.91400000,58.78322469,10
Predators,158,4.61760000,59.23681288,0
Predators,159,2.90860000,62.96824597,0
Predators,160,8.59220000,65.19202405,0
Predators,161,6.28160000,69.14526272,4
Predators,162,5.63740000,64.52349955,4
Predators,163,0.96600000,71.42128534,0
Predators,164,5.21820000,65.86349520,0
Predators,165,18.49740000,64.23252937,4
Predators,166,3.15060000,66.60330322,0
Predators,167,10.99960000,67.99212047,4
Predators,168,7.08840000,66.84309987,0
Predators,169,5.51700000,69.06225775,5
Predators,170,3.87300000,71.02112362,0
Predators,171,6.88160000,74.00675645,0
Predators,172,10.87100000,71.52245364,6
Predators,173,4.35920000,68.81860214,0
Predators,174,12.17280000,67.17452594,6
Predators,175,11.29200000,68.14291594,8
Predators,176,3.94160000,73.00684899,0
Predators,177,7.02400000,72.83543094,0
Predators,178,5.34920000,72.24956747,0
Predators,179,14.57780000,70.03362826,8
Predators,180,9.94660000,73.73538384,4
Predators,181,4.67220000,73.16419890,0
Predators,182,5.04980000,76.69419796,0
Predators,183,7.51660000,73.00684899,0
Predators,184,0.74660000,72.47068373,0
Predators,185,8.04140000,74.95603456,5
Predators,186,31.46420000,75.97062980,8
Predators,187,6.61900000,76.55112955,4
Predators,188,7.18660000,72.44627492,5
Predators,189,3.61580000,78.10249676,0
Predators,190,19.74740000,78.19150321,9
Predators,191,4.63880000,79.94222948,4
Predators,192,4.72040000,76.32168761,0
Predators,193,11.92460000,77.47382879,7
Predators,194,14.22600000,75.28508370,11
Predators,195,7.67800000,83.00602388,0
Predators,196,3.32500000,79.24645102,0
Predators,197,6.05800000,75.13321503,0
Predators,198,11.54180000,76.85050423,0
Predators,199,4.11400000,82.00609733,0
Predators,200,9.44340000,79.77662642,4
Predators,201,7.22500000,82.44979038,4
Predators,202,0.72100000,80.62257748,0
