Map,Query Number,Time,Distance,Path Length
Ramparts,0,1.43900000,4.47213595,0
Ramparts,1,0.82520000,7.07106781,0
Ramparts,2,3.23140000,4.47213595,0
Ramparts,3,0.99420000,5.00000000,0
Ramparts,4,1.21720000,5.00000000,0
Ramparts,5,0.62880000,5.00000000,0
Ramparts,6,3.98960000,5.09901951,0
Ramparts,7,1.09040000,6.40312424,0
Ramparts,8,1.36520000,7.07106781,0
Ramparts,9,2.79260000,7.00000000,0
Ramparts,10,1.13640000,10.81665383,0
Ramparts,11,0.88580000,8.24621125,0
Ramparts,12,0.77180000,10.81665383,0
Ramparts,13,5.98880000,8.06225775,0
Ramparts,14,6.07960000,8.48528137,0
Ramparts,15,0.71520000,8.48528137,0
Ramparts,16,1.22580000,10.44030651,0
Ramparts,17,3.69460000,10.04987562,0
Ramparts,18,1.31140000,9.21954446,0
Ramparts,19,0.62860000,8.60232527,0
Ramparts,20,0.67280000,14.14213562,0
Ramparts,21,4.22000000,11.18033989,0
Ramparts,22,2.07820000,14.14213562,0
Ramparts,23,1.04680000,12.36931688,0
Ramparts,24,0.91960000,12.08304597,0
Ramparts,25,3.05680000,12.80624847,0
Ramparts,26,0.57000000,12.36931688,0
Ramparts,27,4.10400000,12.08304597,0
Ramparts,28,3.58960000,15.03329638,0
Ramparts,29,2.49700000,11.70469991,0
Ramparts,30,3.77460000,19.79898987,0
Ramparts,31,2.15680000,15.23154621,0
Ramparts,32,2.40420000,16.12451550,0
Ramparts,33,4.50580000,17.46424920,0
Ramparts,34,0.92520000,17.26267650,0
Ramparts,35,0.49700000,18.35755975,0
Ramparts,36,0.62000000,16.03121954,0
Ramparts,37,0.48880000,15.81138830,0
Ramparts,38,0.53740000,16.55294536,0
Ramparts,39,5.52980000,15.44030651,4
Ramparts,40,0.47260000,20.22374842,0
Ramparts,41,3.12820000,21.02379604,0
Ramparts,42,0.71120000,18.78829423,0
Ramparts,43,0.87420000,22.67156810,0
Ramparts,44,0.74220000,19.23538406,0
Ramparts,45,0.59300000,20.02498439,0
Ramparts,46,0.74400000,18.97366596,0
Ramparts,47,2.57460000,20.00000000,0
Ramparts,48,0.67300000,22.36067977,0
Ramparts,49,0.55940000,19.69771560,0
Ramparts,50,6.05640000,25.31797780,0
Ramparts,51,2.04860000,22.82542442,0
Ramparts,52,0.79740000,25.00000000,0
Ramparts,53,3.25080000,25.61249695,0
Ramparts,54,0.78640000,26.30589288,0
Ramparts,55,6.22800000,22.80350850,0
Ramparts,56,3.08200000,24.33105012,0
Ramparts,57,1.92960000,24.00000000,0
Ramparts,58,0.79720000,24.16609195,0
Ramparts,59,2.75360000,23.85372088,0
Ramparts,60,3.34300000,29.54657341,0
Ramparts,61,5.41960000,29.34146488,4
Ramparts,62,3.50420000,27.20294102,0
Ramparts,63,2.23420000,26.62705391,0
Ramparts,64,0.83520000,29.83286778,0
Ramparts,65,3.39220000,28.16025568,0
Ramparts,66,0.74040000,26.68332813,0
Ramparts,67,0.50400000,26.47640459,0
Ramparts,68,6.79880000,28.00000000,4
Ramparts,69,5.83260000,30.06779118,4
Ramparts,70,7.35740000,31.25699922,0
Ramparts,71,4.42160000,33.60059523,0
Ramparts,72,6.75340000,30.23243292,0
Ramparts,73,0.75320000,33.73425559,0
Ramparts,74,6.42140000,32.55764119,0
Ramparts,75,2.35660000,32.52691193,0
Ramparts,76,3.37620000,31.90611227,0
Ramparts,77,9.71660000,32.44030651,5
Ramparts,78,0.87780000,32.31098884,0
Ramparts,79,4.75220000,34.65544690,0
Ramparts,80,4.58120000,33.57299495,4
Ramparts,81,3.13800000,35.73513677,0
Ramparts,82,3.20980000,36.05551275,0
Ramparts,83,4.08040000,38.05259518,0
Ramparts,84,0.72120000,36.34556369,0
Ramparts,85,7.78440000,37.83410385,4
Ramparts,86,5.80900000,36.75138328,7
Ramparts,87,10.98960000,38.94868419,0
Ramparts,88,2.91060000,34.78505426,0
Ramparts,89,6.45080000,37.52996409,4
Ramparts,90,9.92940000,39.41000512,15
Ramparts,91,5.68980000,38.60051813,0
Ramparts,92,3.04860000,40.22437072,0
Ramparts,93,6.35360000,38.34152247,5
Ramparts,94,5.22320000,38.83297568,0
Ramparts,95,2.80140000,41.10960958,0
Ramparts,96,7.71520000,39.81205847,0
Ramparts,97,9.28280000,39.35733731,0
Ramparts,98,4.01800000,41.03656906,0
Ramparts,99,0.63440000,41.04875150,0
Ramparts,100,0.61200000,40.85339643,0
Ramparts,101,3.22560000,44.20407221,0
Ramparts,102,2.73520000,44.18144407,0
Ramparts,103,0.72820000,41.67733197,0
Ramparts,104,0.55040000,41.48493703,0
Ramparts,105,1.87340000,43.28972164,0
Ramparts,106,3.83340000,44.10215414,0
