Map,Query Number,Time,Distance,Path Length
RedCanyons,0,6.14360000,6.32455532,0
RedCanyons,1,1.34960000,7.28010989,0
RedCanyons,2,0.74740000,4.12310563,0
RedCanyons,3,0.74900000,6.08276253,0
RedCanyons,4,0.75020000,7.21110255,0
RedCanyons,5,0.97280000,5.38516481,0
RedCanyons,6,0.76520000,5.65685425,0
RedCanyons,7,5.29760000,5.88634951,5
RedCanyons,8,1.07700000,5.09901951,0
RedCanyons,9,1.68840000,6.70820393,0
RedCanyons,10,0.74800000,8.06225775,0
RedCanyons,11,0.93580000,10.63014581,0
RedCanyons,12,0.58040000,8.94427191,0
RedCanyons,13,1.06280000,9.21954446,0
RedCanyons,14,0.94060000,7.61577311,0
RedCanyons,15,0.47560000,9.05538514,0
RedCanyons,16,1.63440000,10.29563014,0
RedCanyons,17,0.61040000,8.48528137,0
RedCanyons,18,0.63580000,11.31370850,0
RedCanyons,19,0.77840000,9.89949494,0
RedCanyons,20,4.40640000,15.55634919,0
RedCanyons,21,0.74240000,12.04159458,0
RedCanyons,22,0.95020000,11.70469991,0
RedCanyons,23,0.80760000,11.66190379,0
RedCanyons,24,3.01540000,15.03329638,0
RedCanyons,25,0.67900000,13.15294644,0
RedCanyons,26,0.78500000,12.52996409,0
RedCanyons,27,2.10060000,14.03566885,0
RedCanyons,28,1.74040000,13.03840481,0
RedCanyons,29,0.49440000,14.00000000,0
RedCanyons,30,0.96560000,16.40121947,0
RedCanyons,31,0.58640000,18.43908891,0
RedCanyons,32,0.49220000,15.65247584,0
RedCanyons,33,0.64840000,16.27882060,0
RedCanyons,34,0.71520000,18.43908891,0
RedCanyons,35,9.09240000,17.04109753,4
RedCanyons,36,0.72900000,15.52417470,0
RedCanyons,37,2.16160000,17.26267650,0
RedCanyons,38,2.22160000,19.20937271,0
RedCanyons,39,5.01160000,14.35917361,7
RedCanyons,40,3.16200000,18.97366596,0
RedCanyons,41,0.59320000,22.00000000,0
RedCanyons,42,3.43820000,20.12461180,0
RedCanyons,43,2.99740000,19.69771560,0
RedCanyons,44,5.57600000,20.26382435,4
RedCanyons,45,3.65100000,21.09502311,0
RedCanyons,46,2.96360000,20.59126028,0
RedCanyons,47,2.08800000,22.47220505,0
RedCanyons,48,0.79220000,21.40093456,0
RedCanyons,49,0.65600000,21.58703314,0
RedCanyons,50,4.25740000,24.83948470,0
RedCanyons,51,5.27080000,25.49509757,0
RedCanyons,52,3.99200000,26.01922366,0
RedCanyons,53,0.64380000,24.73863375,0
RedCanyons,54,3.34300000,25.61249695,0
RedCanyons,55,3.39720000,22.82542442,0
RedCanyons,56,4.34780000,25.07987241,0
RedCanyons,57,2.36540000,23.19482701,0
RedCanyons,58,0.62420000,26.17250466,0
RedCanyons,59,0.68620000,24.41311123,0
RedCanyons,60,2.45120000,29.83286778,0
RedCanyons,61,0.68080000,27.20294102,0
RedCanyons,62,6.41080000,27.65863337,0
RedCanyons,63,3.04000000,28.60069929,0
RedCanyons,64,0.64780000,27.29468813,0
RedCanyons,65,0.46240000,26.92582404,0
RedCanyons,66,2.23240000,29.27456234,0
RedCanyons,67,6.23500000,29.19389923,4
RedCanyons,68,2.35520000,26.92582404,0
RedCanyons,69,5.01360000,26.92582404,0
RedCanyons,70,3.02900000,31.62277660,0
RedCanyons,71,2.31120000,34.20526275,0
RedCanyons,72,5.17380000,34.00000000,0
RedCanyons,73,6.71380000,30.25684512,4
RedCanyons,74,2.60820000,33.12099032,0
RedCanyons,75,0.65440000,32.20248438,0
RedCanyons,76,4.30860000,30.36445290,0
RedCanyons,77,3.06780000,31.78049716,0
RedCanyons,78,2.45980000,32.38826948,0
RedCanyons,79,4.43380000,31.40063694,0
RedCanyons,80,2.92440000,34.48187930,0
RedCanyons,81,5.83240000,34.43835072,0
RedCanyons,82,2.61040000,34.82814953,0
RedCanyons,83,2.58680000,35.80502758,0
RedCanyons,84,2.64680000,37.53664876,0
RedCanyons,85,2.62100000,36.49657518,0
RedCanyons,86,1.78220000,37.20215048,0
RedCanyons,87,1.85660000,36.05551275,0
RedCanyons,88,3.19140000,34.01470270,0
RedCanyons,89,2.93380000,34.53983208,0
RedCanyons,90,2.52580000,38.83297568,0
RedCanyons,91,3.21200000,38.07886553,0
RedCanyons,92,0.63900000,38.07886553,0
RedCanyons,93,0.56640000,38.83297568,0
RedCanyons,94,2.38760000,40.19950248,0
RedCanyons,95,0.62380000,40.24922359,0
RedCanyons,96,5.07360000,37.33630941,0
RedCanyons,97,2.97640000,37.16180835,0
RedCanyons,98,2.94520000,40.11234224,0
RedCanyons,99,4.32320000,39.91015292,4
RedCanyons,100,2.76040000,42.15447782,0
RedCanyons,101,8.57440000,42.95734185,4
RedCanyons,102,5.02260000,41.14608122,0
RedCanyons,103,3.32880000,46.75467891,0
RedCanyons,104,5.73820000,44.82186966,0
RedCanyons,105,6.64980000,42.80186912,0
RedCanyons,106,4.69060000,41.77319715,0
RedCanyons,107,4.00300000,44.40720662,0
RedCanyons,108,7.61240000,41.62931659,0
RedCanyons,109,3.67560000,47.00000000,0
RedCanyons,110,3.27880000,45.48626166,0
RedCanyons,111,0.67660000,49.81967483,0
RedCanyons,112,6.04300000,46.04345773,0
RedCanyons,113,3.77880000,45.65084884,0
RedCanyons,114,5.49340000,46.38965402,0
RedCanyons,115,4.85180000,50.24937811,0
RedCanyons,116,2.45160000,48.27007354,0
RedCanyons,117,0.59400000,46.69047012,0
RedCanyons,118,2.82100000,48.09365863,0
RedCanyons,119,4.45900000,44.94441011,0
RedCanyons,120,5.16580000,55.15432893,0
RedCanyons,121,3.69220000,52.39274759,0
RedCanyons,122,5.46800000,49.92995093,0
RedCanyons,123,0.65500000,51.97114584,0
RedCanyons,124,6.36240000,50.11985634,0
RedCanyons,125,5.33600000,49.77772574,4
RedCanyons,126,0.73460000,52.15361924,0
RedCanyons,127,3.74540000,50.21951812,0
RedCanyons,128,3.07440000,49.39635614,0
RedCanyons,129,3.63880000,51.97114584,0
RedCanyons,130,5.26700000,57.21887800,0
RedCanyons,131,6.00560000,54.70831747,0
RedCanyons,132,3.74780000,55.10898293,0
RedCanyons,133,4.57040000,54.34151268,0
RedCanyons,134,3.69560000,54.42425930,0
