Map,Query Number,Time,Distance,Path Length
Rosewood,0,4.24740000,5.65685425,0
Rosewood,1,0.97840000,5.09901951,0
Rosewood,2,1.42740000,7.07106781,0
Rosewood,3,3.05860000,6.40312424,0
Rosewood,4,1.17460000,6.32455532,0
Rosewood,5,5.11900000,6.08276253,0
Rosewood,6,1.00140000,4.24264069,0
Rosewood,7,0.75180000,5.83095189,0
Rosewood,8,3.65820000,5.00000000,0
Rosewood,9,3.19440000,4.47213595,0
Rosewood,10,1.06340000,8.48528137,0
Rosewood,11,0.47780000,10.19803903,0
Rosewood,12,0.76460000,11.04536102,0
Rosewood,13,3.87500000,10.63014581,0
Rosewood,14,0.80660000,11.31370850,0
Rosewood,15,1.08100000,10.77032961,0
Rosewood,16,3.27980000,8.94427191,0
Rosewood,17,0.67020000,9.21954446,0
Rosewood,18,0.63540000,8.06225775,0
Rosewood,19,0.65440000,8.00000000,0
Rosewood,20,0.60380000,15.13274595,0
Rosewood,21,4.29820000,13.03840481,0
Rosewood,22,4.27340000,13.00000000,0
Rosewood,23,3.69400000,14.31782106,0
Rosewood,24,3.31180000,13.92838828,0
Rosewood,25,0.88980000,11.18033989,0
Rosewood,26,0.82580000,12.52996409,0
Rosewood,27,3.27040000,11.70469991,0
Rosewood,28,4.46860000,12.20655562,0
Rosewood,29,3.16840000,14.00000000,0
Rosewood,30,4.24300000,14.86606875,0
Rosewood,31,3.97820000,17.08800749,0
Rosewood,32,0.86860000,18.38477631,0
Rosewood,33,0.78180000,15.81138830,0
Rosewood,34,0.75740000,15.81138830,0
Rosewood,35,0.69400000,15.62049935,0
Rosewood,36,0.76980000,16.40121947,0
Rosewood,37,0.63660000,15.81138830,0
Rosewood,38,2.54660000,15.23154621,0
Rosewood,39,0.65580000,15.26433752,0
Rosewood,40,2.64280000,23.02172887,0
Rosewood,41,0.80360000,18.97366596,0
Rosewood,42,4.37380000,21.40093456,0
Rosewood,43,6.48820000,19.10778653,4
Rosewood,44,5.24400000,21.13040903,4
Rosewood,45,2.52860000,21.93171220,0
Rosewood,46,0.92440000,22.20360331,0
Rosewood,47,1.85160000,19.92485885,0
Rosewood,48,3.08940000,21.26029163,0
Rosewood,49,0.66900000,20.39607805,0
Rosewood,50,3.99600000,22.36067977,0
Rosewood,51,4.60440000,22.80350850,0
Rosewood,52,7.82420000,25.55386468,0
Rosewood,53,2.84620000,25.49509757,0
Rosewood,54,4.06440000,26.17250466,0
Rosewood,55,0.61160000,23.25940670,0
Rosewood,56,4.24840000,26.90724809,0
Rosewood,57,0.51240000,23.19482701,0
Rosewood,58,3.05620000,24.75883681,0
Rosewood,59,7.47040000,24.59674775,0
Rosewood,60,8.81220000,28.44301639,4
Rosewood,61,2.82160000,26.92582404,0
Rosewood,62,2.97520000,29.15475947,0
Rosewood,63,3.00760000,30.47950131,0
Rosewood,64,4.00960000,29.27456234,0
Rosewood,65,3.01720000,27.01851217,0
Rosewood,66,3.82320000,30.26549190,0
Rosewood,67,7.16680000,28.35682072,5
Rosewood,68,2.18600000,27.51363298,0
Rosewood,69,2.68080000,27.80287755,0
Rosewood,70,2.62180000,31.04834939,0
Rosewood,71,5.75220000,30.89244399,4
Rosewood,72,3.68840000,32.01562119,0
Rosewood,73,2.74560000,34.65544690,0
Rosewood,74,2.64460000,34.65544690,0
Rosewood,75,6.09580000,35.38361203,0
Rosewood,76,2.13940000,32.57299495,0
Rosewood,77,7.28340000,30.87069808,0
Rosewood,78,5.81620000,30.80840579,4
Rosewood,79,0.96160000,32.69556545,0
Rosewood,80,4.09240000,37.80211634,0
Rosewood,81,4.34180000,36.68787266,0
Rosewood,82,5.06240000,36.49657518,0
Rosewood,83,10.94200000,36.72970354,4
Rosewood,84,0.92860000,35.46829570,0
Rosewood,85,7.43800000,32.87437851,8
Rosewood,86,8.25960000,33.65436298,4
Rosewood,87,4.51180000,34.53828809,4
Rosewood,88,3.02340000,38.41874542,0
Rosewood,89,10.90060000,33.67840454,6
Rosewood,90,5.37920000,39.21734310,0
Rosewood,91,3.40620000,37.34271196,5
Rosewood,92,5.42680000,41.59326869,0
Rosewood,93,8.63900000,40.67424164,4
Rosewood,94,0.83540000,40.60788101,0
Rosewood,95,1.98120000,39.56008089,0
Rosewood,96,3.42880000,40.31128874,0
Rosewood,97,7.48040000,40.02475009,4
Rosewood,98,0.61060000,40.44749683,0
Rosewood,99,6.62320000,41.12830139,4
Rosewood,100,5.43300000,43.96885464,4
Rosewood,101,7.31840000,42.26248816,4
Rosewood,102,2.47660000,43.04648650,0
Rosewood,103,4.49880000,40.85339643,0
Rosewood,104,2.80540000,47.01063709,0
Rosewood,105,2.93280000,43.86342440,0
Rosewood,106,5.34620000,47.01063709,0
Rosewood,107,5.49800000,45.45327271,0
Rosewood,108,2.73340000,43.93176527,0
Rosewood,109,0.67820000,46.75467891,0
Rosewood,110,18.02020000,46.13081842,6
Rosewood,111,2.76280000,49.51767361,0
Rosewood,112,9.95040000,49.29263212,4
