Map,Query Number,Time,Distance,Path Length
SpaceDebris,0,5.71360000,6.32455532,0
SpaceDebris,1,1.07100000,4.24264069,0
SpaceDebris,2,2.47480000,5.00000000,0
SpaceDebris,3,3.66880000,5.00000000,4
SpaceDebris,4,0.65300000,5.00000000,0
SpaceDebris,5,0.91980000,6.08276253,0
SpaceDebris,6,0.76660000,6.32455532,0
SpaceDebris,7,0.69280000,5.38516481,0
SpaceDebris,8,0.95180000,4.12310563,0
SpaceDebris,9,0.73760000,4.47213595,0
SpaceDebris,10,0.71920000,7.81024968,0
SpaceDebris,11,4.10460000,10.00000000,0
SpaceDebris,12,0.61200000,10.04987562,0
SpaceDebris,13,0.73020000,10.19803903,0
SpaceDebris,14,2.88280000,10.19803903,0
SpaceDebris,15,0.83720000,9.48683298,0
SpaceDebris,16,0.42400000,11.04536102,0
SpaceDebris,17,1.85320000,7.81024968,0
SpaceDebris,18,0.90840000,8.06225775,0
SpaceDebris,19,2.22760000,9.43398113,0
SpaceDebris,20,1.30920000,14.00000000,0
SpaceDebris,21,1.96480000,12.08304597,0
SpaceDebris,22,3.89120000,14.76482306,0
SpaceDebris,23,0.59480000,11.40175425,0
SpaceDebris,24,0.61660000,13.00000000,0
SpaceDebris,25,0.76980000,13.89244399,0
SpaceDebris,26,0.45500000,12.52996409,0
SpaceDebris,27,2.35920000,13.60147051,0
SpaceDebris,28,0.75340000,14.42220510,0
SpaceDebris,29,4.11120000,14.21267040,0
SpaceDebris,30,0.67140000,17.02938637,0
SpaceDebris,31,0.50980000,17.49285568,0
SpaceDebris,32,0.86400000,19.10497317,0
SpaceDebris,33,2.20240000,16.12451550,0
SpaceDebris,34,1.08180000,17.20465053,0
SpaceDebris,35,2.84360000,18.02775638,0
SpaceDebris,36,2.74000000,15.26433752,0
SpaceDebris,37,0.55040000,18.02775638,0
SpaceDebris,38,2.90980000,17.08800749,0
SpaceDebris,39,0.64220000,18.02775638,0
SpaceDebris,40,2.14000000,21.00000000,0
SpaceDebris,41,3.05000000,23.08679276,0
SpaceDebris,42,0.90060000,20.24845673,0
SpaceDebris,43,0.64360000,18.86796226,0
SpaceDebris,44,3.13940000,23.34523506,0
SpaceDebris,45,0.66960000,20.61552813,0
SpaceDebris,46,2.83940000,18.86796226,0
SpaceDebris,47,1.00540000,21.21320344,0
SpaceDebris,48,0.54960000,21.95449840,0
SpaceDebris,49,0.83440000,21.63330765,0
SpaceDebris,50,9.25080000,24.86988880,5
SpaceDebris,51,2.29920000,25.00000000,0
SpaceDebris,52,0.64300000,22.36067977,0
SpaceDebris,53,0.77740000,22.84731932,0
SpaceDebris,54,3.31980000,25.00000000,0
SpaceDebris,55,2.38940000,22.47220505,0
SpaceDebris,56,6.75180000,24.20743687,0
SpaceDebris,57,3.41080000,23.53720459,0
SpaceDebris,58,0.61840000,23.70653918,0
SpaceDebris,59,4.56820000,25.61249695,0
SpaceDebris,60,0.59960000,26.40075756,0
SpaceDebris,61,2.58040000,29.73213749,0
SpaceDebris,62,0.71400000,28.17800561,0
SpaceDebris,63,3.05400000,26.00000000,0
SpaceDebris,64,4.32140000,28.28427125,0
SpaceDebris,65,1.83520000,28.01785145,0
SpaceDebris,66,7.22880000,26.90159532,6
SpaceDebris,67,1.96720000,29.61418579,0
SpaceDebris,68,0.90020000,30.14962686,0
SpaceDebris,69,3.06760000,28.42534081,0
SpaceDebris,70,4.82180000,30.41381265,0
SpaceDebris,71,3.58260000,32.75667871,0
SpaceDebris,72,1.68720000,33.10589071,0
SpaceDebris,73,2.64900000,33.24154028,0
SpaceDebris,74,0.69420000,31.90611227,0
SpaceDebris,75,3.05300000,31.14482300,0
SpaceDebris,76,6.48460000,31.62075164,7
SpaceDebris,77,2.07920000,30.80584360,0
SpaceDebris,78,3.84860000,32.55764119,0
SpaceDebris,79,2.08420000,34.20526275,0
SpaceDebris,80,1.98940000,35.11409973,0
SpaceDebris,81,0.67340000,37.80211634,0
SpaceDebris,82,0.57740000,35.77708764,0
SpaceDebris,83,0.57820000,38.00000000,0
SpaceDebris,84,2.89020000,36.40054945,0
SpaceDebris,85,4.20040000,36.67424164,0
SpaceDebris,86,0.57700000,35.77708764,0
SpaceDebris,87,5.84080000,33.95998824,4
SpaceDebris,88,2.31280000,36.67424164,0
SpaceDebris,89,0.53400000,37.80211634,0
SpaceDebris,90,3.30920000,40.45985665,0
SpaceDebris,91,2.69140000,40.22437072,0
SpaceDebris,92,1.98700000,40.31128874,0
SpaceDebris,93,2.19840000,40.19950248,0
SpaceDebris,94,6.60940000,39.14655461,4
SpaceDebris,95,0.57880000,37.16180835,0
SpaceDebris,96,0.56320000,40.80441153,0
SpaceDebris,97,0.50960000,41.77319715,0
SpaceDebris,98,7.55420000,37.94733192,0
SpaceDebris,99,7.51240000,41.72529209,0
SpaceDebris,100,8.39100000,42.86442199,4
SpaceDebris,101,6.72940000,45.17742799,0
SpaceDebris,102,3.08760000,41.77319715,0
SpaceDebris,103,6.78140000,44.04543109,0
SpaceDebris,104,2.82400000,41.23105626,0
SpaceDebris,105,3.39100000,43.41658669,0
SpaceDebris,106,4.80080000,45.96737974,0
SpaceDebris,107,5.58640000,41.18252056,0
SpaceDebris,108,2.59420000,45.39823785,0
SpaceDebris,109,4.81480000,44.41846463,0
SpaceDebris,110,0.56880000,46.61544808,0
SpaceDebris,111,3.52400000,47.53945730,0
SpaceDebris,112,3.02460000,46.81879964,0
SpaceDebris,113,3.50280000,48.08326112,0
SpaceDebris,114,2.91320000,47.07440918,0
SpaceDebris,115,5.17660000,45.48626166,0
SpaceDebris,116,4.24180000,51.00980298,0
SpaceDebris,117,3.12880000,46.64761516,0
SpaceDebris,118,2.81220000,48.37354649,0
SpaceDebris,119,3.44740000,48.25971405,0
SpaceDebris,120,2.77340000,55.03635162,0
SpaceDebris,121,1.83280000,51.08815910,0
SpaceDebris,122,0.65920000,50.11985634,0
SpaceDebris,123,4.37920000,51.47815070,0
SpaceDebris,124,2.49020000,49.76946855,0
SpaceDebris,125,6.26620000,49.49746525,7
SpaceDebris,126,0.56700000,54.08326913,0
SpaceDebris,127,8.46840000,51.85556865,0
SpaceDebris,128,4.12420000,51.97114584,0
SpaceDebris,129,5.88700000,50.59644256,0
SpaceDebris,130,3.08860000,52.49761899,0
SpaceDebris,131,7.36440000,54.96827084,5
SpaceDebris,132,8.87920000,54.44400530,8
SpaceDebris,133,6.06020000,52.54609588,4
