Map,Query Number,Time,Distance,Path Length
SteppingStones,0,1.29300000,6.40312424,0
SteppingStones,1,1.08440000,7.07106781,0
SteppingStones,2,0.85680000,6.32455532,0
SteppingStones,3,4.72880000,4.00000000,0
SteppingStones,4,2.70540000,5.38516481,0
SteppingStones,5,0.79660000,7.07106781,0
SteppingStones,6,0.75500000,5.38516481,0
SteppingStones,7,0.97700000,4.12310563,0
SteppingStones,8,2.84520000,4.00000000,0
SteppingStones,9,0.98500000,7.28010989,0
SteppingStones,10,1.96380000,10.77032961,0
SteppingStones,11,3.78460000,9.05538514,0
SteppingStones,12,0.79920000,10.44030651,0
SteppingStones,13,0.72920000,9.21954446,0
SteppingStones,14,3.52480000,9.84885780,0
SteppingStones,15,0.89980000,9.21954446,0
SteppingStones,16,0.77580000,8.48528137,0
SteppingStones,17,3.75800000,9.43398113,0
SteppingStones,18,0.95500000,8.06225775,0
SteppingStones,19,6.85880000,10.00000000,5
SteppingStones,20,0.69500000,13.45362405,0
SteppingStones,21,2.84080000,14.86606875,0
SteppingStones,22,0.70920000,15.00000000,0
SteppingStones,23,0.98260000,15.00000000,0
SteppingStones,24,3.63280000,12.28538329,5
SteppingStones,25,3.70680000,11.84885780,4
SteppingStones,26,2.13360000,12.36931688,0
SteppingStones,27,4.14240000,12.16552506,0
SteppingStones,28,2.87660000,14.42220510,0
SteppingStones,29,0.63080000,13.89244399,0
SteppingStones,30,2.77040000,16.12451550,0
SteppingStones,31,0.72300000,15.23154621,0
SteppingStones,32,2.72820000,16.40121947,0
SteppingStones,33,2.30920000,18.11077028,0
SteppingStones,34,0.67780000,15.23154621,0
SteppingStones,35,0.96320000,15.29705854,0
SteppingStones,36,0.42980000,15.62049935,0
SteppingStones,37,0.77600000,19.20937271,0
SteppingStones,38,3.08620000,16.27882060,0
SteppingStones,39,2.50700000,18.38477631,0
SteppingStones,40,2.73340000,23.08679276,0
SteppingStones,41,2.77620000,20.88061302,0
SteppingStones,42,0.45640000,20.88061302,0
SteppingStones,43,1.47420000,19.41648784,0
SteppingStones,44,0.63720000,21.47091055,0
SteppingStones,45,1.73280000,22.47220505,0
SteppingStones,46,0.62620000,20.61552813,0
SteppingStones,47,2.05640000,21.21320344,0
SteppingStones,48,0.87280000,23.08679276,0
SteppingStones,49,1.73020000,22.00000000,0
SteppingStones,50,4.24900000,26.30589288,0
SteppingStones,51,5.77400000,25.33014253,4
SteppingStones,52,11.31880000,25.05538514,5
SteppingStones,53,4.41900000,25.63201124,0
SteppingStones,54,7.24100000,23.67759703,6
SteppingStones,55,0.90380000,23.76972865,0
SteppingStones,56,4.40500000,24.18677324,0
SteppingStones,57,6.12800000,26.35931114,4
SteppingStones,58,2.63020000,23.43074903,0
SteppingStones,59,2.20280000,26.87005769,0
SteppingStones,60,0.85020000,30.06659276,0
SteppingStones,61,2.64060000,28.28427125,0
SteppingStones,62,2.50580000,29.42787794,0
SteppingStones,63,0.88460000,27.65863337,0
SteppingStones,64,4.08680000,30.06659276,0
SteppingStones,65,5.09440000,30.00000000,0
SteppingStones,66,3.32060000,29.83286778,0
SteppingStones,67,6.01540000,29.54657341,0
SteppingStones,68,2.41300000,31.14482300,0
SteppingStones,69,1.74120000,27.65863337,0
SteppingStones,70,2.80940000,34.05877273,0
SteppingStones,71,2.41280000,30.36445290,0
SteppingStones,72,3.24320000,32.75667871,0
SteppingStones,73,2.56000000,31.25699922,0
SteppingStones,74,0.65060000,29.96664813,0
SteppingStones,75,2.37160000,35.00000000,0
SteppingStones,76,3.54720000,32.55764119,0
SteppingStones,77,4.81640000,32.55764119,0
SteppingStones,78,3.29160000,34.23448554,0
SteppingStones,79,2.25780000,31.78049716,0
SteppingStones,80,2.05020000,36.34556369,0
SteppingStones,81,0.46940000,33.83784863,0
SteppingStones,82,0.84560000,39.59797975,0
SteppingStones,83,4.97560000,38.41874542,0
SteppingStones,84,4.56840000,35.34119409,0
SteppingStones,85,2.69560000,36.34556369,0
SteppingStones,86,2.76740000,37.01351105,0
SteppingStones,87,1.87680000,36.79673899,0
SteppingStones,88,3.63480000,37.44329045,0
SteppingStones,89,0.57820000,37.65634077,0
SteppingStones,90,3.35220000,41.03656906,0
SteppingStones,91,0.57180000,40.80441153,0
SteppingStones,92,0.49780000,43.01162634,0
SteppingStones,93,2.09400000,40.02499219,0
