Map,Query Number,Time,Distance,Path Length
TaleofTwoCities,0,1.90760000,6.70820393,0
TaleofTwoCities,1,0.85300000,4.00000000,0
TaleofTwoCities,2,0.97640000,7.28010989,0
TaleofTwoCities,3,0.80120000,6.00000000,0
TaleofTwoCities,4,1.02040000,7.07106781,0
TaleofTwoCities,5,0.64680000,7.00000000,0
TaleofTwoCities,6,1.95060000,7.21110255,0
TaleofTwoCities,7,1.44780000,5.83095189,0
TaleofTwoCities,8,1.53080000,7.28010989,0
TaleofTwoCities,9,4.31680000,7.21110255,0
TaleofTwoCities,10,2.48040000,9.43398113,0
TaleofTwoCities,11,4.22060000,11.40175425,0
TaleofTwoCities,12,0.91340000,9.05538514,0
TaleofTwoCities,13,0.83840000,8.54400375,0
TaleofTwoCities,14,0.86320000,8.48528137,0
TaleofTwoCities,15,0.67160000,8.06225775,0
TaleofTwoCities,16,4.99540000,7.81024968,0
TaleofTwoCities,17,3.96100000,7.81024968,0
TaleofTwoCities,18,1.34980000,10.63014581,0
TaleofTwoCities,19,0.77080000,8.60232527,0
TaleofTwoCities,20,0.83180000,13.89244399,0
TaleofTwoCities,21,0.90800000,13.34166406,0
TaleofTwoCities,22,1.01040000,13.45362405,0
TaleofTwoCities,23,1.04140000,14.86606875,0
TaleofTwoCities,24,3.48380000,14.76482306,0
TaleofTwoCities,25,1.14320000,15.13274595,0
TaleofTwoCities,26,1.13620000,14.31782106,0
TaleofTwoCities,27,6.20960000,11.78007172,4
TaleofTwoCities,28,7.51400000,11.66190379,0
TaleofTwoCities,29,1.79380000,11.66190379,0
TaleofTwoCities,30,0.87240000,17.80449381,0
TaleofTwoCities,31,0.87960000,17.11724277,0
TaleofTwoCities,32,0.66060000,15.26433752,0
TaleofTwoCities,33,0.82340000,17.72004515,0
TaleofTwoCities,34,1.03960000,17.26267650,0
TaleofTwoCities,35,0.68400000,16.27882060,0
TaleofTwoCities,36,3.00340000,16.49242250,0
TaleofTwoCities,37,0.92780000,17.00000000,0
TaleofTwoCities,38,0.57160000,16.03121954,0
TaleofTwoCities,39,0.65820000,16.03121954,0
TaleofTwoCities,40,3.84660000,23.34523506,0
TaleofTwoCities,41,2.65880000,20.61552813,0
TaleofTwoCities,42,1.90700000,18.86796226,0
TaleofTwoCities,43,0.83380000,21.54065923,0
