Map,Query Number,Time,Distance,Path Length
TheHighway,0,6.04860000,6.00000000,0
TheHighway,1,1.57360000,6.70820393,0
TheHighway,2,5.36980000,6.40312424,0
TheHighway,3,5.52220000,6.40312424,0
TheHighway,4,0.95200000,4.47213595,0
TheHighway,5,1.24400000,5.38516481,0
TheHighway,6,0.84740000,4.47213595,0
TheHighway,7,1.15180000,6.40312424,0
TheHighway,8,1.51080000,5.83095189,0
TheHighway,9,0.74540000,5.38516481,0
TheHighway,10,3.06160000,11.40175425,0
TheHighway,11,1.10040000,7.61577311,0
TheHighway,12,2.60800000,10.00000000,0
TheHighway,13,2.90900000,10.63014581,0
TheHighway,14,3.33040000,8.06225775,0
TheHighway,15,3.34380000,10.44030651,0
TheHighway,16,0.95200000,9.84885780,0
TheHighway,17,0.62460000,8.24621125,0
TheHighway,18,1.14820000,10.19803903,0
TheHighway,19,1.17980000,8.06225775,0
TheHighway,20,1.44840000,14.56021978,0
TheHighway,21,3.61380000,14.03566885,0
TheHighway,22,1.43540000,12.52996409,0
TheHighway,23,6.46500000,13.89244399,0
TheHighway,24,2.41600000,13.60147051,0
TheHighway,25,1.47720000,13.89244399,0
TheHighway,26,2.34900000,12.20655562,0
TheHighway,27,0.86860000,14.86606875,0
TheHighway,28,1.24120000,11.70469991,0
TheHighway,29,4.80840000,15.00000000,0
TheHighway,30,5.58400000,15.81138830,0
TheHighway,31,3.32760000,17.80449381,0
TheHighway,32,1.28980000,15.81138830,0
TheHighway,33,0.75700000,18.35755975,0
TheHighway,34,8.52000000,15.30230699,4
TheHighway,35,1.23940000,17.00000000,0
TheHighway,36,4.14640000,18.35755975,0
TheHighway,37,4.40220000,18.38477631,0
TheHighway,38,4.13140000,17.49285568,0
TheHighway,39,9.83760000,18.12435711,4
TheHighway,40,0.99400000,20.39607805,0
TheHighway,41,0.82100000,18.78829423,0
TheHighway,42,2.32520000,22.00000000,0
TheHighway,43,2.95300000,20.61552813,0
TheHighway,44,1.07620000,21.09502311,0
TheHighway,45,1.80020000,22.20360331,0
TheHighway,46,4.76020000,20.00000000,0
TheHighway,47,3.56700000,20.02498439,0
TheHighway,48,0.80040000,20.00000000,0
TheHighway,49,8.46300000,21.61671102,4
TheHighway,50,1.01320000,27.00000000,0
TheHighway,51,0.85460000,22.80350850,0
TheHighway,52,5.43320000,24.02082430,0
TheHighway,53,3.04960000,24.18677324,0
TheHighway,54,1.10900000,25.00000000,0
TheHighway,55,4.13640000,25.07987241,0
TheHighway,56,4.04320000,23.53720459,0
TheHighway,57,3.18640000,24.73863375,0
TheHighway,58,8.11220000,22.80350850,0
TheHighway,59,1.18880000,22.36067977,0
TheHighway,60,4.32260000,28.16025568,0
TheHighway,61,2.51260000,28.30194340,0
TheHighway,62,3.18240000,29.15475947,0
TheHighway,63,0.98400000,26.68332813,0
TheHighway,64,2.82740000,27.29468813,0
TheHighway,65,2.35840000,29.20616373,0
TheHighway,66,5.03020000,29.00000000,0
TheHighway,67,8.96340000,27.80287755,0
TheHighway,68,2.54520000,28.63564213,0
TheHighway,69,8.92900000,29.92366353,4
TheHighway,70,4.42040000,29.73213749,0
TheHighway,71,7.38500000,33.42154993,0
TheHighway,72,1.10960000,31.82766093,0
TheHighway,73,9.19220000,32.55764119,0
TheHighway,74,0.86160000,33.97057550,0
TheHighway,75,8.83520000,35.05709629,0
TheHighway,76,3.29040000,32.06243908,0
TheHighway,77,3.64400000,31.06444913,0
TheHighway,78,4.93480000,31.62277660,0
TheHighway,79,2.54100000,31.95309062,0
TheHighway,80,3.40860000,35.73513677,0
TheHighway,81,2.69900000,36.12478374,0
TheHighway,82,2.57380000,37.53664876,0
TheHighway,83,0.86580000,35.84689666,0
TheHighway,84,4.94000000,37.00000000,0
TheHighway,85,4.99560000,34.17601498,0
TheHighway,86,6.83280000,37.21558813,0
TheHighway,87,11.38000000,35.43398113,7
TheHighway,88,7.08440000,36.60638482,6
TheHighway,89,6.52820000,36.76955262,0
TheHighway,90,3.35620000,39.45883931,0
TheHighway,91,4.64700000,38.83297568,0
TheHighway,92,0.73560000,39.62322551,0
TheHighway,93,0.74580000,38.47076812,0
TheHighway,94,7.99560000,39.91960782,5
TheHighway,95,5.85160000,42.04759208,0
TheHighway,96,4.50880000,39.82461550,0
TheHighway,97,6.25220000,39.00736251,6
TheHighway,98,2.56760000,39.92492956,0
TheHighway,99,4.71460000,39.62322551,0
TheHighway,100,9.94380000,43.30511163,4
TheHighway,101,7.75640000,44.01136217,0
TheHighway,102,5.52360000,43.30511163,4
TheHighway,103,5.22000000,41.97618372,0
TheHighway,104,4.23820000,42.43819035,0
TheHighway,105,5.71760000,41.88078318,0
TheHighway,106,2.05520000,41.59326869,0
TheHighway,107,5.17880000,41.62613412,4
TheHighway,108,0.80900000,43.01162634,0
TheHighway,109,1.10300000,42.15447782,0
TheHighway,110,2.02700000,47.53945730,0
TheHighway,111,10.76160000,46.97551817,6
TheHighway,112,4.66480000,46.04345773,0
TheHighway,113,7.86180000,45.22167622,0
TheHighway,114,4.39440000,47.42362281,0
TheHighway,115,5.63980000,48.05205511,0
