Map,Query Number,Time,Distance,Path Length
ThinIce,0,1.88600000,6.32455532,0
ThinIce,1,1.57720000,7.21110255,0
ThinIce,2,1.24600000,4.00000000,0
ThinIce,3,2.67240000,5.00000000,0
ThinIce,4,1.21740000,6.08276253,0
ThinIce,5,1.23000000,7.21110255,0
ThinIce,6,6.67180000,7.07106781,0
ThinIce,7,4.82280000,5.00000000,0
ThinIce,8,4.07900000,6.40312424,0
ThinIce,9,1.05980000,5.00000000,0
ThinIce,10,1.39720000,10.19803903,0
ThinIce,11,4.42140000,9.21954446,0
ThinIce,12,1.00000000,8.24621125,0
ThinIce,13,2.64260000,8.48528137,0
ThinIce,14,1.11760000,10.63014581,0
ThinIce,15,0.91040000,8.24621125,0
ThinIce,16,2.10200000,10.44030651,0
ThinIce,17,2.86800000,10.30713579,4
ThinIce,18,0.83040000,10.00000000,0
ThinIce,19,0.55140000,9.21954446,0
ThinIce,20,1.03420000,15.00000000,0
ThinIce,21,4.18680000,11.66190379,0
ThinIce,22,6.05580000,14.86783761,4
ThinIce,23,2.35380000,14.86606875,0
ThinIce,24,3.37500000,14.56021978,0
ThinIce,25,0.71780000,14.00000000,0
ThinIce,26,3.29800000,13.60147051,0
ThinIce,27,2.39020000,11.18033989,0
ThinIce,28,3.70340000,14.14213562,0
ThinIce,29,0.81900000,12.08304597,0
ThinIce,30,5.45120000,18.43908891,0
ThinIce,31,0.77400000,17.00000000,0
ThinIce,32,5.77700000,15.89580466,5
ThinIce,33,3.22980000,16.40121947,0
ThinIce,34,3.65120000,16.97056275,0
ThinIce,35,1.22000000,17.02938637,0
ThinIce,36,2.61020000,17.49285568,0
ThinIce,37,2.74880000,18.38477631,0
ThinIce,38,0.99160000,17.08800749,0
ThinIce,39,3.60120000,18.02775638,0
ThinIce,40,5.25240000,18.97366596,0
ThinIce,41,4.72500000,21.82844351,4
ThinIce,42,4.65200000,18.68154169,0
ThinIce,43,3.17080000,21.18962010,0
ThinIce,44,1.87420000,20.02498439,0
ThinIce,45,4.04320000,22.36067977,0
ThinIce,46,0.75660000,21.18962010,0
ThinIce,47,3.19960000,18.78829423,0
ThinIce,48,4.29340000,20.51828453,0
ThinIce,49,4.26600000,20.80865205,0
ThinIce,50,0.77840000,25.00000000,0
ThinIce,51,2.49460000,24.02082430,0
ThinIce,52,2.90540000,22.56102835,0
ThinIce,53,1.00240000,26.30589288,0
ThinIce,54,4.19620000,25.94224354,0
ThinIce,55,4.68600000,23.43074903,0
ThinIce,56,3.29500000,23.38477631,4
ThinIce,57,3.97920000,26.01922366,0
ThinIce,58,3.23580000,26.40075756,0
ThinIce,59,2.94280000,22.56102835,0
ThinIce,60,4.21960000,30.14962686,0
ThinIce,61,0.81160000,28.31960452,0
ThinIce,62,2.53820000,29.06888371,0
ThinIce,63,3.51740000,29.73213749,0
ThinIce,64,2.26940000,28.44292531,0
ThinIce,65,0.78220000,27.89265136,0
ThinIce,66,2.52140000,27.65863337,0
ThinIce,67,7.79740000,26.94008345,4
ThinIce,68,0.68120000,27.16615541,0
ThinIce,69,1.10380000,27.89265136,0
ThinIce,70,0.61040000,30.46309242,0
ThinIce,71,3.91620000,34.13209633,0
ThinIce,72,2.83800000,30.88689042,0
ThinIce,73,8.29600000,31.42663436,5
ThinIce,74,5.47680000,30.52867504,0
ThinIce,75,4.76440000,32.31098884,0
ThinIce,76,5.48900000,29.96664813,0
ThinIce,77,0.87980000,35.05709629,0
ThinIce,78,0.83660000,32.24903099,0
ThinIce,79,0.65860000,33.37663854,0
ThinIce,80,3.45400000,33.83784863,0
ThinIce,81,2.88440000,36.23534186,0
ThinIce,82,5.32700000,36.87817783,0
ThinIce,83,3.04420000,34.40930107,0
ThinIce,84,4.01260000,35.11409973,0
ThinIce,85,8.43080000,36.73420457,4
ThinIce,86,4.77540000,36.13862200,0
ThinIce,87,5.72440000,33.02172887,4
ThinIce,88,4.75440000,37.00000000,0
ThinIce,89,7.68480000,36.13359544,4
ThinIce,90,0.79480000,38.32753579,0
ThinIce,91,3.11560000,43.01162634,0
ThinIce,92,4.71600000,39.11521443,0
ThinIce,93,4.84280000,42.19004622,0
ThinIce,94,3.35700000,40.04996879,0
ThinIce,95,4.84000000,40.24922359,0
ThinIce,96,0.64740000,38.27531842,0
ThinIce,97,4.41220000,40.31128874,0
ThinIce,98,0.65820000,38.01315562,0
ThinIce,99,0.63820000,38.91015292,0
ThinIce,100,11.60340000,43.60262818,6
ThinIce,101,0.68740000,41.97618372,0
ThinIce,102,3.15500000,44.55333882,0
ThinIce,103,20.39560000,41.96150525,7
ThinIce,104,2.54780000,41.59326869,0
ThinIce,105,3.77580000,43.41658669,0
ThinIce,106,9.56500000,41.00380271,5
ThinIce,107,3.35560000,45.39823785,0
ThinIce,108,8.08580000,43.26661531,0
ThinIce,109,9.04820000,41.70579841,4
ThinIce,110,0.69100000,46.87216658,0
ThinIce,111,3.77300000,46.09772229,0
ThinIce,112,7.55980000,48.16637832,0
ThinIce,113,8.81120000,49.58391192,4
ThinIce,114,4.62240000,50.15974482,0
ThinIce,115,14.44660000,47.76727905,8
ThinIce,116,7.68340000,47.31004304,4
ThinIce,117,4.51740000,45.61797891,0
ThinIce,118,3.06900000,50.93132631,0
ThinIce,119,12.61360000,48.02328035,6
ThinIce,120,6.28920000,50.92150823,0
ThinIce,121,0.64520000,49.81967483,0
ThinIce,122,4.36700000,51.00000000,0
ThinIce,123,4.87620000,50.44799302,0
ThinIce,124,4.96580000,50.24937811,0
ThinIce,125,12.49000000,50.33745414,4
ThinIce,126,7.30020000,49.40647731,0
ThinIce,127,2.99120000,49.04079934,0
ThinIce,128,0.56900000,50.24937811,0
