Map,Query Number,Time,Distance,Path Length
Tribes,0,4.40020000,7.07106781,0
Tribes,1,1.03920000,5.09901951,0
Tribes,2,5.34980000,4.00000000,4
Tribes,3,1.32280000,6.08276253,0
Tribes,4,0.89140000,4.12310563,0
Tribes,5,0.71840000,7.00000000,0
Tribes,6,3.37320000,6.32455532,0
Tribes,7,0.98960000,5.83095189,0
Tribes,8,0.80200000,7.00000000,0
Tribes,9,0.78680000,5.65685425,0
Tribes,10,2.80780000,11.04536102,0
Tribes,11,1.05640000,8.06225775,0
Tribes,12,0.67700000,10.44030651,0
Tribes,13,4.39080000,11.04536102,0
Tribes,14,3.01280000,8.94427191,0
Tribes,15,2.86640000,10.00000000,0
Tribes,16,4.56840000,11.18033989,0
Tribes,17,2.96300000,9.21954446,0
Tribes,18,0.70620000,9.21954446,0
Tribes,19,0.73500000,8.60232527,0
Tribes,20,2.58040000,13.03840481,0
Tribes,21,1.87100000,13.89244399,0
Tribes,22,0.64000000,14.31782106,0
Tribes,23,0.99240000,13.92838828,0
Tribes,24,2.45040000,14.03566885,0
Tribes,25,3.64440000,13.92838828,0
Tribes,26,4.41420000,14.03566885,0
Tribes,27,0.76640000,13.03840481,0
Tribes,28,2.58000000,12.36931688,0
Tribes,29,0.74640000,13.03840481,0
Tribes,30,2.49880000,16.15549442,0
Tribes,31,3.06240000,16.55294536,0
Tribes,32,3.05160000,15.81138830,0
Tribes,33,2.59980000,15.26433752,0
Tribes,34,2.28180000,15.52417470,0
Tribes,35,0.87540000,17.11724277,0
Tribes,36,0.68900000,17.72004515,0
Tribes,37,3.39860000,17.26267650,0
Tribes,38,2.15780000,16.55294536,0
Tribes,39,0.94280000,18.24828759,0
Tribes,40,0.75440000,22.09072203,0
Tribes,41,4.76560000,20.02498439,0
Tribes,42,3.02020000,21.37755833,0
Tribes,43,2.67920000,21.84032967,0
Tribes,44,2.48440000,20.61552813,0
Tribes,45,2.59820000,21.54065923,0
Tribes,46,1.89500000,20.61552813,0
Tribes,47,6.68060000,19.82931816,4
Tribes,48,2.24580000,20.61552813,0
Tribes,49,2.54260000,22.80350850,0
Tribes,50,0.80400000,23.08679276,0
Tribes,51,2.68080000,27.07397274,0
Tribes,52,6.27720000,25.61249695,0
Tribes,53,0.85520000,22.80350850,0
Tribes,54,0.74760000,27.07397274,0
Tribes,55,3.34020000,25.31797780,0
Tribes,56,0.71860000,22.47220505,0
Tribes,57,2.38700000,24.69817807,0
Tribes,58,5.74480000,23.53736552,4
Tribes,59,2.58220000,24.51530134,0
Tribes,60,0.69960000,26.92582404,0
Tribes,61,4.78580000,27.78488798,0
Tribes,62,0.91400000,28.60069929,0
Tribes,63,3.30580000,29.52964612,0
Tribes,64,2.79580000,31.06444913,0
Tribes,65,2.41980000,28.60069929,0
Tribes,66,2.27560000,28.01785145,0
Tribes,67,0.74760000,26.68332813,0
Tribes,68,6.48620000,29.54657341,0
Tribes,69,0.65840000,26.92582404,0
Tribes,70,4.76480000,32.55764119,0
Tribes,71,2.01760000,33.24154028,0
Tribes,72,5.56360000,30.04985569,5
Tribes,73,0.98320000,31.78049716,0
Tribes,74,2.54460000,30.80584360,0
Tribes,75,2.85300000,30.80584360,0
Tribes,76,0.98580000,33.24154028,0
Tribes,77,5.96020000,30.80584360,0
Tribes,78,7.06340000,33.73425559,0
Tribes,79,3.45020000,29.96664813,0
Tribes,80,0.80240000,38.20994635,0
Tribes,81,4.23860000,34.36568055,0
Tribes,82,2.56200000,36.23534186,0
Tribes,83,4.00360000,38.41874542,0
Tribes,84,2.96380000,36.40054945,0
Tribes,85,3.62840000,35.00000000,0
Tribes,86,2.13080000,35.51056181,0
Tribes,87,7.50040000,35.81486548,4
Tribes,88,2.52180000,37.00000000,0
Tribes,89,0.71060000,34.01470270,0
Tribes,90,5.54960000,43.01162634,0
Tribes,91,3.56560000,39.81205847,0
Tribes,92,0.80080000,40.52159918,0
Tribes,93,3.14460000,41.00000000,0
Tribes,94,5.82400000,39.81205847,0
Tribes,95,3.19340000,41.23105626,0
Tribes,96,3.64940000,40.16217126,0
Tribes,97,4.13160000,37.94733192,0
Tribes,98,2.54880000,37.73592453,0
Tribes,99,2.80660000,39.05124838,0
Tribes,100,3.95640000,42.05948169,0
Tribes,101,0.67460000,44.40720662,0
Tribes,102,6.72160000,42.95346319,0
Tribes,103,5.82740000,40.71854614,0
Tribes,104,0.58920000,43.08131846,0
Tribes,105,2.94360000,46.17358552,0
Tribes,106,3.69780000,41.62931659,0
Tribes,107,4.23660000,43.18564576,0
Tribes,108,3.06160000,42.05948169,0
Tribes,109,4.44640000,42.57933771,0
Tribes,110,2.80260000,44.92215489,0
Tribes,111,0.66860000,46.09772229,0
Tribes,112,4.46600000,47.20169488,0
Tribes,113,6.46720000,47.14962686,5
Tribes,114,3.87960000,46.17358552,0
Tribes,115,0.76320000,48.54894438,0
Tribes,116,2.92820000,46.04345773,0
Tribes,117,7.32980000,46.52956050,0
Tribes,118,3.29160000,45.61797891,0
Tribes,119,2.82100000,44.77722635,0
Tribes,120,3.55040000,48.70318265,0
Tribes,121,3.26660000,51.40038910,0
Tribes,122,3.21560000,51.19570294,0
Tribes,123,6.72020000,51.74455580,4
Tribes,124,2.64700000,49.19349550,0
Tribes,125,4.89720000,53.03772242,0
Tribes,126,4.34200000,50.63595560,0
Tribes,127,7.70540000,51.47811741,6
Tribes,128,3.32200000,51.04755724,4
Tribes,129,0.63120000,49.40647731,0
Tribes,130,2.46620000,55.57877293,0
Tribes,131,2.89380000,55.14526272,0
Tribes,132,11.33700000,55.76905330,6
Tribes,133,0.98940000,53.85164807,0
Tribes,134,4.53720000,53.85164807,0
Tribes,135,2.80940000,55.56977596,0
Tribes,136,5.32160000,54.45181356,0
Tribes,137,4.32500000,54.81788029,0
Tribes,138,5.07100000,56.56854249,0
Tribes,139,5.03940000,53.53503526,0
Tribes,140,5.63100000,57.56735186,0
Tribes,141,9.08000000,56.82092567,7
Tribes,142,3.45940000,57.72347876,0
Tribes,143,6.76360000,56.32051136,0
Tribes,144,6.29480000,57.42821606,0
Tribes,145,1.63580000,56.35601121,0
Tribes,146,4.24600000,56.32051136,0
Tribes,147,4.78500000,56.93856338,0
Tribes,148,6.81420000,60.82762530,0
Tribes,149,6.09360000,60.80296045,0
Tribes,150,3.97360000,63.03173804,0
Tribes,151,4.88560000,66.52818951,0
Tribes,152,2.79260000,64.07027392,0
Tribes,153,5.98760000,63.12685641,0
Tribes,154,5.61740000,62.39390996,0
Tribes,155,2.91180000,66.00757532,0
Tribes,156,4.90360000,66.06814664,0
Tribes,157,3.18500000,62.39390996,0
Tribes,158,5.65180000,62.26556030,0
Tribes,159,3.28000000,62.42595614,0
Tribes,160,13.31180000,66.57866808,4
Tribes,161,14.17720000,66.89787160,7
Tribes,162,6.63920000,68.06614430,0
Tribes,163,4.86600000,69.46818174,4
Tribes,164,3.00860000,66.27216610,0
Tribes,165,5.10380000,69.42621983,0
Tribes,166,2.27160000,66.91038783,0
Tribes,167,3.62780000,68.62215386,0
Tribes,168,8.14640000,64.93184711,4
Tribes,169,2.92280000,67.89698079,0
Tribes,170,2.64160000,72.13875519,0
Tribes,171,4.12980000,74.24957912,0
Tribes,172,4.38480000,72.44308111,0
Tribes,173,13.21500000,69.69225137,8
Tribes,174,6.64900000,68.50547423,0
Tribes,175,2.81000000,71.25307011,0
Tribes,176,5.24500000,67.60177512,0
Tribes,177,3.60860000,71.02112362,0
Tribes,178,11.03740000,66.22654209,4
Tribes,179,2.87300000,68.68041933,0
Tribes,180,3.32960000,76.41989270,0
Tribes,181,4.80400000,73.82411530,0
