Map,Query Number,Time,Distance,Path Length
Triskelion,0,1.29460000,7.21110255,0
Triskelion,1,0.96160000,5.00000000,0
Triskelion,2,3.87240000,7.28010989,0
Triskelion,3,0.84400000,7.00000000,0
Triskelion,4,0.65060000,4.47213595,0
Triskelion,5,0.80960000,7.07106781,0
Triskelion,6,4.21620000,6.95153275,4
Triskelion,7,1.03320000,5.83095189,0
Triskelion,8,0.87920000,5.00000000,0
Triskelion,9,3.40040000,4.12310563,0
Triskelion,10,0.68260000,7.81024968,0
Triskelion,11,2.63420000,10.77032961,0
Triskelion,12,0.61340000,8.06225775,0
Triskelion,13,4.05360000,9.84885780,0
Triskelion,14,0.80320000,9.48683298,0
Triskelion,15,0.74100000,10.00000000,0
Triskelion,16,0.69400000,10.29563014,0
Triskelion,17,0.65140000,8.00000000,0
Triskelion,18,0.77740000,10.77032961,0
Triskelion,19,5.16100000,7.47213595,5
Triskelion,20,0.67780000,12.04159458,0
Triskelion,21,0.66720000,12.52996409,0
Triskelion,22,0.50860000,13.03840481,0
Triskelion,23,2.72000000,15.03329638,0
Triskelion,24,0.73260000,12.52996409,0
Triskelion,25,2.50500000,11.40175425,0
Triskelion,26,2.60920000,13.41640786,0
Triskelion,27,0.47560000,12.72792206,0
Triskelion,28,2.91720000,13.45362405,0
Triskelion,29,2.02060000,12.80624847,0
Triskelion,30,0.57320000,18.43908891,0
Triskelion,31,0.47980000,18.02775638,0
Triskelion,32,0.69440000,15.23154621,0
Triskelion,33,0.51340000,18.02775638,0
Triskelion,34,0.62180000,16.12451550,0
Triskelion,35,1.01580000,17.00000000,0
Triskelion,36,5.25060000,18.81024968,4
Triskelion,37,2.81240000,17.49285568,0
Triskelion,38,2.22760000,16.12451550,0
Triskelion,39,0.76500000,18.24828759,0
Triskelion,40,4.62660000,18.43908891,0
Triskelion,41,0.61040000,21.58703314,0
Triskelion,42,4.97900000,20.24950736,4
Triskelion,43,5.00640000,18.86796226,0
Triskelion,44,0.69340000,21.21320344,0
Triskelion,45,2.74020000,18.68154169,0
Triskelion,46,4.10300000,19.31320792,0
Triskelion,47,4.84740000,20.39607805,0
Triskelion,48,2.62180000,21.02379604,0
Triskelion,49,0.63900000,21.93171220,0
Triskelion,50,2.51300000,23.60084744,0
Triskelion,51,3.03640000,26.87005769,0
Triskelion,52,1.80440000,25.55386468,0
Triskelion,53,0.66220000,23.76972865,0
Triskelion,54,1.77540000,23.53720459,0
Triskelion,55,0.63540000,23.34523506,0
Triskelion,56,3.63040000,23.08679276,0
Triskelion,57,2.74740000,24.20743687,0
Triskelion,58,0.57060000,25.94224354,0
Triskelion,59,0.61360000,24.51530134,0
Triskelion,60,5.81700000,28.31960452,0
Triskelion,61,4.92720000,30.43144982,4
Triskelion,62,0.71800000,28.42534081,0
Triskelion,63,0.56320000,28.60069929,0
Triskelion,64,3.80420000,25.49509757,0
Triskelion,65,3.94240000,27.45906044,0
Triskelion,66,3.13520000,29.41088234,0
Triskelion,67,2.39800000,29.42787794,0
Triskelion,68,0.63120000,31.14482300,0
Triskelion,69,5.08860000,28.42534081,0
Triskelion,70,2.47840000,31.40063694,0
Triskelion,71,0.52380000,33.54101966,0
Triskelion,72,3.49480000,32.55764119,0
Triskelion,73,0.47220000,34.05877273,0
Triskelion,74,6.10820000,31.78807634,4
Triskelion,75,2.61020000,33.13608305,0
Triskelion,76,3.84220000,32.38826948,0
Triskelion,77,2.53960000,33.12099032,0
Triskelion,78,2.24580000,33.54101966,0
Triskelion,79,3.99560000,32.64965543,0
Triskelion,80,0.63340000,34.53983208,0
Triskelion,81,5.30080000,35.46829570,0
Triskelion,82,0.57620000,37.12142239,0
Triskelion,83,2.24880000,38.20994635,0
Triskelion,84,0.46740000,37.12142239,0
Triskelion,85,9.12920000,35.93152354,6
Triskelion,86,4.97220000,34.36568055,0
Triskelion,87,3.04040000,37.12142239,0
Triskelion,88,0.48200000,34.88552709,0
Triskelion,89,3.48800000,39.01281841,0
Triskelion,90,4.06940000,42.04759208,0
Triskelion,91,2.22660000,41.77319715,0
Triskelion,92,11.17480000,40.67236024,5
Triskelion,93,2.66900000,39.84971769,0
Triskelion,94,1.03680000,42.01190308,0
Triskelion,95,0.79880000,39.81205847,0
Triskelion,96,3.14460000,41.04875150,0
Triskelion,97,4.63920000,40.45985665,0
Triskelion,98,7.86740000,39.75644297,4
Triskelion,99,3.41800000,39.62322551,0
Triskelion,100,2.38880000,47.00000000,0
Triskelion,101,0.83940000,43.73785546,0
Triskelion,102,9.23860000,44.82161618,12
Triskelion,103,6.03540000,44.80810114,4
Triskelion,104,0.67640000,45.96737974,0
Triskelion,105,2.50120000,41.18252056,0
Triskelion,106,5.32640000,42.47220505,4
Triskelion,107,5.10400000,45.27692569,0
Triskelion,108,0.66320000,43.28972164,0
Triskelion,109,10.52720000,44.65001754,13
Triskelion,110,4.04380000,45.17742799,0
Triskelion,111,4.01680000,47.43416490,0
Triskelion,112,0.63820000,47.67598976,0
Triskelion,113,4.23300000,47.01063709,0
Triskelion,114,3.79000000,45.54119015,0
Triskelion,115,3.64600000,45.18849411,0
Triskelion,116,2.71280000,47.50789408,0
Triskelion,117,0.67180000,48.82622246,0
Triskelion,118,0.57720000,47.63402146,0
Triskelion,119,2.98200000,49.57822102,0
Triskelion,120,15.69860000,52.25699922,9
Triskelion,121,1.94860000,50.80354318,0
Triskelion,122,7.19380000,50.59644256,0
Triskelion,123,2.93320000,54.45181356,0
Triskelion,124,0.73960000,48.75448697,0
Triskelion,125,2.54540000,53.23532662,0
Triskelion,126,10.46660000,50.30266074,6
Triskelion,127,0.54240000,53.46026562,0
Triskelion,128,11.40600000,50.82158238,12
Triskelion,129,5.90300000,50.60632372,0
Triskelion,130,5.05300000,55.10898293,0
Triskelion,131,10.75880000,55.02726597,0
Triskelion,132,0.61660000,51.86520992,0
Triskelion,133,5.25640000,59.03388857,0
Triskelion,134,3.23960000,52.20153254,0
Triskelion,135,5.39200000,55.39905919,9
Triskelion,136,0.66040000,56.03570290,0
Triskelion,137,5.75380000,55.05499280,5
Triskelion,138,3.83480000,52.35456045,0
Triskelion,139,15.00600000,54.42025888,13
Triskelion,140,6.69540000,61.04447751,5
Triskelion,141,2.46780000,58.42088668,0
Triskelion,142,5.80600000,62.07253821,0
Triskelion,143,5.47680000,60.21627687,0
Triskelion,144,0.64240000,56.35601121,0
Triskelion,145,7.99140000,59.19365002,4
Triskelion,146,2.99600000,60.87692502,0
Triskelion,147,6.10200000,57.30619513,0
Triskelion,148,7.75960000,55.70843693,6
Triskelion,149,0.84820000,59.13543777,0
Triskelion,150,0.56940000,62.68173578,0
Triskelion,151,2.23520000,63.70243323,0
Triskelion,152,6.19800000,62.81719510,0
Triskelion,153,13.66000000,61.98424542,17
Triskelion,154,11.17180000,60.97230652,4
Triskelion,155,4.60460000,62.26556030,0
Triskelion,156,10.68280000,57.90552977,18
Triskelion,157,0.60820000,63.51377803,0
Triskelion,158,2.55980000,63.60031446,0
Triskelion,159,5.28460000,62.16912417,0
Triskelion,160,8.87900000,68.01021715,8
Triskelion,161,0.53340000,67.67569726,0
Triskelion,162,14.73780000,64.38668797,14
Triskelion,163,4.28880000,65.00000000,0
Triskelion,164,6.58240000,70.72481884,0
Triskelion,165,2.87380000,66.64833081,0
Triskelion,166,15.06560000,65.14414767,4
Triskelion,167,4.36300000,69.26037828,0
Triskelion,168,11.23160000,66.23709146,5
Triskelion,169,7.57740000,65.88522142,6
Triskelion,170,9.82940000,71.52015322,5
Triskelion,171,3.15820000,69.12307864,0
Triskelion,172,21.96620000,67.70588554,10
Triskelion,173,5.83200000,71.48308055,4
Triskelion,174,11.46640000,70.40063694,6
Triskelion,175,9.00380000,67.23094526,0
Triskelion,176,5.63840000,70.22819946,0
Triskelion,177,10.52980000,70.62365038,5
Triskelion,178,11.36980000,69.92447449,5
Triskelion,179,21.66720000,66.32296206,15
Triskelion,180,11.25760000,71.78313084,9
Triskelion,181,15.57440000,70.63564213,4
Triskelion,182,4.46700000,74.81310046,0
Triskelion,183,0.62260000,70.83784299,0
Triskelion,184,6.78860000,79.20858539,0
Triskelion,185,24.10860000,73.31028344,11
Triskelion,186,14.26420000,71.36430705,6
Triskelion,187,5.79740000,72.03471385,0
Triskelion,188,9.57520000,72.02775638,4
Triskelion,189,7.81220000,73.92647514,6
Triskelion,190,2.47300000,76.66159404,0
Triskelion,191,0.61880000,75.50496672,0
Triskelion,192,12.71040000,78.22503174,5
Triskelion,193,7.74980000,80.80841540,0
Triskelion,194,0.64760000,77.46612163,0
Triskelion,195,8.70460000,78.50144109,4
Triskelion,196,5.83860000,76.60939890,0
Triskelion,197,10.86100000,75.38033408,4
Triskelion,198,3.17020000,76.40026178,0
Triskelion,199,28.03000000,77.31796778,4
Triskelion,200,9.51140000,79.14976755,4
Triskelion,201,2.42880000,82.60750571,0
Triskelion,202,9.44040000,81.01396963,4
Triskelion,203,4.07480000,85.21150157,0
Triskelion,204,5.41360000,85.70297544,0
Triskelion,205,9.92720000,80.58493360,5
Triskelion,206,13.66700000,81.46288896,10
Triskelion,207,5.32780000,83.02847479,4
Triskelion,208,9.35740000,83.48547522,8
