Map,Query Number,Time,Distance,Path Length
Typhoon,0,4.13580000,4.12310563,0
Typhoon,1,4.45140000,7.07106781,0
Typhoon,2,1.40820000,7.28010989,0
Typhoon,3,0.84920000,5.38516481,0
Typhoon,4,1.04440000,7.07106781,0
Typhoon,5,1.20900000,5.83095189,0
Typhoon,6,0.60400000,6.70820393,0
Typhoon,7,1.00520000,5.00000000,0
Typhoon,8,0.62320000,6.08276253,0
Typhoon,9,0.92760000,5.38516481,0
Typhoon,10,0.63120000,7.81024968,0
Typhoon,11,0.83940000,8.24621125,0
Typhoon,12,0.94260000,10.04987562,0
Typhoon,13,0.91140000,8.06225775,0
Typhoon,14,0.82980000,11.40175425,0
Typhoon,15,0.69640000,9.21954446,0
Typhoon,16,0.87140000,10.63014581,0
Typhoon,17,2.71300000,8.06225775,0
Typhoon,18,1.20540000,10.29563014,0
Typhoon,19,0.62260000,8.94427191,0
Typhoon,20,0.61760000,11.18033989,0
Typhoon,21,0.92460000,14.86606875,0
Typhoon,22,3.01700000,11.18033989,0
Typhoon,23,5.31320000,14.03566885,0
Typhoon,24,4.56500000,13.34166406,0
Typhoon,25,2.62480000,12.04159458,0
Typhoon,26,0.76080000,12.04159458,0
Typhoon,27,1.14840000,12.04159458,0
Typhoon,28,0.66240000,12.04159458,0
Typhoon,29,0.80080000,12.04159458,0
Typhoon,30,5.69040000,19.20937271,0
Typhoon,31,4.94200000,18.43908891,0
Typhoon,32,0.68980000,18.02775638,0
Typhoon,33,0.59760000,18.02775638,0
Typhoon,34,0.94280000,15.62049935,0
Typhoon,35,0.89380000,18.35755975,0
Typhoon,36,3.42140000,17.72004515,0
Typhoon,37,0.69260000,19.10497317,0
Typhoon,38,0.45660000,15.81138830,0
Typhoon,39,0.58760000,16.64331698,0
Typhoon,40,5.23620000,22.80350850,0
Typhoon,41,0.96580000,21.02379604,0
Typhoon,42,0.55880000,22.02271555,0
Typhoon,43,3.21540000,20.02498439,0
Typhoon,44,1.10880000,20.61552813,0
Typhoon,45,3.18000000,19.92485885,0
Typhoon,46,0.73280000,21.18962010,0
Typhoon,47,0.70480000,20.61552813,0
Typhoon,48,0.74140000,20.24845673,0
Typhoon,49,0.51940000,20.59126028,0
Typhoon,50,7.51500000,22.84731932,0
Typhoon,51,4.58500000,24.18677324,0
Typhoon,52,0.91020000,23.43074903,0
Typhoon,53,0.79700000,26.07680962,0
Typhoon,54,0.91320000,23.08679276,0
Typhoon,55,0.65200000,26.07680962,0
Typhoon,56,3.59460000,23.34523506,0
Typhoon,57,0.69480000,22.84731932,0
Typhoon,58,7.63140000,23.70653918,0
Typhoon,59,0.57660000,23.60084744,0
Typhoon,60,0.49520000,29.15475947,0
Typhoon,61,2.50640000,28.23118843,0
Typhoon,62,0.69920000,26.24880950,0
Typhoon,63,3.57140000,28.01785145,0
Typhoon,64,3.52160000,31.01612484,0
Typhoon,65,0.60080000,28.17800561,0
Typhoon,66,0.65780000,29.06888371,0
Typhoon,67,2.71000000,27.51363298,0
Typhoon,68,1.04880000,28.60069929,0
Typhoon,69,0.55420000,28.16025568,0
Typhoon,70,0.50360000,30.41381265,0
Typhoon,71,0.76320000,31.01612484,0
Typhoon,72,4.01760000,32.75667871,0
Typhoon,73,3.67560000,31.95309062,0
Typhoon,74,5.50820000,31.06444913,0
Typhoon,75,0.89480000,32.06243908,0
Typhoon,76,3.50360000,32.28002478,0
Typhoon,77,5.74340000,32.24903099,0
Typhoon,78,0.65280000,32.55764119,0
Typhoon,79,4.21440000,32.89376841,0
Typhoon,80,5.45720000,35.00000000,0
Typhoon,81,3.46060000,36.40054945,0
Typhoon,82,4.44100000,36.87817783,0
Typhoon,83,0.70000000,36.05551275,0
Typhoon,84,0.67380000,34.43835072,0
Typhoon,85,0.68480000,36.87817783,0
Typhoon,86,3.24500000,35.11409973,0
Typhoon,87,9.02520000,38.29681778,4
Typhoon,88,2.88240000,39.59797975,0
Typhoon,89,5.80560000,37.00000000,0
Typhoon,90,0.98020000,39.56008089,0
Typhoon,91,9.25160000,40.22437072,0
Typhoon,92,0.74380000,40.79215611,0
Typhoon,93,0.58620000,37.36308338,0
Typhoon,94,7.81420000,38.69719587,4
Typhoon,95,0.65020000,39.84971769,0
Typhoon,96,0.82180000,41.10960958,0
Typhoon,97,6.67820000,41.24401866,5
Typhoon,98,5.21500000,40.70626487,0
Typhoon,99,0.73580000,41.43669871,0
Typhoon,100,9.81820000,43.02172887,4
Typhoon,101,10.34880000,44.64383817,4
Typhoon,102,1.05400000,45.17742799,0
Typhoon,103,0.72800000,42.29657197,0
Typhoon,104,0.82820000,44.55333882,0
Typhoon,105,4.86680000,44.40720662,0
Typhoon,106,0.73540000,44.94441011,0
Typhoon,107,8.88900000,42.27338600,4
Typhoon,108,4.26840000,43.60045871,0
Typhoon,109,13.52700000,44.50275066,4
Typhoon,110,0.77560000,46.61544808,0
Typhoon,111,3.49000000,51.03920062,0
Typhoon,112,0.89260000,46.87216658,0
Typhoon,113,4.34960000,50.15974482,0
Typhoon,114,0.56240000,45.48626166,0
Typhoon,115,3.28940000,48.10405388,0
Typhoon,116,3.21920000,48.50773134,0
Typhoon,117,0.73320000,50.32891813,0
Typhoon,118,0.69900000,49.09175083,0
Typhoon,119,3.43940000,49.51767361,0
Typhoon,120,3.44960000,49.65883607,0
Typhoon,121,0.56340000,54.56189146,0
Typhoon,122,0.77060000,52.23983155,0
Typhoon,123,0.56560000,51.26402247,0
Typhoon,124,7.69840000,50.15729176,4
Typhoon,125,0.74400000,51.97114584,0
Typhoon,126,3.57940000,54.03702434,0
Typhoon,127,3.25460000,49.24428901,0
Typhoon,128,3.55520000,49.81967483,0
Typhoon,129,4.55420000,51.97114584,0
Typhoon,130,2.95520000,56.40035461,0
Typhoon,131,5.70400000,55.22680509,0
Typhoon,132,5.76600000,53.33854141,0
Typhoon,133,4.57600000,57.03507693,0
Typhoon,134,3.74040000,52.88667129,0
Typhoon,135,6.98220000,52.92706022,5
Typhoon,136,4.84880000,56.22277119,0
Typhoon,137,2.84020000,55.97320788,0
Typhoon,138,5.88300000,54.12023651,0
Typhoon,139,0.75180000,59.41380311,0
Typhoon,140,5.44880000,57.42821606,0
Typhoon,141,8.68280000,59.65283553,5
Typhoon,142,6.91720000,58.66856058,0
Typhoon,143,2.57680000,58.42088668,0
Typhoon,144,3.28540000,58.30951895,0
Typhoon,145,4.49340000,58.69412236,0
Typhoon,146,0.63720000,56.08029957,0
Typhoon,147,0.79240000,58.25804665,0
Typhoon,148,3.58940000,63.00000000,0
Typhoon,149,4.41220000,56.05684821,5
Typhoon,150,10.28740000,61.47766608,4
Typhoon,151,4.96140000,62.80127387,0
Typhoon,152,2.60100000,61.68468205,0
Typhoon,153,0.61220000,61.77378085,0
Typhoon,154,2.82920000,63.28506933,0
Typhoon,155,3.69700000,62.09669879,0
Typhoon,156,0.55300000,60.46486583,0
Typhoon,157,3.12200000,61.66036004,0
Typhoon,158,2.64240000,62.17716623,0
Typhoon,159,5.00380000,60.53924347,0
Typhoon,160,4.48120000,68.59300256,0
Typhoon,161,4.85840000,66.48308055,0
Typhoon,162,0.53880000,71.00704190,0
Typhoon,163,2.97020000,70.09279564,0
Typhoon,164,3.50480000,65.62011887,0
Typhoon,165,0.50780000,71.00704190,0
Typhoon,166,4.33180000,67.80117993,0
Typhoon,167,3.37180000,63.97655821,0
Typhoon,168,2.25900000,64.77653896,0
Typhoon,169,0.50240000,66.57326791,0
Typhoon,170,0.76040000,71.58910532,0
Typhoon,171,2.99320000,70.45565982,0
Typhoon,172,0.67120000,68.96375860,0
Typhoon,173,3.73120000,68.41052551,0
