Map,Query Number,Time,Distance,Path Length
ValleyofRe,0,1.79280000,7.07106781,0
ValleyofRe,1,2.52280000,6.70820393,0
ValleyofRe,2,2.19360000,7.00000000,0
ValleyofRe,3,1.10340000,5.00000000,0
ValleyofRe,4,0.83860000,5.83095189,0
ValleyofRe,5,1.24140000,5.83095189,0
ValleyofRe,6,0.78640000,4.00000000,0
ValleyofRe,7,0.94440000,7.07106781,0
ValleyofRe,8,0.83200000,4.47213595,0
ValleyofRe,9,0.92520000,4.24264069,0
ValleyofRe,10,2.44020000,8.94427191,0
ValleyofRe,11,0.88340000,9.43398113,0
ValleyofRe,12,0.66200000,10.81665383,0
ValleyofRe,13,0.79040000,10.00000000,0
ValleyofRe,14,0.93440000,10.00000000,0
ValleyofRe,15,3.44760000,8.60232527,0
ValleyofRe,16,4.26660000,9.05538514,0
ValleyofRe,17,3.73080000,10.63375802,4
ValleyofRe,18,2.54500000,8.54400375,0
ValleyofRe,19,3.39080000,7.61577311,0
ValleyofRe,20,0.76960000,11.70469991,0
ValleyofRe,21,2.74800000,15.00000000,0
ValleyofRe,22,2.30560000,14.76482306,0
ValleyofRe,23,2.43080000,15.13274595,0
ValleyofRe,24,4.42360000,14.87830275,4
ValleyofRe,25,2.47560000,12.64911064,0
ValleyofRe,26,0.64200000,14.03566885,0
ValleyofRe,27,2.81960000,13.41640786,0
ValleyofRe,28,2.55880000,12.20655562,0
ValleyofRe,29,2.23000000,14.03566885,0
ValleyofRe,30,0.64920000,15.65247584,0
ValleyofRe,31,0.67100000,19.02629759,0
ValleyofRe,32,0.49780000,18.00000000,0
ValleyofRe,33,0.75760000,18.38477631,0
ValleyofRe,34,0.73100000,19.02629759,0
ValleyofRe,35,0.72260000,15.23154621,0
ValleyofRe,36,0.85540000,17.02938637,0
ValleyofRe,37,0.73000000,17.80449381,0
ValleyofRe,38,3.12940000,18.11077028,0
ValleyofRe,39,0.99580000,18.43908891,0
ValleyofRe,40,0.81500000,22.20360331,0
ValleyofRe,41,0.73240000,22.02271555,0
ValleyofRe,42,3.37600000,21.21320344,0
ValleyofRe,43,0.63100000,18.78829423,0
ValleyofRe,44,0.76260000,21.63330765,0
ValleyofRe,45,3.47320000,23.00000000,0
ValleyofRe,46,2.84520000,20.80865205,0
ValleyofRe,47,3.41260000,21.95449840,0
ValleyofRe,48,2.38720000,19.41648784,0
ValleyofRe,49,2.69560000,19.92485885,0
ValleyofRe,50,1.86480000,25.94224354,0
ValleyofRe,51,2.64680000,24.69817807,0
ValleyofRe,52,0.74180000,24.20743687,0
ValleyofRe,53,7.61480000,25.55634918,6
ValleyofRe,54,0.85400000,25.01999201,0
ValleyofRe,55,4.41100000,24.59674775,0
ValleyofRe,56,0.61560000,23.02172887,0
ValleyofRe,57,0.55100000,24.08318916,0
ValleyofRe,58,2.42320000,25.63201124,0
ValleyofRe,59,0.61560000,26.07680962,0
ValleyofRe,60,4.07600000,27.65863337,0
ValleyofRe,61,4.87500000,27.46166984,6
ValleyofRe,62,8.44240000,30.36931688,4
ValleyofRe,63,5.28560000,29.41088234,0
ValleyofRe,64,6.33200000,29.09378995,5
ValleyofRe,65,2.94320000,29.42787794,0
ValleyofRe,66,0.64400000,28.01785145,0
ValleyofRe,67,1.83460000,29.83286778,0
ValleyofRe,68,4.94940000,27.73084925,0
ValleyofRe,69,7.24360000,28.34523506,4
ValleyofRe,70,3.30200000,32.14031736,0
ValleyofRe,71,4.10060000,33.73425559,0
ValleyofRe,72,0.90160000,32.20248438,0
ValleyofRe,73,4.45520000,31.57530681,0
ValleyofRe,74,3.83780000,31.57530681,0
ValleyofRe,75,0.77220000,32.55764119,0
ValleyofRe,76,0.65860000,31.38470965,0
ValleyofRe,77,9.56240000,33.48487747,5
ValleyofRe,78,4.83380000,31.78049716,0
ValleyofRe,79,4.23740000,31.01612484,0
ValleyofRe,80,4.75040000,38.41874542,0
ValleyofRe,81,2.02140000,37.01351105,0
ValleyofRe,82,4.41140000,38.20994635,0
ValleyofRe,83,4.72660000,33.61547263,0
ValleyofRe,84,5.67080000,34.10944330,4
ValleyofRe,85,2.28140000,34.82814953,0
ValleyofRe,86,2.95620000,36.23534186,0
ValleyofRe,87,3.52560000,36.67424164,0
ValleyofRe,88,2.79140000,34.78505426,0
ValleyofRe,89,2.72600000,34.00000000,0
ValleyofRe,90,0.56100000,38.01315562,0
ValleyofRe,91,2.58220000,39.56008089,0
ValleyofRe,92,7.03040000,38.07886553,0
ValleyofRe,93,0.62320000,38.83297568,0
ValleyofRe,94,7.71480000,38.86609406,4
ValleyofRe,95,4.66640000,37.64306045,0
ValleyofRe,96,0.54340000,40.49691346,0
ValleyofRe,97,10.04920000,40.47165757,4
ValleyofRe,98,4.64580000,41.59326869,0
ValleyofRe,99,2.53920000,41.72529209,0
ValleyofRe,100,2.31780000,43.10452412,0
ValleyofRe,101,3.78100000,43.60045871,0
ValleyofRe,102,5.36620000,44.40720662,0
ValleyofRe,103,0.77140000,45.45327271,0
ValleyofRe,104,4.96120000,44.28317965,0
ValleyofRe,105,12.52460000,40.41329539,7
ValleyofRe,106,3.44220000,44.18144407,0
ValleyofRe,107,2.71620000,42.05948169,0
ValleyofRe,108,7.86440000,43.89361325,4
ValleyofRe,109,5.78400000,43.68065934,0
ValleyofRe,110,8.98820000,49.16299421,0
ValleyofRe,111,3.06820000,45.88027899,0
ValleyofRe,112,2.67140000,50.32891813,0
ValleyofRe,113,5.10340000,46.86149806,0
ValleyofRe,114,2.53140000,47.85394446,0
ValleyofRe,115,5.88620000,45.48626166,0
ValleyofRe,116,0.65300000,48.01041554,0
ValleyofRe,117,3.43220000,46.69047012,0
ValleyofRe,118,2.87360000,49.04079934,0
ValleyofRe,119,4.99700000,45.22167622,0
ValleyofRe,120,7.18140000,51.32891813,4
ValleyofRe,121,7.14520000,54.32590181,4
ValleyofRe,122,2.88200000,48.33218389,0
ValleyofRe,123,6.00620000,50.00000000,0
ValleyofRe,124,4.13120000,50.35871325,0
ValleyofRe,125,4.61900000,53.33854141,0
ValleyofRe,126,3.17720000,49.64876635,0
ValleyofRe,127,9.24380000,50.08801110,5
ValleyofRe,128,8.04240000,51.43924345,4
ValleyofRe,129,11.90720000,50.80759393,10
ValleyofRe,130,5.77000000,54.08326913,0
ValleyofRe,131,4.70740000,52.81098371,0
ValleyofRe,132,2.16440000,54.74486277,0
ValleyofRe,133,4.62860000,52.69724851,0
ValleyofRe,134,8.51440000,56.00437767,10
ValleyofRe,135,4.35600000,55.57877293,0
