Map,Query Number,Time,Distance,Path Length
WarpGates,0,1.22780000,7.21110255,0
WarpGates,1,1.05280000,5.83095189,0
WarpGates,2,1.03180000,6.08276253,0
WarpGates,3,0.72840000,5.09901951,0
WarpGates,4,0.84380000,7.07106781,0
WarpGates,5,3.80640000,2.00000000,0
WarpGates,6,0.62160000,5.00000000,0
WarpGates,7,0.63600000,4.47213595,0
WarpGates,8,0.89780000,5.09901951,0
WarpGates,9,0.66300000,6.70820393,0
WarpGates,10,2.45480000,9.05538514,0
WarpGates,11,0.76380000,9.21954446,0
WarpGates,12,0.60900000,7.81024968,0
WarpGates,13,0.61400000,9.84885780,0
WarpGates,14,1.13620000,9.21954446,0
WarpGates,15,0.72240000,7.81024968,0
WarpGates,16,1.19200000,8.06225775,0
WarpGates,17,5.96480000,10.81665383,0
WarpGates,18,0.94120000,8.06225775,0
WarpGates,19,0.56700000,8.06225775,0
WarpGates,20,2.96140000,13.03840481,0
WarpGates,21,3.38060000,12.64911064,0
WarpGates,22,2.24140000,13.60147051,0
WarpGates,23,3.61760000,14.00000000,0
WarpGates,24,3.07280000,13.92838828,0
WarpGates,25,2.26040000,12.52996409,0
WarpGates,26,2.31160000,14.03566885,0
WarpGates,27,0.75880000,14.56021978,0
WarpGates,28,2.26240000,11.66190379,0
WarpGates,29,0.64420000,14.76482306,0
WarpGates,30,0.58580000,16.27882060,0
WarpGates,31,2.56920000,15.23154621,0
WarpGates,32,3.81540000,18.11077028,0
WarpGates,33,3.48840000,19.10497317,0
WarpGates,34,0.61520000,17.11724277,0
WarpGates,35,3.57700000,17.69180601,0
WarpGates,36,0.69380000,19.20937271,0
WarpGates,37,1.91640000,17.80449381,0
WarpGates,38,0.63180000,17.26267650,0
WarpGates,39,0.51920000,16.15549442,0
WarpGates,40,0.81980000,20.80865205,0
WarpGates,41,2.25620000,20.61552813,0
WarpGates,42,0.54480000,20.24845673,0
WarpGates,43,2.67860000,19.41648784,0
WarpGates,44,1.37880000,22.02271555,0
WarpGates,45,2.35900000,21.58703314,0
WarpGates,46,2.79540000,21.02379604,0
WarpGates,47,2.12080000,19.72308292,0
WarpGates,48,0.49980000,22.20360331,0
WarpGates,49,3.54980000,20.09975124,0
WarpGates,50,0.65780000,24.08318916,0
WarpGates,51,0.59020000,25.61249695,0
WarpGates,52,2.93540000,23.53720459,0
WarpGates,53,0.70280000,27.58622845,0
WarpGates,54,0.46160000,22.80350850,0
WarpGates,55,2.61880000,24.08318916,0
WarpGates,56,2.85420000,27.00000000,0
WarpGates,57,2.16000000,24.16609195,0
WarpGates,58,0.59280000,24.69817807,0
WarpGates,59,4.09040000,24.20743687,0
WarpGates,60,0.68960000,26.62705391,0
WarpGates,61,4.84740000,28.86173938,0
WarpGates,62,2.28080000,27.29468813,0
WarpGates,63,2.52420000,29.01723626,0
WarpGates,64,3.40860000,29.00000000,0
WarpGates,65,0.53780000,27.45906044,0
WarpGates,66,0.45000000,29.15475947,0
WarpGates,67,5.01620000,31.01612484,0
WarpGates,68,0.58600000,30.14962686,0
WarpGates,69,0.48020000,29.00000000,0
WarpGates,70,4.71340000,32.57299495,0
WarpGates,71,7.44840000,31.39559985,4
WarpGates,72,2.28820000,31.90611227,0
WarpGates,73,2.46440000,33.06055051,0
WarpGates,74,3.22780000,31.40063694,0
WarpGates,75,3.59380000,31.78049716,0
WarpGates,76,2.41440000,35.38361203,0
WarpGates,77,9.59260000,32.32347711,4
WarpGates,78,8.22760000,32.36058348,6
WarpGates,79,2.49460000,32.20248438,0
WarpGates,80,0.58320000,36.49657518,0
WarpGates,81,1.98220000,35.46829570,0
WarpGates,82,10.49940000,37.13825366,4
WarpGates,83,2.41400000,38.00000000,0
WarpGates,84,1.47920000,35.80502758,0
WarpGates,85,4.64540000,34.92849839,0
WarpGates,86,7.33140000,33.59411708,4
WarpGates,87,2.73960000,34.36568055,0
WarpGates,88,3.35820000,34.01470270,0
WarpGates,89,4.24380000,35.34119409,0
WarpGates,90,0.62420000,40.02499219,0
WarpGates,91,0.52860000,41.77319715,0
WarpGates,92,1.73080000,40.80441153,0
WarpGates,93,2.58520000,41.01219331,0
WarpGates,94,4.69680000,40.24922359,0
WarpGates,95,5.91380000,42.00459099,6
WarpGates,96,1.65820000,43.04648650,0
WarpGates,97,7.97000000,43.13930922,0
WarpGates,98,2.85460000,37.36308338,0
WarpGates,99,3.04300000,40.25918010,4
WarpGates,100,2.51440000,41.97618372,0
WarpGates,101,0.55320000,44.55333882,0
WarpGates,102,5.01100000,44.04543109,0
WarpGates,103,3.51260000,43.08131846,0
WarpGates,104,2.60800000,43.10452412,0
WarpGates,105,5.24400000,45.34313620,0
WarpGates,106,11.77300000,44.73098663,4
WarpGates,107,7.79240000,44.51776831,5
WarpGates,108,3.44120000,43.93176527,0
WarpGates,109,2.04740000,43.18564576,0
WarpGates,110,2.23180000,46.09772229,0
WarpGates,111,2.44680000,47.26520919,0
WarpGates,112,2.26180000,50.03998401,0
WarpGates,113,0.57540000,48.16637832,0
WarpGates,114,4.90360000,47.23851209,4
WarpGates,115,9.27240000,46.85777090,5
WarpGates,116,8.62720000,49.20845919,4
WarpGates,117,2.35080000,48.83646179,0
WarpGates,118,2.95480000,44.59820624,0
WarpGates,119,7.56700000,50.93132631,0
WarpGates,120,12.14580000,50.75524002,5
WarpGates,121,2.27420000,50.32891813,0
WarpGates,122,9.90120000,49.19317371,5
WarpGates,123,3.01380000,49.65883607,0
WarpGates,124,9.85500000,51.99825979,5
WarpGates,125,0.56300000,50.69516742,0
WarpGates,126,8.09220000,52.32671748,4
WarpGates,127,2.20240000,51.40038910,0
WarpGates,128,5.37360000,48.10405388,0
WarpGates,129,8.96680000,49.51675776,6
WarpGates,130,5.11140000,52.77309921,0
WarpGates,131,2.08980000,55.08175742,0
WarpGates,132,5.27960000,55.90169944,0
WarpGates,133,9.01580000,55.49172493,4
WarpGates,134,5.21480000,54.23098745,0
WarpGates,135,9.23860000,54.08487539,6
WarpGates,136,5.36060000,54.72870158,4
WarpGates,137,3.82000000,54.12023651,0
WarpGates,138,0.72000000,58.00862005,0
WarpGates,139,6.94140000,51.18286727,11
WarpGates,140,10.16420000,59.08955832,4
WarpGates,141,5.25780000,58.30394397,6
WarpGates,142,4.98640000,57.69748695,0
WarpGates,143,2.55740000,58.24087911,0
WarpGates,144,5.07040000,58.89821729,0
WarpGates,145,8.50060000,57.18555910,4
WarpGates,146,3.02380000,57.00877125,0
WarpGates,147,3.75380000,58.82176468,0
WarpGates,148,6.22040000,55.72962786,4
WarpGates,149,5.06800000,56.85947590,0
WarpGates,150,4.29220000,64.03124237,0
WarpGates,151,7.82660000,62.47175553,4
WarpGates,152,6.19800000,61.52235366,0
WarpGates,153,0.66880000,64.20280368,0
WarpGates,154,4.63940000,64.38167441,0
WarpGates,155,2.71760000,60.74537019,0
WarpGates,156,3.90580000,64.03124237,0
WarpGates,157,14.47920000,62.51962901,4
WarpGates,158,0.55140000,63.82005954,0
WarpGates,159,7.04860000,63.71495223,4
WarpGates,160,7.51420000,65.98127542,4
WarpGates,161,2.07080000,70.00714249,0
WarpGates,162,5.39900000,65.45991140,0
WarpGates,163,2.06160000,69.26037828,0
WarpGates,164,2.57720000,65.51335742,0
WarpGates,165,2.46480000,65.25335240,0
WarpGates,166,9.27760000,67.92240936,8
WarpGates,167,15.09000000,67.58078112,9
WarpGates,168,6.16740000,64.53681120,0
WarpGates,169,4.19140000,64.77653896,0
WarpGates,170,3.89280000,68.94925670,0
WarpGates,171,9.99460000,72.98743687,4
WarpGates,172,4.50160000,70.17834424,0
WarpGates,173,4.30420000,70.21395873,0
WarpGates,174,2.22500000,69.85699679,0
WarpGates,175,5.94300000,71.19691005,0
WarpGates,176,4.72960000,70.71067812,0
WarpGates,177,2.12200000,73.06161783,0
WarpGates,178,11.64640000,69.52706843,4
WarpGates,179,14.40000000,71.57052306,6
WarpGates,180,2.57300000,71.85699679,4
WarpGates,181,2.14320000,75.60423269,0
WarpGates,182,5.62420000,74.07696862,4
WarpGates,183,5.93560000,70.88018059,0
WarpGates,184,2.84780000,72.27724400,0
WarpGates,185,14.08300000,72.04768315,7
WarpGates,186,11.93960000,75.80697580,4
WarpGates,187,15.77740000,71.29544963,14
WarpGates,188,2.21860000,77.05841940,0
WarpGates,189,7.07600000,74.68409428,4
WarpGates,190,2.45180000,82.03657721,0
WarpGates,191,19.60860000,78.96559401,4
WarpGates,192,5.96020000,76.92203845,0
WarpGates,193,11.03780000,79.63491843,7
WarpGates,194,1.97960000,75.96051606,0
WarpGates,195,8.10680000,77.13048791,5
WarpGates,196,6.69840000,78.94868419,4
WarpGates,197,2.22380000,79.40403012,0
WarpGates,198,14.83060000,76.31429216,6
WarpGates,199,14.22960000,75.30916994,9
WarpGates,200,2.50220000,84.02380615,0
WarpGates,201,12.11440000,81.65888498,6
WarpGates,202,14.36520000,81.50062045,6
WarpGates,203,6.08760000,84.48076704,0
WarpGates,204,1.98000000,79.71198153,0
WarpGates,205,7.44640000,85.08646657,7
WarpGates,206,11.69700000,79.83082872,7
WarpGates,207,2.59500000,80.21221852,0
WarpGates,208,21.88600000,82.22689700,4
WarpGates,209,3.01680000,79.64923101,0
WarpGates,210,4.20860000,90.00555538,0
WarpGates,211,2.56600000,81.54140053,0
WarpGates,212,8.19780000,86.10655857,13
WarpGates,213,13.91220000,84.60163565,4
WarpGates,214,5.67400000,84.31488599,0
WarpGates,215,37.49700000,85.00000000,0
WarpGates,216,4.19560000,82.29823813,0
