Map,Query Number,Time,Distance,Path Length
WinterConquest,0,1.40120000,6.00000000,0
WinterConquest,1,0.78380000,6.32455532,0
WinterConquest,2,2.64900000,7.28010989,0
WinterConquest,3,1.28980000,6.70820393,0
WinterConquest,4,0.63900000,4.47213595,0
WinterConquest,5,0.72880000,7.07106781,0
WinterConquest,6,0.64980000,7.07106781,0
WinterConquest,7,0.71920000,5.09901951,0
WinterConquest,8,0.81960000,7.07106781,0
WinterConquest,9,0.78460000,5.09901951,0
WinterConquest,10,0.70540000,11.00000000,0
WinterConquest,11,0.95580000,10.63014581,0
WinterConquest,12,3.19660000,9.21954446,0
WinterConquest,13,2.88340000,10.19803903,0
WinterConquest,14,0.91020000,8.54400375,0
WinterConquest,15,2.50800000,8.60232527,0
WinterConquest,16,2.03440000,8.06225775,0
WinterConquest,17,0.66300000,9.21954446,0
WinterConquest,18,0.84760000,10.29563014,0
WinterConquest,19,2.39960000,10.04987562,0
WinterConquest,20,0.55880000,12.00000000,0
WinterConquest,21,5.91800000,12.52996409,0
WinterConquest,22,2.49800000,13.41640786,0
WinterConquest,23,1.90780000,13.92838828,0
WinterConquest,24,4.49240000,13.34166406,0
WinterConquest,25,0.66020000,12.36931688,0
WinterConquest,26,0.85300000,13.60147051,0
WinterConquest,27,0.75840000,11.40175425,0
WinterConquest,28,0.77300000,13.15294644,0
WinterConquest,29,2.28720000,14.86606875,0
WinterConquest,30,0.64040000,16.03121954,0
WinterConquest,31,3.25260000,14.86606875,0
WinterConquest,32,0.60840000,16.76305461,0
WinterConquest,33,4.74460000,18.02775638,0
WinterConquest,34,0.52580000,18.43908891,0
WinterConquest,35,2.38680000,17.02938637,0
WinterConquest,36,3.62600000,16.49242250,0
WinterConquest,37,0.65560000,19.00000000,0
WinterConquest,38,2.64920000,17.11724277,0
WinterConquest,39,0.86080000,16.27882060,0
WinterConquest,40,4.49700000,22.67156810,0
WinterConquest,41,0.66160000,21.63330765,0
WinterConquest,42,2.00100000,19.92485885,0
WinterConquest,43,0.55780000,20.59126028,0
WinterConquest,44,4.73780000,21.09502311,0
WinterConquest,45,4.01220000,19.64688270,0
WinterConquest,46,1.90840000,22.20360331,0
WinterConquest,47,0.68300000,19.84943324,0
WinterConquest,48,1.92800000,22.20360331,0
WinterConquest,49,0.53780000,19.69771560,0
WinterConquest,50,2.24180000,26.00000000,0
WinterConquest,51,2.85340000,23.19482701,0
WinterConquest,52,2.79200000,24.73863375,0
WinterConquest,53,3.28640000,25.61249695,0
WinterConquest,54,3.96980000,25.94224354,0
