Map,Query Number,Time,Distance,Path Length
AR0601SR,0,7.88680000,290.96643053,1
AR0601SR,1,0.53720000,3.60555128,0
AR0601SR,2,26.34600000,427.02294517,1
AR0601SR,3,12.45580000,331.74446797,2
AR0601SR,4,3.24760000,154.05024868,1
AR0601SR,5,7.54800000,196.71110040,1
AR0601SR,6,2.28260000,51.08815910,0
AR0601SR,7,2.40820000,24.69817807,0
AR0601SR,8,15.48080000,357.20540322,9
AR0601SR,9,7.11540000,206.10417089,2
AR0601SR,10,3.69700000,128.68402631,4
AR0601SR,11,15.38920000,389.77646508,14
AR0601SR,12,2.34820000,54.03702434,0
AR0601SR,13,5.94840000,177.90009616,3
AR0601SR,14,20.27120000,344.16176435,12
AR0601SR,15,10.86020000,339.97157016,4
AR0601SR,16,34.48700000,437.64485407,14
AR0601SR,17,16.69660000,306.01470553,0
AR0601SR,18,16.40860000,298.99538657,4
AR0601SR,19,14.09140000,343.05304394,11
AR0601SR,20,6.17200000,284.93624884,2
AR0601SR,21,3.44220000,85.12355756,4
AR0601SR,22,4.26040000,209.41552222,9
AR0601SR,23,4.78620000,379.84636493,5
AR0601SR,24,5.36000000,91.42261652,2
AR0601SR,25,5.24060000,224.81695478,3
AR0601SR,26,6.14020000,379.71797898,3
AR0601SR,27,0.39900000,11.66190379,0
AR0601SR,28,4.99300000,222.21141855,2
AR0601SR,29,8.58080000,354.91686128,2
AR0601SR,30,1.71420000,41.61730409,0
AR0601SR,31,3.35300000,77.81983600,1
AR0601SR,32,7.32500000,229.54505528,2
AR0601SR,33,8.78360000,151.72672803,0
AR0601SR,34,8.58920000,181.65254557,2
AR0601SR,35,12.37640000,306.27112172,0
AR0601SR,36,10.82280000,380.67290950,16
AR0601SR,37,6.68800000,221.02164262,1
AR0601SR,38,22.65220000,397.56899474,3
AR0601SR,39,4.10840000,327.49795986,2
AR0601SR,40,18.15240000,304.96378185,6
AR0601SR,41,3.67680000,375.12257602,4
AR0601SR,42,6.58920000,235.42309843,5
AR0601SR,43,6.94060000,196.11440250,1
AR0601SR,44,16.59040000,420.69967193,15
AR0601SR,45,5.39120000,370.10137583,3
AR0601SR,46,19.43580000,369.21255717,11
AR0601SR,47,4.69040000,143.52227747,7
AR0601SR,48,1.95180000,56.75385449,0
AR0601SR,49,0.47480000,11.04536102,0
AR0601SR,50,6.54440000,415.30202258,5
AR0601SR,51,3.89480000,194.77296351,4
AR0601SR,52,6.63820000,170.98893669,1
AR0601SR,53,5.31600000,258.68289260,6
AR0601SR,54,4.20300000,116.51044723,3
AR0601SR,55,0.46160000,19.20937271,0
AR0601SR,56,1.98860000,65.06919394,0
AR0601SR,57,3.60860000,383.05597617,3
AR0601SR,58,2.37680000,23.45790780,2
AR0601SR,59,6.49380000,240.35496400,1
AR0601SR,60,2.73500000,23.08679276,0
AR0601SR,61,7.86320000,186.29699803,4
AR0601SR,62,13.50740000,286.65090397,7
AR0601SR,63,4.62520000,215.67514213,6
AR0601SR,64,6.30020000,157.60748777,4
AR0601SR,65,22.79400000,432.05723422,16
AR0601SR,66,6.22760000,395.50631222,3
AR0601SR,67,6.03280000,249.18813696,1
AR0601SR,68,3.30080000,141.92145752,4
AR0601SR,69,2.91920000,29.41088234,0
AR0601SR,70,3.94260000,136.24979912,4
AR0601SR,71,4.41320000,68.11950679,1
AR0601SR,72,6.18000000,139.34200792,3
AR0601SR,73,3.37480000,193.94951109,2
AR0601SR,74,6.20100000,104.30585432,3
AR0601SR,75,14.25000000,304.57024191,11
AR0601SR,76,13.34320000,164.68187998,6
AR0601SR,77,0.62960000,20.61552813,0
AR0601SR,78,14.27280000,477.84272593,4
AR0601SR,79,5.96500000,427.87788889,3
AR0601SR,80,19.92040000,482.95837022,3
AR0601SR,81,9.93660000,392.75364118,3
AR0601SR,82,3.31840000,318.18202651,4
AR0601SR,83,2.53060000,51.78500161,1
AR0601SR,84,9.46140000,325.64554036,9
AR0601SR,85,2.74640000,64.49806199,0
AR0601SR,86,3.89640000,103.57284965,2
AR0601SR,87,3.71640000,272.92525752,3
AR0601SR,88,3.89760000,192.39622504,4
AR0601SR,89,6.54620000,411.43654792,2
AR0601SR,90,7.26720000,204.51323071,1
AR0601SR,91,12.81480000,260.82243575,7
AR0601SR,92,28.82700000,490.29580127,12
AR0601SR,93,11.02440000,255.22636838,5
AR0601SR,94,8.62500000,313.29450333,7
AR0601SR,95,4.68280000,99.94039451,1
AR0601SR,96,1.90400000,41.61730409,0
AR0601SR,97,33.95860000,420.02418650,19
AR0601SR,98,8.95000000,286.59862188,2
AR0601SR,99,3.80720000,331.68933862,3
AR0601SR,100,15.13800000,350.04187870,4
AR0601SR,101,11.45880000,251.39586318,5
AR0601SR,102,0.44440000,36.24913792,0
AR0601SR,103,6.76620000,252.59361598,2
AR0601SR,104,23.37500000,482.64974905,12
AR0601SR,105,4.20140000,331.12018943,2
AR0601SR,106,4.09860000,69.57542756,1
AR0601SR,107,20.78560000,420.12060268,5
AR0601SR,108,4.41120000,105.84392217,1
AR0601SR,109,3.74740000,348.99646895,2
AR0601SR,110,8.28300000,326.73329345,1
AR0601SR,111,4.20200000,98.27003612,0
AR0601SR,112,4.27760000,187.78727751,2
AR0601SR,113,40.27060000,425.19691825,5
AR0601SR,114,86.45880000,439.80803371,20
AR0601SR,115,2.36580000,65.29931087,0
AR0601SR,116,11.73720000,197.81917846,4
AR0601SR,117,2.06240000,23.52432510,2
AR0601SR,118,2.17720000,49.73932046,0
AR0601SR,119,2.66600000,18.86796226,0
AR0601SR,120,8.00480000,255.62798031,9
AR0601SR,121,9.10840000,418.44237783,5
AR0601SR,122,5.13940000,132.20880451,1
AR0601SR,123,5.94780000,223.21586194,4
AR0601SR,124,6.03740000,311.49659132,5
AR0601SR,125,2.84000000,56.56854249,0
AR0601SR,126,2.39700000,25.23885893,0
AR0601SR,127,38.48920000,479.82332218,12
AR0601SR,128,11.41220000,266.95075997,10
AR0601SR,129,5.93580000,162.40420961,5
AR0601SR,130,8.01880000,404.72925639,6
AR0601SR,131,61.28260000,419.20175729,14
AR0601SR,132,5.20240000,162.53048867,1
AR0601SR,133,3.30980000,76.68767828,0
AR0601SR,134,3.35920000,45.65084884,0
AR0601SR,135,6.24740000,341.07581794,13
AR0601SR,136,1.49800000,41.97618372,0
AR0601SR,137,4.67940000,432.76381932,7
AR0601SR,138,11.25980000,327.53207638,11
AR0601SR,139,4.72420000,390.39420002,3
AR0601SR,140,0.42100000,14.00000000,0
AR0601SR,141,4.59380000,113.45295229,1
AR0601SR,142,1.51160000,38.07886553,0
AR0601SR,143,4.69200000,284.47864028,2
AR0601SR,144,2.52360000,286.14013357,2
AR0601SR,145,2.82860000,110.02272493,0
AR0601SR,146,10.61260000,379.26580854,5
AR0601SR,147,20.78560000,396.05773543,5
AR0601SR,148,5.53960000,132.58189455,1
AR0601SR,149,2.55820000,108.83938837,2
AR0601SR,150,0.57100000,27.65863337,0
AR0601SR,151,4.46700000,137.14743031,1
AR0601SR,152,8.10880000,249.58143427,7
AR0601SR,153,14.26040000,324.39497800,4
AR0601SR,154,18.28380000,446.66924073,16
AR0601SR,155,15.45660000,286.27855547,5
AR0601SR,156,2.03880000,66.21933252,0
AR0601SR,157,5.64520000,211.28113355,2
AR0601SR,158,7.36940000,181.44217324,2
AR0601SR,159,4.31480000,241.27801885,4
AR0601SR,160,4.50880000,211.41409589,7
AR0601SR,161,0.45940000,21.21320344,0
AR0601SR,162,3.47260000,81.84130986,0
AR0601SR,163,7.60340000,352.70387720,1
AR0601SR,164,4.76000000,155.65050654,1
AR0601SR,165,5.95540000,208.52166031,6
AR0601SR,166,4.59700000,101.21241308,2
AR0601SR,167,7.36860000,153.67014932,1
AR0601SR,168,2.51140000,67.02984410,0
AR0601SR,169,3.69900000,47.67598976,0
AR0601SR,170,5.20780000,278.49605974,2
AR0601SR,171,2.33500000,78.08969202,0
AR0601SR,172,4.35100000,80.96615188,1
AR0601SR,173,8.52020000,350.71246339,2
