Map,Query Number,Time,Distance,Path Length
ca_cave,0,4.12440000,5.00000000,0
ca_cave,1,3.05880000,7.07106781,0
ca_cave,2,2.60880000,7.07106781,0
ca_cave,3,1.81780000,6.00000000,0
ca_cave,4,1.95700000,5.38516481,0
ca_cave,5,0.46580000,6.70820393,0
ca_cave,6,3.29720000,7.21110255,0
ca_cave,7,0.66700000,7.07106781,0
ca_cave,8,0.55220000,6.70820393,0
ca_cave,9,2.10740000,6.40312424,0
ca_cave,10,1.75140000,10.00000000,0
ca_cave,11,2.60900000,10.81665383,0
ca_cave,12,1.95080000,9.84885780,0
ca_cave,13,2.28000000,9.21954446,0
ca_cave,14,2.35920000,10.44030651,0
ca_cave,15,1.58120000,8.06225775,0
ca_cave,16,0.52140000,10.00000000,0
ca_cave,17,0.50680000,10.63014581,0
ca_cave,18,0.44560000,8.94427191,0
ca_cave,19,2.39660000,10.81665383,0
ca_cave,20,3.17040000,13.45362405,0
ca_cave,21,2.93340000,12.23086739,2
ca_cave,22,2.09480000,12.36931688,0
ca_cave,23,0.46460000,12.52996409,0
ca_cave,24,2.22040000,11.40175425,0
ca_cave,25,0.39200000,14.56021978,0
ca_cave,26,2.98780000,13.34166406,0
ca_cave,27,0.42140000,13.89244399,0
ca_cave,28,2.01420000,14.03566885,0
ca_cave,29,2.18580000,12.64911064,0
ca_cave,30,1.90560000,15.26433752,0
ca_cave,31,2.98120000,16.49965435,1
ca_cave,32,3.90160000,16.49242250,0
ca_cave,33,2.57980000,15.26433752,0
ca_cave,34,2.07060000,17.72004515,0
ca_cave,35,1.32940000,15.26433752,0
ca_cave,36,0.47260000,16.40121947,0
ca_cave,37,2.20460000,17.26267650,0
ca_cave,38,4.69200000,18.18033989,2
ca_cave,39,2.36000000,19.02629759,0
ca_cave,40,2.56120000,23.34523506,0
ca_cave,41,2.58200000,22.13594362,0
ca_cave,42,2.04880000,20.61552813,0
ca_cave,43,2.25160000,21.95449840,0
ca_cave,44,2.92020000,19.23538406,0
ca_cave,45,2.60260000,19.92485885,0
ca_cave,46,3.12800000,21.02379604,0
ca_cave,47,2.81460000,21.58703314,0
ca_cave,48,2.06920000,20.61552813,0
ca_cave,49,4.23100000,20.61552813,0
ca_cave,50,3.52480000,22.86935671,2
ca_cave,51,0.49340000,23.40939982,0
ca_cave,52,2.97200000,26.07680962,0
ca_cave,53,0.41160000,23.25940670,0
ca_cave,54,2.06660000,25.55386468,0
ca_cave,55,4.49560000,25.60098680,2
ca_cave,56,0.54120000,24.04163056,0
ca_cave,57,0.38720000,23.70653918,0
