Map,Query Number,Time,Distance,Path Length
ca_caverns1_mines,0,1.20880000,4.47213595,0
ca_caverns1_mines,1,0.77460000,6.32455532,0
ca_caverns1_mines,2,4.56500000,4.16227766,1
ca_caverns1_mines,3,1.45300000,4.47213595,0
ca_caverns1_mines,4,2.14900000,4.12310563,0
ca_caverns1_mines,5,2.73000000,5.12310563,1
ca_caverns1_mines,6,0.85100000,5.09901951,0
ca_caverns1_mines,7,2.42240000,6.08276253,0
ca_caverns1_mines,8,0.61820000,5.09901951,0
ca_caverns1_mines,9,0.52680000,6.32455532,0
ca_caverns1_mines,10,1.99720000,9.05538514,0
ca_caverns1_mines,11,2.48920000,9.48683298,0
ca_caverns1_mines,12,0.66520000,9.84885780,0
ca_caverns1_mines,13,3.13020000,11.04536102,0
ca_caverns1_mines,14,2.63400000,8.06225775,0
ca_caverns1_mines,15,4.60120000,8.60232527,0
ca_caverns1_mines,16,0.73380000,8.48528137,0
ca_caverns1_mines,17,4.42900000,11.06225775,1
ca_caverns1_mines,18,2.50020000,10.81665383,0
ca_caverns1_mines,19,1.87880000,8.60232527,0
ca_caverns1_mines,20,3.04720000,14.96403675,3
ca_caverns1_mines,21,2.96120000,13.08304597,1
ca_caverns1_mines,22,2.49780000,15.47213595,1
ca_caverns1_mines,23,1.78660000,12.64911064,0
ca_caverns1_mines,24,0.63900000,15.03329638,0
ca_caverns1_mines,25,2.72120000,13.41640786,0
ca_caverns1_mines,26,3.11340000,11.18033989,0
ca_caverns1_mines,27,4.06240000,14.87278650,2
ca_caverns1_mines,28,1.80200000,14.86606875,0
ca_caverns1_mines,29,0.59100000,11.40175425,0
ca_caverns1_mines,30,2.35820000,17.00000000,0
ca_caverns1_mines,31,2.34740000,15.52417470,0
ca_caverns1_mines,32,3.97460000,16.14218506,1
ca_caverns1_mines,33,2.78440000,18.00000000,0
ca_caverns1_mines,34,3.36140000,17.00006605,4
ca_caverns1_mines,35,5.91720000,17.26267650,0
ca_caverns1_mines,36,3.60900000,17.28947375,4
ca_caverns1_mines,37,4.52460000,17.02938637,0
ca_caverns1_mines,38,3.45700000,15.30665755,1
ca_caverns1_mines,39,2.68000000,17.53565180,2
ca_caverns1_mines,40,2.08680000,22.00000000,0
ca_caverns1_mines,41,4.68020000,22.62018546,3
ca_caverns1_mines,42,4.29820000,21.49409510,1
ca_caverns1_mines,43,1.99580000,20.09975124,0
ca_caverns1_mines,44,2.37040000,18.78829423,0
ca_caverns1_mines,45,3.09600000,20.00000000,0
ca_caverns1_mines,46,4.52820000,18.53811125,1
ca_caverns1_mines,47,0.70920000,23.02172887,0
ca_caverns1_mines,48,3.42460000,20.41846119,1
ca_caverns1_mines,49,2.97440000,20.92744664,3
ca_caverns1_mines,50,3.48940000,23.78353044,5
ca_caverns1_mines,51,2.93300000,25.45584412,0
ca_caverns1_mines,52,2.49640000,24.35159132,0
ca_caverns1_mines,53,4.33920000,23.86606875,2
ca_caverns1_mines,54,2.98380000,23.70653918,0
ca_caverns1_mines,55,4.16840000,25.94224354,0
ca_caverns1_mines,56,2.94500000,24.75883681,0
ca_caverns1_mines,57,2.06700000,25.17935662,0
ca_caverns1_mines,58,3.25520000,25.07987241,0
ca_caverns1_mines,59,6.02100000,24.02775638,2
ca_caverns1_mines,60,5.31120000,27.61988181,4
ca_caverns1_mines,61,3.76020000,29.15475947,0
