Map,Query Number,Time,Distance,Path Length
ht_0_hightown,0,7.53300000,6.00000000,0
ht_0_hightown,1,0.83840000,5.38516481,0
ht_0_hightown,2,0.69700000,5.00000000,0
ht_0_hightown,3,0.44460000,7.07106781,0
ht_0_hightown,4,0.56140000,6.40312424,0
ht_0_hightown,5,0.68400000,5.83095189,0
ht_0_hightown,6,3.13540000,4.12310563,0
ht_0_hightown,7,1.71960000,5.38516481,0
ht_0_hightown,8,0.43700000,6.32455532,0
ht_0_hightown,9,2.14840000,5.00000000,0
ht_0_hightown,10,0.60640000,9.00000000,0
ht_0_hightown,11,0.65960000,10.63014581,0
ht_0_hightown,12,0.38360000,9.84885780,0
ht_0_hightown,13,2.64480000,9.84885780,0
ht_0_hightown,14,4.40940000,9.47213595,1
ht_0_hightown,15,0.45840000,8.06225775,0
ht_0_hightown,16,4.00020000,10.00000000,0
ht_0_hightown,17,2.79000000,9.43398113,0
ht_0_hightown,18,0.54120000,11.40175425,0
ht_0_hightown,19,1.83160000,10.00000000,0
ht_0_hightown,20,0.57080000,13.34166406,0
ht_0_hightown,21,3.42680000,13.60147051,0
ht_0_hightown,22,0.44620000,12.16552506,0
ht_0_hightown,23,0.51900000,15.00000000,0
ht_0_hightown,24,0.44580000,14.14213562,0
ht_0_hightown,25,2.87560000,14.03566885,0
ht_0_hightown,26,0.55260000,13.15294644,0
ht_0_hightown,27,2.75320000,15.03329638,0
ht_0_hightown,28,6.24220000,11.80722345,1
ht_0_hightown,29,0.73940000,14.86606875,0
ht_0_hightown,30,0.45820000,17.00000000,0
ht_0_hightown,31,0.56620000,15.26433752,0
ht_0_hightown,32,3.15600000,15.52417470,0
ht_0_hightown,33,3.09920000,17.02938637,0
ht_0_hightown,34,3.91220000,16.77522380,2
ht_0_hightown,35,2.13820000,18.02775638,0
ht_0_hightown,36,2.17460000,16.40121947,0
ht_0_hightown,37,4.47780000,17.14120915,1
ht_0_hightown,38,5.96540000,16.33549503,1
ht_0_hightown,39,0.44660000,19.02629759,0
ht_0_hightown,40,4.12180000,19.26333214,2
ht_0_hightown,41,3.86180000,22.36067977,0
ht_0_hightown,42,2.03720000,21.21320344,0
ht_0_hightown,43,3.56480000,20.41421356,3
ht_0_hightown,44,2.48120000,21.47091055,0
ht_0_hightown,45,1.59800000,21.54065923,0
ht_0_hightown,46,3.76380000,19.23538406,0
ht_0_hightown,47,2.64440000,23.02172887,0
ht_0_hightown,48,1.88500000,23.00000000,0
ht_0_hightown,49,1.64720000,19.23538406,0
ht_0_hightown,50,3.82780000,23.70752002,1
ht_0_hightown,51,7.01880000,24.69338860,2
ht_0_hightown,52,2.95580000,25.04159458,2
ht_0_hightown,53,4.09580000,26.17250466,0
ht_0_hightown,54,3.43560000,24.18677324,0
ht_0_hightown,55,0.41740000,22.80350850,0
ht_0_hightown,56,3.30040000,23.60084744,0
ht_0_hightown,57,4.83680000,23.43074903,0
ht_0_hightown,58,3.29620000,23.19482701,0
ht_0_hightown,59,4.67240000,25.31797780,0
ht_0_hightown,60,2.54860000,28.52718411,1
ht_0_hightown,61,3.67120000,27.81739821,1
ht_0_hightown,62,3.03360000,31.11269837,0
ht_0_hightown,63,6.08380000,29.73213749,0
ht_0_hightown,64,4.76840000,28.60069929,0
ht_0_hightown,65,4.87320000,29.15475947,0
ht_0_hightown,66,4.13020000,28.83756756,2
ht_0_hightown,67,2.97940000,29.27456234,0
ht_0_hightown,68,2.49540000,29.73213749,0
ht_0_hightown,69,2.82360000,31.06444913,0
ht_0_hightown,70,5.18160000,30.80584360,0
ht_0_hightown,71,6.37720000,33.06888371,2
ht_0_hightown,72,4.29000000,32.06243908,0
ht_0_hightown,73,2.90340000,34.23448554,0
ht_0_hightown,74,4.50640000,32.20360331,1
ht_0_hightown,75,3.85580000,33.45991205,1
ht_0_hightown,76,3.68240000,30.36445290,0
ht_0_hightown,77,3.57340000,32.91790335,1
ht_0_hightown,78,6.01800000,32.03875332,2
ht_0_hightown,79,4.31240000,32.38296965,3
ht_0_hightown,80,2.93060000,35.12833614,0
ht_0_hightown,81,4.36340000,34.90065100,4
ht_0_hightown,82,2.17640000,37.01351105,0
ht_0_hightown,83,7.40720000,35.75461257,2
ht_0_hightown,84,4.46300000,36.22302342,2
ht_0_hightown,85,5.25700000,34.64803920,3
ht_0_hightown,86,7.77060000,37.07397274,2
ht_0_hightown,87,8.79700000,36.34899360,1
