Map,Query Number,Time,Distance,Path Length
ht_0_hightown_a3,0,1.96320000,4.47213595,0
ht_0_hightown_a3,1,0.79440000,7.28010989,0
ht_0_hightown_a3,2,0.74860000,4.47213595,0
ht_0_hightown_a3,3,5.45960000,7.07106781,0
ht_0_hightown_a3,4,0.55780000,5.09901951,0
ht_0_hightown_a3,5,0.55720000,4.12310563,0
ht_0_hightown_a3,6,0.82300000,7.00000000,0
ht_0_hightown_a3,7,0.65100000,4.47213595,0
ht_0_hightown_a3,8,3.86540000,7.08276253,1
ht_0_hightown_a3,9,0.59620000,4.47213595,0
ht_0_hightown_a3,10,6.16020000,11.18033989,0
ht_0_hightown_a3,11,0.49480000,8.94427191,0
ht_0_hightown_a3,12,0.57800000,9.05538514,0
ht_0_hightown_a3,13,1.23480000,8.24621125,0
ht_0_hightown_a3,14,0.41900000,11.04536102,0
ht_0_hightown_a3,15,0.60700000,8.06225775,0
ht_0_hightown_a3,16,0.49580000,10.63014581,0
ht_0_hightown_a3,17,0.66000000,10.44030651,0
ht_0_hightown_a3,18,2.30500000,8.48528137,0
ht_0_hightown_a3,19,2.16140000,9.21954446,0
ht_0_hightown_a3,20,2.09380000,13.00000000,0
ht_0_hightown_a3,21,3.23240000,12.72792206,0
ht_0_hightown_a3,22,3.92000000,12.08304597,0
ht_0_hightown_a3,23,1.76240000,11.70469991,0
ht_0_hightown_a3,24,0.50220000,13.60147051,0
ht_0_hightown_a3,25,8.41300000,13.87044618,1
ht_0_hightown_a3,26,2.24640000,13.00000000,0
ht_0_hightown_a3,27,4.92180000,14.76482306,0
ht_0_hightown_a3,28,6.17180000,14.14213562,0
ht_0_hightown_a3,29,2.64400000,12.52996409,0
ht_0_hightown_a3,30,1.59620000,18.02775638,0
ht_0_hightown_a3,31,3.36640000,19.27882060,1
ht_0_hightown_a3,32,2.12540000,15.81138830,0
ht_0_hightown_a3,33,0.59540000,18.02775638,0
ht_0_hightown_a3,34,1.98740000,17.80449381,0
ht_0_hightown_a3,35,3.10000000,16.81138830,1
ht_0_hightown_a3,36,3.27880000,15.81138830,0
ht_0_hightown_a3,37,0.67040000,16.49242250,0
ht_0_hightown_a3,38,0.48780000,16.15549442,0
ht_0_hightown_a3,39,0.52660000,18.02775638,0
ht_0_hightown_a3,40,0.52080000,19.64688270,0
ht_0_hightown_a3,41,4.03080000,21.09502311,0
ht_0_hightown_a3,42,4.64900000,22.67156810,0
ht_0_hightown_a3,43,0.56760000,21.09502311,0
ht_0_hightown_a3,44,0.45320000,19.31320792,0
ht_0_hightown_a3,45,3.68960000,21.63330765,0
ht_0_hightown_a3,46,0.56080000,20.00000000,0
ht_0_hightown_a3,47,0.43860000,20.59126028,0
ht_0_hightown_a3,48,3.32540000,20.74387278,1
ht_0_hightown_a3,49,0.60480000,21.09502311,0
ht_0_hightown_a3,50,3.76660000,23.02172887,0
ht_0_hightown_a3,51,4.31100000,25.81961208,1
ht_0_hightown_a3,52,3.07580000,22.80350850,0
ht_0_hightown_a3,53,5.33960000,25.30310536,1
ht_0_hightown_a3,54,2.85020000,27.01851217,0
ht_0_hightown_a3,55,3.21420000,25.81875471,2
ht_0_hightown_a3,56,0.57880000,24.41311123,0
ht_0_hightown_a3,57,2.65440000,23.25940670,0
ht_0_hightown_a3,58,3.44640000,25.00000000,0
ht_0_hightown_a3,59,5.38640000,26.17250466,0
ht_0_hightown_a3,60,2.80640000,28.44292531,0
ht_0_hightown_a3,61,9.11240000,26.42419499,1
ht_0_hightown_a3,62,2.55280000,27.51363298,0
ht_0_hightown_a3,63,2.58860000,31.06444913,0
ht_0_hightown_a3,64,4.15340000,30.06659276,0
ht_0_hightown_a3,65,4.38400000,29.15475947,0
ht_0_hightown_a3,66,6.93960000,29.83286778,0
ht_0_hightown_a3,67,3.72920000,28.59115461,2
ht_0_hightown_a3,68,2.28020000,29.15475947,0
ht_0_hightown_a3,69,5.05260000,27.44691320,1
ht_0_hightown_a3,70,2.47640000,35.05709629,0
ht_0_hightown_a3,71,4.49780000,32.28002478,0
ht_0_hightown_a3,72,2.46600000,32.28002478,0
ht_0_hightown_a3,73,6.42100000,35.35533906,0
ht_0_hightown_a3,74,6.56700000,31.40063694,0
ht_0_hightown_a3,75,4.71040000,33.13483829,1
ht_0_hightown_a3,76,5.98040000,31.76476035,0
ht_0_hightown_a3,77,9.51180000,30.89244399,1
ht_0_hightown_a3,78,6.70840000,32.27378887,1
ht_0_hightown_a3,79,7.70400000,34.81138830,2
ht_0_hightown_a3,80,3.75100000,38.05259518,0
ht_0_hightown_a3,81,6.10220000,38.20994635,0
ht_0_hightown_a3,82,5.11440000,36.04855390,1
ht_0_hightown_a3,83,8.97620000,36.87895531,1
ht_0_hightown_a3,84,3.61360000,35.44009029,0
ht_0_hightown_a3,85,6.91240000,36.07231774,1
ht_0_hightown_a3,86,5.22560000,34.93642156,1
ht_0_hightown_a3,87,5.56240000,36.27303861,1
ht_0_hightown_a3,88,3.46020000,38.94868419,0
ht_0_hightown_a3,89,3.35400000,38.01315562,0
ht_0_hightown_a3,90,3.02860000,41.61730409,0
ht_0_hightown_a3,91,2.41320000,41.01219331,0
ht_0_hightown_a3,92,4.76540000,37.46394412,2
ht_0_hightown_a3,93,5.88260000,41.72529209,0
ht_0_hightown_a3,94,4.33820000,39.95714260,2
ht_0_hightown_a3,95,3.79000000,40.24922359,0
ht_0_hightown_a3,96,4.00980000,42.10925877,1
ht_0_hightown_a3,97,9.42900000,40.24903099,2
ht_0_hightown_a3,98,6.77620000,41.05538514,2
ht_0_hightown_a3,99,3.89520000,39.26592108,1
ht_0_hightown_a3,100,5.24220000,44.28317965,0
ht_0_hightown_a3,101,5.22280000,45.26928420,1
ht_0_hightown_a3,102,0.63840000,44.64302857,0
ht_0_hightown_a3,103,4.02240000,42.94182111,0
ht_0_hightown_a3,104,6.11280000,43.49999923,2
ht_0_hightown_a3,105,3.96120000,44.71516086,1
ht_0_hightown_a3,106,3.62520000,42.85939613,2
ht_0_hightown_a3,107,6.73880000,43.18564576,0
ht_0_hightown_a3,108,4.61700000,44.39689105,2
ht_0_hightown_a3,109,3.04140000,43.67920576,1
ht_0_hightown_a3,110,5.64100000,48.99921169,3
ht_0_hightown_a3,111,5.34960000,48.41487375,0
ht_0_hightown_a3,112,5.93700000,46.18765386,2
ht_0_hightown_a3,113,5.89820000,47.38143096,0
ht_0_hightown_a3,114,6.28660000,45.89065092,1
ht_0_hightown_a3,115,4.74540000,45.62450488,1
ht_0_hightown_a3,116,7.11540000,47.06412511,3
ht_0_hightown_a3,117,4.06300000,49.29201296,1
ht_0_hightown_a3,118,7.57760000,45.47028753,4
ht_0_hightown_a3,119,7.45640000,49.57293101,1
ht_0_hightown_a3,120,3.97680000,48.97232859,1
ht_0_hightown_a3,121,5.71420000,50.17705326,2
ht_0_hightown_a3,122,2.59760000,50.11015959,5
ht_0_hightown_a3,123,5.71120000,48.99015738,4
ht_0_hightown_a3,124,2.86720000,51.47815070,0
