Map,Query Number,Time,Distance,Path Length
ht_bartrand_n,0,0.81420000,5.83095189,0
ht_bartrand_n,1,0.57020000,5.09901951,0
ht_bartrand_n,2,2.29240000,6.32455532,0
ht_bartrand_n,3,3.13420000,6.00000000,0
ht_bartrand_n,4,0.42780000,5.09901951,0
ht_bartrand_n,5,2.52780000,5.00000000,0
ht_bartrand_n,6,0.54960000,5.00000000,0
ht_bartrand_n,7,0.52320000,6.32455532,0
ht_bartrand_n,8,0.51860000,7.07106781,0
ht_bartrand_n,9,0.49040000,6.40312424,0
ht_bartrand_n,10,2.20080000,9.05538514,0
ht_bartrand_n,11,0.42620000,7.61577311,0
ht_bartrand_n,12,0.51760000,8.54400375,0
ht_bartrand_n,13,0.58640000,8.06225775,0
ht_bartrand_n,14,0.38600000,7.81024968,0
ht_bartrand_n,15,3.73100000,9.95153275,3
ht_bartrand_n,16,0.45140000,9.21954446,0
ht_bartrand_n,17,1.91180000,8.60232527,0
ht_bartrand_n,18,0.41340000,10.04987562,0
ht_bartrand_n,19,0.46380000,8.94427191,0
ht_bartrand_n,20,0.41700000,12.04159458,0
ht_bartrand_n,21,1.76280000,14.03566885,0
ht_bartrand_n,22,0.48440000,13.41640786,0
ht_bartrand_n,23,2.01280000,14.56021978,0
ht_bartrand_n,24,0.47600000,14.56021978,0
ht_bartrand_n,25,0.41720000,12.52996409,0
ht_bartrand_n,26,0.47100000,12.80624847,0
ht_bartrand_n,27,3.29560000,13.34166406,0
ht_bartrand_n,28,2.37400000,13.00000000,0
ht_bartrand_n,29,2.16760000,12.36931688,0
ht_bartrand_n,30,0.41300000,18.35755975,0
ht_bartrand_n,31,2.49140000,17.80449381,0
ht_bartrand_n,32,4.94980000,14.82687566,2
ht_bartrand_n,33,4.52620000,15.86198436,2
ht_bartrand_n,34,4.54100000,18.80449381,1
ht_bartrand_n,35,3.41980000,19.10497317,0
ht_bartrand_n,36,0.47840000,14.86606875,0
ht_bartrand_n,37,0.39840000,17.46424920,0
ht_bartrand_n,38,6.18060000,15.43504043,1
ht_bartrand_n,39,2.81600000,18.43908891,0
ht_bartrand_n,40,4.99360000,19.81007398,1
ht_bartrand_n,41,5.19140000,22.21954446,2
