Map,Query Number,Time,Distance,Path Length
ht_brothel_n,0,0.64140000,5.83095189,0
ht_brothel_n,1,2.36660000,5.00000000,0
ht_brothel_n,2,2.22560000,5.83095189,0
ht_brothel_n,3,2.30980000,6.70820393,0
ht_brothel_n,4,0.45400000,7.21110255,0
ht_brothel_n,5,1.61800000,6.00000000,0
ht_brothel_n,6,3.12900000,7.07106781,0
ht_brothel_n,7,1.92040000,5.38516481,0
ht_brothel_n,8,0.39760000,5.65685425,0
ht_brothel_n,9,0.53180000,6.40312424,0
ht_brothel_n,10,3.77660000,10.77032961,0
ht_brothel_n,11,0.42900000,8.60232527,0
ht_brothel_n,12,2.22060000,8.06225775,0
ht_brothel_n,13,2.38860000,10.07106781,2
ht_brothel_n,14,1.72200000,8.54400375,0
ht_brothel_n,15,3.25180000,7.61577311,0
ht_brothel_n,16,2.14480000,11.31370850,0
ht_brothel_n,17,2.10360000,8.00000000,0
ht_brothel_n,18,1.99740000,8.00000000,0
ht_brothel_n,19,1.67160000,7.61577311,0
ht_brothel_n,20,0.49580000,15.03329638,0
ht_brothel_n,21,2.11740000,12.00000000,0
ht_brothel_n,22,2.71540000,12.72865690,3
ht_brothel_n,23,2.51900000,15.03329638,0
ht_brothel_n,24,2.85780000,12.04159458,0
ht_brothel_n,25,2.48320000,14.37588089,1
ht_brothel_n,26,2.05940000,12.86795680,1
ht_brothel_n,27,2.48100000,12.72792206,2
ht_brothel_n,28,0.48580000,14.31782106,0
ht_brothel_n,29,2.58720000,12.52996409,0
ht_brothel_n,30,2.24780000,14.86606875,0
ht_brothel_n,31,2.63080000,14.73887873,2
ht_brothel_n,32,6.37840000,17.00389692,4
ht_brothel_n,33,2.76900000,15.04536102,2
ht_brothel_n,34,2.05900000,16.03121954,0
ht_brothel_n,35,2.03320000,15.29705854,0
ht_brothel_n,36,3.10640000,17.49285568,1
ht_brothel_n,37,4.45320000,18.60555128,2
ht_brothel_n,38,5.26320000,15.76358907,3
ht_brothel_n,39,5.51740000,15.37994046,2
ht_brothel_n,40,4.43320000,21.07106781,1
ht_brothel_n,41,4.52000000,21.35331075,2
ht_brothel_n,42,4.96000000,20.39607805,0
ht_brothel_n,43,3.78780000,20.82694157,2
ht_brothel_n,44,5.03900000,20.68002143,1
ht_brothel_n,45,2.98600000,21.42751891,2
ht_brothel_n,46,6.64520000,21.64911064,3
ht_brothel_n,47,2.24160000,23.08679276,0
ht_brothel_n,48,7.74780000,21.14624818,6
ht_brothel_n,49,3.78480000,20.47955672,3
ht_brothel_n,50,2.96320000,23.53720459,0
ht_brothel_n,51,5.24720000,26.36067977,2
ht_brothel_n,52,3.29660000,24.51530134,0
ht_brothel_n,53,3.14020000,24.72100420,2
ht_brothel_n,54,3.68280000,23.82425372,1
ht_brothel_n,55,5.53080000,23.54965676,1
ht_brothel_n,56,3.62060000,25.07987241,0
ht_brothel_n,57,3.48940000,24.58041944,4
ht_brothel_n,58,6.93460000,25.05296253,6
ht_brothel_n,59,5.58380000,25.09964637,1
ht_brothel_n,60,6.74800000,29.02472461,4
ht_brothel_n,61,2.21800000,29.06888371,0
ht_brothel_n,62,3.52940000,28.49638612,1
ht_brothel_n,63,4.31760000,27.30266313,4
ht_brothel_n,64,5.87020000,29.55859293,1
ht_brothel_n,65,3.90500000,28.85631528,2
ht_brothel_n,66,4.29260000,27.93171220,2
ht_brothel_n,67,3.63780000,26.58765930,1
ht_brothel_n,68,3.41040000,27.02498439,2
ht_brothel_n,69,4.20380000,26.00000000,0
ht_brothel_n,70,4.34700000,33.11687097,1
ht_brothel_n,71,6.31280000,31.60494805,2
ht_brothel_n,72,3.27820000,29.21954446,2
ht_brothel_n,73,4.62380000,31.41421356,2
ht_brothel_n,74,3.35000000,33.18324231,3
ht_brothel_n,75,4.40120000,30.09018386,2
ht_brothel_n,76,5.25260000,32.88689042,3
ht_brothel_n,77,4.60140000,30.47220505,2
ht_brothel_n,78,5.14740000,30.29016463,2
ht_brothel_n,79,4.44280000,31.06107503,2
ht_brothel_n,80,5.08840000,34.40265168,5
ht_brothel_n,81,3.91820000,33.57587914,2
ht_brothel_n,82,5.48320000,36.93012576,3
ht_brothel_n,83,4.16600000,36.24880950,1
ht_brothel_n,84,5.53440000,36.11876589,4
ht_brothel_n,85,4.68900000,35.32542907,2
ht_brothel_n,86,4.66560000,34.39834564,3
ht_brothel_n,87,4.34500000,38.05975062,1
ht_brothel_n,88,4.19100000,34.10300205,5
ht_brothel_n,89,4.73000000,36.76955262,1
ht_brothel_n,90,5.60580000,38.18706884,3
ht_brothel_n,91,3.95900000,37.97249595,3
ht_brothel_n,92,6.15860000,38.92589291,4
ht_brothel_n,93,5.44040000,38.26045912,1
ht_brothel_n,94,6.81900000,42.37815763,1
ht_brothel_n,95,6.57360000,39.67365321,3
ht_brothel_n,96,5.99040000,38.75637122,9
ht_brothel_n,97,6.86660000,38.18808239,6
ht_brothel_n,98,7.60960000,40.63210548,10
ht_brothel_n,99,7.62240000,41.43682375,1
ht_brothel_n,100,6.90020000,43.13562073,5
ht_brothel_n,101,5.09580000,43.40649274,1
ht_brothel_n,102,4.91240000,45.38915876,2
ht_brothel_n,103,6.31800000,43.29859379,1
ht_brothel_n,104,4.07140000,43.50335601,4
ht_brothel_n,105,16.39540000,45.23715873,2
ht_brothel_n,106,4.60880000,42.43223950,6
ht_brothel_n,107,4.44700000,40.18751907,5
ht_brothel_n,108,7.26400000,42.55065673,6
ht_brothel_n,109,10.54140000,40.69551449,7
ht_brothel_n,110,5.17920000,48.48227923,3
ht_brothel_n,111,7.79220000,44.62144233,9
ht_brothel_n,112,8.31440000,47.32161936,2
ht_brothel_n,113,6.84540000,44.28381942,6
ht_brothel_n,114,3.67720000,48.14704323,8
ht_brothel_n,115,5.62580000,48.89691939,1
ht_brothel_n,116,9.42380000,46.63487550,5
ht_brothel_n,117,12.86080000,46.43919416,3
ht_brothel_n,118,5.34320000,45.58190577,5
ht_brothel_n,119,7.08100000,46.16629856,2
ht_brothel_n,120,8.37860000,50.75295057,3
ht_brothel_n,121,9.87380000,46.92331701,12
ht_brothel_n,122,12.65460000,49.00380478,5
ht_brothel_n,123,11.72980000,49.56319735,1
ht_brothel_n,124,10.27000000,49.29323167,6
ht_brothel_n,125,5.67460000,51.69766653,2
ht_brothel_n,126,5.03380000,52.79837573,2
ht_brothel_n,127,13.33700000,49.79129554,4
ht_brothel_n,128,4.72860000,48.82447945,2
ht_brothel_n,129,7.61680000,50.08191950,7
ht_brothel_n,130,5.63860000,54.34948379,1
ht_brothel_n,131,11.26980000,54.17132169,3
ht_brothel_n,132,11.03300000,51.19327970,7
ht_brothel_n,133,17.20200000,55.34661792,7
ht_brothel_n,134,8.70340000,52.92988700,4
ht_brothel_n,135,8.70880000,52.25087332,4
ht_brothel_n,136,19.54380000,57.13374179,4
ht_brothel_n,137,11.31440000,54.30222036,6
ht_brothel_n,138,8.64140000,52.86200748,8
ht_brothel_n,139,7.81700000,53.51776575,7
ht_brothel_n,140,10.49100000,58.63006808,4
ht_brothel_n,141,5.91140000,53.18580962,9
ht_brothel_n,142,6.90480000,58.29886139,4
ht_brothel_n,143,8.45760000,54.06000327,9
ht_brothel_n,144,4.34420000,58.55338205,6
ht_brothel_n,145,4.54900000,57.54314229,9
ht_brothel_n,146,15.96200000,58.70771888,6
ht_brothel_n,147,4.66960000,55.07303269,5
ht_brothel_n,148,5.47040000,57.58231012,7
ht_brothel_n,149,6.57080000,56.37026771,5
ht_brothel_n,150,14.04360000,62.04377965,4
ht_brothel_n,151,17.98080000,61.96475866,4
ht_brothel_n,152,13.56020000,61.58037263,3
ht_brothel_n,153,6.54120000,61.07502669,5
ht_brothel_n,154,6.54720000,63.25774141,4
ht_brothel_n,155,9.11080000,64.83710979,11
ht_brothel_n,156,6.32320000,60.32743755,5
ht_brothel_n,157,7.48260000,63.23126803,7
ht_brothel_n,158,11.00520000,61.62896421,4
ht_brothel_n,159,8.85860000,62.02454463,3
ht_brothel_n,160,6.92020000,66.56386450,8
