Map,Query Number,Time,Distance,Path Length
ht_keep,0,1.72780000,5.38516481,0
ht_keep,1,2.18940000,7.21110255,0
ht_keep,2,0.47040000,4.00000000,0
ht_keep,3,2.98700000,7.39834564,2
ht_keep,4,0.54920000,7.07106781,0
ht_keep,5,0.39820000,6.08276253,0
ht_keep,6,0.38140000,4.12310563,0
ht_keep,7,0.49340000,7.07106781,0
ht_keep,8,1.84020000,6.32455532,0
ht_keep,9,1.71880000,5.83095189,0
ht_keep,10,0.53640000,8.94427191,0
ht_keep,11,3.49560000,9.21110255,1
ht_keep,12,0.36660000,8.54400375,0
ht_keep,13,1.74360000,10.19803903,0
ht_keep,14,0.44640000,8.54400375,0
ht_keep,15,0.40680000,8.54400375,0
ht_keep,16,0.36000000,10.81665383,0
ht_keep,17,2.27080000,11.31370850,0
ht_keep,18,0.39300000,9.21954446,0
ht_keep,19,1.63200000,8.94427191,0
ht_keep,20,1.71180000,13.89244399,0
ht_keep,21,0.39220000,12.72792206,0
ht_keep,22,2.04700000,12.36931688,0
ht_keep,23,0.34860000,14.31782106,0
ht_keep,24,1.86080000,12.20655562,0
ht_keep,25,0.43400000,13.89244399,0
ht_keep,26,2.14140000,15.55634919,0
ht_keep,27,1.47880000,13.92838828,0
ht_keep,28,2.08120000,13.60147051,0
ht_keep,29,2.38260000,13.00000000,0
ht_keep,30,1.89780000,17.02938637,0
ht_keep,31,2.71360000,17.72004515,0
ht_keep,32,1.78560000,16.27882060,0
ht_keep,33,2.84380000,18.43908891,0
ht_keep,34,2.68880000,15.56021978,1
ht_keep,35,1.22020000,17.88854382,0
ht_keep,36,4.33960000,15.31025119,1
ht_keep,37,3.34040000,16.64331698,0
ht_keep,38,4.58400000,17.26910684,1
ht_keep,39,2.87100000,17.08800749,0
ht_keep,40,0.48300000,21.21320344,0
ht_keep,41,1.86300000,22.13594362,0
ht_keep,42,2.76700000,20.12461180,0
ht_keep,43,1.50000000,21.02379604,0
ht_keep,44,2.75680000,21.93171220,0
ht_keep,45,3.12360000,21.37755833,0
ht_keep,46,3.05260000,18.86683194,2
ht_keep,47,1.08820000,19.92485885,0
ht_keep,48,4.27860000,21.93171220,0
ht_keep,49,1.73700000,23.08679276,0
ht_keep,50,4.21660000,25.63362154,1
ht_keep,51,3.15800000,25.84093534,2
ht_keep,52,3.21300000,22.62741699,2
ht_keep,53,1.97720000,23.34523506,0
ht_keep,54,1.70560000,23.76972865,0
ht_keep,55,4.07300000,27.07926199,1
ht_keep,56,2.67820000,24.51530134,0
ht_keep,57,4.43400000,22.49989233,1
ht_keep,58,2.15060000,26.17250466,0
ht_keep,59,4.16220000,25.80697580,1
ht_keep,60,1.85440000,26.24880950,0
ht_keep,61,2.66540000,27.47089314,1
ht_keep,62,4.26000000,28.71796157,1
ht_keep,63,3.68180000,27.29563014,1
ht_keep,64,3.08740000,27.99134051,3
ht_keep,65,1.96460000,27.31300057,0
ht_keep,66,3.46940000,29.73782899,1
ht_keep,67,2.57900000,28.28709297,2
ht_keep,68,1.53340000,26.47640459,0
ht_keep,69,4.43460000,25.64944209,2
ht_keep,70,2.98660000,29.36953233,2
ht_keep,71,3.23440000,33.57378571,2
ht_keep,72,1.62180000,31.78049716,0
ht_keep,73,2.51700000,30.48885194,4
ht_keep,74,2.41140000,31.24134831,4
ht_keep,75,2.31300000,31.78049716,0
ht_keep,76,4.99560000,33.60147051,3
ht_keep,77,4.44040000,31.33556300,1
ht_keep,78,2.83600000,30.43088061,2
ht_keep,79,3.41080000,33.41486496,2
ht_keep,80,2.66900000,33.71958419,1
ht_keep,81,3.35360000,36.59834732,1
ht_keep,82,4.25320000,35.29393205,2
ht_keep,83,3.67160000,33.58308844,2
ht_keep,84,5.29240000,32.19433566,5
ht_keep,85,3.23080000,35.84689666,0
ht_keep,86,2.78720000,38.21053280,1
ht_keep,87,2.80540000,36.05551275,0
ht_keep,88,3.33620000,36.74714946,1
ht_keep,89,4.17540000,35.64373945,5
ht_keep,90,3.66440000,40.86255917,5
ht_keep,91,4.56200000,39.34752668,1
ht_keep,92,4.35700000,38.47607040,1
ht_keep,93,3.26240000,39.33350505,1
ht_keep,94,6.13160000,36.87405707,5
ht_keep,95,3.50840000,40.92330312,2
ht_keep,96,3.95160000,39.48187930,1
ht_keep,97,4.51240000,39.10424502,1
ht_keep,98,3.03820000,37.94733192,0
ht_keep,99,3.63460000,40.68494754,1
ht_keep,100,4.03220000,42.21999634,1
ht_keep,101,5.51120000,42.54866223,6
ht_keep,102,3.04340000,43.26661531,1
ht_keep,103,2.96680000,44.40720662,0
ht_keep,104,3.55940000,42.01801624,1
ht_keep,105,2.95200000,42.75511665,0
ht_keep,106,3.08360000,41.67265222,1
ht_keep,107,3.49020000,46.27004081,5
ht_keep,108,3.77920000,45.51674366,5
ht_keep,109,4.06580000,42.54409477,0
ht_keep,110,3.92600000,45.39787633,2
ht_keep,111,5.39080000,45.68482387,4
ht_keep,112,3.40960000,45.73968265,7
ht_keep,113,3.71580000,45.21876574,2
ht_keep,114,5.07920000,49.24123362,3
ht_keep,115,3.54700000,44.43522998,1
ht_keep,116,3.12440000,45.37968478,6
ht_keep,117,4.80900000,48.21558813,2
ht_keep,118,4.47340000,46.96174973,1
ht_keep,119,9.16920000,46.91451771,7
ht_keep,120,5.07280000,50.00000000,0
ht_keep,121,13.47280000,53.25204108,5
ht_keep,122,4.60160000,49.68387684,2
ht_keep,123,3.78900000,49.65235833,1
ht_keep,124,4.61400000,51.62363800,0
ht_keep,125,3.85300000,49.17865206,3
ht_keep,126,2.67500000,49.15229170,3
ht_keep,127,6.46560000,52.17388984,1
ht_keep,128,3.22000000,52.03307765,3
ht_keep,129,4.59800000,51.04977011,2
ht_keep,130,7.49280000,54.83471351,1
ht_keep,131,5.29480000,52.68956613,1
ht_keep,132,6.93360000,52.96083705,2
ht_keep,133,3.19700000,53.88105524,2
ht_keep,134,4.16600000,52.37170498,2
ht_keep,135,4.39580000,54.96353297,1
ht_keep,136,7.69100000,52.09024254,3
ht_keep,137,10.78600000,54.84813997,2
ht_keep,138,4.33320000,54.73276845,2
ht_keep,139,4.19640000,56.68017167,5
ht_keep,140,3.92940000,58.70272078,2
ht_keep,141,10.25040000,58.57415835,5
ht_keep,142,3.43720000,59.19981816,2
ht_keep,143,6.42720000,55.55920447,2
ht_keep,144,6.20920000,59.50543260,3
ht_keep,145,4.60740000,59.36256127,2
ht_keep,146,4.88000000,60.09468434,3
ht_keep,147,6.81860000,58.27084553,2
ht_keep,148,3.22560000,58.13193643,3
ht_keep,149,4.22120000,61.31637926,1
ht_keep,150,7.09640000,60.98943676,11
ht_keep,151,6.64420000,60.35416188,3
ht_keep,152,9.01460000,62.78217769,7
ht_keep,153,4.68300000,63.29805472,3
ht_keep,154,3.68260000,63.12611346,5
ht_keep,155,5.18640000,60.28977983,1
ht_keep,156,4.94140000,60.87896430,3
ht_keep,157,3.64360000,62.34629995,4
ht_keep,158,3.94900000,64.44786995,4
ht_keep,159,5.69340000,62.41503933,3
ht_keep,160,5.69800000,71.07073172,3
ht_keep,161,3.88200000,63.65352562,2
ht_keep,162,7.78280000,67.00565938,5
ht_keep,163,7.39180000,66.23568789,4
ht_keep,164,2.39460000,65.06949931,5
ht_keep,165,6.02120000,67.39416381,6
ht_keep,166,7.23880000,64.65827194,5
ht_keep,167,6.93180000,65.46577390,6
ht_keep,168,3.97460000,64.87564025,6
ht_keep,169,5.87420000,66.83826283,3
ht_keep,170,6.79880000,67.91768780,2
ht_keep,171,5.17460000,71.49918774,3
ht_keep,172,5.84940000,72.64623641,6
ht_keep,173,7.11900000,69.15803061,2
ht_keep,174,4.92320000,69.64194139,0
ht_keep,175,4.47120000,68.07345661,3
ht_keep,176,4.11840000,69.36805597,1
ht_keep,177,4.59820000,68.28672662,2
ht_keep,178,15.55680000,70.89526430,6
ht_keep,179,5.59320000,68.56768651,2
ht_keep,180,8.04240000,74.61409122,3
ht_keep,181,6.13860000,76.82031074,1
ht_keep,182,4.94260000,77.29455435,2
ht_keep,183,6.33780000,73.40468523,2
ht_keep,184,5.44360000,76.29802647,4
ht_keep,185,7.41660000,73.73429642,5
ht_keep,186,4.48540000,73.14240489,8
ht_keep,187,8.89800000,71.88759055,3
ht_keep,188,4.83320000,77.64292215,2
ht_keep,189,10.24460000,75.07082939,7
ht_keep,190,8.39680000,78.09989837,7
ht_keep,191,9.86240000,75.43042322,4
ht_keep,192,3.17340000,76.46163591,3
ht_keep,193,6.12760000,76.02360929,4
ht_keep,194,11.47060000,78.20465053,5
ht_keep,195,5.32420000,74.91901668,2
ht_keep,196,6.41120000,77.31957780,1
ht_keep,197,13.21120000,77.55439659,7
ht_keep,198,7.07320000,76.63576010,7
ht_keep,199,7.26700000,80.02282150,4
ht_keep,200,4.64900000,84.45315212,5
ht_keep,201,6.64380000,81.34064256,5
ht_keep,202,14.21020000,81.22206754,5
ht_keep,203,9.32280000,79.09186353,2
ht_keep,204,10.22340000,82.62756636,5
ht_keep,205,5.16440000,82.16316343,2
ht_keep,206,6.28200000,80.50278275,7
