Map,Query Number,Time,Distance,Path Length
lt_0_lowtown,0,2.44260000,4.12310563,0
lt_0_lowtown,1,0.78760000,5.00000000,0
lt_0_lowtown,2,0.73200000,4.24264069,0
lt_0_lowtown,3,2.37280000,6.32455532,0
lt_0_lowtown,4,0.62680000,4.47213595,0
lt_0_lowtown,5,3.14960000,6.70820393,0
lt_0_lowtown,6,0.65600000,4.12310563,0
lt_0_lowtown,7,3.25720000,6.40312424,0
lt_0_lowtown,8,0.57680000,7.07106781,0
lt_0_lowtown,9,2.17980000,4.47213595,0
lt_0_lowtown,10,1.62580000,8.54400375,0
lt_0_lowtown,11,0.70240000,11.18033989,0
lt_0_lowtown,12,2.72520000,8.54400375,0
lt_0_lowtown,13,0.70120000,8.24621125,0
lt_0_lowtown,14,0.57620000,8.94427191,0
lt_0_lowtown,15,0.73000000,10.81665383,0
lt_0_lowtown,16,1.90340000,10.29563014,0
lt_0_lowtown,17,0.43560000,8.94427191,0
lt_0_lowtown,18,0.43380000,11.40175425,0
lt_0_lowtown,19,2.35300000,8.60232527,0
lt_0_lowtown,20,3.13640000,13.34166406,0
lt_0_lowtown,21,2.58600000,13.45362405,0
lt_0_lowtown,22,2.95120000,11.66190379,0
lt_0_lowtown,23,1.28440000,12.16552506,0
lt_0_lowtown,24,3.96920000,13.15294644,0
lt_0_lowtown,25,2.46080000,13.03840481,0
lt_0_lowtown,26,0.38020000,13.60147051,0
lt_0_lowtown,27,2.19140000,11.40175425,0
lt_0_lowtown,28,0.72440000,14.86606875,0
lt_0_lowtown,29,2.11780000,15.00000000,0
lt_0_lowtown,30,2.84300000,19.20937271,0
lt_0_lowtown,31,1.85340000,17.08800749,0
lt_0_lowtown,32,3.10260000,18.38477631,0
lt_0_lowtown,33,0.52640000,17.46424920,0
lt_0_lowtown,34,4.05460000,18.24828759,0
lt_0_lowtown,35,0.61720000,15.26433752,0
lt_0_lowtown,36,0.56180000,18.02775638,0
lt_0_lowtown,37,2.54480000,17.26267650,0
lt_0_lowtown,38,2.26000000,17.02938637,0
lt_0_lowtown,39,0.65480000,17.02938637,0
lt_0_lowtown,40,2.71520000,20.12461180,0
lt_0_lowtown,41,0.42620000,19.23538406,0
lt_0_lowtown,42,0.42040000,22.47220505,0
lt_0_lowtown,43,4.44460000,21.40312424,2
lt_0_lowtown,44,2.52340000,21.02379604,0
lt_0_lowtown,45,2.27680000,19.92485885,0
lt_0_lowtown,46,3.21200000,19.49623888,2
lt_0_lowtown,47,2.10740000,21.93171220,0
lt_0_lowtown,48,0.56780000,22.02271555,0
lt_0_lowtown,49,4.64180000,20.88061302,0
lt_0_lowtown,50,2.68600000,23.76972865,0
lt_0_lowtown,51,4.56020000,25.63201124,0
lt_0_lowtown,52,3.44600000,24.59674775,0
lt_0_lowtown,53,1.09140000,22.56102835,0
lt_0_lowtown,54,3.37880000,25.01524546,2
lt_0_lowtown,55,5.03740000,24.80165265,1
lt_0_lowtown,56,3.63040000,25.45584412,0
lt_0_lowtown,57,4.44840000,25.01999201,0
lt_0_lowtown,58,1.88920000,22.36067977,0
lt_0_lowtown,59,3.88620000,24.69817807,0
lt_0_lowtown,60,3.38420000,27.20294102,0
lt_0_lowtown,61,2.21920000,28.01785145,0
lt_0_lowtown,62,3.41920000,29.12043956,0
lt_0_lowtown,63,2.35060000,28.28427125,0
lt_0_lowtown,64,4.79220000,29.47220505,2
lt_0_lowtown,65,4.12420000,28.22489815,2
lt_0_lowtown,66,3.34720000,29.06888371,0
lt_0_lowtown,67,0.62200000,27.51363298,0
lt_0_lowtown,68,4.98980000,27.16682307,1
lt_0_lowtown,69,4.46420000,28.63919221,4
lt_0_lowtown,70,2.70140000,32.64965543,0
lt_0_lowtown,71,3.26880000,30.67572330,0
lt_0_lowtown,72,2.07640000,32.14031736,0
lt_0_lowtown,73,5.99260000,31.47213595,3
lt_0_lowtown,74,5.06300000,30.67572330,0
lt_0_lowtown,75,4.80960000,31.31797780,1
lt_0_lowtown,76,3.58940000,32.69556545,0
lt_0_lowtown,77,6.18820000,29.67569057,1
lt_0_lowtown,78,3.88000000,33.92166598,1
lt_0_lowtown,79,2.65840000,32.64965543,0
lt_0_lowtown,80,5.49960000,36.27456234,2
lt_0_lowtown,81,3.50860000,37.21655120,1
lt_0_lowtown,82,4.47960000,35.17101079,0
lt_0_lowtown,83,4.22800000,35.60975698,1
lt_0_lowtown,84,4.11960000,36.40054945,0
lt_0_lowtown,85,5.56700000,35.73513677,0
lt_0_lowtown,86,3.00480000,34.00000000,0
lt_0_lowtown,87,4.16960000,35.99850200,1
lt_0_lowtown,88,2.60900000,37.05401463,0
lt_0_lowtown,89,3.69880000,35.22782991,0
lt_0_lowtown,90,4.26360000,43.01162634,0
lt_0_lowtown,91,7.23900000,40.69673857,1
lt_0_lowtown,92,2.48780000,37.94733192,0
lt_0_lowtown,93,5.21340000,41.45603779,3
lt_0_lowtown,94,3.54620000,38.12310563,1
lt_0_lowtown,95,5.50720000,38.30923650,1
lt_0_lowtown,96,4.52660000,39.96248241,0
lt_0_lowtown,97,5.13780000,36.41382557,3
lt_0_lowtown,98,4.27100000,39.56008089,0
lt_0_lowtown,99,5.27780000,40.63631862,8
lt_0_lowtown,100,5.79500000,43.46262762,0
lt_0_lowtown,101,2.57540000,42.72001873,0
lt_0_lowtown,102,8.01080000,45.00000000,6
lt_0_lowtown,103,4.33420000,41.28659437,3
lt_0_lowtown,104,10.65220000,42.65352559,7
lt_0_lowtown,105,6.66780000,43.04426025,1
lt_0_lowtown,106,4.14880000,41.84848874,1
lt_0_lowtown,107,5.27920000,43.76620762,1
