Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_a2_n,0,1.21940000,4.24264069,0
lt_0_lowtown_a2_n,1,0.74260000,7.00000000,0
lt_0_lowtown_a2_n,2,3.55100000,5.38516481,0
lt_0_lowtown_a2_n,3,1.73300000,4.00000000,0
lt_0_lowtown_a2_n,4,0.46960000,7.07106781,0
lt_0_lowtown_a2_n,5,0.41620000,5.09901951,0
lt_0_lowtown_a2_n,6,0.72640000,7.21110255,0
lt_0_lowtown_a2_n,7,0.78620000,5.00000000,0
lt_0_lowtown_a2_n,8,0.46900000,5.09901951,0
lt_0_lowtown_a2_n,9,2.19240000,5.09901951,0
lt_0_lowtown_a2_n,10,0.61520000,10.81665383,0
lt_0_lowtown_a2_n,11,2.32760000,11.04536102,0
lt_0_lowtown_a2_n,12,0.52940000,9.21954446,0
lt_0_lowtown_a2_n,13,0.82020000,7.61577311,0
lt_0_lowtown_a2_n,14,0.76560000,11.40175425,0
lt_0_lowtown_a2_n,15,2.26820000,7.81024968,0
lt_0_lowtown_a2_n,16,2.50880000,8.60232527,0
lt_0_lowtown_a2_n,17,0.50800000,8.48528137,0
lt_0_lowtown_a2_n,18,0.58720000,8.60232527,0
lt_0_lowtown_a2_n,19,1.79300000,7.61577311,0
lt_0_lowtown_a2_n,20,3.08520000,11.15298244,3
lt_0_lowtown_a2_n,21,2.73280000,13.60147051,0
lt_0_lowtown_a2_n,22,1.93520000,14.86606875,0
lt_0_lowtown_a2_n,23,3.60520000,12.20655562,0
lt_0_lowtown_a2_n,24,2.82300000,12.08304597,0
lt_0_lowtown_a2_n,25,3.42020000,14.07716315,1
lt_0_lowtown_a2_n,26,0.89220000,11.66190379,0
lt_0_lowtown_a2_n,27,2.13340000,14.31782106,0
lt_0_lowtown_a2_n,28,2.41260000,11.18033989,0
lt_0_lowtown_a2_n,29,2.20120000,13.34166406,0
lt_0_lowtown_a2_n,30,2.31380000,18.43908891,0
lt_0_lowtown_a2_n,31,0.50340000,18.11077028,0
lt_0_lowtown_a2_n,32,2.24320000,15.62049935,0
lt_0_lowtown_a2_n,33,2.86440000,17.70134478,2
lt_0_lowtown_a2_n,34,2.10360000,19.10497317,0
lt_0_lowtown_a2_n,35,2.02160000,17.02938637,0
lt_0_lowtown_a2_n,36,5.10980000,17.26267650,0
lt_0_lowtown_a2_n,37,4.06400000,18.02775638,0
lt_0_lowtown_a2_n,38,3.50800000,14.86606875,0
lt_0_lowtown_a2_n,39,2.16600000,18.43908891,0
lt_0_lowtown_a2_n,40,2.85700000,20.61552813,0
lt_0_lowtown_a2_n,41,5.95380000,22.09147020,1
lt_0_lowtown_a2_n,42,2.34440000,20.24845673,0
lt_0_lowtown_a2_n,43,1.26600000,21.37755833,0
lt_0_lowtown_a2_n,44,3.21840000,21.93171220,0
lt_0_lowtown_a2_n,45,3.73780000,22.09072203,0
lt_0_lowtown_a2_n,46,3.08400000,22.85159611,1
