Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_a2_n_c,0,1.37140000,5.09901951,0
lt_0_lowtown_a2_n_c,1,0.81460000,5.83095189,0
lt_0_lowtown_a2_n_c,2,0.55320000,6.00000000,0
lt_0_lowtown_a2_n_c,3,0.76640000,6.08276253,0
lt_0_lowtown_a2_n_c,4,7.24280000,7.00000000,0
lt_0_lowtown_a2_n_c,5,3.32140000,7.21110255,0
lt_0_lowtown_a2_n_c,6,0.79980000,4.24264069,0
lt_0_lowtown_a2_n_c,7,2.39620000,5.00000000,0
lt_0_lowtown_a2_n_c,8,2.24080000,7.21110255,0
lt_0_lowtown_a2_n_c,9,1.81200000,5.83095189,0
lt_0_lowtown_a2_n_c,10,0.77160000,9.43398113,0
lt_0_lowtown_a2_n_c,11,0.56160000,8.06225775,0
lt_0_lowtown_a2_n_c,12,2.50220000,9.21954446,0
lt_0_lowtown_a2_n_c,13,2.30000000,10.04987562,0
lt_0_lowtown_a2_n_c,14,0.55280000,10.81665383,0
lt_0_lowtown_a2_n_c,15,0.70960000,7.61577311,0
lt_0_lowtown_a2_n_c,16,0.47220000,11.18033989,0
lt_0_lowtown_a2_n_c,17,0.59440000,10.04987562,0
lt_0_lowtown_a2_n_c,18,2.49300000,11.40175425,0
lt_0_lowtown_a2_n_c,19,0.71180000,8.24621125,0
lt_0_lowtown_a2_n_c,20,0.77260000,14.56021978,0
lt_0_lowtown_a2_n_c,21,3.58720000,11.70469991,0
lt_0_lowtown_a2_n_c,22,0.53880000,13.92838828,0
lt_0_lowtown_a2_n_c,23,2.39460000,12.16552506,0
lt_0_lowtown_a2_n_c,24,1.50640000,12.00000000,0
lt_0_lowtown_a2_n_c,25,5.40360000,12.64911064,0
lt_0_lowtown_a2_n_c,26,3.72360000,12.53169812,1
lt_0_lowtown_a2_n_c,27,2.46280000,11.70469991,0
lt_0_lowtown_a2_n_c,28,2.54340000,13.03840481,0
lt_0_lowtown_a2_n_c,29,6.68740000,14.76482306,0
