Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks,0,3.61100000,5.00000000,0
lt_0_lowtown_docks,1,3.35280000,4.12310563,0
lt_0_lowtown_docks,2,0.65080000,5.09901951,0
lt_0_lowtown_docks,3,0.77880000,6.40312424,0
lt_0_lowtown_docks,4,2.43200000,5.09901951,0
lt_0_lowtown_docks,5,0.77260000,7.21110255,0
lt_0_lowtown_docks,6,0.51620000,6.40312424,0
lt_0_lowtown_docks,7,4.09200000,5.00000000,0
lt_0_lowtown_docks,8,4.22280000,5.38516481,0
lt_0_lowtown_docks,9,0.53540000,5.09901951,0
lt_0_lowtown_docks,10,0.68060000,10.19803903,0
lt_0_lowtown_docks,11,0.68620000,10.77032961,0
lt_0_lowtown_docks,12,0.69640000,10.00000000,0
lt_0_lowtown_docks,13,2.58040000,10.00000000,0
lt_0_lowtown_docks,14,0.54660000,10.00000000,0
lt_0_lowtown_docks,15,0.49800000,11.18033989,0
lt_0_lowtown_docks,16,0.51880000,10.44030651,0
lt_0_lowtown_docks,17,0.56160000,9.48683298,0
lt_0_lowtown_docks,18,3.25940000,10.03952968,1
lt_0_lowtown_docks,19,3.32460000,10.39834564,3
lt_0_lowtown_docks,20,2.85840000,13.03840481,0
lt_0_lowtown_docks,21,3.03340000,14.86606875,0
lt_0_lowtown_docks,22,2.49900000,13.45362405,0
lt_0_lowtown_docks,23,2.58720000,14.86606875,0
lt_0_lowtown_docks,24,0.55400000,12.80624847,0
lt_0_lowtown_docks,25,2.82340000,11.89949494,2
lt_0_lowtown_docks,26,2.58980000,14.14213562,0
lt_0_lowtown_docks,27,5.34420000,14.31782106,0
lt_0_lowtown_docks,28,0.48040000,12.00000000,0
lt_0_lowtown_docks,29,0.71060000,11.18033989,0
lt_0_lowtown_docks,30,2.23320000,18.02775638,0
lt_0_lowtown_docks,31,3.23720000,17.02938637,0
lt_0_lowtown_docks,32,2.24620000,19.20937271,0
lt_0_lowtown_docks,33,1.31320000,18.60107524,0
lt_0_lowtown_docks,34,2.26600000,18.43908891,0
lt_0_lowtown_docks,35,0.67300000,18.02775638,0
lt_0_lowtown_docks,36,4.86560000,16.15549442,0
lt_0_lowtown_docks,37,4.01680000,18.02775638,0
lt_0_lowtown_docks,38,2.37040000,16.03840481,2
lt_0_lowtown_docks,39,2.00760000,15.26433752,0
lt_0_lowtown_docks,40,2.81500000,20.61552813,0
lt_0_lowtown_docks,41,3.09500000,19.23538406,0
lt_0_lowtown_docks,42,4.11400000,20.10654957,4
lt_0_lowtown_docks,43,0.52240000,21.26029163,0
lt_0_lowtown_docks,44,3.90880000,22.09072203,0
lt_0_lowtown_docks,45,3.01560000,21.93171220,0
lt_0_lowtown_docks,46,3.13520000,20.22374842,0
lt_0_lowtown_docks,47,6.19120000,22.20360331,0
lt_0_lowtown_docks,48,2.39600000,18.86796226,0
lt_0_lowtown_docks,49,3.05860000,22.02271555,0
lt_0_lowtown_docks,50,10.19540000,25.91841776,2
lt_0_lowtown_docks,51,5.52000000,24.33105012,0
lt_0_lowtown_docks,52,4.40900000,23.34194204,7
lt_0_lowtown_docks,53,2.91480000,24.18677324,0
lt_0_lowtown_docks,54,2.83700000,26.90724809,0
lt_0_lowtown_docks,55,3.15680000,23.08679276,0
lt_0_lowtown_docks,56,3.62240000,24.75883681,0
lt_0_lowtown_docks,57,5.25840000,24.00945607,1
lt_0_lowtown_docks,58,6.01580000,23.97252734,3
lt_0_lowtown_docks,59,2.42900000,25.49509757,0
lt_0_lowtown_docks,60,4.58720000,28.07133770,0
lt_0_lowtown_docks,61,6.41840000,29.27456234,0
lt_0_lowtown_docks,62,3.21720000,29.42787794,0
lt_0_lowtown_docks,63,4.21600000,29.15475947,0
lt_0_lowtown_docks,64,2.98560000,26.24880950,0
lt_0_lowtown_docks,65,4.38400000,27.73084925,0
lt_0_lowtown_docks,66,5.57620000,27.27250884,1
lt_0_lowtown_docks,67,5.02340000,27.19882144,1
lt_0_lowtown_docks,68,9.18040000,27.01851217,0
lt_0_lowtown_docks,69,0.49920000,28.86173938,0
lt_0_lowtown_docks,70,5.99700000,31.73288209,1
lt_0_lowtown_docks,71,4.32640000,33.13608305,0
lt_0_lowtown_docks,72,3.88480000,31.95309062,0
lt_0_lowtown_docks,73,4.88640000,31.46406925,1
lt_0_lowtown_docks,74,4.71340000,33.39286604,1
lt_0_lowtown_docks,75,4.23780000,32.76683196,1
lt_0_lowtown_docks,76,2.52420000,32.24903099,0
lt_0_lowtown_docks,77,4.91700000,32.50245216,1
lt_0_lowtown_docks,78,3.17580000,29.73977658,1
lt_0_lowtown_docks,79,6.25200000,31.24099870,0
lt_0_lowtown_docks,80,7.25320000,34.92849839,0
lt_0_lowtown_docks,81,0.58000000,37.21558813,0
lt_0_lowtown_docks,82,6.35500000,35.51362621,1
lt_0_lowtown_docks,83,7.34780000,36.30414742,4
lt_0_lowtown_docks,84,2.98220000,34.71310992,0
lt_0_lowtown_docks,85,1.67720000,33.61547263,0
lt_0_lowtown_docks,86,4.50340000,36.81693689,1
lt_0_lowtown_docks,87,3.23000000,33.54101966,0
lt_0_lowtown_docks,88,5.14420000,36.19208245,2
lt_0_lowtown_docks,89,1.94740000,34.48187930,0
lt_0_lowtown_docks,90,2.74760000,40.49691346,0
lt_0_lowtown_docks,91,4.70560000,40.04996879,0
lt_0_lowtown_docks,92,3.89440000,40.31128874,0
lt_0_lowtown_docks,93,3.08320000,38.10226964,1
lt_0_lowtown_docks,94,3.75600000,42.00000000,0
lt_0_lowtown_docks,95,5.47760000,39.91244246,3
lt_0_lowtown_docks,96,0.57780000,37.85498646,0
lt_0_lowtown_docks,97,5.84480000,39.05124838,0
lt_0_lowtown_docks,98,4.96000000,38.55381735,3
lt_0_lowtown_docks,99,4.83880000,42.19004622,0
lt_0_lowtown_docks,100,3.49780000,41.96556168,1
lt_0_lowtown_docks,101,5.04700000,42.15447782,0
lt_0_lowtown_docks,102,2.99060000,43.10452412,0
lt_0_lowtown_docks,103,5.85760000,42.07747755,1
