Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks_a3,0,0.72480000,5.65685425,0
lt_0_lowtown_docks_a3,1,2.80880000,5.53731919,1
lt_0_lowtown_docks_a3,2,3.85620000,5.99070478,1
lt_0_lowtown_docks_a3,3,2.84840000,7.07106781,0
lt_0_lowtown_docks_a3,4,0.51760000,5.09901951,0
lt_0_lowtown_docks_a3,5,0.54240000,5.09901951,0
lt_0_lowtown_docks_a3,6,0.55300000,6.08276253,0
lt_0_lowtown_docks_a3,7,2.76980000,6.08276253,0
lt_0_lowtown_docks_a3,8,3.95240000,4.47213595,0
lt_0_lowtown_docks_a3,9,0.51000000,7.07106781,0
lt_0_lowtown_docks_a3,10,0.53820000,11.18033989,0
lt_0_lowtown_docks_a3,11,3.28340000,7.81024968,0
lt_0_lowtown_docks_a3,12,0.52060000,7.81024968,0
lt_0_lowtown_docks_a3,13,0.43120000,7.61577311,0
lt_0_lowtown_docks_a3,14,0.46740000,10.00000000,0
lt_0_lowtown_docks_a3,15,1.93340000,10.00000000,0
lt_0_lowtown_docks_a3,16,2.10900000,10.77032961,0
lt_0_lowtown_docks_a3,17,0.62900000,7.81024968,0
lt_0_lowtown_docks_a3,18,2.80780000,9.48683298,0
lt_0_lowtown_docks_a3,19,2.53360000,10.63014581,0
lt_0_lowtown_docks_a3,20,1.38520000,11.66190379,0
lt_0_lowtown_docks_a3,21,0.40220000,13.45362405,0
lt_0_lowtown_docks_a3,22,1.78400000,14.56021978,0
lt_0_lowtown_docks_a3,23,0.43540000,13.03840481,0
lt_0_lowtown_docks_a3,24,3.67060000,14.53300065,1
lt_0_lowtown_docks_a3,25,2.47440000,12.04159458,0
lt_0_lowtown_docks_a3,26,2.13280000,14.31782106,0
lt_0_lowtown_docks_a3,27,1.46060000,14.86606875,0
lt_0_lowtown_docks_a3,28,0.54380000,13.34166406,0
lt_0_lowtown_docks_a3,29,1.29000000,12.04159458,0
lt_0_lowtown_docks_a3,30,0.44340000,16.00000000,0
lt_0_lowtown_docks_a3,31,2.22500000,19.10497317,0
lt_0_lowtown_docks_a3,32,3.17620000,16.49242250,0
lt_0_lowtown_docks_a3,33,2.42040000,18.43398113,2
lt_0_lowtown_docks_a3,34,0.65400000,16.76305461,0
lt_0_lowtown_docks_a3,35,0.42720000,18.11077028,0
lt_0_lowtown_docks_a3,36,2.88440000,19.00000000,0
lt_0_lowtown_docks_a3,37,2.83660000,16.27882060,0
lt_0_lowtown_docks_a3,38,2.14340000,16.34261755,2
lt_0_lowtown_docks_a3,39,2.50200000,16.00000000,0
lt_0_lowtown_docks_a3,40,4.72400000,21.09502311,0
lt_0_lowtown_docks_a3,41,3.96340000,20.88061302,0
lt_0_lowtown_docks_a3,42,3.07960000,21.50821710,1
lt_0_lowtown_docks_a3,43,1.86100000,18.86796226,0
lt_0_lowtown_docks_a3,44,2.19820000,19.23538406,0
lt_0_lowtown_docks_a3,45,2.51060000,21.95449840,0
lt_0_lowtown_docks_a3,46,3.26600000,20.51828453,0
lt_0_lowtown_docks_a3,47,1.44740000,21.09502311,0
lt_0_lowtown_docks_a3,48,0.60500000,20.39607805,0
lt_0_lowtown_docks_a3,49,4.59860000,21.47866561,1
lt_0_lowtown_docks_a3,50,3.56220000,25.74795788,1
lt_0_lowtown_docks_a3,51,6.42620000,26.87005769,0
lt_0_lowtown_docks_a3,52,3.20940000,22.98586649,2
lt_0_lowtown_docks_a3,53,1.54260000,26.90724809,0
lt_0_lowtown_docks_a3,54,4.32760000,23.08679276,0
lt_0_lowtown_docks_a3,55,3.45080000,24.33105012,0
