Map,Query Number,Time,Distance,Path Length
lt_0_lowtown_docks_n,0,3.80500000,5.83095189,0
lt_0_lowtown_docks_n,1,0.68140000,6.40312424,0
lt_0_lowtown_docks_n,2,0.60320000,7.28010989,0
lt_0_lowtown_docks_n,3,1.94420000,5.38516481,0
lt_0_lowtown_docks_n,4,0.76740000,7.21110255,0
lt_0_lowtown_docks_n,5,0.54240000,7.28010989,0
lt_0_lowtown_docks_n,6,3.83960000,6.40312424,0
lt_0_lowtown_docks_n,7,2.52660000,5.09901951,0
lt_0_lowtown_docks_n,8,3.20960000,7.00000000,0
lt_0_lowtown_docks_n,9,0.47260000,7.07106781,0
lt_0_lowtown_docks_n,10,0.61760000,10.63014581,0
lt_0_lowtown_docks_n,11,2.36040000,10.00000000,0
lt_0_lowtown_docks_n,12,5.54940000,7.81024968,0
lt_0_lowtown_docks_n,13,0.55000000,9.00000000,0
lt_0_lowtown_docks_n,14,2.32860000,7.81024968,0
lt_0_lowtown_docks_n,15,2.24980000,8.06225775,0
lt_0_lowtown_docks_n,16,0.44680000,10.04987562,0
lt_0_lowtown_docks_n,17,5.12740000,7.83095189,1
lt_0_lowtown_docks_n,18,4.03640000,11.04536102,0
lt_0_lowtown_docks_n,19,0.48480000,7.81024968,0
lt_0_lowtown_docks_n,20,2.57820000,12.04159458,0
lt_0_lowtown_docks_n,21,2.82560000,13.41640786,0
lt_0_lowtown_docks_n,22,1.23920000,14.14213562,0
lt_0_lowtown_docks_n,23,4.33160000,13.08276253,2
lt_0_lowtown_docks_n,24,1.58220000,14.21267040,0
lt_0_lowtown_docks_n,25,2.53180000,14.76482306,0
lt_0_lowtown_docks_n,26,3.15560000,13.60147051,0
lt_0_lowtown_docks_n,27,0.66760000,12.52996409,0
lt_0_lowtown_docks_n,28,4.09240000,13.45362405,0
lt_0_lowtown_docks_n,29,0.50340000,14.86606875,0
lt_0_lowtown_docks_n,30,2.54320000,17.08800749,0
lt_0_lowtown_docks_n,31,1.37380000,18.02775638,0
lt_0_lowtown_docks_n,32,2.57800000,18.02775638,0
lt_0_lowtown_docks_n,33,3.30960000,15.26433752,0
lt_0_lowtown_docks_n,34,0.56600000,18.02775638,0
lt_0_lowtown_docks_n,35,1.55140000,18.35755975,0
lt_0_lowtown_docks_n,36,0.46660000,14.86606875,0
lt_0_lowtown_docks_n,37,1.76480000,15.65247584,0
lt_0_lowtown_docks_n,38,3.21720000,18.11077028,0
lt_0_lowtown_docks_n,39,2.49460000,15.26433752,0
lt_0_lowtown_docks_n,40,0.49940000,18.97366596,0
lt_0_lowtown_docks_n,41,0.65500000,19.41648784,0
lt_0_lowtown_docks_n,42,3.48480000,20.61552813,0
lt_0_lowtown_docks_n,43,2.24760000,21.47091055,0
lt_0_lowtown_docks_n,44,2.93380000,21.59144202,1
lt_0_lowtown_docks_n,45,3.34840000,18.86796226,0
lt_0_lowtown_docks_n,46,3.43220000,21.08800749,2
lt_0_lowtown_docks_n,47,5.27180000,21.09502311,0
lt_0_lowtown_docks_n,48,1.76360000,19.31320792,0
lt_0_lowtown_docks_n,49,4.73060000,22.80350850,0
lt_0_lowtown_docks_n,50,5.19160000,23.70530252,1
lt_0_lowtown_docks_n,51,2.02180000,25.07987241,0
lt_0_lowtown_docks_n,52,1.39960000,25.45584412,0
lt_0_lowtown_docks_n,53,1.86580000,23.19482701,0
lt_0_lowtown_docks_n,54,3.50900000,24.83948470,0
lt_0_lowtown_docks_n,55,0.66000000,24.51530134,0
lt_0_lowtown_docks_n,56,4.26200000,25.55849663,1
lt_0_lowtown_docks_n,57,4.64580000,23.31590280,1
lt_0_lowtown_docks_n,58,2.12220000,25.70992026,0
lt_0_lowtown_docks_n,59,5.46820000,25.80697580,0
lt_0_lowtown_docks_n,60,4.79760000,28.44292531,0
lt_0_lowtown_docks_n,61,3.47700000,28.84441020,0
lt_0_lowtown_docks_n,62,6.13960000,25.31782106,3
lt_0_lowtown_docks_n,63,2.50880000,27.73084925,0
lt_0_lowtown_docks_n,64,0.50500000,30.06659276,0
lt_0_lowtown_docks_n,65,4.21460000,28.59588863,1
lt_0_lowtown_docks_n,66,4.03120000,29.06888371,0
lt_0_lowtown_docks_n,67,3.40340000,29.41311123,4
lt_0_lowtown_docks_n,68,2.62040000,29.15475947,0
lt_0_lowtown_docks_n,69,4.50880000,26.57066051,0
lt_0_lowtown_docks_n,70,3.84500000,34.13209633,0
lt_0_lowtown_docks_n,71,10.90160000,29.73213749,0
lt_0_lowtown_docks_n,72,4.28680000,33.20305543,1
lt_0_lowtown_docks_n,73,2.00420000,30.01666204,0
lt_0_lowtown_docks_n,74,3.02100000,30.87069808,0
lt_0_lowtown_docks_n,75,4.51500000,33.30165161,0
lt_0_lowtown_docks_n,76,2.30840000,32.69556545,0
lt_0_lowtown_docks_n,77,6.41060000,30.59411708,0
lt_0_lowtown_docks_n,78,4.54000000,32.70843978,2
lt_0_lowtown_docks_n,79,4.30880000,31.17624316,1
lt_0_lowtown_docks_n,80,4.63420000,34.52908915,1
lt_0_lowtown_docks_n,81,4.55280000,35.34119409,0
lt_0_lowtown_docks_n,82,6.02180000,35.73852779,1
lt_0_lowtown_docks_n,83,6.20460000,34.57203326,2
lt_0_lowtown_docks_n,84,6.42500000,34.71310992,0
lt_0_lowtown_docks_n,85,4.87460000,34.13410884,1
lt_0_lowtown_docks_n,86,3.36480000,34.66987165,0
lt_0_lowtown_docks_n,87,5.71480000,33.74130882,6
lt_0_lowtown_docks_n,88,2.48080000,34.52535300,0
lt_0_lowtown_docks_n,89,4.34620000,34.66987165,0
lt_0_lowtown_docks_n,90,6.85500000,41.23105626,1
lt_0_lowtown_docks_n,91,5.74420000,37.36308338,0
lt_0_lowtown_docks_n,92,3.44020000,37.13867510,1
lt_0_lowtown_docks_n,93,3.75880000,39.39543121,0
lt_0_lowtown_docks_n,94,3.88060000,39.84971769,0
lt_0_lowtown_docks_n,95,4.45460000,40.16227766,2
lt_0_lowtown_docks_n,96,3.40920000,42.04759208,0
lt_0_lowtown_docks_n,97,4.74580000,38.07886553,0
lt_0_lowtown_docks_n,98,5.03560000,38.08004623,1
lt_0_lowtown_docks_n,99,3.44100000,38.28663395,1
lt_0_lowtown_docks_n,100,5.62940000,44.74693174,1
lt_0_lowtown_docks_n,101,4.17360000,41.81206385,1
lt_0_lowtown_docks_n,102,1.93340000,42.43819035,0
lt_0_lowtown_docks_n,103,7.19840000,44.69066919,7
lt_0_lowtown_docks_n,104,5.42060000,45.14271011,3
lt_0_lowtown_docks_n,105,6.62900000,44.19329236,1
lt_0_lowtown_docks_n,106,2.97220000,44.01136217,0
lt_0_lowtown_docks_n,107,3.95600000,43.12579747,1
lt_0_lowtown_docks_n,108,3.74560000,42.88270404,1
lt_0_lowtown_docks_n,109,4.15620000,41.50191974,1
lt_0_lowtown_docks_n,110,2.64060000,49.20365840,0
lt_0_lowtown_docks_n,111,4.62660000,46.28101780,1
lt_0_lowtown_docks_n,112,5.86900000,45.17635748,2
lt_0_lowtown_docks_n,113,2.56480000,49.36598019,0
lt_0_lowtown_docks_n,114,6.57520000,46.01219331,2
lt_0_lowtown_docks_n,115,4.21940000,51.03920062,0
lt_0_lowtown_docks_n,116,10.62840000,47.00000000,2
lt_0_lowtown_docks_n,117,5.66300000,44.94441011,0
lt_0_lowtown_docks_n,118,6.43780000,46.92073362,1
lt_0_lowtown_docks_n,119,2.35140000,46.22769733,0
lt_0_lowtown_docks_n,120,5.33520000,53.52631711,4
lt_0_lowtown_docks_n,121,3.14880000,54.03702434,0
lt_0_lowtown_docks_n,122,1.67080000,52.49761899,0
lt_0_lowtown_docks_n,123,6.49120000,50.27105910,1
lt_0_lowtown_docks_n,124,5.44020000,51.78207026,4
lt_0_lowtown_docks_n,125,3.49600000,48.17569241,1
lt_0_lowtown_docks_n,126,3.46760000,52.95313537,1
lt_0_lowtown_docks_n,127,4.20760000,50.09680486,2
lt_0_lowtown_docks_n,128,4.49900000,51.08815910,0
lt_0_lowtown_docks_n,129,5.44960000,52.03937759,1
lt_0_lowtown_docks_n,130,5.42620000,53.09600436,7
lt_0_lowtown_docks_n,131,6.99760000,55.22083842,5
lt_0_lowtown_docks_n,132,0.66600000,58.03447251,0
lt_0_lowtown_docks_n,133,4.10520000,54.58937626,0
lt_0_lowtown_docks_n,134,6.97360000,52.03982122,3
lt_0_lowtown_docks_n,135,3.98160000,52.28620211,2
lt_0_lowtown_docks_n,136,7.15180000,55.12306220,2
lt_0_lowtown_docks_n,137,6.29680000,52.05345227,3
lt_0_lowtown_docks_n,138,5.50740000,56.48519335,1
lt_0_lowtown_docks_n,139,7.39120000,57.23412508,1
lt_0_lowtown_docks_n,140,9.00760000,56.51913092,1
lt_0_lowtown_docks_n,141,6.83260000,59.45380936,1
lt_0_lowtown_docks_n,142,11.82360000,56.19630134,14
lt_0_lowtown_docks_n,143,6.59400000,59.61326855,1
lt_0_lowtown_docks_n,144,3.82860000,60.13318551,0
lt_0_lowtown_docks_n,145,11.56540000,56.46663423,3
lt_0_lowtown_docks_n,146,5.11460000,63.03173804,0
lt_0_lowtown_docks_n,147,5.20480000,58.25971405,1
lt_0_lowtown_docks_n,148,8.13100000,60.36638009,5
lt_0_lowtown_docks_n,149,10.62940000,56.75001663,2
lt_0_lowtown_docks_n,150,5.88360000,64.19501538,0
lt_0_lowtown_docks_n,151,8.12860000,62.79763477,6
lt_0_lowtown_docks_n,152,6.46960000,66.00757532,0
lt_0_lowtown_docks_n,153,4.65240000,64.38525678,4
lt_0_lowtown_docks_n,154,3.88280000,63.06108247,3
lt_0_lowtown_docks_n,155,10.31480000,61.23505068,2
lt_0_lowtown_docks_n,156,6.54400000,61.49509757,3
lt_0_lowtown_docks_n,157,8.49140000,62.65021066,2
lt_0_lowtown_docks_n,158,4.81780000,62.02867726,1
lt_0_lowtown_docks_n,159,6.06020000,60.62918830,1
lt_0_lowtown_docks_n,160,5.73480000,68.40030120,2
lt_0_lowtown_docks_n,161,12.01020000,67.80441153,2
lt_0_lowtown_docks_n,162,9.31940000,68.36721251,4
lt_0_lowtown_docks_n,163,7.26840000,66.37017402,0
lt_0_lowtown_docks_n,164,7.41160000,67.71194911,2
lt_0_lowtown_docks_n,165,6.73520000,67.44951840,4
lt_0_lowtown_docks_n,166,9.91560000,66.49302205,3
lt_0_lowtown_docks_n,167,5.90880000,68.29860607,4
lt_0_lowtown_docks_n,168,8.23460000,65.62019000,1
lt_0_lowtown_docks_n,169,9.33400000,64.84032967,3
