Map,Query Number,Time,Distance,Path Length
lt_backalley_g,0,4.95680000,7.38516481,1
lt_backalley_g,1,0.37540000,6.08276253,0
lt_backalley_g,2,0.50520000,5.09901951,0
lt_backalley_g,3,3.05380000,6.23606798,2
lt_backalley_g,4,0.42480000,4.12310563,0
lt_backalley_g,5,0.40420000,5.83095189,0
lt_backalley_g,6,1.58540000,5.09901951,0
lt_backalley_g,7,0.38840000,6.40312424,0
lt_backalley_g,8,0.63840000,6.70820393,0
lt_backalley_g,9,1.86460000,5.83095189,0
lt_backalley_g,10,0.33140000,7.61577311,0
lt_backalley_g,11,1.65820000,8.94427191,0
lt_backalley_g,12,0.35180000,8.06225775,0
lt_backalley_g,13,0.36780000,8.00000000,0
lt_backalley_g,14,0.39880000,10.00000000,0
lt_backalley_g,15,0.32180000,8.24621125,0
lt_backalley_g,16,2.93340000,10.00000000,0
lt_backalley_g,17,2.42620000,9.21954446,0
lt_backalley_g,18,0.78220000,8.54400375,0
lt_backalley_g,19,2.96280000,9.01976484,2
lt_backalley_g,20,2.93960000,12.20655562,0
lt_backalley_g,21,2.83720000,12.36931688,0
lt_backalley_g,22,2.10400000,14.63375802,2
lt_backalley_g,23,0.44580000,15.13274595,0
lt_backalley_g,24,0.36000000,14.31782106,0
lt_backalley_g,25,3.10000000,14.88131749,1
lt_backalley_g,26,2.42460000,13.03840481,0
lt_backalley_g,27,0.67180000,14.56021978,0
lt_backalley_g,28,2.08460000,13.03840481,0
lt_backalley_g,29,0.38060000,15.03329638,0
lt_backalley_g,30,3.10760000,18.43908891,0
lt_backalley_g,31,2.02160000,16.03121954,0
lt_backalley_g,32,2.22580000,18.83878885,1
lt_backalley_g,33,3.94700000,19.02629759,0
lt_backalley_g,34,0.44760000,17.49285568,0
lt_backalley_g,35,1.78840000,17.08800749,0
lt_backalley_g,36,1.95740000,15.26433752,0
lt_backalley_g,37,0.43280000,18.35755975,0
lt_backalley_g,38,0.59200000,18.43908891,0
lt_backalley_g,39,1.43860000,17.20465053,0
lt_backalley_g,40,0.49120000,21.63330765,0
lt_backalley_g,41,2.71080000,20.24621125,1
lt_backalley_g,42,0.41500000,19.23538406,0
lt_backalley_g,43,3.51520000,21.70018278,1
lt_backalley_g,44,2.24680000,20.61552813,0
lt_backalley_g,45,2.79420000,20.32455532,2
lt_backalley_g,46,2.89260000,20.22374842,0
lt_backalley_g,47,1.78480000,21.26029163,0
lt_backalley_g,48,0.37540000,21.02379604,0
lt_backalley_g,49,2.22740000,18.97366596,0
lt_backalley_g,50,4.07380000,24.47208072,1
lt_backalley_g,51,2.69600000,24.18677324,0
lt_backalley_g,52,4.54640000,25.08288041,1
lt_backalley_g,53,0.39640000,25.01999201,0
lt_backalley_g,54,2.63240000,27.58622845,0
lt_backalley_g,55,2.69100000,22.95449840,1
lt_backalley_g,56,3.94460000,25.04032461,1
lt_backalley_g,57,2.03400000,23.08679276,0
lt_backalley_g,58,2.06260000,22.84731932,0
lt_backalley_g,59,4.19580000,25.84943324,2
lt_backalley_g,60,3.85220000,28.44970424,1
lt_backalley_g,61,3.71340000,26.83281573,0
lt_backalley_g,62,2.86520000,29.15475947,0
lt_backalley_g,63,2.06960000,30.14962686,0
lt_backalley_g,64,4.22140000,28.40873263,1
lt_backalley_g,65,5.02280000,29.12043956,0
lt_backalley_g,66,4.27500000,29.18702816,1
lt_backalley_g,67,2.27940000,27.94616918,1
lt_backalley_g,68,3.42620000,27.96049158,1
lt_backalley_g,69,1.80100000,29.81547019,1
lt_backalley_g,70,4.11920000,30.54163154,1
lt_backalley_g,71,4.03840000,32.75692690,1
lt_backalley_g,72,2.93260000,31.76476035,0
lt_backalley_g,73,2.39540000,30.88689042,0
lt_backalley_g,74,3.41220000,33.06055051,0
lt_backalley_g,75,3.45740000,32.46424920,1
lt_backalley_g,76,3.30860000,30.55532511,2
lt_backalley_g,77,3.17200000,30.08321791,0
lt_backalley_g,78,3.38640000,32.69556545,0
lt_backalley_g,79,3.45540000,35.38361203,0
lt_backalley_g,80,2.75080000,37.51363298,1
lt_backalley_g,81,2.58160000,36.40054945,0
lt_backalley_g,82,0.45600000,38.00000000,0
lt_backalley_g,83,3.86720000,38.94868419,0
lt_backalley_g,84,2.70480000,33.91838713,2
lt_backalley_g,85,3.51420000,37.60232527,4
lt_backalley_g,86,4.87000000,36.76955262,0
lt_backalley_g,87,3.79120000,36.44873838,4
lt_backalley_g,88,4.95320000,35.05343899,2
lt_backalley_g,89,2.54700000,37.01351105,0
lt_backalley_g,90,4.51020000,37.74601268,1
lt_backalley_g,91,3.23460000,39.11521443,0
lt_backalley_g,92,7.41900000,40.60232527,2
lt_backalley_g,93,2.11700000,42.10700654,0
lt_backalley_g,94,2.94800000,38.61547263,1
lt_backalley_g,95,5.77700000,40.35844749,1
lt_backalley_g,96,2.91140000,39.64946956,2
lt_backalley_g,97,2.77820000,38.91015292,0
lt_backalley_g,98,3.81440000,43.01562119,2
lt_backalley_g,99,2.83020000,39.58612349,3
lt_backalley_g,100,2.65640000,45.04442252,0
lt_backalley_g,101,1.96040000,46.09772229,0
lt_backalley_g,102,3.38260000,44.20360331,2
lt_backalley_g,103,4.84240000,41.87322035,1
lt_backalley_g,104,6.24920000,42.84523469,2
lt_backalley_g,105,1.42260000,44.40720662,0
lt_backalley_g,106,6.37880000,42.38470965,2
lt_backalley_g,107,2.93660000,43.51148600,1
lt_backalley_g,108,5.50400000,43.18564576,0
lt_backalley_g,109,4.64220000,43.03195222,8
lt_backalley_g,110,3.88880000,48.27884460,1
lt_backalley_g,111,7.36560000,47.96101516,2
lt_backalley_g,112,6.45460000,48.06998572,1
lt_backalley_g,113,3.43200000,44.48836093,1
lt_backalley_g,114,3.94140000,49.36598019,0
lt_backalley_g,115,2.85540000,47.67598976,0
lt_backalley_g,116,4.03920000,45.38010943,2
lt_backalley_g,117,3.66560000,49.58896887,3
lt_backalley_g,118,2.67020000,49.04079934,0
lt_backalley_g,119,5.20520000,49.68659594,6
lt_backalley_g,120,3.62840000,48.98514770,1
lt_backalley_g,121,9.67920000,51.51409649,1
lt_backalley_g,122,5.38060000,48.58281534,4
lt_backalley_g,123,4.14760000,50.00000000,0
lt_backalley_g,124,5.73120000,47.45344202,12
lt_backalley_g,125,6.02660000,51.20501783,1
lt_backalley_g,126,2.91960000,52.38087628,2
lt_backalley_g,127,4.47180000,49.94733192,4
lt_backalley_g,128,5.75100000,50.06186552,1
lt_backalley_g,129,3.13020000,51.32174045,4
lt_backalley_g,130,4.80480000,56.49657518,4
lt_backalley_g,131,3.88620000,53.33747858,2
lt_backalley_g,132,4.27200000,54.11347672,2
lt_backalley_g,133,4.99880000,56.24945599,2
lt_backalley_g,134,6.69600000,53.09424929,12
lt_backalley_g,135,5.63180000,55.38351746,3
lt_backalley_g,136,2.93500000,57.00000000,0
lt_backalley_g,137,2.69060000,53.59293300,3
lt_backalley_g,138,3.33180000,54.33231083,0
lt_backalley_g,139,3.93260000,58.27451530,2
lt_backalley_g,140,4.34640000,58.04250141,8
lt_backalley_g,141,5.54960000,57.69516034,2
lt_backalley_g,142,3.79200000,55.97320788,0
lt_backalley_g,143,3.61660000,56.75598445,1
lt_backalley_g,144,3.98720000,59.83674010,5
lt_backalley_g,145,6.60580000,55.90921452,5
lt_backalley_g,146,5.68720000,59.02990273,1
lt_backalley_g,147,5.69380000,59.55711952,5
lt_backalley_g,148,6.92040000,60.25135077,2
lt_backalley_g,149,8.22900000,57.00563384,1
lt_backalley_g,150,7.75040000,60.44263649,3
lt_backalley_g,151,7.53240000,59.78252544,4
lt_backalley_g,152,3.91400000,60.27553587,2
lt_backalley_g,153,4.57720000,61.20922795,1
lt_backalley_g,154,2.93320000,63.44612650,6
lt_backalley_g,155,2.84080000,62.65352562,2
lt_backalley_g,156,5.11640000,59.45841700,2
lt_backalley_g,157,5.09100000,62.78612223,4
lt_backalley_g,158,4.85040000,64.13122379,3
lt_backalley_g,159,6.39460000,65.17601498,4
lt_backalley_g,160,5.98060000,67.26661855,5
lt_backalley_g,161,8.51680000,67.68151665,3
lt_backalley_g,162,6.75740000,64.51589854,4
lt_backalley_g,163,6.74500000,65.34834587,1
lt_backalley_g,164,8.67160000,65.49386393,1
lt_backalley_g,165,8.54820000,64.50758592,8
lt_backalley_g,166,7.29640000,62.08957891,7
lt_backalley_g,167,6.38020000,64.27595193,11
lt_backalley_g,168,6.88680000,64.16162806,4
lt_backalley_g,169,8.63620000,66.93407277,8
lt_backalley_g,170,9.12120000,67.87603905,8
lt_backalley_g,171,4.85020000,71.07921768,3
lt_backalley_g,172,8.34100000,69.83577975,3
lt_backalley_g,173,7.91020000,68.68107986,3
lt_backalley_g,174,3.75260000,68.53034586,2
lt_backalley_g,175,4.66560000,68.50042740,1
lt_backalley_g,176,4.30220000,67.81825023,2
lt_backalley_g,177,5.04660000,70.18523073,4
lt_backalley_g,178,11.52660000,68.72285036,4
lt_backalley_g,179,4.78800000,67.15379758,5
lt_backalley_g,180,9.77640000,71.56491868,6
lt_backalley_g,181,5.60620000,73.34874979,1
lt_backalley_g,182,6.66900000,73.18403437,4
lt_backalley_g,183,7.64640000,71.79468852,2
lt_backalley_g,184,4.98640000,74.91944913,2
lt_backalley_g,185,5.94920000,71.15462057,10
lt_backalley_g,186,3.14380000,74.00532731,6
lt_backalley_g,187,8.56520000,72.16729611,8
lt_backalley_g,188,5.33820000,76.01431586,1
lt_backalley_g,189,6.54500000,70.83927598,7
lt_backalley_g,190,5.01800000,74.86351560,2
lt_backalley_g,191,4.91220000,77.05751027,7
lt_backalley_g,192,7.47520000,78.50875255,8
lt_backalley_g,193,3.85280000,78.97230285,6
lt_backalley_g,194,5.43020000,78.49912187,3
lt_backalley_g,195,8.77860000,77.56670102,4
lt_backalley_g,196,8.39040000,75.67200898,8
lt_backalley_g,197,4.47820000,76.55536461,1
lt_backalley_g,198,6.40720000,78.11469919,9
lt_backalley_g,199,2.13620000,79.10120100,0
lt_backalley_g,200,4.30300000,75.62728087,10
lt_backalley_g,201,4.13740000,78.09315279,6
lt_backalley_g,202,4.00920000,80.14694621,2
lt_backalley_g,203,7.64980000,78.39441560,1
lt_backalley_g,204,7.43700000,79.91447108,6
lt_backalley_g,205,5.97240000,80.75996360,2
lt_backalley_g,206,3.25360000,80.62116761,5
lt_backalley_g,207,3.99880000,80.26148507,2
lt_backalley_g,208,4.84680000,84.08308344,4
lt_backalley_g,209,5.66520000,80.05798800,1
lt_backalley_g,210,7.31240000,85.64492595,2
lt_backalley_g,211,6.74360000,83.20313605,7
lt_backalley_g,212,11.02340000,85.30956239,6
lt_backalley_g,213,5.50220000,81.05645267,3
lt_backalley_g,214,3.50380000,81.34108369,4
lt_backalley_g,215,10.60100000,83.30352574,6
lt_backalley_g,216,7.04540000,82.91136799,2
lt_backalley_g,217,7.86080000,86.95822097,12
lt_backalley_g,218,5.41660000,82.80970615,2
lt_backalley_g,219,9.78020000,81.93501732,7
lt_backalley_g,220,5.39940000,88.11800515,5
lt_backalley_g,221,14.45220000,89.55945127,11
lt_backalley_g,222,4.75820000,88.81161821,6
lt_backalley_g,223,10.15260000,85.82351774,8
lt_backalley_g,224,12.31500000,88.73051028,3
lt_backalley_g,225,8.08400000,86.98897537,4
lt_backalley_g,226,3.51320000,92.41752832,1
lt_backalley_g,227,7.53940000,89.69128038,2
lt_backalley_g,228,9.81060000,88.84778919,10
lt_backalley_g,229,10.98660000,85.12281620,4
lt_backalley_g,230,5.27720000,92.63281259,3
lt_backalley_g,231,9.58540000,92.56624154,9
lt_backalley_g,232,4.15460000,90.77888761,2
lt_backalley_g,233,2.91220000,92.84139945,5
lt_backalley_g,234,8.52300000,94.21118005,7
lt_backalley_g,235,4.54840000,90.85635500,6
lt_backalley_g,236,4.62640000,97.19633480,1
lt_backalley_g,237,3.30240000,93.68521239,1
lt_backalley_g,238,8.19080000,93.11089648,8
lt_backalley_g,239,7.02800000,92.02326664,8
lt_backalley_g,240,8.09240000,95.72153536,9
lt_backalley_g,241,4.21640000,96.78251410,11
