Map,Query Number,Time,Distance,Path Length
lt_darktown,0,2.27960000,4.00000000,0
lt_darktown,1,3.32680000,7.28538329,1
lt_darktown,2,0.45860000,6.40312424,0
lt_darktown,3,0.52060000,4.12310563,0
lt_darktown,4,0.33260000,4.00000000,0
lt_darktown,5,0.38620000,4.00000000,0
lt_darktown,6,0.47700000,6.40312424,0
lt_darktown,7,0.51140000,6.08276253,0
lt_darktown,8,0.46140000,4.12310563,0
lt_darktown,9,2.05400000,7.28010989,0
lt_darktown,10,1.84760000,8.94427191,0
lt_darktown,11,1.59620000,10.19803903,0
lt_darktown,12,3.78740000,10.64576492,1
lt_darktown,13,2.04360000,7.61577311,0
lt_darktown,14,2.48400000,8.06225775,0
lt_darktown,15,0.50680000,10.63014581,0
lt_darktown,16,0.60740000,10.29563014,0
lt_darktown,17,3.04400000,11.40312424,2
lt_darktown,18,0.54000000,9.89949494,0
lt_darktown,19,0.50220000,8.94427191,0
lt_darktown,20,1.52880000,14.76482306,0
lt_darktown,21,3.13560000,12.04631765,2
lt_darktown,22,1.59540000,14.03566885,0
lt_darktown,23,2.38080000,14.31782106,0
lt_darktown,24,1.83680000,14.14213562,0
lt_darktown,25,1.90680000,13.89244399,0
lt_darktown,26,0.44520000,13.00000000,0
lt_darktown,27,4.08820000,14.88566116,3
lt_darktown,28,3.07780000,14.21267040,0
lt_darktown,29,2.40100000,13.60147051,0
lt_darktown,30,1.78480000,17.08800749,0
lt_darktown,31,2.69780000,17.26910684,1
lt_darktown,32,1.74800000,15.23154621,0
lt_darktown,33,2.06200000,15.23154621,0
lt_darktown,34,1.36160000,16.03121954,0
lt_darktown,35,2.06520000,16.12451550,0
lt_darktown,36,4.12000000,16.16445625,1
lt_darktown,37,2.80060000,15.82547132,1
lt_darktown,38,2.35200000,17.88854382,0
lt_darktown,39,2.43040000,15.06737754,2
lt_darktown,40,2.79140000,19.23538406,0
lt_darktown,41,1.97460000,22.00000000,0
lt_darktown,42,2.81120000,19.07752081,1
lt_darktown,43,2.29120000,20.22374842,0
lt_darktown,44,2.44660000,21.37755833,0
lt_darktown,45,4.66940000,21.54065923,0
lt_darktown,46,0.45360000,18.97366596,0
lt_darktown,47,4.15360000,18.78091151,2
lt_darktown,48,3.87500000,21.88127753,2
lt_darktown,49,3.67740000,20.02498439,0
lt_darktown,50,5.11020000,26.36067977,2
lt_darktown,51,5.04500000,25.74055967,1
lt_darktown,52,2.91060000,25.49509757,0
lt_darktown,53,2.01640000,23.70752002,1
lt_darktown,54,2.01640000,24.00000000,0
lt_darktown,55,3.41740000,24.40192622,2
lt_darktown,56,2.75980000,25.29822128,0
lt_darktown,57,2.48100000,23.98987407,2
lt_darktown,58,3.60740000,25.48446285,2
lt_darktown,59,7.39660000,25.31727906,4
lt_darktown,60,2.09960000,26.92582404,0
lt_darktown,61,3.33180000,30.05203789,1
lt_darktown,62,4.58640000,26.45362405,1
lt_darktown,63,2.28620000,28.71985338,1
lt_darktown,64,2.70800000,26.50820342,2
lt_darktown,65,4.43560000,28.07763200,1
lt_darktown,66,4.96480000,28.43169774,3
lt_darktown,67,2.51940000,28.01785145,0
lt_darktown,68,4.19820000,29.41772906,1
lt_darktown,69,2.68700000,30.12310563,2
lt_darktown,70,1.81920000,32.14031736,0
lt_darktown,71,4.18980000,32.57726137,1
lt_darktown,72,4.30340000,29.48293828,1
lt_darktown,73,4.44860000,32.35111744,2
lt_darktown,74,7.78760000,31.55693395,3
lt_darktown,75,4.36380000,31.63375802,3
lt_darktown,76,5.82360000,35.05709629,0
lt_darktown,77,3.15460000,31.26276575,1
lt_darktown,78,5.87860000,31.76635341,2
lt_darktown,79,2.93120000,31.95315664,1
lt_darktown,80,4.27180000,37.13766057,1
lt_darktown,81,3.83540000,34.73071660,2
lt_darktown,82,2.66080000,33.59012080,1
lt_darktown,83,3.07740000,36.05551275,0
lt_darktown,84,3.87620000,35.23334547,8
lt_darktown,85,4.30560000,35.88229683,3
lt_darktown,86,1.74760000,36.13862200,0
lt_darktown,87,3.53820000,35.70583470,2
lt_darktown,88,4.15960000,32.76148773,1
lt_darktown,89,2.59080000,34.65019146,3
lt_darktown,90,4.66400000,41.90826195,2
lt_darktown,91,6.18680000,39.81333005,1
lt_darktown,92,3.95540000,40.79215611,0
lt_darktown,93,3.73100000,40.42202158,4
lt_darktown,94,4.67580000,38.51037456,1
lt_darktown,95,5.04620000,39.83814399,1
lt_darktown,96,5.18700000,38.76482306,2
lt_darktown,97,3.07160000,39.68508780,3
lt_darktown,98,4.57500000,38.63935817,0
lt_darktown,99,7.54400000,39.78851749,2
lt_darktown,100,4.33560000,44.16199693,8
lt_darktown,101,2.99660000,42.87316464,2
lt_darktown,102,5.49120000,42.72640350,1
lt_darktown,103,2.58800000,44.81291410,4
lt_darktown,104,5.95760000,42.64051705,2
lt_darktown,105,4.00180000,42.83390097,2
lt_darktown,106,3.05520000,42.38808087,1
lt_darktown,107,4.87800000,41.84624972,4
lt_darktown,108,4.74020000,40.94505163,1
lt_darktown,109,3.65980000,42.57933771,0
lt_darktown,110,3.87820000,49.43908891,2
lt_darktown,111,4.79900000,45.76524627,3
lt_darktown,112,5.58420000,48.77389438,1
lt_darktown,113,4.26240000,48.30426777,1
lt_darktown,114,5.38340000,46.62310519,2
lt_darktown,115,3.39260000,45.82841390,3
lt_darktown,116,5.22020000,49.21629229,4
lt_darktown,117,5.74140000,45.28743580,1
lt_darktown,118,5.63280000,45.98528640,6
lt_darktown,119,4.31980000,46.49519211,1
lt_darktown,120,4.61680000,52.87702515,3
lt_darktown,121,3.10740000,54.33369003,4
lt_darktown,122,1.95440000,54.00000000,0
lt_darktown,123,5.43360000,53.03772242,0
lt_darktown,124,7.34020000,50.58289105,6
lt_darktown,125,4.66200000,49.83324440,5
lt_darktown,126,3.81300000,52.69313660,2
lt_darktown,127,4.14240000,50.01529652,3
lt_darktown,128,4.57260000,48.10405388,0
lt_darktown,129,6.79100000,51.46424920,2
lt_darktown,130,4.46060000,54.49057773,2
lt_darktown,131,9.69200000,56.87864748,10
lt_darktown,132,7.01200000,55.56167955,2
lt_darktown,133,7.99440000,57.02938637,2
lt_darktown,134,5.48260000,58.02172887,2
lt_darktown,135,4.23640000,57.00000000,1
lt_darktown,136,6.72320000,54.13033364,1
lt_darktown,137,2.79480000,52.90427800,3
lt_darktown,138,5.35940000,55.39947901,2
lt_darktown,139,6.37980000,54.39938928,8
lt_darktown,140,4.56680000,56.63459500,8
lt_darktown,141,4.61260000,59.06438800,2
lt_darktown,142,6.45800000,58.60791798,4
lt_darktown,143,4.07200000,57.35663106,3
