Map,Query Number,Time,Distance,Path Length
lt_foundry_n,0,0.54100000,4.12310563,0
lt_foundry_n,1,2.72000000,4.12310563,0
lt_foundry_n,2,2.56840000,6.23606798,2
lt_foundry_n,3,0.38040000,5.00000000,0
lt_foundry_n,4,0.59980000,7.28010989,0
lt_foundry_n,5,6.14920000,7.00000000,0
lt_foundry_n,6,0.47160000,4.24264069,0
lt_foundry_n,7,0.37620000,7.28010989,0
lt_foundry_n,8,0.36300000,7.07106781,0
lt_foundry_n,9,0.31680000,5.00000000,0
lt_foundry_n,10,4.13740000,8.07106781,2
lt_foundry_n,11,0.48520000,8.94427191,0
lt_foundry_n,12,0.38100000,10.04987562,0
lt_foundry_n,13,0.37740000,9.00000000,0
lt_foundry_n,14,2.48980000,7.70820393,1
lt_foundry_n,15,0.38280000,9.21954446,0
lt_foundry_n,16,1.40700000,8.06225775,0
lt_foundry_n,17,0.98660000,10.04987562,0
lt_foundry_n,18,1.66340000,8.06225775,0
lt_foundry_n,19,2.60840000,9.84885780,0
lt_foundry_n,20,0.34940000,13.41640786,0
lt_foundry_n,21,1.58360000,13.03840481,0
lt_foundry_n,22,1.41820000,12.72792206,0
lt_foundry_n,23,0.44140000,13.34166406,0
lt_foundry_n,24,1.98840000,12.16552506,0
lt_foundry_n,25,4.45520000,14.14213562,0
lt_foundry_n,26,3.77580000,13.06177259,2
lt_foundry_n,27,0.42860000,13.89244399,0
lt_foundry_n,28,0.34220000,13.15294644,0
lt_foundry_n,29,2.41220000,15.18033989,2
lt_foundry_n,30,0.48940000,15.62049935,0
lt_foundry_n,31,0.37320000,15.29705854,0
lt_foundry_n,32,3.16300000,16.55294536,0
lt_foundry_n,33,1.71040000,17.24621125,2
lt_foundry_n,34,2.65240000,17.53837497,2
lt_foundry_n,35,2.61360000,17.03121954,1
lt_foundry_n,36,0.35300000,16.03121954,0
lt_foundry_n,37,3.31240000,17.80449381,0
lt_foundry_n,38,3.21160000,17.76354820,1
lt_foundry_n,39,2.63300000,16.12451550,0
lt_foundry_n,40,1.96860000,22.50923667,1
lt_foundry_n,41,2.68780000,19.84943324,0
lt_foundry_n,42,2.65100000,19.31782106,1
lt_foundry_n,43,2.08760000,22.09072203,0
lt_foundry_n,44,0.50320000,20.59126028,0
lt_foundry_n,45,0.38500000,18.86796226,0
lt_foundry_n,46,1.77980000,18.56403191,2
lt_foundry_n,47,1.87900000,21.54065923,0
lt_foundry_n,48,3.10960000,23.32455532,2
lt_foundry_n,49,2.58500000,21.09502311,0
lt_foundry_n,50,2.72400000,23.49593508,1
