Map,Query Number,Time,Distance,Path Length
lt_gallowscourtyard,0,2.94140000,6.00000000,0
lt_gallowscourtyard,1,0.71420000,4.24264069,0
lt_gallowscourtyard,2,1.82360000,5.83095189,0
lt_gallowscourtyard,3,0.62140000,4.00000000,0
lt_gallowscourtyard,4,0.44420000,5.09901951,0
lt_gallowscourtyard,5,3.19080000,5.83095189,0
lt_gallowscourtyard,6,2.45740000,7.07106781,0
lt_gallowscourtyard,7,0.45320000,6.40312424,0
lt_gallowscourtyard,8,1.50940000,6.00000000,0
lt_gallowscourtyard,9,0.38020000,4.12310563,0
lt_gallowscourtyard,10,0.41080000,11.04536102,0
lt_gallowscourtyard,11,2.89140000,8.54400375,0
lt_gallowscourtyard,12,2.51280000,8.24621125,0
lt_gallowscourtyard,13,2.37140000,7.81024968,0
lt_gallowscourtyard,14,1.10940000,11.00000000,0
lt_gallowscourtyard,15,0.35220000,8.54400375,0
lt_gallowscourtyard,16,0.47560000,9.48683298,0
lt_gallowscourtyard,17,2.46880000,8.06225775,0
lt_gallowscourtyard,18,1.89560000,8.06225775,0
lt_gallowscourtyard,19,0.55320000,9.89949494,0
lt_gallowscourtyard,20,2.23640000,12.80624847,0
lt_gallowscourtyard,21,3.68280000,12.20655562,0
lt_gallowscourtyard,22,2.07620000,14.76482306,0
lt_gallowscourtyard,23,0.41320000,14.03566885,0
lt_gallowscourtyard,24,5.65320000,12.48588677,1
lt_gallowscourtyard,25,2.46180000,13.45362405,0
lt_gallowscourtyard,26,4.42120000,12.52996409,0
lt_gallowscourtyard,27,1.69600000,14.03566885,0
lt_gallowscourtyard,28,1.62460000,13.89244399,0
lt_gallowscourtyard,29,3.75580000,13.00000000,0
lt_gallowscourtyard,30,3.94420000,18.73297160,1
lt_gallowscourtyard,31,0.41240000,16.76305461,0
lt_gallowscourtyard,32,0.47440000,16.12451550,0
lt_gallowscourtyard,33,0.40700000,17.88854382,0
lt_gallowscourtyard,34,1.90400000,17.08800749,0
lt_gallowscourtyard,35,4.32940000,17.72004515,0
lt_gallowscourtyard,36,3.85060000,17.26936436,1
lt_gallowscourtyard,37,0.44560000,16.55294536,0
lt_gallowscourtyard,38,4.41680000,17.81024968,1
lt_gallowscourtyard,39,0.39340000,16.49242250,0
lt_gallowscourtyard,40,0.46720000,19.23538406,0
lt_gallowscourtyard,41,2.97260000,20.02498439,0
lt_gallowscourtyard,42,0.39940000,19.41648784,0
lt_gallowscourtyard,43,0.36760000,19.23538406,0
lt_gallowscourtyard,44,3.49840000,20.09975124,0
lt_gallowscourtyard,45,0.42040000,21.95449840,0
lt_gallowscourtyard,46,5.08580000,17.81138830,2
lt_gallowscourtyard,47,0.48240000,21.18962010,0
lt_gallowscourtyard,48,4.12860000,21.21320344,0
lt_gallowscourtyard,49,2.23340000,19.23538406,0
lt_gallowscourtyard,50,3.61620000,22.80464732,1
lt_gallowscourtyard,51,5.11080000,22.09488493,2
lt_gallowscourtyard,52,0.45320000,24.51530134,0
lt_gallowscourtyard,53,1.77060000,24.41311123,0
lt_gallowscourtyard,54,2.08400000,24.20743687,0
lt_gallowscourtyard,55,0.45840000,25.61249695,0
lt_gallowscourtyard,56,4.39920000,21.97196343,2
lt_gallowscourtyard,57,0.42960000,26.17250466,0
lt_gallowscourtyard,58,2.92720000,24.83948470,0
lt_gallowscourtyard,59,0.39040000,23.34523506,0
lt_gallowscourtyard,60,3.39120000,31.06444913,0
lt_gallowscourtyard,61,4.11780000,26.83281573,1
lt_gallowscourtyard,62,2.96300000,26.68713794,1
lt_gallowscourtyard,63,4.88000000,28.31300057,1
lt_gallowscourtyard,64,2.78060000,26.75751681,2
lt_gallowscourtyard,65,2.50540000,29.12043956,0
lt_gallowscourtyard,66,3.16260000,29.01723626,0
lt_gallowscourtyard,67,1.60260000,28.84441020,0
lt_gallowscourtyard,68,0.44300000,26.83281573,0
lt_gallowscourtyard,69,3.91100000,28.63564213,0
lt_gallowscourtyard,70,3.58180000,35.35533906,0
lt_gallowscourtyard,71,5.10680000,30.36445290,0
lt_gallowscourtyard,72,2.89460000,32.55764119,0
lt_gallowscourtyard,73,2.65660000,30.87069808,0
lt_gallowscourtyard,74,3.66740000,29.51057513,2
lt_gallowscourtyard,75,4.89140000,35.30511819,1
lt_gallowscourtyard,76,3.35040000,32.41381265,1
lt_gallowscourtyard,77,2.88340000,32.75667871,0
lt_gallowscourtyard,78,3.89780000,32.64988063,1
lt_gallowscourtyard,79,4.05940000,32.08612882,1
lt_gallowscourtyard,80,2.25380000,35.90264614,0
lt_gallowscourtyard,81,4.02560000,38.18677324,2
lt_gallowscourtyard,82,3.82900000,35.12833614,0
lt_gallowscourtyard,83,3.28800000,35.35533906,0
lt_gallowscourtyard,84,4.60200000,38.05259518,0
lt_gallowscourtyard,85,2.59160000,34.71310992,0
lt_gallowscourtyard,86,3.59540000,34.18845479,1
lt_gallowscourtyard,87,2.94240000,37.65634077,0
lt_gallowscourtyard,88,10.30300000,36.95327852,5
lt_gallowscourtyard,89,2.25080000,35.35533906,0
lt_gallowscourtyard,90,3.04580000,42.01190308,0
lt_gallowscourtyard,91,3.04840000,40.26164428,0
lt_gallowscourtyard,92,2.66620000,42.00000000,0
lt_gallowscourtyard,93,3.88660000,39.04487405,2
lt_gallowscourtyard,94,4.32460000,39.14134582,3
lt_gallowscourtyard,95,3.80420000,40.65517338,4
lt_gallowscourtyard,96,4.84340000,43.38361203,1
lt_gallowscourtyard,97,3.24840000,38.68507355,2
lt_gallowscourtyard,98,2.41060000,39.05124838,0
lt_gallowscourtyard,99,4.84720000,39.11521443,0
lt_gallowscourtyard,100,4.26260000,43.36931688,2
lt_gallowscourtyard,101,3.40720000,45.79952655,2
lt_gallowscourtyard,102,5.55340000,42.80702957,7
lt_gallowscourtyard,103,2.74660000,43.65775991,0
lt_gallowscourtyard,104,3.30680000,44.36411953,3
lt_gallowscourtyard,105,2.90820000,41.34005322,0
lt_gallowscourtyard,106,9.05000000,43.45743533,2
lt_gallowscourtyard,107,5.19800000,44.40720662,0
lt_gallowscourtyard,108,3.67320000,43.01162634,0
lt_gallowscourtyard,109,3.47140000,43.68065934,0
lt_gallowscourtyard,110,3.79080000,45.50568575,2
lt_gallowscourtyard,111,6.79680000,45.22744181,2
lt_gallowscourtyard,112,5.36880000,47.04064769,1
lt_gallowscourtyard,113,8.24540000,46.28841091,1
lt_gallowscourtyard,114,2.78760000,48.01041554,0
lt_gallowscourtyard,115,3.47160000,45.01056512,4
lt_gallowscourtyard,116,6.55280000,46.88790881,2
lt_gallowscourtyard,117,5.67400000,49.61170060,1
lt_gallowscourtyard,118,8.03180000,46.52879158,8
lt_gallowscourtyard,119,6.55740000,47.12103660,1
lt_gallowscourtyard,120,11.19600000,49.41285306,3
lt_gallowscourtyard,121,6.70280000,47.93582060,1
lt_gallowscourtyard,122,2.29060000,52.34500931,0
lt_gallowscourtyard,123,3.99880000,51.31789183,2
lt_gallowscourtyard,124,10.00520000,47.94056148,2
lt_gallowscourtyard,125,4.20140000,48.38388161,0
lt_gallowscourtyard,126,5.02800000,50.04469913,1
lt_gallowscourtyard,127,5.66480000,51.56684351,1
lt_gallowscourtyard,128,4.97640000,51.97195719,1
lt_gallowscourtyard,129,3.14280000,50.48762225,0
lt_gallowscourtyard,130,6.40980000,55.24575674,1
lt_gallowscourtyard,131,7.32340000,53.51254539,3
lt_gallowscourtyard,132,6.11720000,56.28538329,5
lt_gallowscourtyard,133,8.08540000,55.17069771,3
lt_gallowscourtyard,134,4.34820000,52.63613115,1
lt_gallowscourtyard,135,7.72880000,51.74958538,5
lt_gallowscourtyard,136,5.03200000,54.67889732,2
lt_gallowscourtyard,137,2.66340000,55.50715441,2
lt_gallowscourtyard,138,3.27940000,54.26121513,2
lt_gallowscourtyard,139,4.99100000,53.45242235,6
