Map,Query Number,Time,Distance,Path Length
lt_gallowstemplar_n,0,0.64360000,5.00000000,0
lt_gallowstemplar_n,1,0.49940000,6.00000000,0
lt_gallowstemplar_n,2,0.52960000,4.00000000,0
lt_gallowstemplar_n,3,0.39680000,6.00000000,0
lt_gallowstemplar_n,4,0.33700000,5.00000000,0
lt_gallowstemplar_n,5,2.51960000,6.70820393,0
lt_gallowstemplar_n,6,3.55300000,4.00000000,2
lt_gallowstemplar_n,7,0.49000000,6.70820393,0
lt_gallowstemplar_n,8,0.43820000,6.70820393,0
lt_gallowstemplar_n,9,0.37760000,7.00000000,0
lt_gallowstemplar_n,10,2.95820000,10.04987562,0
lt_gallowstemplar_n,11,0.50820000,8.48528137,0
lt_gallowstemplar_n,12,0.35600000,9.48683298,0
lt_gallowstemplar_n,13,0.36360000,9.48683298,0
lt_gallowstemplar_n,14,0.41660000,8.48528137,0
lt_gallowstemplar_n,15,2.69700000,7.81024968,0
lt_gallowstemplar_n,16,0.40580000,10.04987562,0
lt_gallowstemplar_n,17,0.39980000,11.00000000,0
lt_gallowstemplar_n,18,2.39480000,10.83839324,1
lt_gallowstemplar_n,19,0.37420000,8.94427191,0
lt_gallowstemplar_n,20,2.70500000,11.45561243,1
lt_gallowstemplar_n,21,0.40800000,12.52996409,0
lt_gallowstemplar_n,22,2.83260000,11.28010989,2
lt_gallowstemplar_n,23,2.22900000,12.00000000,0
lt_gallowstemplar_n,24,2.66080000,14.21267040,0
lt_gallowstemplar_n,25,0.48420000,11.66190379,0
lt_gallowstemplar_n,26,0.29980000,14.00000000,0
lt_gallowstemplar_n,27,3.58660000,14.12310563,2
lt_gallowstemplar_n,28,4.30060000,14.44030651,1
lt_gallowstemplar_n,29,0.41520000,14.03566885,0
lt_gallowstemplar_n,30,2.62580000,15.81138830,0
lt_gallowstemplar_n,31,4.82420000,17.00000000,0
lt_gallowstemplar_n,32,1.61260000,18.11077028,0
lt_gallowstemplar_n,33,3.49740000,17.99647696,1
lt_gallowstemplar_n,34,4.08780000,17.46424920,0
lt_gallowstemplar_n,35,2.52140000,17.46424920,0
lt_gallowstemplar_n,36,2.83100000,19.00000000,0
lt_gallowstemplar_n,37,3.78360000,15.52417470,0
lt_gallowstemplar_n,38,1.67580000,17.00000000,0
lt_gallowstemplar_n,39,6.10460000,17.46424920,0
lt_gallowstemplar_n,40,2.79840000,19.87203896,1
lt_gallowstemplar_n,41,3.10480000,22.36067977,0
lt_gallowstemplar_n,42,3.16560000,19.31782106,2
lt_gallowstemplar_n,43,2.09840000,20.24845673,0
lt_gallowstemplar_n,44,3.06080000,21.86796226,1
lt_gallowstemplar_n,45,3.23120000,20.69355877,1
lt_gallowstemplar_n,46,4.82260000,21.47145204,1
lt_gallowstemplar_n,47,2.92420000,20.02498439,0
lt_gallowstemplar_n,48,4.03840000,21.13424109,3
lt_gallowstemplar_n,49,2.28980000,22.13594362,0
lt_gallowstemplar_n,50,2.89360000,24.33105012,0
lt_gallowstemplar_n,51,3.83180000,24.08318916,0
lt_gallowstemplar_n,52,3.22520000,25.49509757,0
lt_gallowstemplar_n,53,0.35240000,25.49509757,0
lt_gallowstemplar_n,54,3.09760000,23.19003404,2
lt_gallowstemplar_n,55,4.63660000,22.52763973,1
lt_gallowstemplar_n,56,3.97620000,25.69695018,2
lt_gallowstemplar_n,57,4.89940000,22.96330429,3
lt_gallowstemplar_n,58,5.37760000,23.15294644,1
lt_gallowstemplar_n,59,0.52500000,24.02082430,0
lt_gallowstemplar_n,60,3.69440000,27.82365686,1
lt_gallowstemplar_n,61,2.88160000,25.85588316,5
lt_gallowstemplar_n,62,4.82060000,25.94510812,2
lt_gallowstemplar_n,63,0.39520000,28.00000000,0
lt_gallowstemplar_n,64,3.35840000,28.83095189,2
lt_gallowstemplar_n,65,4.52320000,28.80878468,1
lt_gallowstemplar_n,66,2.58260000,28.92847004,2
lt_gallowstemplar_n,67,3.16600000,27.65912853,2
lt_gallowstemplar_n,68,1.81560000,28.44292531,0
lt_gallowstemplar_n,69,5.75960000,29.21110255,2
lt_gallowstemplar_n,70,4.24820000,32.55764119,0
lt_gallowstemplar_n,71,4.83480000,32.14031736,0
lt_gallowstemplar_n,72,3.61500000,33.28663395,0
lt_gallowstemplar_n,73,2.92680000,32.68256373,2
lt_gallowstemplar_n,74,3.83300000,34.00000000,0
lt_gallowstemplar_n,75,2.64280000,31.67637449,4
lt_gallowstemplar_n,76,2.21560000,31.78291985,3
lt_gallowstemplar_n,77,3.95320000,33.66631032,5
lt_gallowstemplar_n,78,4.78960000,29.80309112,1
lt_gallowstemplar_n,79,2.96480000,31.93784125,2
lt_gallowstemplar_n,80,0.54120000,34.71310992,0
lt_gallowstemplar_n,81,2.03180000,34.48187930,0
lt_gallowstemplar_n,82,3.14280000,36.27882060,2
lt_gallowstemplar_n,83,3.22380000,36.97988159,1
lt_gallowstemplar_n,84,3.00200000,35.61249695,2
lt_gallowstemplar_n,85,3.61760000,34.87780201,5
lt_gallowstemplar_n,86,13.45280000,35.44855923,7
lt_gallowstemplar_n,87,3.67580000,36.67099005,2
lt_gallowstemplar_n,88,4.61540000,34.91308790,4
lt_gallowstemplar_n,89,14.30940000,36.38040164,2
lt_gallowstemplar_n,90,8.01460000,40.14935529,4
lt_gallowstemplar_n,91,6.76560000,41.04834939,1
lt_gallowstemplar_n,92,4.61620000,37.81340266,3
lt_gallowstemplar_n,93,3.02840000,39.05151647,3
lt_gallowstemplar_n,94,5.73340000,38.17753820,2
lt_gallowstemplar_n,95,2.49760000,39.35733731,0
lt_gallowstemplar_n,96,10.67500000,36.70307905,3
lt_gallowstemplar_n,97,2.39440000,41.30375286,0
lt_gallowstemplar_n,98,3.36720000,41.01219331,0
lt_gallowstemplar_n,99,5.15200000,40.11234224,0
lt_gallowstemplar_n,100,2.17920000,46.01086828,0
lt_gallowstemplar_n,101,3.11860000,45.27692569,0
lt_gallowstemplar_n,102,5.92060000,42.07987241,1
lt_gallowstemplar_n,103,6.04860000,46.39625307,1
lt_gallowstemplar_n,104,9.61440000,44.38632593,7
lt_gallowstemplar_n,105,2.00880000,45.04442252,0
lt_gallowstemplar_n,106,2.84180000,45.27692569,0
lt_gallowstemplar_n,107,4.88880000,41.78181783,6
lt_gallowstemplar_n,108,1.97040000,44.94441011,0
lt_gallowstemplar_n,109,5.89020000,43.96985030,8
lt_gallowstemplar_n,110,6.54120000,50.05111523,2
lt_gallowstemplar_n,111,4.12900000,45.45561244,6
lt_gallowstemplar_n,112,3.68760000,47.52327381,3
lt_gallowstemplar_n,113,3.24700000,45.68311905,1
lt_gallowstemplar_n,114,6.83200000,47.34372173,1
lt_gallowstemplar_n,115,5.18720000,48.32455532,3
lt_gallowstemplar_n,116,12.55460000,46.12566867,1
lt_gallowstemplar_n,117,5.73960000,47.57891073,5
lt_gallowstemplar_n,118,5.44040000,50.23783033,5
lt_gallowstemplar_n,119,5.42520000,47.39443937,1
lt_gallowstemplar_n,120,16.65280000,50.73967977,5
lt_gallowstemplar_n,121,6.66620000,51.66192905,1
lt_gallowstemplar_n,122,4.75900000,49.72316625,2
lt_gallowstemplar_n,123,3.69980000,49.52088745,2
lt_gallowstemplar_n,124,6.08060000,50.14147498,2
lt_gallowstemplar_n,125,4.21100000,52.78884438,2
lt_gallowstemplar_n,126,4.86060000,55.07289484,1
lt_gallowstemplar_n,127,6.43200000,50.90212198,6
lt_gallowstemplar_n,128,6.91260000,49.69645491,3
lt_gallowstemplar_n,129,6.65460000,48.68902865,2
lt_gallowstemplar_n,130,5.68360000,56.20874070,1
lt_gallowstemplar_n,131,7.76820000,53.34958648,2
lt_gallowstemplar_n,132,9.65420000,53.99279991,4
lt_gallowstemplar_n,133,7.27620000,54.75374856,1
lt_gallowstemplar_n,134,5.09440000,56.94564011,6
lt_gallowstemplar_n,135,4.89400000,54.17855552,2
lt_gallowstemplar_n,136,2.92460000,55.22553427,3
lt_gallowstemplar_n,137,5.82920000,56.15403870,1
lt_gallowstemplar_n,138,4.77260000,55.41927688,3
