Map,Query Number,Time,Distance,Path Length
lt_gamlenshouse_n,0,2.11780000,6.40312424,0
lt_gamlenshouse_n,1,3.25820000,7.33508749,1
lt_gamlenshouse_n,2,2.33220000,7.07106781,0
lt_gamlenshouse_n,3,1.17700000,7.07106781,0
lt_gamlenshouse_n,4,2.38600000,5.00000000,0
lt_gamlenshouse_n,5,1.31260000,4.47213595,0
lt_gamlenshouse_n,6,2.06140000,5.83095189,0
lt_gamlenshouse_n,7,0.44100000,6.70820393,0
lt_gamlenshouse_n,8,0.39340000,7.07106781,0
lt_gamlenshouse_n,9,0.33000000,5.00000000,0
lt_gamlenshouse_n,10,0.34300000,7.61577311,0
lt_gamlenshouse_n,11,2.03200000,11.31370850,0
lt_gamlenshouse_n,12,0.36200000,9.48683298,0
lt_gamlenshouse_n,13,4.00180000,10.20586816,1
lt_gamlenshouse_n,14,1.66120000,8.24621125,0
lt_gamlenshouse_n,15,0.38520000,9.05538514,0
lt_gamlenshouse_n,16,0.29640000,8.48528137,0
lt_gamlenshouse_n,17,0.28020000,9.00000000,0
lt_gamlenshouse_n,18,1.68700000,10.44030651,0
lt_gamlenshouse_n,19,1.60700000,8.24621125,0
lt_gamlenshouse_n,20,1.46800000,13.34166406,0
lt_gamlenshouse_n,21,2.36220000,12.36931688,0
lt_gamlenshouse_n,22,0.39220000,11.70469991,0
lt_gamlenshouse_n,23,1.73320000,13.03840481,0
lt_gamlenshouse_n,24,2.54300000,12.66190379,1
lt_gamlenshouse_n,25,0.29920000,15.13274595,0
lt_gamlenshouse_n,26,3.38200000,12.16227766,2
lt_gamlenshouse_n,27,0.38100000,13.15294644,0
lt_gamlenshouse_n,28,0.32040000,12.36931688,0
lt_gamlenshouse_n,29,2.37240000,13.03840481,0
lt_gamlenshouse_n,30,3.88500000,15.90306550,4
lt_gamlenshouse_n,31,3.60760000,16.50077376,1
lt_gamlenshouse_n,32,1.86380000,16.76305461,0
lt_gamlenshouse_n,33,3.50880000,17.12645295,2
lt_gamlenshouse_n,34,3.36120000,17.14851044,1
lt_gamlenshouse_n,35,3.67880000,17.91111555,1
lt_gamlenshouse_n,36,1.70920000,17.46424920,0
lt_gamlenshouse_n,37,2.23040000,15.86683194,1
lt_gamlenshouse_n,38,3.16720000,17.03121954,1
lt_gamlenshouse_n,39,2.80540000,16.12658204,1
lt_gamlenshouse_n,40,2.83420000,23.08679276,0
lt_gamlenshouse_n,41,3.78900000,19.23606798,2
lt_gamlenshouse_n,42,2.98500000,21.26029163,0
lt_gamlenshouse_n,43,3.13840000,18.60232527,1
lt_gamlenshouse_n,44,2.36500000,22.79898987,2
lt_gamlenshouse_n,45,1.97720000,19.64688270,0
lt_gamlenshouse_n,46,3.62400000,18.73304423,4
lt_gamlenshouse_n,47,2.91160000,21.20973394,1
lt_gamlenshouse_n,48,2.51140000,21.00524653,7
lt_gamlenshouse_n,49,2.42460000,19.31320792,0
lt_gamlenshouse_n,50,3.44340000,25.08907028,2
lt_gamlenshouse_n,51,3.39740000,26.40284484,4
lt_gamlenshouse_n,52,4.12580000,23.97524191,2
lt_gamlenshouse_n,53,2.71320000,24.52581151,2
