Map,Query Number,Time,Distance,Path Length
lt_hangedman_n,0,2.85460000,5.38516481,0
lt_hangedman_n,1,0.68720000,4.12310563,0
lt_hangedman_n,2,0.73360000,6.00000000,0
lt_hangedman_n,3,2.51220000,7.07106781,0
lt_hangedman_n,4,0.46200000,4.47213595,0
lt_hangedman_n,5,3.19980000,5.09901951,0
lt_hangedman_n,6,0.45820000,6.08276253,0
lt_hangedman_n,7,0.46520000,6.32455532,0
lt_hangedman_n,8,0.49420000,6.00000000,0
lt_hangedman_n,9,0.42660000,5.09901951,0
lt_hangedman_n,10,3.01880000,8.00000000,0
lt_hangedman_n,11,1.71760000,9.05538514,0
lt_hangedman_n,12,3.33460000,9.85730076,1
lt_hangedman_n,13,0.76360000,8.24621125,0
lt_hangedman_n,14,2.53540000,8.00000000,0
lt_hangedman_n,15,0.47140000,7.61577311,0
lt_hangedman_n,16,2.06480000,10.00000000,0
lt_hangedman_n,17,2.10080000,9.48683298,0
lt_hangedman_n,18,1.36540000,8.24621125,0
lt_hangedman_n,19,2.27240000,10.77032961,0
lt_hangedman_n,20,4.72380000,14.38681307,1
lt_hangedman_n,21,0.41940000,12.16552506,0
lt_hangedman_n,22,2.11060000,13.54400375,1
lt_hangedman_n,23,4.81180000,14.56804390,2
lt_hangedman_n,24,1.98380000,13.41640786,0
lt_hangedman_n,25,3.03800000,11.40175425,0
lt_hangedman_n,26,2.02220000,14.86606875,0
lt_hangedman_n,27,3.86120000,12.12310563,4
lt_hangedman_n,28,0.50120000,12.80624847,0
lt_hangedman_n,29,3.21100000,12.64911064,0
lt_hangedman_n,30,2.12880000,15.62049935,0
lt_hangedman_n,31,3.51940000,16.60555128,2
lt_hangedman_n,32,5.59320000,17.28180221,1
lt_hangedman_n,33,3.67480000,18.11213337,1
lt_hangedman_n,34,3.49380000,17.11724277,0
lt_hangedman_n,35,0.45380000,16.12451550,0
lt_hangedman_n,36,3.93000000,15.81138830,0
lt_hangedman_n,37,3.61280000,16.40312424,1
lt_hangedman_n,38,5.79320000,16.12899020,3
lt_hangedman_n,39,3.93240000,17.46424920,0
lt_hangedman_n,40,2.95140000,19.40175425,2
lt_hangedman_n,41,2.90380000,20.03329638,1
lt_hangedman_n,42,5.61360000,20.09035957,2
lt_hangedman_n,43,2.02120000,20.12461180,0
lt_hangedman_n,44,3.59900000,19.85674828,1
lt_hangedman_n,45,4.01120000,21.34385450,3
lt_hangedman_n,46,4.24920000,23.00000000,0
lt_hangedman_n,47,4.17500000,19.59455345,3
