Map,Query Number,Time,Distance,Path Length
lt_ruinedhouse_n,0,2.21060000,6.70820393,0
lt_ruinedhouse_n,1,1.56000000,7.21110255,0
lt_ruinedhouse_n,2,1.08320000,5.00000000,0
lt_ruinedhouse_n,3,0.24780000,5.83095189,0
lt_ruinedhouse_n,4,0.22760000,6.40312424,0
lt_ruinedhouse_n,5,0.32820000,6.08276253,0
lt_ruinedhouse_n,6,1.87620000,5.09901951,0
lt_ruinedhouse_n,7,1.55340000,6.40312424,0
lt_ruinedhouse_n,8,0.32500000,5.65685425,0
lt_ruinedhouse_n,9,1.03420000,5.83095189,0
lt_ruinedhouse_n,10,1.92820000,9.43398113,0
lt_ruinedhouse_n,11,0.32300000,10.63014581,0
lt_ruinedhouse_n,12,1.23960000,11.18033989,0
lt_ruinedhouse_n,13,2.37380000,7.65685424,3
lt_ruinedhouse_n,14,3.13880000,8.31883051,1
lt_ruinedhouse_n,15,1.53220000,10.04987562,0
lt_ruinedhouse_n,16,1.10580000,9.84885780,0
lt_ruinedhouse_n,17,0.86040000,7.61577311,0
lt_ruinedhouse_n,18,0.77260000,8.06225775,0
lt_ruinedhouse_n,19,1.28080000,11.00000000,0
lt_ruinedhouse_n,20,0.28580000,14.00000000,0
lt_ruinedhouse_n,21,1.00420000,14.14213562,0
lt_ruinedhouse_n,22,1.06740000,13.03840481,0
lt_ruinedhouse_n,23,1.67320000,13.03840481,0
lt_ruinedhouse_n,24,2.60560000,10.99322956,3
lt_ruinedhouse_n,25,1.60440000,13.15294644,0
lt_ruinedhouse_n,26,2.19540000,14.21267040,0
lt_ruinedhouse_n,27,1.62400000,13.15294644,0
lt_ruinedhouse_n,28,2.38340000,10.70820393,2
lt_ruinedhouse_n,29,1.39000000,11.18033989,0
lt_ruinedhouse_n,30,0.26220000,16.03121954,0
lt_ruinedhouse_n,31,1.79840000,18.60107524,0
lt_ruinedhouse_n,32,3.66460000,18.40312424,2
lt_ruinedhouse_n,33,1.13200000,18.43908891,0
lt_ruinedhouse_n,34,3.89160000,16.01533972,1
lt_ruinedhouse_n,35,2.61640000,15.65685425,2
lt_ruinedhouse_n,36,1.43400000,16.12451550,0
lt_ruinedhouse_n,37,2.74440000,16.00000000,0
lt_ruinedhouse_n,38,1.43960000,16.03121954,0
lt_ruinedhouse_n,39,2.95060000,16.15537446,1
lt_ruinedhouse_n,40,1.29440000,20.88061302,0
lt_ruinedhouse_n,41,2.37680000,19.31320792,0
lt_ruinedhouse_n,42,3.04880000,21.81665383,2
lt_ruinedhouse_n,43,2.58100000,22.46742579,11
lt_ruinedhouse_n,44,1.07280000,20.80865205,0
lt_ruinedhouse_n,45,1.27380000,19.23538406,0
lt_ruinedhouse_n,46,2.88800000,20.42989763,3
lt_ruinedhouse_n,47,1.46400000,22.02271555,0
lt_ruinedhouse_n,48,0.29660000,21.02379604,0
lt_ruinedhouse_n,49,2.28380000,20.01528880,1
lt_ruinedhouse_n,50,1.21800000,25.70992026,0
lt_ruinedhouse_n,51,2.98280000,22.87844436,3
lt_ruinedhouse_n,52,1.76240000,23.21320342,8
lt_ruinedhouse_n,53,1.06240000,23.70653918,0
lt_ruinedhouse_n,54,2.35840000,26.31218533,5
lt_ruinedhouse_n,55,3.38060000,23.44334883,1
lt_ruinedhouse_n,56,1.57860000,24.02082430,0
lt_ruinedhouse_n,57,2.54520000,26.77328307,8
lt_ruinedhouse_n,58,2.66380000,25.30698474,3
lt_ruinedhouse_n,59,2.48960000,23.53720459,0
lt_ruinedhouse_n,60,2.81980000,26.25284084,2
lt_ruinedhouse_n,61,2.71540000,28.43043514,4
lt_ruinedhouse_n,62,2.05420000,28.44503597,1
lt_ruinedhouse_n,63,2.93280000,29.72792205,8
lt_ruinedhouse_n,64,1.91680000,26.42683077,11
lt_ruinedhouse_n,65,2.66080000,28.48512982,3
lt_ruinedhouse_n,66,2.88380000,27.88007734,2
lt_ruinedhouse_n,67,2.25400000,29.17950052,2
lt_ruinedhouse_n,68,2.74380000,26.92582404,0
lt_ruinedhouse_n,69,3.06420000,29.78653055,7
lt_ruinedhouse_n,70,2.71920000,30.73213749,1
lt_ruinedhouse_n,71,2.60560000,32.58144760,3
lt_ruinedhouse_n,72,2.92540000,30.95777464,1
lt_ruinedhouse_n,73,2.90640000,32.51352399,11
lt_ruinedhouse_n,74,3.22120000,31.67480754,13
lt_ruinedhouse_n,75,2.17340000,33.06055051,0
lt_ruinedhouse_n,76,2.17540000,34.11077028,2
lt_ruinedhouse_n,77,2.21220000,34.76652526,5
lt_ruinedhouse_n,78,2.62500000,31.17785779,5
lt_ruinedhouse_n,79,2.11140000,34.05877273,0
lt_ruinedhouse_n,80,3.10220000,35.83516977,9
lt_ruinedhouse_n,81,3.12600000,33.88341647,10
lt_ruinedhouse_n,82,3.95220000,35.62637991,3
lt_ruinedhouse_n,83,2.65560000,34.52417470,2
lt_ruinedhouse_n,84,2.89140000,34.94746651,8
lt_ruinedhouse_n,85,2.07980000,34.99160048,6
lt_ruinedhouse_n,86,2.64760000,33.83784863,0
lt_ruinedhouse_n,87,2.75920000,35.23876812,1
lt_ruinedhouse_n,88,2.27020000,34.75475761,2
lt_ruinedhouse_n,89,2.62880000,36.84885780,2
lt_ruinedhouse_n,90,2.37320000,38.82378877,3
lt_ruinedhouse_n,91,2.73360000,38.19273079,2
lt_ruinedhouse_n,92,2.87840000,39.18154610,8
lt_ruinedhouse_n,93,2.99760000,38.01315562,0
lt_ruinedhouse_n,94,3.25000000,39.25573887,4
lt_ruinedhouse_n,95,3.91700000,41.14049364,4
lt_ruinedhouse_n,96,2.78180000,38.60814451,7
lt_ruinedhouse_n,97,3.02460000,39.47238294,8
lt_ruinedhouse_n,98,2.43800000,39.85632904,8
lt_ruinedhouse_n,99,2.20640000,40.89907281,7
lt_ruinedhouse_n,100,2.11720000,41.56882533,7
lt_ruinedhouse_n,101,3.16620000,43.50016578,4
lt_ruinedhouse_n,102,2.18660000,43.39970530,6
lt_ruinedhouse_n,103,2.66200000,44.75900242,7
lt_ruinedhouse_n,104,3.68060000,42.76258919,9
lt_ruinedhouse_n,105,3.02220000,42.13792321,5
lt_ruinedhouse_n,106,2.53020000,43.80159371,7
lt_ruinedhouse_n,107,2.62780000,42.80948508,1
lt_ruinedhouse_n,108,2.74440000,43.53260486,13
lt_ruinedhouse_n,109,2.15040000,41.96678098,8
lt_ruinedhouse_n,110,2.41320000,49.06845866,7
lt_ruinedhouse_n,111,2.30360000,46.50504307,7
lt_ruinedhouse_n,112,2.23840000,47.52442741,9
lt_ruinedhouse_n,113,2.41240000,49.00145481,9
lt_ruinedhouse_n,114,2.43680000,49.75251377,14
lt_ruinedhouse_n,115,2.89380000,46.88028691,8
lt_ruinedhouse_n,116,2.64180000,47.09525450,10
lt_ruinedhouse_n,117,2.74220000,45.95167047,8
lt_ruinedhouse_n,118,2.39180000,46.50849753,4
lt_ruinedhouse_n,119,2.53260000,46.81405015,7
lt_ruinedhouse_n,120,2.16860000,50.06747198,7
lt_ruinedhouse_n,121,1.89680000,52.76074253,15
lt_ruinedhouse_n,122,2.16960000,51.50381568,15
lt_ruinedhouse_n,123,3.07940000,50.89539224,5
lt_ruinedhouse_n,124,2.62780000,48.85666730,8
lt_ruinedhouse_n,125,2.11700000,49.31158911,17
lt_ruinedhouse_n,126,2.51560000,50.88086849,7
lt_ruinedhouse_n,127,2.47240000,51.30748066,14
lt_ruinedhouse_n,128,2.18640000,51.22790447,7
lt_ruinedhouse_n,129,2.42580000,51.02757063,7
lt_ruinedhouse_n,130,2.25200000,53.33584003,7
lt_ruinedhouse_n,131,2.16560000,55.47075697,7
lt_ruinedhouse_n,132,1.73480000,55.80473167,9
lt_ruinedhouse_n,133,2.25680000,54.34724401,7
lt_ruinedhouse_n,134,2.41780000,56.28814183,7
lt_ruinedhouse_n,135,2.54300000,54.44481528,7
lt_ruinedhouse_n,136,2.71400000,56.83982068,7
lt_ruinedhouse_n,137,2.72340000,54.14761168,8
lt_ruinedhouse_n,138,2.02740000,54.16513972,14
lt_ruinedhouse_n,139,2.30200000,55.28764599,7
lt_ruinedhouse_n,140,2.07800000,56.26141166,7
lt_ruinedhouse_n,141,1.87360000,57.82512735,7
lt_ruinedhouse_n,142,1.88500000,56.51281003,8
lt_ruinedhouse_n,143,1.94420000,58.87427311,8
lt_ruinedhouse_n,144,2.25640000,57.15612701,7
lt_ruinedhouse_n,145,2.19920000,57.26676606,7
lt_ruinedhouse_n,146,1.78260000,58.68530533,7
lt_ruinedhouse_n,147,1.47100000,56.65374609,9
lt_ruinedhouse_n,148,1.75200000,57.38655542,9
lt_ruinedhouse_n,149,2.14320000,57.69160576,7
