Map,Query Number,Time,Distance,Path Length
w_blightlands,0,4.29020000,7.28010989,0
w_blightlands,1,3.49340000,5.47213595,1
w_blightlands,2,0.76180000,4.12310563,0
w_blightlands,3,3.53160000,5.09901951,0
w_blightlands,4,0.71240000,6.40312424,0
w_blightlands,5,4.42900000,7.28010989,0
w_blightlands,6,3.43820000,5.00000000,0
w_blightlands,7,0.56220000,7.07106781,0
w_blightlands,8,1.75320000,6.32455532,0
w_blightlands,9,0.75220000,4.12310563,0
w_blightlands,10,0.47940000,7.61577311,0
w_blightlands,11,2.00160000,11.04536102,0
w_blightlands,12,0.55340000,10.00000000,0
w_blightlands,13,0.45260000,10.19803903,0
w_blightlands,14,0.54400000,7.61577311,0
w_blightlands,15,1.94960000,9.00000000,0
w_blightlands,16,0.47240000,10.77032961,0
w_blightlands,17,0.46140000,9.89949494,0
w_blightlands,18,3.34060000,8.00000000,0
w_blightlands,19,3.20080000,10.19803903,0
w_blightlands,20,1.94000000,11.40175425,0
w_blightlands,21,1.88740000,12.00000000,0
w_blightlands,22,3.01000000,13.34166406,0
w_blightlands,23,2.25380000,14.76482306,0
w_blightlands,24,2.80700000,14.56021978,0
w_blightlands,25,4.32260000,13.41640786,0
w_blightlands,26,2.60360000,14.42220510,0
w_blightlands,27,1.51200000,12.36931688,0
w_blightlands,28,1.89720000,15.13274595,0
w_blightlands,29,0.52440000,13.15294644,0
w_blightlands,30,1.79620000,16.40121947,0
w_blightlands,31,2.64800000,17.88854382,0
w_blightlands,32,1.88720000,17.08800749,0
w_blightlands,33,3.13800000,15.65247584,0
w_blightlands,34,2.26700000,16.55294536,0
w_blightlands,35,3.39120000,19.10497317,0
w_blightlands,36,0.44560000,17.02938637,0
w_blightlands,37,2.53320000,16.55294536,0
w_blightlands,38,4.02480000,17.70974461,2
w_blightlands,39,2.70000000,18.24828759,0
w_blightlands,40,0.38460000,21.02379604,0
w_blightlands,41,4.65900000,21.58703314,0
w_blightlands,42,3.65520000,21.93340030,2
w_blightlands,43,0.51020000,19.84943324,0
w_blightlands,44,3.73560000,21.47091055,0
w_blightlands,45,4.07680000,23.08679276,0
w_blightlands,46,5.68620000,22.21626228,1
w_blightlands,47,2.49800000,19.41648784,0
w_blightlands,48,2.66600000,21.21320344,0
w_blightlands,49,5.67660000,21.37755833,0
w_blightlands,50,4.29620000,23.13532591,2
w_blightlands,51,3.94860000,24.73863375,0
w_blightlands,52,0.54660000,23.32380758,0
w_blightlands,53,2.87800000,23.70653918,0
w_blightlands,54,6.48620000,24.51550735,1
w_blightlands,55,4.56960000,23.22450518,2
w_blightlands,56,2.34700000,25.63201124,0
w_blightlands,57,4.32720000,24.69831865,1
w_blightlands,58,0.68640000,26.01922366,0
w_blightlands,59,2.48960000,23.85372088,0
w_blightlands,60,4.98680000,28.57773793,4
w_blightlands,61,2.85840000,28.44292531,0
w_blightlands,62,2.49540000,28.31960452,0
w_blightlands,63,5.89660000,29.41088234,0
w_blightlands,64,3.93080000,29.41088234,0
w_blightlands,65,4.26160000,29.12043956,0
w_blightlands,66,2.98980000,29.32679001,2
w_blightlands,67,4.21920000,26.00000000,0
w_blightlands,68,2.29980000,30.41381265,0
w_blightlands,69,4.66500000,28.16025568,0
w_blightlands,70,3.38140000,30.52867504,0
w_blightlands,71,0.44620000,32.28002478,0
w_blightlands,72,4.08200000,30.87069808,0
w_blightlands,73,3.10360000,31.78049716,0
w_blightlands,74,3.62140000,33.01514804,0
w_blightlands,75,2.67500000,32.64965543,0
w_blightlands,76,2.77500000,30.08321791,0
w_blightlands,77,2.91460000,32.24903099,0
w_blightlands,78,1.69040000,32.75667871,0
w_blightlands,79,5.34800000,30.80584360,0
w_blightlands,80,5.43320000,36.75804864,5
w_blightlands,81,6.20480000,37.01351105,0
w_blightlands,82,6.60180000,38.21053280,1
w_blightlands,83,6.95060000,36.71511950,0
w_blightlands,84,2.06700000,37.12142239,0
w_blightlands,85,6.19160000,37.12159397,1
w_blightlands,86,3.47480000,34.43835072,0
w_blightlands,87,2.50240000,33.52610923,0
w_blightlands,88,6.58880000,37.59626736,2
w_blightlands,89,5.11760000,34.40930107,0
w_blightlands,90,1.86020000,38.07886553,0
w_blightlands,91,9.15060000,40.60515273,2
w_blightlands,92,5.62580000,40.05649397,3
w_blightlands,93,3.79660000,40.26164428,0
w_blightlands,94,1.95940000,40.16217126,0
w_blightlands,95,4.27160000,40.90891644,1
w_blightlands,96,8.22000000,38.69191210,6
w_blightlands,97,6.72060000,41.30375286,0
w_blightlands,98,3.23500000,38.27531842,0
w_blightlands,99,5.28900000,37.12142239,0
w_blightlands,100,3.61720000,43.01162634,0
w_blightlands,101,4.81220000,41.62931659,0
w_blightlands,102,4.38120000,43.51064047,2
w_blightlands,103,2.04540000,43.27817002,0
w_blightlands,104,2.55960000,44.20407221,0
w_blightlands,105,3.00800000,43.56604182,0
w_blightlands,106,3.84960000,44.28317965,0
w_blightlands,107,3.64220000,45.01110974,0
w_blightlands,108,3.31640000,44.38468204,0
w_blightlands,109,6.02780000,41.23105626,0
w_blightlands,110,4.06200000,48.01136217,1
w_blightlands,111,4.00720000,48.54894438,0
w_blightlands,112,8.79280000,45.44231290,3
w_blightlands,113,8.53260000,46.47704085,4
w_blightlands,114,7.07060000,45.17480025,2
w_blightlands,115,6.58500000,51.33483644,3
w_blightlands,116,7.54500000,45.17742799,0
w_blightlands,117,3.80180000,49.36598019,0
w_blightlands,118,10.18260000,47.23946011,2
w_blightlands,119,3.19760000,47.07440918,0
w_blightlands,120,8.20780000,51.08815910,0
w_blightlands,121,7.58260000,50.41117224,2
w_blightlands,122,9.97480000,49.37924342,2
w_blightlands,123,6.97940000,51.73084420,2
w_blightlands,124,16.53280000,51.51106655,6
w_blightlands,125,6.44680000,48.21034647,2
w_blightlands,126,9.92380000,50.30413845,3
w_blightlands,127,2.52600000,51.42956348,0
w_blightlands,128,4.94660000,48.92345023,3
w_blightlands,129,5.44020000,50.45545005,5
w_blightlands,130,8.96820000,56.49409510,2
w_blightlands,131,5.31940000,55.40628435,1
w_blightlands,132,7.58580000,54.81788029,0
w_blightlands,133,9.50700000,54.11960207,5
w_blightlands,134,6.23860000,54.20332093,0
w_blightlands,135,4.81720000,54.20332093,0
w_blightlands,136,9.71000000,54.48035699,2
w_blightlands,137,21.15440000,56.16813745,16
w_blightlands,138,3.81440000,56.56854249,0
w_blightlands,139,4.92200000,55.08175742,0
w_blightlands,140,7.52480000,57.22865678,5
w_blightlands,141,9.26400000,57.08029957,1
w_blightlands,142,5.00100000,59.41380311,0
w_blightlands,143,6.08960000,58.83026432,0
w_blightlands,144,8.84880000,56.03781771,3
w_blightlands,145,4.86080000,58.73402125,1
w_blightlands,146,8.80400000,59.37685855,3
w_blightlands,147,10.37200000,57.71645651,1
w_blightlands,148,6.48940000,58.85052719,2
w_blightlands,149,6.56320000,56.47025986,3
w_blightlands,150,5.22400000,61.96377040,6
w_blightlands,151,19.52160000,63.07011809,11
w_blightlands,152,8.94280000,60.29128482,6
w_blightlands,153,6.96400000,61.03277808,0
w_blightlands,154,7.51960000,64.20280368,0
w_blightlands,155,4.91320000,62.24913390,12
w_blightlands,156,8.04360000,63.60144042,5
w_blightlands,157,9.29680000,65.19202405,0
w_blightlands,158,6.10260000,62.41848839,2
w_blightlands,159,9.12940000,62.26556030,0
w_blightlands,160,11.89160000,65.39185538,1
w_blightlands,161,4.78360000,66.49060084,0
w_blightlands,162,12.89200000,66.62524538,3
w_blightlands,163,7.66260000,65.79211805,1
w_blightlands,164,22.14600000,65.57031105,9
w_blightlands,165,7.28340000,65.14877295,2
w_blightlands,166,5.62380000,67.11799256,8
