Map,Query Number,Time,Distance,Path Length
w_bonepit,0,3.15020000,6.09901951,1
w_bonepit,1,0.78520000,7.07106781,0
w_bonepit,2,3.48220000,5.00000000,0
w_bonepit,3,2.77600000,6.40312424,0
w_bonepit,4,1.86260000,4.00000000,0
w_bonepit,5,3.73980000,6.40312424,0
w_bonepit,6,3.96100000,5.09901951,0
w_bonepit,7,0.55100000,4.47213595,0
w_bonepit,8,4.06820000,7.07106781,0
w_bonepit,9,1.94980000,5.09901951,0
w_bonepit,10,0.74360000,9.48683298,0
w_bonepit,11,2.44780000,8.06225775,0
w_bonepit,12,0.47320000,8.60232527,0
w_bonepit,13,3.17200000,9.43398113,0
w_bonepit,14,0.68220000,9.48683298,0
w_bonepit,15,0.57280000,10.04987562,0
w_bonepit,16,3.88920000,8.24621125,0
w_bonepit,17,1.61960000,8.48528137,0
w_bonepit,18,2.35580000,8.48528137,0
w_bonepit,19,0.41120000,8.24621125,0
w_bonepit,20,5.13660000,14.86606875,0
w_bonepit,21,4.57240000,15.03329638,0
w_bonepit,22,0.56780000,11.70469991,0
w_bonepit,23,1.99020000,12.04159458,0
w_bonepit,24,0.65240000,13.00000000,0
w_bonepit,25,4.24780000,11.18033989,0
w_bonepit,26,2.41100000,12.08304597,0
w_bonepit,27,0.48060000,12.08304597,0
w_bonepit,28,0.46400000,14.21267040,0
w_bonepit,29,2.13340000,14.86606875,0
w_bonepit,30,0.56920000,16.03121954,0
w_bonepit,31,0.47620000,16.27882060,0
w_bonepit,32,2.96040000,18.02775638,0
w_bonepit,33,3.63080000,15.65247584,0
w_bonepit,34,5.90120000,15.36282083,4
w_bonepit,35,1.79540000,19.10497317,0
w_bonepit,36,0.68280000,17.46424920,0
w_bonepit,37,3.13780000,15.81138830,0
w_bonepit,38,1.74120000,18.02775638,0
w_bonepit,39,2.58720000,15.26433752,0
w_bonepit,40,8.56440000,22.02271555,0
w_bonepit,41,1.36500000,20.02498439,0
w_bonepit,42,4.26160000,22.02271555,0
w_bonepit,43,3.04520000,18.97366596,0
w_bonepit,44,4.46440000,22.77329370,3
w_bonepit,45,7.26460000,21.70269367,1
w_bonepit,46,2.97840000,20.59126028,0
w_bonepit,47,2.96300000,22.67156810,0
w_bonepit,48,4.18940000,22.26817164,5
w_bonepit,49,3.36780000,22.02271555,0
w_bonepit,50,3.66440000,25.96150997,0
w_bonepit,51,2.33280000,25.29822128,0
w_bonepit,52,3.68560000,22.56102835,0
w_bonepit,53,2.27460000,24.59674775,0
w_bonepit,54,2.23580000,26.30589288,0
w_bonepit,55,2.57000000,25.07987241,0
w_bonepit,56,2.36700000,24.33105012,0
w_bonepit,57,4.32060000,24.35159132,0
w_bonepit,58,0.63500000,25.70992026,0
w_bonepit,59,5.05240000,25.17935662,0
w_bonepit,60,2.97080000,27.85677655,0
w_bonepit,61,2.28940000,28.30194340,0
w_bonepit,62,2.69180000,30.00000000,0
w_bonepit,63,1.21420000,27.45906044,0
w_bonepit,64,0.42180000,30.26549190,0
w_bonepit,65,5.15100000,28.84441020,0
w_bonepit,66,6.89520000,26.71962129,9
w_bonepit,67,2.56840000,29.61418579,0
w_bonepit,68,4.16700000,27.50493559,3
w_bonepit,69,0.48280000,30.26549190,0
w_bonepit,70,8.27860000,33.22942854,3
w_bonepit,71,3.89060000,33.30165161,0
w_bonepit,72,5.80900000,30.87069808,0
w_bonepit,73,4.96200000,34.03725215,1
w_bonepit,74,4.23800000,33.00154753,1
w_bonepit,75,4.24500000,31.14482300,0
w_bonepit,76,2.81060000,33.24154028,0
w_bonepit,77,3.29900000,33.24154028,0
w_bonepit,78,3.80940000,30.80584360,0
w_bonepit,79,4.37120000,31.99031914,2
w_bonepit,80,3.39920000,37.53664876,0
w_bonepit,81,0.50760000,36.05551275,0
w_bonepit,82,4.06500000,36.05551275,0
w_bonepit,83,4.87200000,38.89730068,0
w_bonepit,84,5.54260000,38.20994635,0
w_bonepit,85,7.46660000,33.82488493,3
w_bonepit,86,5.84560000,37.18613651,1
w_bonepit,87,5.10780000,35.55114015,2
w_bonepit,88,2.49280000,34.17601498,0
w_bonepit,89,3.05500000,35.34119409,0
w_bonepit,90,5.82280000,41.24259742,1
w_bonepit,91,6.52500000,40.60865634,1
w_bonepit,92,5.00680000,38.40756774,4
w_bonepit,93,4.78720000,37.63201124,2
w_bonepit,94,8.90340000,39.26436681,5
w_bonepit,95,2.44920000,39.20459157,0
w_bonepit,96,5.90140000,40.36308338,1
w_bonepit,97,3.03100000,40.00000000,0
w_bonepit,98,3.62660000,41.72529209,0
w_bonepit,99,6.33880000,40.22437072,0
w_bonepit,100,5.22520000,45.17894635,4
w_bonepit,101,4.84560000,42.64397851,1
w_bonepit,102,6.18740000,43.12476480,2
w_bonepit,103,6.35240000,41.79709633,3
w_bonepit,104,7.13960000,43.01162634,0
w_bonepit,105,4.82760000,42.86573307,3
w_bonepit,106,7.30320000,45.23222106,7
w_bonepit,107,5.69940000,44.59820624,0
w_bonepit,108,6.09260000,44.06765582,1
w_bonepit,109,5.73440000,40.83832183,5
w_bonepit,110,7.78300000,47.55952847,1
w_bonepit,111,5.98320000,51.04191878,1
w_bonepit,112,3.35800000,47.67598976,0
w_bonepit,113,4.50000000,46.69047012,0
w_bonepit,114,9.13000000,49.13150249,4
w_bonepit,115,5.26200000,46.81879964,0
w_bonepit,116,5.25760000,48.54894438,0
w_bonepit,117,9.53440000,47.81686716,7
w_bonepit,118,2.81400000,50.00999900,0
w_bonepit,119,4.46500000,46.42258928,3
w_bonepit,120,3.11580000,51.47815070,0
w_bonepit,121,7.96320000,50.10820231,1
w_bonepit,122,3.77280000,48.75448697,0
w_bonepit,123,5.82720000,50.80354318,0
w_bonepit,124,7.09400000,53.35373490,5
w_bonepit,125,4.93880000,50.28916384,0
w_bonepit,126,6.15180000,50.95145567,6
w_bonepit,127,6.48860000,51.48035699,1
w_bonepit,128,3.37040000,50.77400910,0
w_bonepit,129,4.36380000,53.15072906,0
w_bonepit,130,5.28660000,56.14267539,0
w_bonepit,131,5.33060000,55.73149917,0
w_bonepit,132,6.65960000,59.08318916,2
w_bonepit,133,4.21940000,55.73765991,1
w_bonepit,134,3.97920000,53.15072906,0
w_bonepit,135,15.06800000,53.20146213,3
w_bonepit,136,2.69840000,54.12947441,0
w_bonepit,137,4.24600000,55.30047028,4
w_bonepit,138,7.34380000,54.23555401,1
w_bonepit,139,5.67840000,56.11930283,1
w_bonepit,140,9.91660000,57.77542730,0
w_bonepit,141,7.48320000,57.60345776,6
w_bonepit,142,11.17220000,61.13100686,0
w_bonepit,143,4.17700000,60.53098380,0
w_bonepit,144,9.50520000,60.67537792,6
w_bonepit,145,6.94400000,58.07026146,3
w_bonepit,146,5.63420000,58.44112538,2
w_bonepit,147,7.77060000,57.73238746,1
w_bonepit,148,4.88760000,60.09881034,2
w_bonepit,149,7.82980000,61.25536847,3
w_bonepit,150,4.02960000,59.48108943,0
w_bonepit,151,6.63320000,60.00833275,0
w_bonepit,152,5.60000000,61.40032573,0
w_bonepit,153,3.57100000,63.19810124,0
w_bonepit,154,6.96660000,64.59200283,3
w_bonepit,155,8.74420000,60.77466542,2
w_bonepit,156,5.74380000,67.00746227,0
w_bonepit,157,7.06900000,62.85693912,1
w_bonepit,158,4.94560000,64.03200566,1
w_bonepit,159,8.18480000,62.73823533,2
w_bonepit,160,6.83880000,65.67017047,2
w_bonepit,161,7.08400000,70.19803903,2
w_bonepit,162,11.02760000,67.19274395,4
w_bonepit,163,7.19200000,66.17770077,1
w_bonepit,164,8.50860000,66.22884421,2
w_bonepit,165,5.99540000,69.25863453,2
w_bonepit,166,4.08460000,65.40389740,1
w_bonepit,167,4.30640000,65.32488860,1
w_bonepit,168,6.97380000,66.50337945,1
w_bonepit,169,5.89460000,65.86349520,0
w_bonepit,170,6.84900000,69.50535562,3
w_bonepit,171,6.21960000,69.91853794,5
w_bonepit,172,8.05380000,70.56827372,1
w_bonepit,173,14.16660000,68.59389722,9
w_bonepit,174,4.11200000,70.75091763,2
w_bonepit,175,6.99740000,72.00694411,0
w_bonepit,176,9.04700000,69.43923706,2
w_bonepit,177,7.87160000,68.79680225,0
w_bonepit,178,8.62060000,70.33846917,2
w_bonepit,179,6.87380000,69.77105417,0
w_bonepit,180,8.42640000,71.17123445,5
w_bonepit,181,12.72840000,74.82959839,8
w_bonepit,182,7.56080000,76.32168761,0
w_bonepit,183,7.37120000,73.50403271,4
