Map,Query Number,Time,Distance,Path Length
w_bonepitdestroyed_a3,0,1.90520000,6.08276253,0
w_bonepitdestroyed_a3,1,1.10660000,7.21110255,0
w_bonepitdestroyed_a3,2,0.95340000,6.40312424,0
w_bonepitdestroyed_a3,3,3.76220000,6.08276253,0
w_bonepitdestroyed_a3,4,0.94180000,5.83095189,0
w_bonepitdestroyed_a3,5,1.09160000,6.40312424,0
w_bonepitdestroyed_a3,6,4.87820000,6.40312424,0
w_bonepitdestroyed_a3,7,0.62520000,7.00000000,0
w_bonepitdestroyed_a3,8,0.63880000,5.38516481,0
w_bonepitdestroyed_a3,9,3.00240000,5.83095189,0
w_bonepitdestroyed_a3,10,1.48620000,7.61577311,0
w_bonepitdestroyed_a3,11,0.58880000,9.05538514,0
w_bonepitdestroyed_a3,12,7.36120000,10.81665383,0
w_bonepitdestroyed_a3,13,1.90460000,11.00000000,0
w_bonepitdestroyed_a3,14,4.21080000,9.21954446,0
w_bonepitdestroyed_a3,15,1.55600000,10.81665383,0
w_bonepitdestroyed_a3,16,0.63120000,9.05538514,0
w_bonepitdestroyed_a3,17,2.82100000,8.00000000,0
w_bonepitdestroyed_a3,18,0.55760000,10.19803903,0
w_bonepitdestroyed_a3,19,3.38640000,9.23155136,3
w_bonepitdestroyed_a3,20,5.43160000,13.60147051,0
w_bonepitdestroyed_a3,21,0.81520000,12.52996409,0
w_bonepitdestroyed_a3,22,7.05900000,13.60147051,0
w_bonepitdestroyed_a3,23,0.53440000,11.18033989,0
w_bonepitdestroyed_a3,24,4.22920000,13.34166406,0
w_bonepitdestroyed_a3,25,0.64080000,12.08304597,0
w_bonepitdestroyed_a3,26,0.71960000,13.03840481,0
w_bonepitdestroyed_a3,27,0.67060000,14.42220510,0
w_bonepitdestroyed_a3,28,3.19560000,13.34166406,0
w_bonepitdestroyed_a3,29,0.51720000,13.03840481,0
w_bonepitdestroyed_a3,30,0.56220000,18.38477631,0
w_bonepitdestroyed_a3,31,0.83100000,18.38477631,0
w_bonepitdestroyed_a3,32,2.87480000,15.65247584,0
w_bonepitdestroyed_a3,33,0.51520000,15.81138830,0
w_bonepitdestroyed_a3,34,2.94100000,15.52417470,0
w_bonepitdestroyed_a3,35,0.94060000,17.49285568,0
w_bonepitdestroyed_a3,36,5.71260000,19.10497317,0
w_bonepitdestroyed_a3,37,6.03460000,16.15549442,0
w_bonepitdestroyed_a3,38,3.97180000,17.02938637,0
w_bonepitdestroyed_a3,39,0.56840000,19.02629759,0
w_bonepitdestroyed_a3,40,0.65200000,21.58703314,0
