Map,Query Number,Time,Distance,Path Length
w_encounter2,0,1.36800000,4.47213595,0
w_encounter2,1,2.46240000,5.00000000,0
w_encounter2,2,0.82080000,7.21110255,0
w_encounter2,3,0.79980000,4.00000000,0
w_encounter2,4,2.04520000,4.00000000,0
w_encounter2,5,0.72220000,6.40312424,0
w_encounter2,6,0.53400000,5.00000000,0
w_encounter2,7,0.43980000,5.00000000,0
w_encounter2,8,0.42800000,5.83095189,0
w_encounter2,9,2.86320000,6.83095189,1
w_encounter2,10,0.65220000,9.21954446,0
w_encounter2,11,0.62180000,9.89949494,0
w_encounter2,12,0.61960000,10.04987562,0
w_encounter2,13,2.30900000,10.81665383,0
w_encounter2,14,0.51720000,8.00000000,0
w_encounter2,15,2.03760000,9.21954446,0
w_encounter2,16,0.61640000,8.60232527,0
w_encounter2,17,1.29920000,8.54400375,0
w_encounter2,18,0.50260000,8.54400375,0
w_encounter2,19,1.99260000,10.00000000,0
w_encounter2,20,0.70200000,12.08304597,0
w_encounter2,21,4.09380000,13.45362405,0
w_encounter2,22,1.84240000,13.92838828,0
w_encounter2,23,0.57000000,15.13274595,0
w_encounter2,24,1.28860000,13.00000000,0
w_encounter2,25,0.55420000,13.03840481,0
w_encounter2,26,0.57060000,15.13274595,0
w_encounter2,27,0.49240000,14.03566885,0
w_encounter2,28,0.41260000,14.14213562,0
w_encounter2,29,2.59420000,13.15294644,0
w_encounter2,30,2.20060000,18.24828759,0
w_encounter2,31,0.57220000,16.12451550,0
w_encounter2,32,4.49560000,17.72004515,0
w_encounter2,33,3.99880000,16.15549442,0
w_encounter2,34,2.99400000,17.69180601,0
w_encounter2,35,1.97500000,17.08800749,0
w_encounter2,36,2.74820000,17.11724277,0
w_encounter2,37,0.70080000,16.40121947,0
w_encounter2,38,2.44180000,16.64331698,0
w_encounter2,39,3.55200000,17.45623262,2
w_encounter2,40,1.81020000,21.00000000,0
w_encounter2,41,1.40380000,22.13594362,0
w_encounter2,42,1.95620000,20.83573538,1
w_encounter2,43,2.12220000,18.97366596,0
w_encounter2,44,2.28960000,21.40093456,0
w_encounter2,45,7.69980000,20.00000000,0
w_encounter2,46,1.91060000,20.61552813,0
w_encounter2,47,4.27760000,22.13594362,0
w_encounter2,48,0.60780000,19.92485885,0
w_encounter2,49,3.39620000,20.12461180,0
w_encounter2,50,5.72040000,24.24828759,2
w_encounter2,51,2.87860000,22.12743873,4
w_encounter2,52,0.66100000,26.17250466,0
w_encounter2,53,3.85520000,26.01922366,0
w_encounter2,54,6.07420000,25.49509757,0
w_encounter2,55,2.44200000,25.70992026,0
w_encounter2,56,4.06800000,24.08679276,1
w_encounter2,57,2.12460000,25.23885893,0
w_encounter2,58,3.70620000,24.18677324,0
w_encounter2,59,2.20400000,22.80350850,0
w_encounter2,60,3.97720000,28.08750672,1
w_encounter2,61,0.49620000,26.40075756,0
w_encounter2,62,3.37400000,29.27456234,0
w_encounter2,63,5.35400000,27.40075756,1
w_encounter2,64,0.62840000,28.07133770,0
w_encounter2,65,4.03580000,27.20294102,0
w_encounter2,66,2.04440000,30.01666204,0
w_encounter2,67,3.12980000,28.28427125,0
w_encounter2,68,4.72900000,25.58171309,1
w_encounter2,69,0.64680000,29.00000000,0
w_encounter2,70,3.37520000,32.57299495,0
w_encounter2,71,4.20800000,33.97057550,0
w_encounter2,72,2.07480000,30.41381265,0
w_encounter2,73,6.94600000,30.80584360,0
w_encounter2,74,0.62100000,31.38470965,0
w_encounter2,75,3.26600000,31.57530681,0
w_encounter2,76,3.07920000,32.01562119,0
w_encounter2,77,2.79800000,30.39949866,3
w_encounter2,78,4.64460000,32.62719290,1
w_encounter2,79,4.98600000,33.11417811,4
w_encounter2,80,6.33660000,34.94538459,3
w_encounter2,81,0.65160000,33.52610923,0
w_encounter2,82,3.04120000,36.23534186,0
w_encounter2,83,2.57660000,36.79673899,0
w_encounter2,84,7.76560000,37.48332963,0
w_encounter2,85,4.23360000,35.87222530,3
w_encounter2,86,6.63040000,36.67424164,0
w_encounter2,87,6.35120000,36.24871422,1
w_encounter2,88,3.32280000,34.52535300,0
w_encounter2,89,6.22300000,35.47064679,3
w_encounter2,90,2.63560000,37.33630941,0
w_encounter2,91,4.72400000,41.03656906,0
w_encounter2,92,1.91380000,41.04875150,0
w_encounter2,93,6.42280000,38.10616392,1
w_encounter2,94,3.26740000,39.20459157,0
w_encounter2,95,3.40280000,40.80441153,0
w_encounter2,96,9.32440000,40.54651335,3
w_encounter2,97,4.82600000,38.58756276,0
w_encounter2,98,3.12440000,38.01315562,0
w_encounter2,99,4.08520000,37.94076241,3
w_encounter2,100,2.75880000,45.09988914,0
w_encounter2,101,2.24780000,45.09988914,0
w_encounter2,102,4.22680000,44.70447028,1
w_encounter2,103,1.85120000,44.18144407,0
w_encounter2,104,6.38800000,43.78713964,2
w_encounter2,105,3.80740000,42.49509757,1
w_encounter2,106,4.00560000,44.40720662,0
w_encounter2,107,4.14280000,41.18252056,0
w_encounter2,108,0.49460000,44.28317965,0
w_encounter2,109,3.94720000,44.69364285,9
w_encounter2,110,4.33680000,47.13594362,2
w_encounter2,111,14.18080000,46.92094099,8
w_encounter2,112,3.59320000,46.22769733,0
w_encounter2,113,3.25540000,46.38965402,0
w_encounter2,114,6.90780000,49.57822102,0
w_encounter2,115,7.97220000,47.88527958,0
w_encounter2,116,5.95680000,49.70469991,2
w_encounter2,117,16.17940000,47.53318029,2
w_encounter2,118,4.74680000,47.43340634,3
w_encounter2,119,5.66920000,45.29762948,1
w_encounter2,120,3.43800000,51.07837116,0
w_encounter2,121,8.62100000,51.47815070,0
w_encounter2,122,6.16140000,51.08815910,0
w_encounter2,123,3.74420000,53.81449619,0
w_encounter2,124,6.84440000,53.03772242,0
w_encounter2,125,6.94080000,53.46026562,0
w_encounter2,126,3.06700000,50.00000000,0
w_encounter2,127,6.46960000,50.99019514,0
w_encounter2,128,9.72500000,50.35871325,0
w_encounter2,129,3.43940000,52.03844733,0
w_encounter2,130,4.66620000,54.42738194,3
w_encounter2,131,3.55340000,54.23098745,0
w_encounter2,132,4.90260000,58.00862005,0
w_encounter2,133,3.17480000,55.78530272,0
w_encounter2,134,4.44520000,57.14017851,0
w_encounter2,135,5.35400000,53.82378656,0
w_encounter2,136,4.17260000,57.21887800,0
w_encounter2,137,7.55000000,59.01785145,2
w_encounter2,138,5.70040000,53.53503526,0
w_encounter2,139,3.54920000,55.03635162,0
w_encounter2,140,3.67840000,57.80138407,0
w_encounter2,141,5.72820000,59.75989112,3
w_encounter2,142,5.97680000,59.57174305,3
w_encounter2,143,10.89680000,56.61147918,20
w_encounter2,144,14.89900000,57.05374559,2
w_encounter2,145,6.58560000,62.36986452,0
w_encounter2,146,7.28780000,55.94640292,0
w_encounter2,147,4.32080000,57.94078313,2
w_encounter2,148,5.64760000,57.98976915,1
w_encounter2,149,4.19220000,59.42489729,1
w_encounter2,150,4.50520000,66.06814664,0
w_encounter2,151,4.30820000,67.17886572,0
w_encounter2,152,4.61380000,63.38769597,0
w_encounter2,153,6.26780000,63.15294644,2
w_encounter2,154,3.34120000,61.43259037,2
w_encounter2,155,6.58900000,62.44736051,7
w_encounter2,156,8.88080000,63.66263885,7
w_encounter2,157,7.32780000,65.71733681,5
w_encounter2,158,6.93260000,60.74537019,0
w_encounter2,159,24.74100000,60.07580171,9
w_encounter2,160,4.86280000,68.18357573,0
w_encounter2,161,6.77340000,67.28698387,7
w_encounter2,162,6.49100000,67.06713055,0
w_encounter2,163,4.50420000,68.06614430,0
w_encounter2,164,6.25880000,65.65807228,1
w_encounter2,165,5.12240000,65.73431372,0
w_encounter2,166,7.28660000,68.99470886,1
w_encounter2,167,9.04720000,66.48308055,0
