Map,Query Number,Time,Distance,Path Length
w_encounter2_camp,0,1.23660000,4.47213595,0
w_encounter2_camp,1,0.87820000,7.21110255,0
w_encounter2_camp,2,0.69780000,5.00000000,0
w_encounter2_camp,3,0.64720000,7.21110255,0
w_encounter2_camp,4,0.75280000,7.07106781,0
w_encounter2_camp,5,0.77720000,6.70820393,0
w_encounter2_camp,6,0.65340000,6.00000000,0
w_encounter2_camp,7,0.51580000,6.70820393,0
w_encounter2_camp,8,0.50200000,7.07106781,0
w_encounter2_camp,9,4.46660000,4.12310563,0
w_encounter2_camp,10,3.40040000,11.04536102,0
w_encounter2_camp,11,0.72060000,10.00000000,0
w_encounter2_camp,12,0.51700000,9.48683298,0
w_encounter2_camp,13,3.22040000,10.81665383,0
w_encounter2_camp,14,0.68620000,8.60232527,0
w_encounter2_camp,15,3.64100000,9.00000000,0
w_encounter2_camp,16,2.58960000,10.00000000,0
w_encounter2_camp,17,2.13660000,8.06225775,0
w_encounter2_camp,18,0.70440000,8.06225775,0
w_encounter2_camp,19,0.41180000,8.54400375,0
w_encounter2_camp,20,1.91860000,13.45362405,0
w_encounter2_camp,21,0.54520000,13.60147051,0
w_encounter2_camp,22,1.74500000,13.15294644,0
w_encounter2_camp,23,2.63420000,13.00000000,0
w_encounter2_camp,24,2.33500000,14.00000000,0
w_encounter2_camp,25,2.21920000,15.03329638,0
w_encounter2_camp,26,2.11340000,15.00000000,0
w_encounter2_camp,27,0.52720000,14.03566885,0
w_encounter2_camp,28,3.20600000,12.04159458,0
w_encounter2_camp,29,3.82280000,12.52996409,0
w_encounter2_camp,30,0.61120000,17.80449381,0
w_encounter2_camp,31,0.53680000,17.08800749,0
w_encounter2_camp,32,0.52700000,16.03121954,0
w_encounter2_camp,33,0.51520000,15.62049935,0
w_encounter2_camp,34,0.55260000,15.29705854,0
w_encounter2_camp,35,0.35840000,17.00000000,0
w_encounter2_camp,36,2.89940000,17.46424920,0
w_encounter2_camp,37,0.64020000,17.26267650,0
w_encounter2_camp,38,2.55500000,15.62049935,0
w_encounter2_camp,39,4.48480000,18.35755975,0
w_encounter2_camp,40,1.59600000,18.97366596,0
w_encounter2_camp,41,2.42480000,22.36067977,0
w_encounter2_camp,42,3.73300000,21.21320344,0
w_encounter2_camp,43,3.37200000,22.42955327,7
w_encounter2_camp,44,0.58560000,19.84943324,0
w_encounter2_camp,45,0.52340000,21.26029163,0
