Map,Query Number,Time,Distance,Path Length
arena,0,0.40020000,1.00000000,0
arena,1,0.19740000,2.00000000,0
arena,2,1.73060000,3.16227766,0
arena,3,1.63200000,3.41421356,2
arena,4,1.44260000,3.00000000,0
arena,5,1.10420000,3.60555128,0
arena,6,0.30860000,1.41421356,0
arena,7,0.19420000,2.00000000,0
arena,8,0.17120000,3.00000000,0
arena,9,1.40040000,3.16227766,0
arena,10,1.26900000,6.00000000,0
arena,11,0.21780000,7.00000000,0
arena,12,1.03700000,6.70820393,0
arena,13,0.91340000,6.40312424,0
arena,14,2.12160000,5.83095189,0
arena,15,0.94980000,7.07106781,0
arena,16,0.18120000,5.00000000,0
arena,17,1.44920000,6.32455532,0
arena,18,1.09220000,4.00000000,0
arena,19,1.98040000,4.60555128,1
arena,20,2.88920000,7.63441362,1
arena,21,1.20120000,11.18033989,0
arena,22,2.15100000,10.89068487,1
arena,23,1.17580000,10.77032961,0
arena,24,0.96360000,7.81024968,0
arena,25,0.79000000,8.48528137,0
arena,26,1.29180000,10.81665383,0
arena,27,0.96780000,10.04987562,0
arena,28,1.83180000,9.43650317,1
arena,29,0.84100000,8.06225775,0
arena,30,1.79400000,13.45362405,0
arena,31,0.97500000,12.04159458,0
arena,32,1.01800000,12.72792206,0
arena,33,1.33780000,13.45362405,0
arena,34,1.04200000,12.04159458,0
arena,35,0.81700000,13.00000000,0
arena,36,2.17320000,14.04585778,1
arena,37,0.97120000,14.14213562,0
arena,38,0.86880000,12.16552506,0
arena,39,1.66640000,10.78007172,1
arena,40,1.54080000,17.02938637,0
arena,41,1.35040000,15.29705854,0
arena,42,1.01100000,16.40121947,0
arena,43,1.07320000,16.03121954,0
arena,44,1.78880000,17.92337234,1
arena,45,2.14280000,17.86172350,1
arena,46,1.79120000,15.35839121,1
arena,47,2.01220000,15.27447279,1
arena,48,3.05600000,18.00000000,1
arena,49,2.18200000,19.43908891,1
arena,50,1.25700000,22.47220505,0
arena,51,1.72880000,20.80865205,0
arena,52,3.01760000,21.05753054,3
arena,53,1.40060000,21.54065923,0
arena,54,2.15340000,22.50240758,1
arena,55,1.92480000,19.70298587,1
arena,56,1.31920000,19.41648784,0
arena,57,2.56660000,21.26751604,1
arena,58,1.87220000,21.60136657,1
arena,59,1.63180000,19.33820470,1
arena,60,2.49800000,24.25909008,1
arena,61,1.65820000,23.49593508,1
arena,62,1.67620000,22.85691227,1
arena,63,3.76340000,27.58622845,0
arena,64,2.44760000,23.32380758,0
arena,65,1.53900000,23.19482701,0
arena,66,1.58040000,25.00000000,0
arena,67,3.28980000,25.47213595,2
arena,68,2.95540000,23.43074903,0
arena,69,2.18920000,25.76782894,6
arena,70,3.12980000,29.69848481,0
arena,71,3.70960000,28.60069929,0
arena,72,1.42220000,27.45906044,0
arena,73,3.88400000,29.71621493,1
arena,74,3.43440000,26.40384815,1
arena,75,2.40820000,27.92592190,1
arena,76,2.81920000,29.55200836,1
arena,77,1.69820000,26.57066051,0
arena,78,1.46780000,28.07133770,0
arena,79,4.22020000,28.63622411,1
arena,80,3.04440000,35.38361203,0
arena,81,3.22820000,30.05972484,1
arena,82,3.01840000,31.57530681,0
arena,83,2.45080000,32.55764119,0
arena,84,3.18200000,32.36478732,1
arena,85,2.86140000,31.06444913,0
arena,86,4.01060000,30.53465312,2
