Map,Query Number,Time,Distance,Path Length
arena2,0,0.87200000,3.60555128,0
arena2,1,0.48020000,2.82842712,0
arena2,2,0.56680000,3.16227766,0
arena2,3,0.44840000,3.60555128,0
arena2,4,0.43380000,2.00000000,0
arena2,5,0.43980000,3.00000000,0
arena2,6,0.47480000,1.41421356,0
arena2,7,2.29240000,2.00000000,0
arena2,8,0.47260000,2.00000000,0
arena2,9,4.87440000,3.60555128,0
arena2,10,5.38420000,5.38516481,0
arena2,11,3.44720000,6.40312424,0
arena2,12,0.33240000,4.12310563,0
arena2,13,0.41400000,6.00000000,0
arena2,14,0.38260000,7.28010989,0
arena2,15,0.32540000,5.38516481,0
arena2,16,0.90100000,4.00000000,0
arena2,17,0.35780000,4.00000000,0
arena2,18,1.10960000,7.07106781,0
arena2,19,0.34660000,7.07106781,0
arena2,20,1.53340000,9.48683298,0
arena2,21,1.23900000,8.60232527,0
arena2,22,1.59020000,9.00000000,0
arena2,23,0.93560000,10.44030651,0
arena2,24,0.32880000,10.19803903,0
arena2,25,4.57340000,8.60232527,0
arena2,26,2.45060000,8.06225775,0
arena2,27,0.28980000,10.29563014,0
arena2,28,1.52900000,7.81024968,0
arena2,29,2.06160000,8.06225775,0
arena2,30,8.79060000,13.00000000,0
arena2,31,2.77680000,13.03840481,0
arena2,32,0.47260000,15.13274595,0
arena2,33,1.89820000,13.03840481,0
arena2,34,7.00120000,12.72792206,0
arena2,35,1.64020000,15.00000000,0
arena2,36,2.39300000,12.04159458,0
arena2,37,0.55880000,12.36931688,0
arena2,38,1.02840000,15.03329638,0
arena2,39,0.42000000,11.66190379,0
arena2,40,5.43560000,17.46424920,0
arena2,41,4.03180000,15.19348530,2
arena2,42,0.97920000,16.55294536,0
arena2,43,3.46360000,18.02775638,0
arena2,44,2.15000000,16.49242250,0
arena2,45,7.10080000,18.11077028,0
arena2,46,7.41700000,17.06668940,2
arena2,47,6.81340000,17.84139743,1
arena2,48,5.44500000,16.27882060,0
arena2,49,3.95140000,16.12451550,0
arena2,50,3.46780000,22.00033005,1
arena2,51,4.68480000,20.90104654,2
arena2,52,2.09160000,20.22374842,0
arena2,53,1.73400000,23.00000000,0
arena2,54,1.86040000,19.41648784,0
arena2,55,6.69800000,22.80350850,0
arena2,56,5.89160000,19.84943324,0
arena2,57,5.83940000,21.67253832,2
arena2,58,1.76300000,21.02379604,0
arena2,59,5.59300000,20.04689683,1
arena2,60,4.05580000,26.24893082,1
arena2,61,8.17080000,24.28010989,1
arena2,62,4.17800000,24.83641866,3
arena2,63,2.88160000,25.49509757,0
arena2,64,2.62460000,27.07397274,0
arena2,65,2.85840000,25.17935662,0
arena2,66,5.83400000,24.51530134,0
arena2,67,6.70620000,25.96150997,0
arena2,68,0.53240000,24.18677324,0
arena2,69,0.41840000,24.16609195,0
arena2,70,4.57600000,28.86173938,0
arena2,71,3.95780000,27.89800938,3
arena2,72,2.59580000,28.84441020,0
arena2,73,4.85300000,28.04924508,1
arena2,74,10.59680000,30.47950131,0
arena2,75,3.94720000,28.68735435,2
arena2,76,5.70240000,28.73091948,1
arena2,77,3.41560000,25.95821731,4
arena2,78,2.95980000,29.15475947,0
arena2,79,0.40820000,30.00000000,0
arena2,80,3.49520000,32.91889630,1
arena2,81,3.33140000,32.71237677,3
