Map,Query Number,Time,Distance,Path Length
brc204d,0,1.23360000,2.82842712,0
brc204d,1,3.93520000,3.60555128,0
brc204d,2,0.48520000,1.00000000,0
brc204d,3,3.26640000,2.23606798,0
brc204d,4,0.45120000,2.23606798,0
brc204d,5,0.42180000,1.41421356,0
brc204d,6,0.56560000,2.00000000,0
brc204d,7,0.56120000,1.41421356,0
brc204d,8,2.81980000,3.00000000,0
brc204d,9,2.21580000,2.82842712,0
brc204d,10,0.51280000,4.12310563,0
brc204d,11,2.07620000,7.07106781,0
brc204d,12,0.35960000,6.32455532,0
brc204d,13,0.40220000,6.40312424,0
brc204d,14,2.12700000,6.40312424,0
brc204d,15,2.51920000,5.09901951,0
brc204d,16,0.38440000,6.00000000,0
brc204d,17,0.27160000,6.08276253,0
brc204d,18,1.38160000,7.28010989,0
brc204d,19,0.39620000,5.00000000,0
brc204d,20,3.60600000,10.04987562,0
brc204d,21,2.05680000,10.29563014,0
brc204d,22,2.10360000,10.19803903,0
brc204d,23,2.70380000,8.94427191,0
brc204d,24,2.12500000,7.81024968,0
brc204d,25,0.43140000,9.84885780,0
brc204d,26,4.37620000,10.35848547,1
brc204d,27,2.45580000,8.00000000,0
brc204d,28,2.92500000,9.43398113,0
brc204d,29,2.72360000,10.04987562,0
brc204d,30,6.53680000,12.05997849,1
brc204d,31,1.51740000,13.34166406,0
brc204d,32,3.72980000,12.80624847,0
brc204d,33,3.36980000,15.03329638,0
brc204d,34,3.06340000,13.00000000,0
brc204d,35,0.36000000,11.70469991,0
brc204d,36,2.91020000,15.03329638,0
brc204d,37,0.53140000,12.20655562,0
brc204d,38,0.38700000,15.03329638,0
brc204d,39,4.49960000,12.08304597,0
brc204d,40,2.28120000,16.64331698,0
brc204d,41,5.07780000,16.27882060,0
brc204d,42,3.11060000,16.12451550,0
brc204d,43,5.54600000,15.57027616,3
brc204d,44,1.92840000,16.97056275,0
brc204d,45,3.71300000,19.00000000,0
brc204d,46,4.04440000,17.32642755,2
brc204d,47,2.07320000,16.55294536,0
brc204d,48,1.22540000,17.26267650,0
brc204d,49,6.32160000,16.66458302,1
brc204d,50,3.80880000,22.49327291,2
brc204d,51,5.89040000,20.00000000,0
brc204d,52,4.95880000,20.02498439,0
brc204d,53,3.01180000,22.20360331,0
brc204d,54,2.37580000,20.09975124,0
brc204d,55,2.90160000,21.26029163,0
brc204d,56,3.61120000,18.97366596,0
brc204d,57,3.26860000,22.36067977,0
brc204d,58,2.24560000,19.41648784,0
brc204d,59,3.80080000,19.07326211,2
brc204d,60,3.16980000,23.70653918,0
brc204d,61,5.98840000,22.85618350,2
brc204d,62,2.41380000,22.80350850,0
brc204d,63,4.76020000,25.80350850,1
brc204d,64,4.58080000,24.85816881,2
brc204d,65,4.76960000,26.90724809,0
brc204d,66,3.22040000,24.72529295,2
brc204d,67,7.40340000,26.27238238,2
brc204d,68,3.70160000,23.70653918,0
brc204d,69,4.25220000,24.57115587,2
brc204d,70,6.38520000,27.07828113,2
brc204d,71,3.41640000,28.91341754,2
brc204d,72,4.45600000,29.21804823,1
brc204d,73,4.71480000,26.54281191,2
brc204d,74,7.69880000,29.83286778,0
brc204d,75,3.38960000,30.06659276,0
brc204d,76,4.59020000,29.22591154,3
brc204d,77,4.71860000,26.85115717,1
brc204d,78,6.00340000,26.35941564,1
brc204d,79,6.71620000,29.30517111,4
brc204d,80,4.58300000,31.62277660,0
brc204d,81,7.42460000,29.96664813,0
brc204d,82,6.64660000,33.24154028,0
