Map,Query Number,Time,Distance,Path Length
combat2,0,0.55180000,2.00000000,0
combat2,1,0.26220000,1.00000000,0
combat2,2,0.28520000,3.00000000,0
combat2,3,0.20440000,2.82842712,0
combat2,4,0.21600000,2.23606798,0
combat2,5,0.21540000,3.16227766,0
combat2,6,2.20820000,2.23606798,0
combat2,7,0.27740000,3.16227766,0
combat2,8,0.23460000,2.82842712,0
combat2,9,0.22460000,3.16227766,0
combat2,10,0.26020000,6.32455532,0
combat2,11,0.25240000,6.32455532,0
combat2,12,0.20920000,4.00000000,0
combat2,13,0.17100000,7.21110255,0
combat2,14,1.37180000,6.08276253,0
combat2,15,0.22560000,6.70820393,0
combat2,16,0.17640000,6.32455532,0
combat2,17,0.18360000,7.00000000,0
combat2,18,0.22240000,5.83095189,0
combat2,19,1.34260000,7.00000000,0
combat2,20,0.22480000,9.21954446,0
combat2,21,0.18640000,10.00000000,0
combat2,22,0.19900000,8.06225775,0
combat2,23,0.16940000,9.21954446,0
combat2,24,0.19880000,11.40175425,0
combat2,25,0.17560000,11.18033989,0
combat2,26,0.16660000,10.00000000,0
combat2,27,0.16920000,8.06225775,0
combat2,28,0.23780000,11.40175425,0
combat2,29,0.22960000,7.61577311,0
combat2,30,1.18480000,14.76482306,0
combat2,31,0.86540000,13.03840481,0
combat2,32,0.24580000,12.04159458,0
combat2,33,1.40180000,14.14213562,0
combat2,34,0.21380000,12.20655562,0
combat2,35,0.17520000,14.56021978,0
combat2,36,0.18480000,14.03566885,0
combat2,37,0.18820000,11.18033989,0
combat2,38,0.16700000,13.45362405,0
combat2,39,0.23100000,14.86606875,0
combat2,40,0.18620000,16.27882060,0
combat2,41,0.77520000,18.43908891,0
combat2,42,1.13400000,16.03121954,0
combat2,43,0.21660000,18.11077028,0
combat2,44,0.91960000,17.46424920,0
combat2,45,1.45560000,19.02629759,0
combat2,46,0.81880000,17.72004515,0
combat2,47,0.22960000,18.24828759,0
combat2,48,0.22300000,19.10497317,0
combat2,49,0.21280000,17.02938637,0
combat2,50,0.18620000,19.64688270,0
combat2,51,1.27200000,21.54065923,0
combat2,52,0.95760000,20.09975124,0
combat2,53,0.18540000,20.61552813,0
combat2,54,0.18560000,19.92485885,0
combat2,55,0.87360000,21.37755833,0
combat2,56,1.12100000,21.63330765,0
combat2,57,0.20500000,20.39607805,0
combat2,58,0.19600000,21.37755833,0
combat2,59,0.19120000,22.02271555,0
combat2,60,0.73980000,25.49509757,0
combat2,61,0.21960000,26.01922366,0
combat2,62,0.19740000,22.47220505,0
combat2,63,0.98760000,24.33105012,0
combat2,64,0.95500000,25.61249695,0
combat2,65,0.87540000,22.36067977,0
combat2,66,0.95220000,24.18677324,0
combat2,67,0.20660000,25.01999201,0
combat2,68,0.89220000,24.18677324,0
combat2,69,0.19060000,25.07987241,0
combat2,70,1.57160000,27.97056275,2
combat2,71,0.88700000,29.06888371,0
combat2,72,0.74980000,28.17800561,0
combat2,73,0.90900000,29.15475947,0
combat2,74,0.18620000,28.16025568,0
combat2,75,0.19880000,28.00000000,0
combat2,76,0.18420000,27.29468813,0
combat2,77,0.97940000,29.42787794,0
combat2,78,0.20680000,28.79236010,0
combat2,79,0.88840000,29.83286778,0
combat2,80,0.75440000,32.69556545,0
combat2,81,1.04520000,30.52867504,0
combat2,82,0.95360000,31.04834939,0
combat2,83,0.88940000,31.82766093,0
combat2,84,0.96300000,32.44996148,0
combat2,85,1.37020000,29.59674775,1
combat2,86,1.27660000,32.01562119,0
combat2,87,0.94760000,34.05877273,0
combat2,88,0.20260000,33.13608305,0
combat2,89,1.18840000,31.62277660,0
combat2,90,0.20640000,38.11823711,0
combat2,91,0.19440000,34.48187930,0
combat2,92,1.23700000,38.18376618,0
combat2,93,0.94040000,39.59797975,0
combat2,94,0.19740000,36.87817783,0
combat2,95,0.88000000,38.94868419,0
combat2,96,1.44740000,35.26874301,1
combat2,97,1.09720000,36.22154055,0
combat2,98,0.89920000,36.71511950,0
combat2,99,0.96840000,37.01351105,0
combat2,100,0.18420000,38.47076812,0
combat2,101,0.18960000,40.04996879,0
combat2,102,0.97240000,39.21734310,0
combat2,103,2.02200000,38.22374842,2
combat2,104,1.12560000,42.52058325,0
combat2,105,2.28580000,38.71462915,1
combat2,106,0.22180000,37.36308338,0
combat2,107,0.16560000,43.01162634,0
combat2,108,1.06000000,37.33630941,0
combat2,109,0.21460000,42.19004622,0
combat2,110,0.81320000,40.71854614,0
combat2,111,1.11260000,42.94182111,0
