Map,Query Number,Time,Distance,Path Length
den600d,0,1.08700000,3.16227766,0
den600d,1,0.66780000,1.00000000,0
den600d,2,0.41880000,1.41421356,0
den600d,3,0.29240000,1.00000000,0
den600d,4,0.27160000,3.16227766,0
den600d,5,0.35680000,3.60555128,0
den600d,6,2.11120000,3.16227766,0
den600d,7,1.71200000,2.82842712,0
den600d,8,0.41780000,2.00000000,0
den600d,9,1.68180000,2.82842712,0
den600d,10,0.65620000,7.07106781,0
den600d,11,0.39600000,7.07106781,0
den600d,12,0.37580000,4.24264069,0
den600d,13,0.28180000,7.28010989,0
den600d,14,1.29200000,5.00000000,0
den600d,15,0.89480000,6.70820393,0
den600d,16,3.12040000,7.28010989,0
den600d,17,0.39200000,4.24264069,0
den600d,18,0.22580000,6.00000000,0
den600d,19,1.07520000,5.83095189,0
den600d,20,0.52500000,8.54400375,0
den600d,21,0.42500000,10.00000000,0
den600d,22,2.87560000,7.81024968,0
den600d,23,1.30200000,8.24621125,0
den600d,24,2.72060000,10.00000000,0
den600d,25,3.33740000,10.12899020,2
den600d,26,1.20780000,7.61577311,0
den600d,27,2.15680000,7.81024968,0
den600d,28,2.04120000,9.21954446,0
den600d,29,0.38400000,8.24621125,0
den600d,30,3.36840000,10.35848547,1
den600d,31,1.19000000,15.00000000,0
den600d,32,3.01600000,11.06701987,2
den600d,33,4.44320000,13.00639759,1
den600d,34,5.12360000,11.88381226,1
den600d,35,2.26400000,12.20655562,0
den600d,36,2.38900000,13.45362405,0
den600d,37,2.69580000,14.20085799,2
den600d,38,0.38200000,15.03329638,0
den600d,39,3.15780000,12.79096646,1
den600d,40,2.03740000,19.10497317,0
den600d,41,2.27600000,19.10497317,0
den600d,42,2.22520000,16.03121954,0
den600d,43,4.60460000,15.34739615,1
den600d,44,2.30320000,15.26433752,0
den600d,45,3.68460000,14.88517862,1
den600d,46,5.47100000,17.91025570,1
den600d,47,1.91680000,15.28878979,2
den600d,48,2.85200000,15.62049935,0
den600d,49,2.71840000,15.48683298,2
den600d,50,4.75460000,22.32455532,3
den600d,51,3.36460000,18.82842712,2
den600d,52,3.24460000,19.52730043,1
den600d,53,4.81560000,21.00000000,1
den600d,54,4.37020000,21.15294644,2
den600d,55,3.51840000,21.47550878,6
den600d,56,5.20840000,19.70298587,1
den600d,57,2.67160000,19.76482306,2
