Map,Query Number,Time,Distance,Path Length
hrt002d,0,0.39420000,1.41421356,0
hrt002d,1,2.29700000,3.00000000,1
hrt002d,2,0.28100000,1.41421356,0
hrt002d,3,0.22020000,1.00000000,0
hrt002d,4,2.12740000,3.16227766,0
hrt002d,5,0.26180000,1.41421356,0
hrt002d,6,2.09840000,3.23606798,1
hrt002d,7,1.57020000,2.00000000,0
hrt002d,8,0.21340000,1.41421356,0
hrt002d,9,0.18340000,1.00000000,0
hrt002d,10,1.02140000,4.24264069,0
hrt002d,11,1.32400000,6.82842712,2
hrt002d,12,1.11080000,5.82842712,2
hrt002d,13,1.34440000,4.00000000,0
hrt002d,14,1.39360000,4.47213595,0
hrt002d,15,1.48540000,6.43397840,1
hrt002d,16,1.24780000,5.00000000,0
hrt002d,17,1.26120000,6.08276253,0
hrt002d,18,1.84540000,7.38516481,1
hrt002d,19,1.44820000,7.09901951,1
hrt002d,20,1.37000000,7.83095189,1
hrt002d,21,1.24960000,7.61577311,0
hrt002d,22,1.28120000,8.24621125,0
hrt002d,23,1.31520000,10.00000000,0
hrt002d,24,1.29840000,9.84885780,0
hrt002d,25,1.31900000,10.04987562,0
hrt002d,26,1.17900000,10.77032961,0
hrt002d,27,1.23540000,11.04536102,0
hrt002d,28,1.77540000,8.63919221,1
hrt002d,29,1.83040000,8.06701987,1
hrt002d,30,1.55820000,11.48683298,1
hrt002d,31,1.10680000,11.70469991,0
hrt002d,32,1.66860000,13.66190379,1
hrt002d,33,1.22960000,12.04159458,0
hrt002d,34,1.10080000,12.36931688,0
hrt002d,35,2.36220000,14.45261837,2
hrt002d,36,1.60440000,14.08304597,1
hrt002d,37,1.32880000,13.70469991,1
hrt002d,38,1.08680000,13.60147051,0
hrt002d,39,1.19140000,14.00000000,0
hrt002d,40,1.68660000,17.69825313,3
hrt002d,41,1.62320000,15.41640786,1
hrt002d,42,1.13260000,14.86606875,0
hrt002d,43,1.33820000,16.03121954,0
hrt002d,44,1.54980000,18.02775638,0
hrt002d,45,1.92720000,19.11724277,1
hrt002d,46,1.51940000,16.38182212,3
hrt002d,47,1.58040000,14.94591168,3
hrt002d,48,2.09160000,16.44873838,1
hrt002d,49,1.57920000,15.36012524,3
hrt002d,50,1.62900000,22.06773643,4
hrt002d,51,1.17960000,20.69825313,4
hrt002d,52,1.22040000,20.69825313,4
hrt002d,53,3.32420000,20.92475432,3
