Map,Query Number,Time,Distance,Path Length
isound1,0,0.32560000,2.00000000,0
isound1,1,0.26740000,1.41421356,0
isound1,2,0.17920000,3.60555128,0
isound1,3,0.17560000,3.16227766,0
isound1,4,0.19040000,3.60555128,0
isound1,5,0.15980000,3.60555128,0
isound1,6,0.16720000,2.00000000,0
isound1,7,0.17780000,3.16227766,0
isound1,8,0.20280000,3.00000000,0
isound1,9,0.21320000,3.16227766,0
isound1,10,0.19720000,5.38516481,0
isound1,11,0.17120000,6.08276253,0
isound1,12,0.15900000,4.12310563,0
isound1,13,0.15140000,5.65685425,0
isound1,14,0.18500000,7.00000000,0
isound1,15,0.15140000,5.83095189,0
isound1,16,0.14760000,7.07106781,0
isound1,17,0.14440000,7.28010989,0
isound1,18,0.14340000,4.00000000,0
isound1,19,0.14260000,5.65685425,0
isound1,20,0.79600000,9.00000000,0
isound1,21,0.22780000,8.06225775,0
isound1,22,0.15200000,10.04987562,0
isound1,23,0.14480000,10.04987562,0
isound1,24,0.14680000,9.48683298,0
isound1,25,0.14560000,9.05538514,0
isound1,26,0.14420000,8.60232527,0
isound1,27,0.17900000,8.54400375,0
isound1,28,0.14460000,8.06225775,0
isound1,29,0.14400000,9.00000000,0
isound1,30,0.16060000,13.92838828,0
isound1,31,0.62860000,13.45362405,0
isound1,32,0.17780000,13.00000000,0
isound1,33,0.56660000,14.86606875,0
isound1,34,0.16580000,14.42220510,0
isound1,35,0.14820000,13.03840481,0
isound1,36,0.59540000,13.00000000,0
isound1,37,0.15820000,13.00000000,0
isound1,38,0.14840000,12.08304597,0
isound1,39,0.14860000,13.15294644,0
isound1,40,0.65460000,19.10497317,0
isound1,41,0.18700000,19.10497317,0
isound1,42,0.14920000,19.79898987,0
isound1,43,0.14540000,16.12451550,0
isound1,44,0.14580000,17.02938637,0
isound1,45,0.14720000,17.11724277,0
isound1,46,0.14440000,17.46424920,0
isound1,47,0.14140000,17.72004515,0
isound1,48,0.14420000,16.12451550,0
isound1,49,0.56320000,17.49285568,0
isound1,50,0.65920000,22.00000000,0
isound1,51,0.16020000,20.88061302,0
isound1,52,0.14740000,21.63330765,0
isound1,53,0.14560000,18.78829423,0
isound1,54,0.14380000,20.61552813,0
isound1,55,0.56060000,23.02172887,0
isound1,56,0.57340000,22.13594362,0
isound1,57,0.18020000,20.88061302,0
isound1,58,0.14500000,23.02172887,0
isound1,59,0.55260000,20.12461180,0
isound1,60,0.16400000,22.80350850,0
isound1,61,0.58760000,25.94224354,0
isound1,62,0.18580000,25.07987241,0
isound1,63,0.15200000,22.56102835,0
isound1,64,0.16540000,26.07680962,0
isound1,65,0.15900000,24.51530134,0
isound1,66,0.15040000,22.82542442,0
isound1,67,0.54380000,23.34523506,0
isound1,68,0.16700000,24.08318916,0
isound1,69,0.55740000,26.07680962,0
isound1,70,0.20420000,27.31300057,0
isound1,71,0.20280000,29.61418579,0
isound1,72,1.28820000,30.27456234,1
isound1,73,0.22120000,27.31300057,0
isound1,74,0.16860000,28.31960452,0
isound1,75,0.14940000,29.41088234,0
isound1,76,0.16260000,30.41381265,0
isound1,77,0.55940000,28.86173938,0
isound1,78,0.18100000,29.42787794,0
isound1,79,0.16380000,26.68332813,0
isound1,80,0.57800000,31.30495168,0
isound1,81,0.55280000,32.44996148,0
isound1,82,0.16320000,30.46309242,0
isound1,83,0.97360000,34.39082745,2
isound1,84,0.20940000,31.57530681,0
isound1,85,0.16840000,29.96664813,0
isound1,86,0.16280000,32.55764119,0
isound1,87,0.15980000,31.89043744,0
isound1,88,0.14740000,32.52691193,0
isound1,89,0.14840000,32.24903099,0
isound1,90,0.14740000,37.10795063,0
isound1,91,0.18200000,39.01281841,0
isound1,92,0.15460000,35.44009029,0
isound1,93,0.15020000,38.28837944,0
isound1,94,0.14820000,36.12478374,0
isound1,95,0.15120000,36.89173349,0
isound1,96,1.08120000,37.01351105,0
isound1,97,0.18040000,33.52610923,0
isound1,98,0.15000000,36.87817783,0
isound1,99,0.14880000,33.61547263,0
isound1,100,0.61020000,40.00000000,0
isound1,101,0.57340000,39.00000000,0
isound1,102,1.27040000,38.32994747,1
isound1,103,0.98520000,40.44749683,0
isound1,104,0.21460000,41.19465985,0
isound1,105,0.15140000,41.61730409,0
isound1,106,0.17340000,39.00000000,0
isound1,107,0.83740000,41.07262140,2
