Map,Query Number,Time,Distance,Path Length
lak100n,0,0.96940000,1.00000000,0
lak100n,1,3.11280000,3.00000000,0
lak100n,2,0.66220000,2.82842712,0
lak100n,3,0.57700000,1.00000000,0
lak100n,4,0.73000000,3.60555128,0
lak100n,5,0.71540000,3.16227766,0
lak100n,6,0.50540000,2.00000000,0
lak100n,7,0.41160000,0.00000000,0
lak100n,8,0.77680000,2.23606798,0
lak100n,9,0.55680000,2.00000000,0
lak100n,10,2.83300000,4.47213595,0
lak100n,11,0.53760000,5.09901951,0
lak100n,12,2.32080000,7.28010989,0
lak100n,13,2.22720000,5.83095189,0
lak100n,14,0.66240000,6.08276253,0
lak100n,15,0.47160000,7.28010989,0
lak100n,16,0.35780000,5.00000000,0
lak100n,17,2.66500000,7.28010989,0
lak100n,18,2.79120000,7.21110255,0
lak100n,19,0.45100000,4.12310563,0
lak100n,20,0.52960000,8.06225775,0
lak100n,21,0.56640000,7.61577311,0
lak100n,22,0.44240000,8.54400375,0
lak100n,23,0.31700000,8.94427191,0
lak100n,24,4.84740000,9.21110255,1
lak100n,25,1.67180000,8.06225775,0
lak100n,26,2.49780000,11.40175425,0
lak100n,27,0.38720000,10.04987562,0
lak100n,28,1.73880000,8.24621125,0
lak100n,29,3.50980000,10.07106781,1
lak100n,30,3.14960000,13.36505817,6
lak100n,31,3.49620000,12.04159458,0
lak100n,32,4.35180000,13.39834564,3
lak100n,33,0.53680000,14.00000000,0
lak100n,34,2.58280000,11.40175425,0
lak100n,35,1.18540000,14.42220510,0
lak100n,36,5.02340000,15.00000000,0
lak100n,37,2.00160000,14.21267040,0
lak100n,38,0.40180000,13.03840481,0
lak100n,39,4.79680000,14.76482306,0
lak100n,40,3.35600000,16.76305461,0
lak100n,41,2.10840000,18.38477631,0
lak100n,42,2.80180000,15.26433752,0
lak100n,43,3.13260000,16.49242250,0
lak100n,44,2.86340000,16.12451550,0
lak100n,45,4.92200000,18.35755975,0
lak100n,46,3.64280000,18.38477631,0
lak100n,47,3.04660000,19.00000000,0
lak100n,48,3.54640000,18.65827308,2
lak100n,49,0.45320000,16.40121947,0
lak100n,50,5.17800000,20.26422906,1
lak100n,51,3.38060000,20.83573538,1
lak100n,52,2.57560000,20.24845673,0
lak100n,53,1.60020000,21.09502311,0
lak100n,54,2.31660000,20.02498439,0
lak100n,55,2.82740000,20.10497317,1
lak100n,56,3.19260000,20.88061302,0
lak100n,57,3.07260000,21.47091055,0
lak100n,58,2.69400000,22.47220505,0
lak100n,59,3.67180000,21.63330765,0
lak100n,60,4.24880000,23.34543903,1
lak100n,61,4.81940000,25.29822128,0
lak100n,62,3.22780000,25.60266495,2
lak100n,63,2.41620000,25.70992026,0
lak100n,64,4.92800000,26.92910214,4
lak100n,65,1.96080000,25.00000000,0
lak100n,66,4.36400000,23.13594362,1
lak100n,67,5.04080000,24.18677324,0
lak100n,68,2.49280000,25.17935662,0
lak100n,69,2.94980000,24.20743687,0
lak100n,70,4.48900000,29.50920877,2
lak100n,71,3.84380000,26.64707788,2
lak100n,72,6.68440000,26.32489067,4
lak100n,73,5.03960000,28.77611319,7
lak100n,74,4.99080000,27.91352024,4
lak100n,75,6.03700000,26.24880950,0
lak100n,76,2.52100000,29.12043956,0
lak100n,77,6.66700000,30.61074229,1
lak100n,78,7.94000000,30.31456757,1
lak100n,79,3.28060000,28.16025568,0
lak100n,80,9.86680000,33.18624618,12
lak100n,81,6.58640000,33.55934893,3
lak100n,82,3.73080000,32.20953758,1
lak100n,83,3.99500000,32.75435251,2
lak100n,84,2.27620000,33.01514804,0
lak100n,85,6.93160000,32.28876106,1
lak100n,86,5.40620000,33.83838269,1
lak100n,87,3.82980000,31.32985134,2
lak100n,88,6.22560000,30.34344548,1
lak100n,89,2.93500000,35.35533906,0
lak100n,90,11.98680000,35.01871168,14
lak100n,91,7.93160000,35.42099383,15
lak100n,92,5.45080000,34.92035722,6
lak100n,93,11.68740000,36.05787782,13
lak100n,94,3.90820000,37.22674852,1
lak100n,95,5.80660000,35.22782991,0
lak100n,96,8.41280000,36.49831769,1
lak100n,97,3.52020000,36.29599615,2
lak100n,98,3.06860000,35.22782991,0
lak100n,99,8.14240000,37.90049873,9
